learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,4.978272,5.913956562678019E-9,1000.0,91.4,82.05694208565099,76.24309392265194,79.07542579075427,15840.0,4592.0
2000.0,5.923679,7.037056291268931E-9,2000.0,85.39999999999999,68.840038416391,70.74148296593185,64.81927710843374,18067.0,4592.0
3000.0,6.726828,7.991160104672113E-9,3000.0,90.9,81.57581451096948,80.30303030303031,81.27572016460906,19885.0,4592.0
4000.0,7.628459,9.062255972789392E-9,4000.0,87.5,64.45955782003458,69.80676328502415,54.710144927536234,21988.0,4592.0
5000.0,8.53924,1.0144221617115867E-8,5000.0,87.8,60.541295797971436,67.81002638522428,47.41379310344827,24174.0,4592.0
6000.0,9.422431,1.1193411619298986E-8,6000.0,88.9,68.61534285617346,73.18840579710145,58.42696629213484,26195.0,4592.0
7000.0,10.342903,1.2286889722777736E-8,7000.0,82.6,58.56511468414233,58.96226415094339,51.123595505617956,28177.0,4592.0
8000.0,11.302603,1.342696887337499E-8,8000.0,86.2,69.1822579132369,71.36929460580913,64.34108527131784,30249.0,4592.0
9000.0,12.350234,1.467150597936577E-8,9000.0,83.7,64.0170245832156,63.777777777777764,57.88113695090439,32610.0,4592.0
10000.0,13.36417,1.5876014985971977E-8,10000.0,85.5,68.3323141434437,69.79166666666666,63.01020408163265,34791.0,4592.0
11000.0,14.331857,1.7025582322643858E-8,11000.0,86.7,68.90169193501622,68.25775656324582,62.3229461756374,36851.0,4592.0
12000.0,15.341896,1.8225461873743265E-8,12000.0,81.3,61.057892544773,64.58333333333333,57.97752808988762,38878.0,4592.0
13000.0,16.456866,1.9549994592865304E-8,13000.0,72.89999999999999,46.827296629125286,41.21475054229934,45.47283702213279,41130.0,4592.0
14000.0,17.480778,2.0766354625423746E-8,14000.0,71.7,44.88802336903602,46.095238095238095,36.54708520179371,43149.0,4592.0
15000.0,18.641664,2.2145433425903316E-8,15000.0,75.0,50.48504846523456,52.56166982922201,46.69509594882729,45356.0,4592.0
16000.0,19.785007,2.3503671954903335E-8,16000.0,78.4,54.32882400950637,56.09756097560976,53.04347826086957,47533.0,4592.0
17000.0,20.829912,2.4744970699151356E-8,17000.0,84.0,65.95411465803035,65.73875802997858,61.63069544364508,49509.0,4592.0
18000.0,21.788338,2.5883536396755113E-8,18000.0,81.2,60.35762483130905,60.83333333333334,56.27906976744188,51467.0,4592.0
19000.0,22.710698,2.6979257356789377E-8,19000.0,81.0,61.409566365390475,62.671905697445986,60.00000000000001,53348.0,4592.0
20000.0,23.740459,2.8202565730445914E-8,20000.0,80.5,59.73902630383616,60.12269938650307,57.14285714285715,55542.0,4592.0
21000.0,24.773623,2.9429916710489326E-8,21000.0,81.6,59.44992947813821,59.64912280701753,49.45054945054944,57505.0,4592.0
22000.0,25.730693,3.056687154289749E-8,22000.0,87.1,66.86666529681304,68.06930693069307,55.208333333333336,59478.0,4592.0
23000.0,26.669864,3.168256319231457E-8,23000.0,88.7,68.4410434005474,70.34120734908137,57.358490566037744,61452.0,4592.0
24000.0,27.611179,3.280080181443029E-8,24000.0,89.0,66.10900576146904,68.02325581395348,53.191489361702125,63420.0,4592.0
25000.0,28.50822,3.386644497513771E-8,25000.0,88.6,66.343882853094,70.3125,56.15384615384615,65277.0,4592.0
26000.0,29.467149,3.500560821344455E-8,26000.0,83.39999999999999,57.122562314348436,61.662817551963045,47.30158730158728,67194.0,4592.0
27000.0,30.42465,3.614307505389055E-8,27000.0,88.9,70.4186165506508,72.72727272727273,60.07194244604317,69169.0,4592.0
28000.0,31.380086,3.727808876997895E-8,28000.0,90.3,73.57380264806844,76.6826923076923,64.07407407407408,71132.0,4592.0
29000.0,32.404971,3.849560468147198E-8,29000.0,85.1,61.64696676413656,67.03539823008849,52.84810126582277,73279.0,4592.0
30000.0,33.42863,3.971166416174836E-8,30000.0,85.9,64.41299102500682,65.52567237163814,55.09554140127387,75469.0,4592.0
31000.0,34.388952,4.08524822195371E-8,31000.0,85.39999999999999,60.06651933218091,64.30317848410758,48.951048951048946,77438.0,4592.0
32000.0,35.359486,4.2005431660347514E-8,32000.0,83.7,57.59625390218521,61.09785202863961,45.666666666666664,79338.0,4592.0
33000.0,36.279488,4.309835142559475E-8,33000.0,80.7,48.805822873452264,56.91964285714286,37.540453074433685,81151.0,4592.0
34000.0,37.427794,4.4462485768728785E-8,34000.0,80.7,56.47467412385551,59.36842105263159,49.87012987012989,83238.0,4592.0
35000.0,38.527828,4.5769275211625626E-8,35000.0,78.60000000000001,55.57677537209641,55.601659751037346,51.02974828375287,85231.0,4592.0
36000.0,39.592695,4.7034287887314954E-8,36000.0,80.5,60.23491985806927,59.45945945945946,57.88336933045357,87158.0,4592.0
37000.0,40.583568,4.821139911810557E-8,37000.0,81.6,62.30249786927161,60.25917926565874,59.29203539823007,88991.0,4592.0
38000.0,41.555176,4.9365624421172667E-8,38000.0,81.39999999999999,63.03524370903568,63.45776031434184,60.425531914893604,90797.0,4592.0
39000.0,42.626888,5.063876863982942E-8,39000.0,81.10000000000001,62.38925725748037,59.44206008583692,59.179265658747305,92832.0,4592.0
40000.0,43.809919,5.2044154674642614E-8,40000.0,80.7,61.31458259837723,63.16793893129772,61.782178217821794,95046.0,4592.0
41000.0,44.77277,5.318797706729836E-8,41000.0,80.4,60.8446371136904,61.86770428015566,58.56236786469346,96907.0,4592.0
42000.0,45.819103,5.443097220940722E-8,42000.0,81.5,63.1186105484761,63.725490196078425,57.27482678983833,98983.0,4592.0
43000.0,46.852978,5.565916782452E-8,43000.0,81.0,62.02794743069102,59.57446808510639,53.43137254901963,101110.0,4592.0
44000.0,47.784729,5.676604485760132E-8,44000.0,82.89999999999999,64.90234230683973,62.499999999999986,52.63157894736841,102920.0,4592.0
45000.0,48.756147,5.792004444946845E-8,45000.0,82.0,62.43159419442902,60.612691466083135,49.008498583569384,104844.0,4592.0
46000.0,49.686088,5.902477128638161E-8,46000.0,78.5,56.49816280613153,55.852156057494874,45.84382871536525,106586.0,4592.0
47000.0,50.684296,6.021059615744484E-8,47000.0,78.0,56.38779968519921,54.82546201232034,50.338600451467265,108474.0,4592.0
48000.0,51.695165,6.141146171010202E-8,48000.0,76.8,52.86564677678227,53.31991951710262,42.71604938271606,110386.0,4592.0
49000.0,52.699331,6.260436440921491E-8,49000.0,78.60000000000001,57.63299083367981,58.28460038986355,49.88290398126465,112280.0,4592.0
50000.0,53.658772,6.374413587980799E-8,50000.0,80.0,60.23524827122743,59.266802443991864,57.5371549893843,114059.0,4592.0
51000.0,54.64745,6.491863955226208E-8,51000.0,80.30000000000001,60.443673397266004,63.10861423220974,59.4650205761317,115905.0,4592.0
52000.0,55.581772,6.602857081426514E-8,52000.0,81.5,63.0850520400996,63.51084812623273,62.77665995975854,117583.0,4592.0
53000.0,56.529323,6.715421751555469E-8,53000.0,82.8,65.77454979604018,65.3923541247485,61.692650334075715,119297.0,4592.0
54000.0,57.569426,6.838981170621182E-8,54000.0,81.8,63.734038991885974,63.23232323232322,58.06451612903225,121242.0,4592.0
55000.0,58.678901,6.970781661983993E-8,55000.0,81.10000000000001,62.298927613941025,61.585365853658544,58.82352941176472,123353.0,4592.0
56000.0,59.702436,7.092372879385947E-8,56000.0,76.4,52.587592414014786,50.42016806722689,43.80952380952382,125261.0,4592.0
57000.0,60.745136,7.216240810023413E-8,57000.0,75.5,51.23640590417655,49.3801652892562,38.59649122807018,127183.0,4592.0
58000.0,61.795567,7.341027147654028E-8,58000.0,78.3,56.44948943548906,55.53278688524591,46.2871287128713,129136.0,4592.0
59000.0,62.827483,7.463613989038598E-8,59000.0,77.10000000000001,54.571784515524946,55.87668593448941,47.71689497716895,131024.0,4592.0
60000.0,63.784053,7.577250074595211E-8,60000.0,78.9,57.583847285768286,57.200811359026375,48.41075794621028,132750.0,4592.0
