learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.222386,1.7208087717493375E-8,1000.0,88.3,75.75631993369251,67.67955801104972,71.53284671532847,55.0,54416.0
2000.0,1.426508,2.0073580034077168E-8,2000.0,74.0,44.348123889638046,47.89579158316633,37.34939759036145,433.0,54264.0
3000.0,1.554003,2.1863372133423883E-8,3000.0,84.5,68.45875218753815,66.45021645021643,68.10699588477365,2251.0,54264.0
4000.0,1.678598,2.3612453639507293E-8,4000.0,87.5,64.90656724463211,69.80676328502415,54.710144927536234,4354.0,54264.0
5000.0,1.801711,2.534073062861959E-8,5000.0,87.1,60.53501064636922,65.96306068601582,44.39655172413793,6540.0,54264.0
6000.0,1.952174,2.745295062661171E-8,6000.0,87.7,66.54481363013251,70.28985507246377,53.93258426966292,8561.0,54264.0
7000.0,2.121839,2.984105141833424E-8,7000.0,74.9,44.1009834663626,40.801886792452834,29.494382022471903,948.0,54408.0
8000.0,2.247922,3.161571862796942E-8,8000.0,85.1,67.46469154780725,69.08713692946058,61.49870801033591,3020.0,54408.0
9000.0,2.409535,3.3882122511665026E-8,9000.0,77.7,52.341058498679224,50.44444444444445,42.37726098191215,491.0,54208.0
10000.0,2.528831,3.555508766737249E-8,10000.0,82.39999999999999,63.408954826691485,63.33333333333332,55.10204081632652,2672.0,54208.0
11000.0,2.662462,3.742908182243506E-8,11000.0,86.5,69.23764036750765,67.78042959427208,61.75637393767705,4732.0,54208.0
12000.0,2.806177,3.945222371568282E-8,12000.0,70.6,38.901473430453656,44.31818181818181,33.93258426966291,160.0,54416.0
13000.0,2.922445,4.108898161600033E-8,13000.0,74.4,49.073779362149075,44.468546637744026,48.49094567404427,2412.0,54416.0
14000.0,3.035389,4.2678946045537785E-8,14000.0,74.6,49.265751585944614,51.61904761904762,43.04932735426008,4431.0,54416.0
15000.0,3.160396,4.4438726852337515E-8,15000.0,73.1,46.33309392706089,48.95635673624288,42.64392324093816,6638.0,54416.0
16000.0,3.299312,4.639431102408303E-8,16000.0,76.3,51.07834070942599,51.829268292682926,48.47826086956522,8815.0,54416.0
17000.0,3.43204,4.826278388500213E-8,17000.0,90.60000000000001,80.66726721538721,79.87152034261243,77.45803357314149,10791.0,54416.0
18000.0,3.553335,4.997030916727251E-8,18000.0,89.5,78.62290809886396,78.125,75.58139534883722,12749.0,54416.0
19000.0,3.674389,5.167444178213675E-8,19000.0,86.5,72.78774440636968,73.47740667976424,71.57894736842105,14630.0,54416.0
20000.0,3.808994,5.356933803194098E-8,20000.0,84.1,67.66452452615309,67.4846625766871,65.05494505494505,16824.0,54416.0
21000.0,3.928464,5.52511719531483E-8,21000.0,85.39999999999999,69.1910324802485,67.98245614035086,59.89010989010989,18787.0,54416.0
22000.0,4.05173,5.698644390536678E-8,22000.0,87.0,68.23566206653896,67.82178217821783,54.861111111111114,20760.0,54416.0
23000.0,4.176634,5.874477473398049E-8,23000.0,91.3,77.3106613811809,77.16535433070867,67.16981132075473,22734.0,54416.0
24000.0,4.301454,6.050192305611239E-8,24000.0,90.4,72.65502606317828,72.09302325581396,59.14893617021277,24702.0,54416.0
25000.0,4.410757,6.204063146064679E-8,25000.0,92.7,80.00657318141981,80.98958333333334,71.92307692307695,26559.0,54416.0
26000.0,4.52622,6.366605700718032E-8,26000.0,86.0,66.46626266497401,67.6674364896074,55.55555555555555,28476.0,54416.0
27000.0,4.64885,6.539237569603654E-8,27000.0,88.3,70.75731067233193,71.25307125307125,57.913669064748206,30451.0,54416.0
28000.0,4.775103,6.716969701564974E-8,28000.0,90.5,75.4128060458616,77.16346153846155,64.81481481481482,32414.0,54416.0
29000.0,4.914884,6.913745818866624E-8,29000.0,86.9,68.65548792159565,71.01769911504424,58.544303797468345,34561.0,54416.0
30000.0,5.053582,7.10899734745423E-8,30000.0,88.7,73.70209359261983,72.37163814180929,64.01273885350318,36751.0,54416.0
31000.0,5.181814,7.289515408376852E-8,31000.0,88.0,71.04247104247105,70.6601466992665,58.041958041958054,38720.0,54416.0
32000.0,5.305802,7.46405899607473E-8,32000.0,85.3,66.68177697189483,64.91646778042958,51.0,40620.0,54416.0
33000.0,5.430639,7.639797759966718E-8,33000.0,82.1,59.285239875899585,60.04464285714284,42.07119741100323,42433.0,54416.0
34000.0,5.585766,7.858177144494322E-8,34000.0,83.3,65.05691329092734,64.84210526315789,56.62337662337662,44520.0,54416.0
35000.0,5.748417,8.086508823972609E-8,35000.0,82.8,64.97330232520252,64.31535269709543,60.64073226544622,333.0,54264.0
36000.0,5.849729,8.228731983444757E-8,36000.0,83.6,66.96039679757601,65.90436590436589,64.57883369330453,2260.0,54264.0
37000.0,5.959942,8.383450487421618E-8,37000.0,84.5,68.5715676096548,66.52267818574514,65.7079646017699,4093.0,54264.0
38000.0,6.090525,8.566764673632051E-8,38000.0,80.80000000000001,60.68715575666989,62.27897838899804,59.14893617021277,5899.0,54264.0
39000.0,6.201482,8.722527614898151E-8,39000.0,82.5,64.4955528143868,62.446351931330454,62.20302375809934,7934.0,54264.0
40000.0,6.319508,8.888214114225573E-8,40000.0,84.6,69.23544077223039,70.61068702290076,69.5049504950495,10148.0,54264.0
41000.0,6.44964,9.071379959997203E-8,41000.0,79.9,58.59153536818512,60.89494163424125,57.50528541226216,257.0,54408.0
42000.0,6.55506,9.219762705680396E-8,42000.0,84.5,68.49337344499553,69.6078431372549,64.20323325635103,2333.0,54408.0
43000.0,6.684794,9.401885054177707E-8,43000.0,78.7,55.68777565116086,54.68085106382979,47.79411764705884,1954.0,54264.0
44000.0,6.787127,9.545393255021836E-8,44000.0,78.2,50.355029855300856,52.192982456140356,39.61218836565097,1549.0,54208.0
45000.0,6.874693,9.668192734320958E-8,45000.0,83.3,62.987260525359254,63.45733041575491,52.691218130311604,3473.0,54208.0
46000.0,6.987691,9.826657156149545E-8,46000.0,80.4,58.45503605509372,59.75359342915812,50.62972292191438,5215.0,54208.0
47000.0,7.12014,1.0012590858464438E-7,47000.0,77.4,54.013633126462516,53.59342915811089,48.98419864559819,196.0,54264.0
48000.0,7.230241,1.016715213532249E-7,48000.0,76.1,49.916177703269064,51.911468812877274,40.98765432098766,2108.0,54264.0
49000.0,7.328335,1.030485782275597E-7,49000.0,80.60000000000001,60.0929792442351,62.183235867446406,54.566744730679176,4002.0,54264.0
50000.0,7.432907,1.0451657414436338E-7,50000.0,80.2,60.10847271862774,59.67413441955194,57.96178343949045,5781.0,54264.0
51000.0,7.545452,1.0609649611636994E-7,51000.0,80.9,61.847614177506486,64.23220973782772,60.69958847736626,7627.0,54264.0
52000.0,7.68508,1.080618144633869E-7,52000.0,80.80000000000001,61.570947636413145,62.130177514792905,61.368209255533216,465.0,54408.0
53000.0,7.769279,1.0924694810062644E-7,53000.0,80.4,60.59905518142528,60.56338028169015,56.34743875278397,2179.0,54408.0
54000.0,7.874888,1.1073343580588695E-7,54000.0,83.3,66.28850579353224,66.26262626262626,61.52073732718893,4124.0,54408.0
55000.0,7.974429,1.1213451405366258E-7,55000.0,81.69999999999999,62.99950666008879,62.80487804878048,60.13071895424835,6235.0,54408.0
56000.0,8.119923,1.141823986296852E-7,56000.0,75.5,49.92642249836495,48.529411764705884,41.66666666666667,8143.0,54408.0
57000.0,8.282201,1.1646652452647682E-7,57000.0,79.2,57.45464214854058,57.024793388429764,47.86967418546367,10065.0,54408.0
58000.0,8.397766,1.1809314679975307E-7,58000.0,81.0,60.54555119941526,61.06557377049181,52.970297029702984,12018.0,54408.0
59000.0,8.511981,1.1970076729853943E-7,59000.0,84.0,67.45109527064413,69.17148362235068,63.47031963470319,13906.0,54408.0
60000.0,8.654202,1.2170258312796549E-7,60000.0,80.30000000000001,58.19575421649932,60.040567951318465,51.83374083129586,15632.0,54408.0
61000.0,8.778127,1.2344687564919387E-7,61000.0,85.5,69.26689896652,67.63392857142856,60.49046321525885,17383.0,54408.0
62000.0,8.90537,1.2523787030950185E-7,62000.0,83.5,62.221469195614944,61.3583138173302,46.07843137254902,19179.0,54408.0
63000.0,9.067344,1.2751771728818612E-7,63000.0,83.1,62.95679315424001,62.77533039647576,48.632218844984784,21164.0,54408.0
