learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.636106,3.6875076703727243E-8,1000.0,89.4,77.99597284786084,70.7182320441989,74.20924574209246,375.0,54072.0
2000.0,3.035401,4.2468864696307316E-8,2000.0,85.1,68.9324437030859,70.14028056112224,64.09638554216868,530.0,54152.0
3000.0,3.305476,4.6252388887935216E-8,3000.0,91.4,82.83481100328535,81.38528138528139,82.3045267489712,2348.0,54152.0
4000.0,3.605136,5.045037411153317E-8,4000.0,89.9,73.25891722443446,75.60386473429952,63.40579710144929,4451.0,54152.0
5000.0,3.916476,5.481198633710544E-8,5000.0,91.60000000000001,74.34393783902655,77.8364116094987,63.79310344827588,6637.0,54152.0
6000.0,4.219336,5.905480087631279E-8,6000.0,91.8,77.78102933446056,80.19323671497585,69.28838951310863,8658.0,54152.0
7000.0,4.612972,6.456931102606985E-8,7000.0,88.2,73.56820299620098,72.16981132075472,66.85393258426966,10640.0,54152.0
8000.0,5.026276,7.03593533568912E-8,8000.0,86.5,70.92347057455221,71.99170124481327,65.11627906976743,1044.0,54152.0
9000.0,5.375832,7.525633968412876E-8,9000.0,86.4,71.00448151322493,69.77777777777777,64.85788113695091,3405.0,54152.0
10000.0,5.704279,7.985760662911666E-8,10000.0,90.2,79.44078947368422,79.58333333333334,75.00000000000001,5586.0,54152.0
11000.0,6.031037,8.443521210095947E-8,11000.0,91.60000000000001,81.27299074796568,79.95226730310263,76.20396600566573,7646.0,54152.0
12000.0,6.393968,8.951205971754258E-8,12000.0,83.1,65.22061244649325,67.99242424242424,62.022471910112344,78.0,54072.0
13000.0,6.722222,9.410382933086818E-8,13000.0,82.6,65.15316585490899,62.255965292841644,64.98993963782695,2330.0,54072.0
14000.0,7.018487,9.824812193504636E-8,14000.0,86.6,72.97820510752254,74.47619047619047,69.95515695067263,4349.0,54072.0
15000.0,7.33725,1.0270712702638572E-7,15000.0,86.2,72.33482083789407,73.81404174573055,70.57569296375266,6556.0,54072.0
16000.0,7.662939,1.0726301622680491E-7,16000.0,90.0,79.65055940612193,79.67479674796748,78.26086956521739,8733.0,54072.0
17000.0,7.950931,1.1129158225945299E-7,17000.0,93.8,87.33510097192885,86.72376873661669,85.13189448441246,10709.0,54072.0
18000.0,8.235678,1.1527475572294658E-7,18000.0,92.9,85.56147557652419,85.20833333333334,83.48837209302327,12667.0,54072.0
19000.0,8.507144,1.1907214838183588E-7,19000.0,90.10000000000001,80.10849909584088,80.55009823182712,79.15789473684211,14548.0,54072.0
