learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.066139,4.523848686574234E-8,1000.0,89.5,78.24285122254454,70.99447513812154,74.45255474452556,601.0,57032.0
2000.0,3.516102,5.187733959406614E-8,2000.0,87.6,74.69232810172052,75.1503006012024,70.12048192771084,905.0,57032.0
3000.0,3.799496,5.605859678652551E-8,3000.0,91.60000000000001,83.20785872211806,81.81818181818183,82.71604938271606,2723.0,57032.0
4000.0,4.100445,6.049886429682373E-8,4000.0,88.9,69.75015261184268,73.18840579710145,59.782608695652186,4826.0,57032.0
5000.0,4.436381,6.545533767383958E-8,5000.0,90.7,71.26578836789679,75.46174142480211,59.913793103448285,7012.0,57032.0
6000.0,4.786728,7.062443410356838E-8,6000.0,91.0,75.36446899481561,78.2608695652174,66.29213483146069,9033.0,57032.0
7000.0,5.144542,7.590370028797122E-8,7000.0,86.9,70.29208998548621,69.10377358490565,63.20224719101123,11015.0,57032.0
8000.0,5.583785,8.238438778660362E-8,8000.0,88.1,74.1683960093428,75.31120331950207,69.25064599483204,506.0,57032.0
9000.0,6.061631,8.94247428803808E-8,9000.0,85.0,67.95789239833039,66.66666666666666,61.240310077519375,288.0,56952.0
10000.0,6.508985,9.601584338686531E-8,10000.0,89.0,76.86042206590152,77.08333333333334,71.9387755102041,2469.0,56952.0
11000.0,6.937614,1.0233105867273276E-7,11000.0,89.3,76.19217145196603,74.46300715990454,69.68838526912181,4529.0,56952.0
12000.0,7.423797,1.0949424714884822E-7,12000.0,81.8,62.77281187997299,65.53030303030303,59.1011235955056,6556.0,56952.0
13000.0,7.917917,1.167743755980498E-7,13000.0,81.5,62.86900183848617,59.869848156182194,62.77665995975854,1879.0,56952.0
14000.0,8.276492,1.2205744865453902E-7,14000.0,85.5,70.71535323342893,72.38095238095238,67.48878923766816,3898.0,56952.0
15000.0,8.769339,1.293188213287956E-7,15000.0,84.39999999999999,68.73409146480782,70.39848197343453,66.73773987206822,6105.0,56952.0
16000.0,9.129837,1.3463022695026462E-7,16000.0,88.2,76.01928212298449,76.01626016260163,74.34782608695653,8282.0,56952.0
17000.0,9.415325,1.3883647100172107E-7,17000.0,93.2,86.07168168057451,85.43897216274091,83.69304556354918,10258.0,56952.0
18000.0,9.770634,1.4407877786705888E-7,18000.0,88.7,77.1245799425078,76.45833333333334,73.72093023255815,1078.0,57032.0
19000.0,10.043339,1.4810232721062168E-7,19000.0,87.8,75.44530542417228,76.03143418467585,74.31578947368422,2959.0,57032.0
20000.0,10.450144,1.5410441734724573E-7,20000.0,88.2,76.27616156336074,75.86912065439672,74.06593406593407,5153.0,57032.0
21000.0,10.74912,1.5850938715868525E-7,21000.0,88.3,75.18241982012557,74.3421052631579,67.85714285714286,1771.0,56952.0
