learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.260029,4.5670271542751126E-8,1000.0,92.2,83.82004571874262,78.45303867403317,81.02189781021899,15840.0,54152.0
2000.0,3.724709,5.2180048535681434E-8,2000.0,89.5,78.15321875910283,78.95791583166333,74.6987951807229,18067.0,54152.0
3000.0,4.099425,5.742950535689791E-8,3000.0,91.9,83.77975713690688,82.46753246753248,83.33333333333334,19885.0,54152.0
4000.0,4.510009,6.318144276945127E-8,4000.0,90.60000000000001,75.25899098795588,77.29468599033818,65.94202898550726,21988.0,54152.0
5000.0,4.936208,6.915213323301739E-8,5000.0,91.8,75.51595643034588,78.36411609498681,64.65517241379311,24174.0,54152.0
6000.0,5.312139,7.441861118500431E-8,6000.0,92.7,80.19468892096326,82.36714975845412,72.65917602996257,26195.0,54152.0
7000.0,5.711757,8.00169241366287E-8,7000.0,88.1,73.46403596403597,71.93396226415095,66.57303370786516,28177.0,54152.0
8000.0,6.139692,8.601193450391293E-8,8000.0,91.0,80.56835405322545,81.32780082987553,76.74418604651164,30249.0,54152.0
9000.0,6.610948,9.261383574042056E-8,9000.0,88.5,75.37494325530403,74.44444444444444,70.2842377260982,32610.0,54152.0
10000.0,7.067086,9.900394647899601E-8,10000.0,91.2,81.31856934207399,81.66666666666667,77.55102040816327,34791.0,54152.0
11000.0,7.492859,1.0496866903992162E-7,11000.0,92.2,82.61063426596813,81.38424821002388,77.90368271954675,36851.0,54152.0
12000.0,7.92978,1.110895657291015E-7,12000.0,84.7,68.52758464639815,71.02272727272727,65.61797752808988,38878.0,54152.0
13000.0,8.448703,1.1835924164909455E-7,13000.0,87.0,73.89474360622029,71.8004338394794,73.8430583501006,41130.0,54152.0
14000.0,8.893343,1.2458827505302098E-7,14000.0,89.3,78.45573963257976,79.61904761904762,76.00896860986546,43149.0,54152.0
15000.0,9.371779,1.312907620664272E-7,15000.0,89.1,78.15666281903296,79.31688804554081,76.7590618336887,45356.0,54152.0
16000.0,9.853834,1.3804394823395544E-7,16000.0,89.9,79.39952680101167,79.47154471544717,78.04347826086956,47533.0,54152.0
17000.0,10.275028,1.4394452284607622E-7,17000.0,93.2,86.06220356561629,85.43897216274091,83.69304556354918,49509.0,54152.0
18000.0,10.685272,1.4969169714384607E-7,18000.0,92.10000000000001,83.86108273748725,83.54166666666667,81.6279069767442,51467.0,54152.0
19000.0,11.080705,1.5523138175615005E-7,19000.0,90.3,80.51817634063066,80.94302554027506,79.57894736842105,53348.0,54152.0
20000.0,11.537596,1.6163204139305483E-7,20000.0,89.5,78.73977484409168,78.52760736196319,76.92307692307693,55542.0,54152.0
21000.0,11.954443,1.6747171818175248E-7,21000.0,92.2,83.19313245535407,82.89473684210526,78.57142857142858,57505.0,54152.0
22000.0,12.355445,1.7308941981237795E-7,22000.0,93.7,84.29742178620567,84.40594059405943,78.12500000000003,59478.0,54152.0
23000.0,12.75909,1.7874414765586455E-7,23000.0,93.7,83.44805843098105,83.46456692913388,76.22641509433964,61452.0,54152.0
24000.0,13.149891,1.842189418338239E-7,24000.0,92.9,79.113961287286,79.36046511627907,69.78723404255321,63420.0,54152.0
25000.0,13.536198,1.8963077884167433E-7,25000.0,93.30000000000001,81.20511669658889,82.55208333333334,74.23076923076925,65277.0,54152.0
26000.0,13.933532,1.951970948692825E-7,26000.0,92.5,81.69481597188324,82.67898383371826,76.1904761904762,67194.0,54152.0
27000.0,14.327725,2.0071940812178784E-7,27000.0,94.0,84.68074676253113,85.25798525798524,78.41726618705034,69169.0,54152.0
28000.0,14.720189,2.0621749953470295E-7,28000.0,94.1,84.35760114534173,85.81730769230768,78.14814814814814,71132.0,54152.0
