learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,479.717777,3.791406433631148E-5,100.0,93.0,55.35714285714287,-599.999999999999,-16.666666666666483,426992.0,305504.0
200.0,479.87614,3.792634509024934E-5,200.0,91.0,81.97115384615385,-79.99999999999979,80.43478260869566,427092.0,299760.0
300.0,480.025457,3.793792434383597E-5,300.0,89.0,77.2078460263376,17.49999999999999,73.80952380952381,427192.0,299760.0
400.0,480.15499,3.794808197983022E-5,400.0,87.5,74.33264887063655,23.076923076923066,71.09826589595376,427292.0,303120.0
500.0,480.298876,3.795936514020379E-5,500.0,87.0,73.58067243285426,40.9090909090909,70.18348623853211,427392.0,303120.0
600.0,480.416312,3.796857416138466E-5,600.0,88.0,75.47683923705722,55.82822085889569,72.2007722007722,427492.0,303120.0
700.0,480.542037,3.7978152166795394E-5,700.0,88.42857142857142,76.28210491090101,55.9782608695652,72.44897959183673,427592.0,294480.0
800.0,480.677572,3.7988477519456705E-5,800.0,88.0,75.48456293572359,59.322033898305094,71.8475073313783,427692.0,294480.0
900.0,480.806505,3.799829991732206E-5,900.0,87.8888888888889,75.15298265521156,63.42281879194632,71.46596858638745,427792.0,294480.0
1000.0,480.936642,3.8008214038540085E-5,1000.0,88.4,75.79510977752368,64.41717791411043,71.14427860696519,427892.0,294480.0
1100.0,481.041826,3.8016227185655796E-5,1100.0,88.8,74.93812850474609,70.60367454068242,73.83177570093459,427992.0,294480.0
1200.0,481.141751,3.802383969065215E-5,1200.0,89.60000000000001,77.51409693153907,75.75757575757576,72.84595300261097,428092.0,294480.0
1300.0,481.234572,3.80309916806014E-5,1300.0,91.10000000000001,81.45106833509791,80.77753779697625,77.86069651741295,428192.0,297840.0
1400.0,481.33249,3.803853640164352E-5,1400.0,92.30000000000001,84.05466970387245,84.53815261044177,81.21951219512196,428292.0,297840.0
1500.0,481.448576,3.804748099290248E-5,1500.0,92.9,85.60410060097811,85.23908523908524,84.08071748878925,428392.0,297840.0
1600.0,481.542114,3.805468822872059E-5,1600.0,92.60000000000001,85.14748149456479,84.55114822546975,84.12017167381975,428492.0,297840.0
1700.0,481.695412,3.806655304094983E-5,1700.0,93.0,85.91452936418187,86.00000000000001,84.74945533769063,428592.0,299176.0
1800.0,481.803099,3.8074916000995366E-5,1800.0,94.19999999999999,88.36355465317372,88.37675350701402,87.68577494692144,428692.0,300192.0
1900.0,481.904133,3.808277107204828E-5,1900.0,94.69999999999999,89.39083368029978,88.79492600422832,89.33601609657946,428792.0,300528.0
2000.0,482.001594,3.8090361061222434E-5,2000.0,94.6,88.85218827415359,88.38709677419354,88.93442622950819,428892.0,301032.0
2100.0,482.074952,3.809607078813223E-5,2100.0,94.8,88.45368149924504,87.28606356968214,88.59649122807016,428992.0,300864.0
2200.0,482.146801,3.8101659941259355E-5,2200.0,95.1,87.89764868603042,86.07954545454544,88.19277108433734,429092.0,300696.0
2300.0,482.213306,3.8106836273603966E-5,2300.0,95.1,86.365558845135,82.9861111111111,86.46408839779004,429192.0,300864.0
2400.0,482.276972,3.8111797170051265E-5,2400.0,95.6,85.60972259469783,80.7017543859649,85.66775244299674,429292.0,301200.0
2500.0,482.340465,3.811673630768019E-5,2500.0,96.5,87.80555787830643,82.49999999999999,84.51327433628317,429392.0,300696.0
2600.0,482.400339,3.8121409535683275E-5,2600.0,97.5,89.58940617972848,83.2214765100671,84.84848484848484,429492.0,301704.0
2700.0,482.465938,3.812652390380286E-5,2700.0,98.0,84.64114024174843,81.30841121495325,85.40145985401459,429592.0,301368.0
