learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,79.746388,9.473501541548304E-8,100.0,99.0,91.77631578947368,0.0,83.33333333333334,426992.0,4592.0
200.0,79.800282,9.479903899133204E-8,200.0,93.5,86.86337914308812,-29.999999999999776,85.86956521739133,427092.0,4592.0
300.0,79.84672,9.485420518451265E-8,300.0,90.33333333333333,80.05502063273727,27.499999999999975,76.98412698412699,427192.0,4592.0
400.0,79.893756,9.491008177399634E-8,400.0,88.0,75.35934291581108,26.153846153846143,72.25433526011561,427292.0,4592.0
500.0,79.944092,9.496987861063744E-8,500.0,86.8,73.0246701652852,39.99999999999999,69.72477064220183,427392.0,4592.0
600.0,79.989475,9.502379151268136E-8,600.0,87.33333333333333,73.9488117001828,53.374233128834334,70.65637065637065,427492.0,4592.0
700.0,80.036076,9.507915134231248E-8,700.0,87.42857142857143,74.07734713630435,52.17391304347828,70.06802721088437,427592.0,4592.0
800.0,80.086261,9.513876879794728E-8,800.0,87.0,73.32307297678594,55.93220338983051,69.50146627565982,427692.0,4592.0
900.0,80.135503,9.519726601325801E-8,900.0,86.33333333333333,71.808532311955,58.72483221476509,67.80104712041883,427792.0,4592.0
1000.0,80.183561,9.525435669140681E-8,1000.0,86.4,71.3902247129556,58.282208588957054,66.16915422885572,427892.0,4592.0
1100.0,80.227509,9.53065648799141E-8,1100.0,86.2,68.58366988266684,63.77952755905512,67.7570093457944,427992.0,4592.0
1200.0,80.27249,9.536000022457704E-8,1200.0,87.1,71.60641650965822,69.93006993006993,66.31853785900783,428092.0,4592.0
1300.0,80.315544,9.541114638249077E-8,1300.0,88.7,76.21593406130816,75.5939524838013,71.8905472636816,428192.0,4592.0
1400.0,80.360418,9.546445461610951E-8,1400.0,90.10000000000001,79.37585933919421,80.12048192771086,75.85365853658537,428292.0,4592.0
