learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,26.836999,3.7779672940158176E-7,100.0,96.0,69.3251533742331,-300.0,33.33333333333333,371503.0,54416.0
200.0,26.884905,3.784665633696648E-7,200.0,91.5,82.90426387771521,-69.99999999999977,81.5217391304348,87.0,54048.0
300.0,26.908428,3.787954679835173E-7,300.0,90.0,79.43233237350886,25.0,76.1904761904762,187.0,54048.0
400.0,26.947177,3.793377476019991E-7,400.0,86.25,71.7092742142894,15.3846153846154,68.20809248554914,3.0,54096.0
500.0,26.961898,3.795437631963027E-7,500.0,83.39999999999999,66.02482234666142,24.545454545454522,61.92660550458715,103.0,54096.0
600.0,26.980146,3.797991380054089E-7,600.0,85.83333333333333,70.93023255813952,47.85276073619629,67.18146718146717,203.0,54096.0
700.0,27.000005,3.8007705823414846E-7,700.0,87.42857142857143,74.0533254707047,52.17391304347828,70.06802721088437,303.0,54096.0
800.0,27.016653,3.80310041565034E-7,800.0,87.125,73.55006869278276,56.35593220338983,69.79472140762462,403.0,54096.0
900.0,27.039057,3.806235782388183E-7,900.0,86.11111111111111,71.27170582226763,58.05369127516781,67.27748691099478,503.0,54096.0
1000.0,27.06351,3.809657899993988E-7,1000.0,86.8,72.14073151685274,59.50920245398772,67.16417910447761,73.0,54096.0
1100.0,27.077684,3.811641505070857E-7,1100.0,86.8,69.81849943066715,65.35433070866141,69.1588785046729,173.0,54096.0
1200.0,27.092152,3.813666254488957E-7,1200.0,87.8,73.1315409281511,71.56177156177156,68.1462140992167,273.0,54096.0
1300.0,27.102384,3.815098189521166E-7,1300.0,89.1,76.96281079070397,76.45788336933046,72.88557213930349,373.0,54096.0
1400.0,27.114979,3.8168608186973454E-7,1400.0,90.8,80.78369120227255,81.52610441767068,77.56097560975611,473.0,54096.0
