learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,90.089581,1.2602149570547043E-6,1000.0,88.9,76.82904427113776,65.95092024539878,72.38805970149255,427892.0,54072.0
2000.0,90.253605,1.262509401049465E-6,2000.0,94.69999999999999,89.05510445147486,88.6021505376344,89.13934426229507,428892.0,54072.0
3000.0,90.336151,1.263664092887193E-6,3000.0,99.9,0.0,,,429892.0,54072.0
4000.0,90.402297,1.2645893738977611E-6,4000.0,99.7,-0.13351134846104246,25.0,-50.0,430892.0,54072.0
5000.0,90.506915,1.2660528191365302E-6,5000.0,96.2,48.432623151038115,61.22448979591832,30.909090909090907,431892.0,54072.0
6000.0,90.641515,1.2679356665350497E-6,6000.0,96.39999999999999,90.56054622972484,84.6153846153846,86.71586715867157,432892.0,54072.0
7000.0,90.849452,1.270844385996461E-6,7000.0,92.60000000000001,84.39378282050743,85.65891472868218,81.26582278481014,433892.0,54072.0
8000.0,91.023384,1.2732774277031423E-6,8000.0,95.6,88.7858089509634,87.8453038674033,83.7037037037037,434892.0,54072.0
9000.0,91.185992,1.2755520640313628E-6,9000.0,96.6,91.37931034482759,90.65934065934064,87.85714285714285,435892.0,54072.0
10000.0,91.32453,1.2774899980053308E-6,10000.0,98.1,95.33320888557027,95.4653937947494,93.37979094076655,436892.0,54072.0
11000.0,91.513131,1.2801282365061346E-6,11000.0,92.10000000000001,82.3629219503483,84.2,77.10144927536233,437892.0,54072.0
12000.0,91.684039,1.282518977094442E-6,12000.0,93.8,81.5704366023019,79.93527508090614,71.29629629629626,438892.0,54072.0
13000.0,91.828292,1.2845368551462893E-6,13000.0,95.6,85.9853865803706,85.8974358974359,77.66497461928932,439892.0,54072.0
14000.0,91.944414,1.286161223687232E-6,14000.0,97.39999999999999,84.29629271710373,85.22727272727272,73.73737373737372,440892.0,54072.0
15000.0,92.134574,1.288821270205081E-6,15000.0,95.0,89.54303042978144,88.03827751196171,91.56829679595278,441892.0,54072.0
16000.0,92.316215,1.2913621489889924E-6,16000.0,94.1,87.53517615542577,74.67811158798281,88.78326996197717,442892.0,54072.0
17000.0,92.49081,1.2938044650480155E-6,17000.0,95.3,83.47630431725494,81.49606299212597,74.31693989071036,443892.0,54072.0
17304.0,92.529903,1.2943513161130254E-6,17304.0,96.7,87.87780830774203,85.65217391304346,80.23952095808382,444196.0,54072.0
