learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.101142,1.2015201151371002E-10,100.0,93.0,59.862385321100945,-599.999999999999,-16.666666666666483,100.0,4592.0
200.0,0.165845,1.970161787337727E-10,200.0,90.5,80.92369477911647,-89.99999999999979,79.34782608695653,200.0,4592.0
300.0,0.198791,2.361545008089807E-10,300.0,89.33333333333333,77.96851333363932,15.789473684210536,74.60317460317461,300.0,4592.0
400.0,0.229265,2.723562013771799E-10,400.0,88.75,76.97620874904067,28.57142857142853,73.98843930635837,400.0,4592.0
500.0,0.262903,3.1231658740176094E-10,500.0,88.8,77.227255721652,48.148148148148145,74.3119266055046,500.0,4592.0
600.0,0.292455,3.474229946732521E-10,600.0,89.16666666666667,77.85097682871424,59.11949685534593,74.90347490347492,600.0,4592.0
700.0,0.319017,3.789774204293887E-10,700.0,89.57142857142857,78.58519822311625,58.98876404494382,75.17006802721087,700.0,4592.0
800.0,0.349674,4.1539651652177174E-10,800.0,88.625,76.71830427385414,60.775862068965516,73.31378299120234,800.0,4592.0
900.0,0.385746,4.582483818133672E-10,900.0,87.8888888888889,75.10228114879752,63.17567567567569,71.46596858638745,900.0,4592.0
1000.0,0.419391,4.982170835137368E-10,1000.0,88.2,75.33785054737432,63.58024691358024,70.64676616915423,1000.0,4592.0
1100.0,0.445487,5.292179228530991E-10,1100.0,88.7,74.69635627530364,70.34120734908137,73.5981308411215,1100.0,4592.0
1200.0,0.467789,5.557116659151184E-10,1200.0,89.7,77.6665683706569,76.10208816705337,73.1070496083551,1200.0,4592.0
1300.0,0.487282,5.78868447078599E-10,1300.0,91.0,81.204263708357,80.72805139186296,77.61194029850748,1300.0,4592.0
1400.0,0.510132,6.06013188759486E-10,1400.0,91.7,82.77364991075507,83.53174603174604,79.75609756097562,1400.0,4592.0
1500.0,0.539859,6.413274879256886E-10,1500.0,92.30000000000001,84.36700585526691,84.18891170431212,82.73542600896862,1500.0,4592.0
1600.0,0.561414,6.669338295857113E-10,1600.0,92.30000000000001,84.53057321257805,84.1237113402062,83.47639484978542,1600.0,4592.0
1700.0,0.586581,6.968310599525771E-10,1700.0,92.80000000000001,85.49293788156596,85.82677165354332,84.31372549019609,1700.0,4592.0
1800.0,0.609742,7.243452552292084E-10,1800.0,94.19999999999999,88.3527120107637,88.51485148514851,87.68577494692144,1800.0,4592.0
1900.0,0.630961,7.495524444513853E-10,1900.0,95.6,91.19587967168634,90.77568134171908,91.14688128772636,1900.0,4592.0
2000.0,0.650072,7.722554273075529E-10,2000.0,96.0,91.78469324044559,91.47121535181236,91.80327868852459,2000.0,4592.0
2100.0,0.66458,7.894902593559691E-10,2100.0,96.2,91.64893897572038,90.75425790754257,91.66666666666666,2100.0,4592.0
2200.0,0.680437,8.08327640924189E-10,2200.0,96.39999999999999,91.25895350248877,89.77272727272727,91.32530120481927,2200.0,4592.0
2300.0,0.695512,8.262360427114701E-10,2300.0,96.39999999999999,90.21611514545374,87.49999999999999,90.05524861878452,2300.0,4592.0
2400.0,0.708677,8.418754529621868E-10,2400.0,97.0,90.51994918692763,86.72566371681415,90.22801302931596,2400.0,4592.0
2500.0,0.720832,8.563150299919978E-10,2500.0,97.5,91.51391717583162,87.37373737373736,88.93805309734513,2500.0,4592.0
2600.0,0.73273,8.704493029250041E-10,2600.0,98.4,93.54708610606977,89.26174496644295,90.3030303030303,2600.0,4592.0
2700.0,0.745111,8.851573574874139E-10,2700.0,98.7,90.4549325971394,87.85046728971962,90.51094890510947,2700.0,4592.0
2800.0,0.758156,9.006542132960428E-10,2800.0,99.0,83.35552596537951,82.14285714285714,87.17948717948715,2800.0,4592.0
2900.0,0.769721,9.143928976522554E-10,2900.0,99.4,69.70003029996981,70.0,45.45454545454545,2900.0,4592.0
