learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.089962,1.4924659331639607E-9,100.0,92.0,56.3318777292577,-699.999999999999,-33.33333333333315,100.0,64128.0,10.0,598.3,29.758472183004717,462.40000000000003,104.56598129623443,2.6,0.8432740427115678,1.8,0.4216370213557839,1.8,0.4216370213557839,0.7999999999999999,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.141352,2.389906619985898E-9,200.0,88.0,75.88424437299037,-139.99999999999977,73.91304347826086,200.0,67504.0,10.0,1204.3,49.139370954233605,854.4000000000001,206.4144697770322,5.800000000000001,1.6865480854231356,3.4000000000000004,0.8432740427115678,3.4000000000000004,0.8432740427115678,2.3000000000000003,0.674948557710553,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.179422,3.0547357102235156E-9,300.0,86.66666666666667,72.40237339588795,-5.263157894736787,68.25396825396827,300.0,67504.0,10.0,1803.6999999999998,59.065030075144975,1540.8000000000002,323.95774758789486,11.4,2.6331223544175333,6.2,1.3165611772087666,6.2,1.3165611772087666,4.1,0.8755950357709134,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.210748,3.629021719098091E-9,400.0,86.0,71.17562281243566,11.111111111111088,67.6300578034682,400.0,70864.0,10.0,2399.8,72.99741243511455,2086.4,534.4228870681177,15.800000000000002,4.341018825626588,8.4,2.170509412813294,8.4,2.170509412813294,4.7,1.2516655570345723,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.244295,4.2440243603454695E-9,500.0,86.4,72.23537866043867,37.037037037037024,68.80733944954129,500.0,70864.0,10.0,3012.9,85.52511002298941,2726.4,579.6894187599272,21.0,4.714045207910317,11.0,2.3570226039551585,11.0,2.3570226039551585,5.9,0.9944289260117533,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.275205,4.810684021148417E-9,600.0,86.16666666666667,71.5363511659808,47.798742138364794,67.95366795366796,600.0,70864.0,10.0,3614.7000000000003,79.43557837084782,3344.7999999999997,879.2113637927015,26.0,7.195677714974301,13.5,3.5978388574871505,13.5,3.5978388574871505,6.6000000000000005,1.349897115421106,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.308088,5.442096872462167E-9,700.0,86.14285714285714,71.41293364769282,45.505617977528104,67.00680272108845,700.0,74224.0,10.0,4226.2,78.45706539956173,3860.8,964.0300594667967,30.2,7.8993670632526,15.6,3.9496835316263,15.6,3.9496835316263,7.1,1.66332999331662,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.340107,6.056919366949134E-9,800.0,85.875,70.98211419693644,51.293103448275865,66.86217008797655,800.0,74224.0,10.0,4825.799999999999,87.87592262831609,4571.999999999999,1014.5834394250462,36.0,8.339997335464536,18.5,4.169998667732268,18.5,4.169998667732268,7.8,1.7511900715418263,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.370632,6.665923616124524E-9,900.0,85.88888888888889,70.87185655599842,57.094594594594604,66.75392670157069,900.0,77120.0,10.0,5420.4,81.11336374345343,4994.399999999999,1035.3609354552002,39.4,8.474799243771042,20.2,4.237399621885521,20.2,4.237399621885521,8.3,1.8287822299126937,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.400166,7.223616577684879E-9,1000.0,86.1,70.86613513082992,57.09876543209875,65.4228855721393,1000.0,72992.0,10.0,5532.200000000001,1580.9624213680024,5233.6,2023.0627606016903,41.4,16.460052652811694,21.2,8.230026326405847,21.2,8.230026326405847,7.8,2.8596814119369625,0.0,0.0,0.0,0.0,1.0,0.0
