learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.069016,5.6653992815150154E-8,100.0,72.0,43.99999999999999,36.363636363636346,37.777777777777764,857.0,204856.0
200.0,1.921062,1.0412999153551128E-7,200.0,75.5,49.795081967213115,41.66666666666667,34.66666666666667,1710.0,215384.0
300.0,2.753143,1.5058997701646552E-7,300.0,72.33333333333334,42.3931149361466,37.121212121212125,29.059829059829074,2560.0,215832.0
400.0,3.713348,2.061573430047267E-7,400.0,69.75,37.483854301214166,31.63841807909605,24.844720496894407,3411.0,223696.0
500.0,4.577212,2.536929082353082E-7,500.0,67.60000000000001,31.915608977053044,23.943661971831006,17.346938775510218,4254.0,212704.0
600.0,5.387092,2.986283385732936E-7,600.0,67.5,30.895173293642376,23.228346456692925,17.721518987341785,5062.0,214472.0
700.0,6.201772,3.450575487294959E-7,700.0,68.14285714285714,32.3797477127807,24.662162162162147,20.35714285714285,5905.0,220296.0
800.0,7.139763,3.975534137193528E-7,800.0,67.5,30.887825624667748,25.501432664756464,19.50464396284832,6730.0,216336.0
900.0,8.198082,4.5801453931671055E-7,900.0,66.77777777777779,29.639700883752557,23.724489795918377,19.407008086253384,7603.0,220832.0
1000.0,9.159386,5.134644584378435E-7,1000.0,67.7,32.814710042432836,26.25570776255708,24.178403755868562,8448.0,222968.0
1100.0,10.073489,5.667876577025486E-7,1100.0,67.7,33.06809233702185,26.75736961451247,25.05800464037125,9266.0,225488.0
1200.0,11.145902,6.294855245037211E-7,1200.0,67.30000000000001,33.15617334423549,25.34246575342466,28.13186813186814,10111.0,225992.0
1300.0,12.237229,6.936212015648683E-7,1300.0,68.10000000000001,35.16523718548027,27.500000000000004,30.34934497816594,10978.0,227168.0
1400.0,13.454604,7.645825322200027E-7,1400.0,69.0,36.91365310649381,29.545454545454525,32.46187363834421,11820.0,225320.0
1500.0,14.80154,8.436814327931239E-7,1500.0,69.6,38.719561361070795,32.59423503325941,35.59322033898304,12638.0,227000.0
1600.0,16.090423,9.208089388430947E-7,1600.0,70.7,41.29103616311874,34.45190156599551,39.462809917355365,13479.0,231312.0
1700.0,17.359307,9.969602846623297E-7,1700.0,70.89999999999999,41.79487794925952,35.1893095768374,40.49079754601227,14309.0,231984.0
1800.0,18.662778,1.0751873494581218E-6,1800.0,71.6,43.25243475029072,35.60090702947845,42.393509127789045,15154.0,231984.0
1900.0,20.067094,1.1569554564253326E-6,1900.0,72.1,44.37355450992902,37.303370786516844,42.4742268041237,15994.0,225072.0
2000.0,21.337947,1.2316153098911877E-6,2000.0,72.3,44.80532419399833,36.61327231121282,41.063829787234035,16822.0,227088.0
2100.0,22.594749,1.305613565956139E-6,2100.0,72.1,44.32160162205742,34.81308411214953,39.0829694323144,17691.0,227592.0
2200.0,23.764584,1.3735761857115561E-6,2200.0,72.39999999999999,44.947979830216376,36.986301369863,37.837837837837824,18547.0,224568.0
2300.0,25.063163,1.4490747427774802E-6,2300.0,72.1,44.30159389273964,35.26682134570766,37.02031602708802,19416.0,224736.0
2400.0,26.253552,1.5184384111211533E-6,2400.0,73.4,47.06867938344961,37.411764705882355,41.28035320088299,20233.0,225240.0
