learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.055626,5.496561223847999E-8,100.0,67.0,34.00000000000001,25.0,26.666666666666668,857.0,201272.0
200.0,1.876132,9.992344280911817E-8,200.0,73.5,45.69672131147541,36.904761904761905,29.33333333333333,1710.0,211800.0
300.0,2.654766,1.4267723083910015E-7,300.0,72.0,41.76372712146422,36.363636363636346,28.2051282051282,2560.0,212248.0
400.0,3.588682,1.958573327337702E-7,400.0,69.25,36.1536465092136,30.508474576271187,23.602484472049685,3411.0,220112.0
500.0,4.471117,2.4359661933034656E-7,500.0,68.0,32.036360547107314,24.88262910798124,18.367346938775526,4254.0,209120.0
600.0,5.310673,2.894001722708344E-7,600.0,67.33333333333333,29.7793063915162,22.83464566929134,17.299578059071735,5062.0,210888.0
700.0,6.137046,3.357295757676992E-7,700.0,68.0,31.314228643017977,24.32432432432433,20.000000000000018,5905.0,216712.0
800.0,7.062521,3.866668818001118E-7,800.0,67.375,29.893362701120086,25.21489971346704,19.195046439628484,6730.0,212752.0
900.0,8.175337,4.4920960362793673E-7,900.0,67.0,29.594900700626887,24.234693877551035,19.94609164420487,7603.0,217248.0
1000.0,9.180316,5.062469834627377E-7,1000.0,67.80000000000001,32.603554011344386,26.484018264840188,24.41314553990612,8448.0,219384.0
1100.0,10.094779,5.587433080540763E-7,1100.0,68.2,33.51314056325661,27.891156462585037,26.218097447795845,9266.0,221904.0
1200.0,11.161124,6.200977161878513E-7,1200.0,67.60000000000001,33.340191338339686,26.027397260273972,28.791208791208796,10111.0,222408.0
1300.0,12.242076,6.826214291010466E-7,1300.0,67.80000000000001,34.09418391406865,26.81818181818182,29.694323144104807,10978.0,223584.0
1400.0,13.463635,7.526940377967226E-7,1400.0,68.60000000000001,35.71343752943055,28.636363636363637,31.590413943355127,11820.0,221736.0
1500.0,14.806655,8.303177452252971E-7,1500.0,68.5,36.20692448520001,30.15521064301553,33.26271186440678,12638.0,223416.0
1600.0,16.075,9.050402570640048E-7,1600.0,69.69999999999999,39.13120339418873,32.21476510067112,37.39669421487602,13479.0,227728.0
1700.0,17.284019,9.764778569257922E-7,1700.0,70.0,39.896863016937054,33.184855233852986,38.65030674846624,14309.0,228400.0
1800.0,18.633059,1.0561889116879966E-6,1800.0,71.0,41.97562976450108,34.24036281179137,41.17647058823529,15154.0,228400.0
1900.0,20.039331,1.1367670372707975E-6,1900.0,71.39999999999999,42.741596428356914,35.73033707865167,41.03092783505154,15994.0,221488.0
2000.0,21.337033,1.2118010034660497E-6,2000.0,70.8,41.29001125944989,33.18077803203661,37.8723404255319,16822.0,223504.0
2100.0,22.597598,1.2848520433509513E-6,2100.0,70.7,40.8133418443613,31.542056074766357,36.02620087336243,17691.0,224008.0
2200.0,23.756862,1.3511256810298394E-6,2200.0,71.2,41.66828699202799,34.24657534246573,35.13513513513512,18547.0,220984.0
2300.0,24.995059,1.421965631364534E-6,2300.0,71.0,41.23630704637466,32.71461716937355,34.537246049661384,19416.0,221152.0
2400.0,26.169806,1.4893286384186808E-6,2400.0,72.5,44.62522351273417,35.294117647058826,39.293598233995574,20233.0,221656.0
2500.0,27.740881,1.574069382804963E-6,2500.0,74.0,47.340279015506255,37.34939759036145,41.17647058823529,21100.0,208496.0
2600.0,29.176632,1.6511247255735923E-6,2600.0,74.1,46.68368397216848,38.770685579196225,38.47980997624704,21973.0,207456.0
2700.0,30.563705,1.7284152966654958E-6,2700.0,74.1,45.98900594746545,39.48598130841122,37.43961352657006,22797.0,215392.0
2800.0,31.901109,1.801853192142314E-6,2800.0,75.0,47.58470311975847,41.724941724941736,39.024390243902445,23617.0,212256.0
2900.0,33.289356,1.8809388015460632E-6,2900.0,75.5,48.52681647814175,41.66666666666667,40.09779951100245,24439.0,220208.0
3000.0,34.762001,1.9640003455326783E-6,3000.0,75.7,49.11634140212748,42.95774647887325,41.44578313253013,25301.0,218024.0
3100.0,36.15871,2.0424955915701054E-6,3100.0,76.5,50.92347403329687,44.83568075117372,43.779904306220104,26144.0,217240.0
3200.0,37.489947,2.115600362544258E-6,3200.0,76.3,50.400147334583444,43.02884615384616,43.971631205673766,26993.0,212272.0
3300.0,39.058896,2.2025091500021515E-6,3300.0,77.60000000000001,52.86254803180095,44.82758620689656,47.044917257683224,27857.0,214120.0
3400.0,40.632179,2.2899315210514596E-6,3400.0,76.5,49.38399241836823,41.83168316831684,41.97530864197532,28687.0,214792.0
3500.0,42.20433,2.377427647206932E-6,3500.0,76.3,49.05679844548004,41.76904176904178,41.91176470588236,29539.0,215128.0
3600.0,43.832082,2.4685133927998444E-6,3600.0,75.8,48.59900426500825,39.65087281795512,42.10526315789475,30385.0,216304.0
3700.0,45.397963,2.557815672757311E-6,3700.0,74.5,45.705403909210915,35.27918781725889,38.99521531100479,31216.0,220448.0
3800.0,47.032279,2.6506656536232266E-6,3800.0,72.7,41.818336814287534,30.357142857142854,34.84486873508354,32019.0,219608.0
3900.0,48.636977,2.7376948737249607E-6,3900.0,72.1,41.19382851361604,30.597014925373134,34.96503496503497,32842.0,209640.0
4000.0,50.410409,2.8348001334712738E-6,4000.0,72.39999999999999,41.923102821358825,30.82706766917293,35.51401869158879,33677.0,211656.0
4100.0,52.282011,2.939043178986758E-6,4100.0,71.89999999999999,40.637147202974475,29.39698492462311,34.345794392523366,34527.0,215296.0
4200.0,54.332324,3.050774551766614E-6,4200.0,71.3,38.80649205550485,28.784119106699745,31.339712918660283,35416.0,210648.0
4300.0,56.096304,3.149684134585162E-6,4300.0,70.3,36.23544364673146,28.947368421052627,27.027027027027025,36247.0,216744.0
4400.0,57.754561,3.2389042313127883E-6,4400.0,69.69999999999999,35.10054061463856,28.705882352941174,25.916870415647914,37066.0,207976.0
4500.0,59.654484,3.3427782927577697E-6,4500.0,68.89999999999999,33.442336666210096,27.166276346604214,23.58722358722358,37906.0,211336.0
4600.0,61.370799,3.4369123714603486E-6,4600.0,69.3,34.57226887174458,28.93518518518518,25.12195121951219,38740.0,212008.0
4700.0,63.119117,3.532953676397188E-6,4700.0,70.39999999999999,37.69365485652701,31.48148148148148,29.186602870813395,39569.0,212344.0
4800.0,64.974182,3.63684770555132E-6,4800.0,71.0,39.633638634471275,33.17972350230415,32.558139534883715,40394.0,216488.0
4900.0,66.905613,3.742108623515815E-6,4900.0,70.89999999999999,39.53121103815144,32.94930875576037,32.79445727482679,41246.0,210664.0
5000.0,68.626822,3.836660734990405E-6,5000.0,71.3,40.70737955540864,34.77272727272725,34.77272727272725,42072.0,212344.0
5100.0,70.557155,3.943036351429506E-6,5100.0,71.7,42.00962271419555,36.971046770601326,36.54708520179371,42929.0,213016.0
5200.0,72.52823,4.0519998184550146E-6,5200.0,71.39999999999999,41.45031260619807,35.8744394618834,36.302895322939854,43784.0,213688.0
5300.0,74.647799,4.169128350977683E-6,5300.0,72.0,42.910038454166944,37.21973094170402,38.73085339168489,44638.0,213608.0
5380.0,76.286972,4.2600288295207755E-6,5380.0,73.1,45.42857838403675,39.41441441441441,41.77489177489176,45312.0,214360.0
