learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.316708,4.4033849073780905E-9,100.0,67.0,34.00000000000001,25.0,26.666666666666668,857.0,53744.0
200.0,0.538977,7.493726673225561E-9,200.0,68.5,34.15551839464885,25.00000000000002,16.000000000000014,1710.0,53744.0
300.0,0.785042,1.091491877204842E-8,300.0,66.66666666666666,28.774928774928764,24.242424242424224,14.529914529914523,2560.0,53744.0
400.0,1.029378,1.431207152704398E-8,400.0,66.25,28.362960997612095,23.728813559322028,16.149068322981357,371.0,53744.0
500.0,1.203755,1.674015045993858E-8,500.0,65.8,25.948380391477578,19.718309859154946,12.755102040816338,192.0,53824.0
600.0,1.34223,1.866545302586423E-8,600.0,65.66666666666666,26.10130578275218,18.897637795275582,13.0801687763713,685.0,53744.0
700.0,1.481358,2.059983464992709E-8,700.0,66.28571428571428,27.47960912738478,20.270270270270252,15.714285714285708,1528.0,53744.0
800.0,1.663078,2.313015977127685E-8,800.0,65.375,25.73129206102369,20.630372492836692,14.241486068111481,164.0,53824.0
900.0,1.840486,2.560044327957763E-8,900.0,64.22222222222223,23.9769150052466,17.85714285714287,13.207547169811336,124.0,53824.0
1000.0,1.986815,2.763797324150801E-8,1000.0,65.0,27.06053975200584,20.09132420091324,17.840375586854474,969.0,53824.0
1100.0,2.1325,2.9666535949541464E-8,1100.0,64.60000000000001,26.42627039384807,19.72789115646258,17.865429234338762,1787.0,53824.0
1200.0,2.327934,3.238781902111239E-8,1200.0,65.5,29.554457467227508,21.232876712328764,24.175824175824175,2632.0,53824.0
1300.0,2.555916,3.556231044646767E-8,1300.0,66.8,32.695426532598134,24.545454545454547,27.51091703056769,3499.0,53824.0
1400.0,2.786413,3.877182150466575E-8,1400.0,67.60000000000001,34.39303432216261,26.363636363636367,29.41176470588236,4341.0,53824.0
1500.0,3.01996,4.202380170010858E-8,1500.0,67.7,35.087380826058315,28.381374722838142,31.567796610169495,5159.0,53824.0
1600.0,3.263507,4.541502496848504E-8,1600.0,68.89999999999999,37.700320512820504,30.425055928411616,35.74380165289255,6000.0,53824.0
1700.0,3.501179,4.872444293151299E-8,1700.0,68.7,37.40550831526827,30.289532293986642,35.99182004089981,6830.0,53824.0
1800.0,3.755141,5.226068786034982E-8,1800.0,70.3,40.626599283520974,32.653061224489775,39.75659229208924,7675.0,53824.0
1900.0,4.032378,5.6121021041439644E-8,1900.0,71.6,43.23065544605912,36.179775280898866,41.44329896907216,8515.0,53824.0
2000.0,4.319059,6.011285538060798E-8,2000.0,72.0,43.892273164475796,35.92677345537758,40.42553191489361,9343.0,53824.0
2100.0,4.613988,6.421953740633197E-8,2100.0,73.8,47.20977465424417,38.78504672897197,42.7947598253275,10212.0,53824.0
2200.0,4.899743,6.819847783694665E-8,2200.0,73.3,46.08064880933148,39.04109589041095,39.864864864864856,11068.0,53824.0
2300.0,5.184437,7.216264457752308E-8,2300.0,72.89999999999999,45.14969478132741,37.122969837587014,38.82618510158012,11937.0,53824.0
2400.0,5.47515,7.621062172369825E-8,2400.0,73.9,47.50392212076109,38.58823529411765,42.3841059602649,12754.0,53824.0
2500.0,5.839797,8.128807860530086E-8,2500.0,74.1,47.70254662348257,37.59036144578314,41.40271493212669,13621.0,53824.0
2600.0,6.201827,8.632909557471673E-8,2600.0,73.5,45.97569925793035,37.35224586288417,37.05463182897862,14494.0,53824.0
2700.0,6.530221,9.090175454401307E-8,2700.0,74.1,46.60190171451191,39.48598130841122,37.43961352657006,15318.0,53824.0
2800.0,6.850082,9.535559739917516E-8,2800.0,74.0,46.01777261024832,39.3939393939394,36.585365853658544,16138.0,53824.0
2900.0,7.158193,9.964582964364025E-8,2900.0,74.8,47.47789694829908,40.00000000000001,38.38630806845966,16960.0,53824.0
3000.0,7.516901,1.0464059006422758E-7,3000.0,74.3,46.29946926323708,39.67136150234742,38.07228915662651,17822.0,53824.0
3100.0,7.843928,1.091942145054539E-7,3100.0,74.6,47.046265719336866,40.375586854460096,39.23444976076556,18665.0,53824.0
3200.0,8.163589,1.1364527249915733E-7,3200.0,75.4,48.50001046747755,40.86538461538462,41.843971631205676,19514.0,53824.0
3300.0,8.492011,1.1821832134905789E-7,3300.0,76.1,49.94932106986992,41.13300492610838,43.49881796690308,20378.0,53824.0
3400.0,8.822804,1.2282438473155102E-7,3400.0,74.8,46.1411870311398,37.62376237623763,37.777777777777786,21208.0,53824.0
3500.0,9.162261,1.2755108831243382E-7,3500.0,75.2,46.54435094495793,39.066339066339076,39.21568627450981,22060.0,53824.0
3600.0,9.506721,1.3234745520270533E-7,3600.0,76.0,48.59404719066468,40.1496259351621,42.58373205741627,22906.0,53824.0
3700.0,9.847736,1.370958528543512E-7,3700.0,74.6,45.67170308516282,35.53299492385787,39.23444976076556,23737.0,53824.0
3800.0,10.185477,1.417986623239186E-7,3800.0,73.6,43.52192162383033,32.6530612244898,36.9928400954654,24540.0,53824.0
3900.0,10.537433,1.4669940582166116E-7,3900.0,72.89999999999999,42.7429305478086,32.58706467661692,36.82983682983683,25363.0,53824.0
4000.0,10.911469,1.5190759802444115E-7,4000.0,73.5,44.220860135385436,33.583959899749374,38.084112149532714,26198.0,53824.0
4100.0,11.335827,1.578164892188377E-7,4100.0,71.6,40.09449881876477,28.643216080402006,33.64485981308411,27048.0,53824.0
