learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.471819,6.9408148775498074E-9,100.0,72.0,43.99999999999999,36.363636363636346,37.777777777777764,668.0,56864.0
200.0,0.83617,1.230823470072614E-8,200.0,74.0,45.92346089850249,38.0952380952381,30.666666666666664,624.0,56944.0
300.0,1.045185,1.538732945919037E-8,300.0,69.0,34.87394957983192,29.545454545454525,20.5128205128205,1474.0,56944.0
400.0,1.300464,1.9147960183521114E-8,400.0,67.5,32.362122788761724,26.55367231638419,19.254658385093173,2325.0,56944.0
500.0,1.519569,2.237569530804952E-8,500.0,66.8,29.487724067623834,22.065727699530534,15.306122448979606,555.0,56944.0
600.0,1.736104,2.556557059701946E-8,600.0,66.33333333333333,28.551216751556304,20.47244094488189,14.76793248945148,125.0,56944.0
700.0,1.918209,2.8248241941134135E-8,700.0,66.85714285714286,29.613480925426693,21.62162162162162,17.142857142857153,437.0,56944.0
800.0,2.123936,3.127464194264677E-8,800.0,66.5,29.14551607445009,23.209169054441272,17.027863777089802,227.0,56864.0
900.0,2.355733,3.4689348675310615E-8,900.0,64.88888888888889,26.206538661131283,19.387755102040813,14.824797843665769,128.0,56944.0
1000.0,2.525146,3.718504841128985E-8,1000.0,65.5,28.662999875935665,21.232876712328764,19.014084507042266,973.0,56944.0
1100.0,2.687507,3.9576861937012936E-8,1100.0,65.60000000000001,28.850648410515213,21.995464852607707,20.18561484918795,1791.0,56944.0
1200.0,2.907181,4.281297925859689E-8,1200.0,65.5,29.65787220160666,21.232876712328764,24.175824175824175,2636.0,56944.0
1300.0,3.081587,4.538223314202494E-8,1300.0,67.5,34.125716509514284,26.136363636363637,29.039301310043676,3503.0,56944.0
1400.0,3.374469,4.9696810713244805E-8,1400.0,68.5,36.05618935487801,28.40909090909091,31.37254901960785,4345.0,56944.0
1500.0,3.664379,5.396760640458928E-8,1500.0,68.7,37.011993882315075,30.59866962305987,33.68644067796611,5163.0,56944.0
1600.0,3.969664,5.846489819387595E-8,1600.0,69.8,39.47604694414159,32.43847874720356,37.60330578512396,6004.0,56944.0
1700.0,4.26673,6.284111216664314E-8,1700.0,70.8,41.582007258235535,34.96659242761691,40.28629856850715,6834.0,56944.0
1800.0,4.598345,6.772628312723504E-8,1800.0,71.39999999999999,42.8112090030354,35.14739229024942,41.98782961460446,7679.0,56944.0
1900.0,4.946841,7.285292326162259E-8,1900.0,72.6,45.229576028944365,38.426966292134814,43.50515463917525,91.0,56864.0
2000.0,5.173351,7.61850569355819E-8,2000.0,71.7,43.22968906720159,35.24027459954234,39.78723404255318,198.0,56864.0
2100.0,5.340915,7.865005029986302E-8,2100.0,72.1,43.83198718000337,34.81308411214953,39.0829694323144,1067.0,56864.0
2200.0,5.471286,8.056790646165609E-8,2200.0,72.6,44.65451489884299,37.44292237442921,38.28828828828827,1923.0,56864.0
2300.0,5.654504,8.326318202333317E-8,2300.0,72.6,44.45277878015058,36.42691415313225,38.148984198645586,2792.0,56864.0
2400.0,5.805975,8.549143516769011E-8,2400.0,73.9,47.4243999129783,38.58823529411765,42.3841059602649,3609.0,56864.0
2500.0,6.046321,8.90271068819695E-8,2500.0,74.5,48.31653789715193,38.55421686746988,42.3076923076923,4476.0,56864.0
2600.0,6.227892,9.170191162990198E-8,2600.0,74.7,47.91881098439624,40.18912529550828,39.904988123515444,705.0,56944.0
2700.0,6.360759,9.36592356653677E-8,2700.0,73.9,45.64991045770688,39.01869158878505,36.95652173913044,1529.0,56944.0
2800.0,6.541363,9.631979509774181E-8,2800.0,74.1,45.71823783375948,39.627039627039636,36.82926829268293,22.0,56944.0
2900.0,6.71551,9.888523353470695E-8,2900.0,74.7,46.886677583238864,39.761904761904766,38.141809290953546,18.0,56944.0
3000.0,6.883344,1.013576723055707E-7,3000.0,75.6,49.214278280778444,42.72300469483569,41.20481927710844,202.0,56944.0
3100.0,7.113315,1.0474547940409845E-7,3100.0,74.5,47.14500095346273,40.14084507042254,38.99521531100479,14.0,56944.0
3200.0,7.248649,1.067391459354096E-7,3200.0,74.1,46.28071747390778,37.74038461538462,38.770685579196225,863.0,56944.0
3300.0,7.424853,1.0933488697227504E-7,3300.0,73.7,45.3812925735172,35.221674876847295,37.82505910165485,11.0,56944.0
3400.0,7.554552,1.1124554176297453E-7,3400.0,72.39999999999999,41.3452343002869,31.683168316831683,31.851851851851848,841.0,56944.0
3500.0,7.71905,1.136688364048799E-7,3500.0,73.0,42.621557293437604,33.660933660933665,33.82352941176471,1693.0,56944.0
3600.0,7.873743,1.1594768914497562E-7,3600.0,73.6,44.54433932142437,34.1645885286783,36.8421052631579,2539.0,56944.0
3700.0,8.027977,1.182197801479035E-7,3700.0,73.6,44.582521663196076,32.99492385786802,36.8421052631579,3370.0,56944.0
3800.0,8.19351,1.2065832184420692E-7,3800.0,73.5,44.21663312647879,32.39795918367347,36.754176610978526,4173.0,56944.0
3900.0,8.37142,1.232791947407855E-7,3900.0,73.9,45.50966211815009,35.07462686567165,39.16083916083917,4996.0,56944.0
4000.0,8.573471,1.2625569965690373E-7,4000.0,74.7,47.035672416680626,36.59147869674186,40.887850467289724,5831.0,56944.0
4100.0,8.793321,1.2949440971430803E-7,4100.0,75.7,48.91351878637021,38.94472361809046,43.22429906542057,6681.0,56944.0
4200.0,9.113186,1.3420648609598476E-7,4200.0,75.2,47.58023605803375,38.46153846153847,40.66985645933015,36.0,56944.0
4300.0,9.259112,1.3635618818302947E-7,4300.0,74.4,44.88389016392737,38.75598086124402,37.1007371007371,867.0,56944.0
4400.0,9.384085,1.3819722212437124E-7,4400.0,73.0,41.82864874414516,36.47058823529412,33.98533007334964,1686.0,56944.0
4500.0,9.548328,1.406167602456278E-7,4500.0,71.89999999999999,39.23378342141912,34.19203747072599,30.95823095823096,2526.0,56944.0
4600.0,9.683844,1.4261310790148044E-7,4600.0,71.3,38.02634420211618,33.56481481481482,30.0,3360.0,56944.0
4700.0,9.811341,1.4449132403151855E-7,4700.0,71.0,38.14520945311833,32.870370370370374,30.62200956937799,4189.0,56944.0
4800.0,9.969528,1.4682164847022956E-7,4800.0,71.1,39.18606119271074,33.41013824884793,32.79069767441861,5014.0,56944.0
4900.0,10.154793,1.4955087120748228E-7,4900.0,70.39999999999999,37.85194485619863,31.797235023041477,31.639722863741337,5866.0,56944.0
5000.0,10.315758,1.5192211962408489E-7,5000.0,69.89999999999999,37.38037779811932,31.590909090909076,31.590909090909076,6692.0,56944.0
5100.0,10.491615,1.5451274884657726E-7,5100.0,69.89999999999999,37.881276880278016,32.9621380846325,32.51121076233182,7549.0,56944.0
5200.0,10.678463,1.5726529147475955E-7,5200.0,69.39999999999999,36.93452319614185,31.39013452914796,31.84855233853005,8404.0,56944.0
5300.0,10.942796,1.6115383012841142E-7,5300.0,70.1,38.96115561434881,32.95964125560536,34.57330415754922,242.0,56864.0
5380.0,11.092699,1.6336211920612384E-7,5380.0,71.39999999999999,42.006650985481386,35.58558558558557,38.09523809523808,10.0,56944.0
