learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.394806,7.567096017301083E-9,100.0,72.0,43.99999999999999,36.363636363636346,37.777777777777764,857.0,74088.0,10.0,5163.900000000001,81.21637765869639,11244.8,6013.848551468519,90.9,49.60835503107202,54.300000000000004,33.572640977769716,54.300000000000004,33.572640977769716,7.799999999999999,3.2591750830880843,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.782395,1.604348282226258E-8,200.0,75.5,49.795081967213115,41.66666666666667,34.66666666666667,1710.0,84536.0,10.0,9770.1,1056.8882470094304,21526.399999999998,11272.84110102191,174.8,91.51660444361389,102.8,52.55642470505178,102.8,52.55642470505178,9.4,3.0983866769659336,0.0,0.0,0.0,0.0,1.0,0.0
300.0,1.110531,2.325769111721052E-8,300.0,72.33333333333334,42.3931149361466,37.121212121212125,29.059829059829074,2560.0,84984.0,10.0,14548.3,4504.622441941659,32660.800000000003,18384.866124070635,264.6,149.5966428619157,146.2,83.98386088343932,146.2,83.98386088343932,10.1,3.7844711945293255,0.0,0.0,0.0,0.0,1.0,0.0
400.0,1.426016,3.083559160224265E-8,400.0,69.75,37.483854301214166,31.63841807909605,24.844720496894407,3411.0,92848.0,10.0,18374.600000000002,6145.722924657984,38644.0,25427.58585998023,313.0,205.86349306707535,170.3,108.14398837763578,170.3,108.14398837763578,10.5,3.8078865529319543,0.0,0.0,0.0,0.0,1.0,0.0
500.0,1.6971,3.6570511789371566E-8,500.0,67.60000000000001,31.915608977053044,23.943661971831006,17.346938775510218,4254.0,81776.0,10.0,19609.300000000003,7050.892158679874,44447.2,29939.317934782684,359.9,242.00525705952018,191.70000000000002,124.43030177573307,191.70000000000002,124.43030177573307,11.4,2.8751811537130436,0.0,0.0,0.0,0.0,1.0,0.0
600.0,1.948064,4.199976372015145E-8,600.0,67.5,30.895173293642376,23.228346456692925,17.721518987341785,5062.0,83624.0,10.0,26898.0,4955.418403682534,60598.399999999994,32063.412680360634,491.1,258.69735642681434,259.1,131.05338182927173,259.1,131.05338182927173,12.3,2.263232692902394,0.0,0.0,0.0,0.0,1.0,0.0
700.0,2.206658,4.798369652074244E-8,700.0,68.14285714285714,32.3797477127807,24.662162162162147,20.35714285714285,5905.0,89448.0,10.0,34264.9,3721.363652390523,76531.2,37204.84904119056,620.6999999999999,300.22400895923624,325.3,149.8747996013858,325.3,149.8747996013858,13.5,2.173067468400883,0.0,0.0,0.0,0.0,1.0,0.0
800.0,2.44935,5.3351025889731114E-8,800.0,67.5,30.887825624667748,25.501432664756464,19.50464396284832,6730.0,85488.0,10.0,38524.8,11470.075518495943,84900.0,49336.57679427888,689.3000000000001,398.89431905929393,361.3,200.32920128850137,361.3,200.32920128850137,14.3,2.0027758514399734,0.0,0.0,0.0,0.0,1.0,0.0
900.0,2.765946,6.071448818883962E-8,900.0,66.77777777777779,29.639700883752557,23.724489795918377,19.407008086253384,7603.0,89904.0,10.0,42165.1,17861.19551460963,85946.40000000001,61934.1242633386,698.8,502.38338613718776,369.2,256.6635497646243,369.2,256.6635497646243,13.399999999999999,3.806427312965386,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,3.062096,6.776606070291665E-8,1000.0,67.7,32.814710042432836,26.25570776255708,24.178403755868562,8448.0,92040.0,10.0,46119.4,21884.123733885255,86136.00000000001,70040.20656102544,701.3000000000001,569.2041324906596,370.09999999999997,291.0561037936768,370.09999999999997,291.0561037936768,14.5,2.718251071716682,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,3.336255,7.447274093619651E-8,1100.0,67.7,33.06809233702185,26.75736961451247,25.05800464037125,9266.0,94560.0,10.0,54489.4,21681.43914452585,101650.4,77886.16888653737,827.8,632.955641766818,435.3,322.03659212373157,435.3,322.03659212373157,15.6,3.438345855527367,0.0,0.0,0.0,0.0,1.0,0.0
