learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,217.567737,1.113991317935288E-5,1000.0,92.4,82.56584833205636,77.10843373493978,76.25,270008.0,197920.0
2000.0,218.535543,1.1189508888758719E-5,2000.0,93.60000000000001,87.20040958689323,87.07070707070707,87.59689922480621,271008.0,198088.0
3000.0,219.380217,1.1232721214393774E-5,3000.0,92.60000000000001,80.69215997328214,81.63771712158811,74.21602787456449,272008.0,197752.0
4000.0,220.315903,1.1280792917675441E-5,4000.0,92.5,78.7470387540664,80.05319148936172,70.47244094488191,273008.0,198592.0
5000.0,221.166976,1.1324517552571164E-5,5000.0,92.80000000000001,80.46398046398048,81.72588832487311,72.4137931034483,274008.0,198592.0
6000.0,222.153748,1.1374784976608223E-5,6000.0,87.4,72.5494980479643,71.29840546697038,66.66666666666666,275008.0,196912.0
7000.0,222.937424,1.141443395215604E-5,7000.0,92.2,83.46231315594191,83.00653594771242,80.25316455696205,276008.0,195568.0
8000.0,223.75832,1.1454290874782535E-5,8000.0,90.10000000000001,79.10246126567316,80.62622309197653,75.18796992481204,277008.0,187680.0
9000.0,224.503532,1.1490991327050659E-5,9000.0,93.60000000000001,85.81409369791115,86.0566448801743,82.12290502793297,278008.0,190368.0
10000.0,225.459816,1.1538252971453798E-5,10000.0,88.9,76.88405374561631,77.4390243902439,73.69668246445498,279008.0,191040.0
11000.0,226.485305,1.1589556729009167E-5,11000.0,85.7,71.37733084603005,70.63655030800821,71.39999999999999,280008.0,193384.0
12000.0,227.286808,1.1629480611750233E-5,12000.0,91.2,82.26342839866976,82.4,80.2247191011236,281008.0,192544.0
13000.0,228.03469,1.1665857497745502E-5,13000.0,90.3,80.60651621055325,81.55893536121674,80.12295081967213,282008.0,188016.0
14000.0,228.800687,1.1703613282949143E-5,14000.0,92.80000000000001,85.43618622263219,86.073500967118,83.41013824884794,283008.0,190528.0
15000.0,229.467237,1.1735860374282215E-5,15000.0,94.3,88.21486167969233,88.55421686746988,85.92592592592592,284008.0,187008.0
16000.0,230.119742,1.176768321201619E-5,16000.0,93.7,87.13098613414824,87.24696356275304,85.07109004739338,285008.0,188520.0
17000.0,230.779904,1.1800080326054658E-5,17000.0,92.10000000000001,83.9753991951188,83.54166666666667,82.52212389380531,286008.0,189696.0
18000.0,231.465937,1.183386631094333E-5,18000.0,93.2,85.90223615413002,84.47488584474887,83.37408312958436,287008.0,190368.0
19000.0,232.109192,1.1865629421346302E-5,19000.0,94.0,85.15255747197544,86.20689655172413,78.94736842105262,288008.0,190872.0
20000.0,232.740076,1.1896836506175911E-5,20000.0,95.7,87.16617122118356,87.53623188405795,80.97345132743361,289008.0,191208.0
21000.0,233.349961,1.1926978355246698E-5,21000.0,95.6,84.78256358467465,85.71428571428571,76.7195767195767,290008.0,191040.0
22000.0,234.009798,1.1959646296586012E-5,22000.0,93.4,82.08663554445774,83.33333333333334,75.55555555555557,291008.0,191376.0
23000.0,234.690539,1.1993437934844857E-5,23000.0,95.0,87.96688486715439,88.58447488584473,83.76623376623375,292008.0,191880.0
24000.0,235.379306,1.2027717784672147E-5,24000.0,93.8,84.31047048343994,84.14322250639384,77.53623188405795,293008.0,192384.0
25000.0,236.114074,1.2064414835799899E-5,25000.0,93.4,83.88144559011006,84.82758620689657,78.64077669902915,294008.0,193056.0
26000.0,236.84845,1.2101060391743149E-5,26000.0,94.3,86.65342936620178,86.77494199535963,82.35294117647058,295008.0,192888.0
27000.0,237.577539,1.2137442124993022E-5,27000.0,92.5,81.18471094698606,82.6388888888889,73.86759581881535,296008.0,192888.0
28000.0,238.368669,1.217691972049367E-5,28000.0,91.10000000000001,78.53601126738825,78.39805825242719,71.47435897435899,297008.0,192888.0
29000.0,239.471003,1.2232834473519274E-5,29000.0,90.5,77.14368203252816,77.95823665893272,69.84126984126985,298008.0,196072.0
30000.0,240.537149,1.2285711084126182E-5,30000.0,91.10000000000001,81.45756073169717,81.91056910569107,78.239608801956,299008.0,191712.0
31000.0,241.580337,1.2338399023697193E-5,31000.0,92.0,83.739837398374,83.05084745762713,82.22222222222223,300008.0,195232.0
32000.0,242.447823,1.2382439057042614E-5,32000.0,94.1,88.15860247424997,87.52642706131077,87.73388773388773,301008.0,196240.0
33000.0,243.326963,1.242794772006778E-5,33000.0,94.19999999999999,88.4066777536139,88.42315369261476,88.18737270875762,302008.0,200096.0
34000.0,244.101076,1.2468187884129582E-5,34000.0,93.8,87.52012882447664,87.32106339468302,86.22222222222221,303008.0,200936.0
35000.0,244.899168,1.25099520230583E-5,35000.0,93.8,87.60044638393016,88.23529411764704,88.07692307692307,304008.0,202280.0
36000.0,245.674094,1.2550571244888833E-5,36000.0,91.2,82.17006516030733,82.07739307535643,79.77011494252875,305008.0,202616.0
37000.0,246.428096,1.2590093695417872E-5,37000.0,93.60000000000001,86.37573177221928,86.69438669438671,83.11345646437996,306008.0,202616.0
38000.0,247.159655,1.2628503342993142E-5,38000.0,93.0,84.38113598229268,84.81561822125815,79.16666666666667,307008.0,202952.0
39000.0,247.949701,1.2669983781930057E-5,39000.0,91.3,81.4945589749262,81.83716075156576,77.46113989637307,308008.0,202952.0
40000.0,249.0731,1.2725358140158154E-5,40000.0,89.60000000000001,78.59906165116472,78.86178861788619,75.35545023696683,309008.0,190536.0
41000.0,250.297009,1.2786112362674125E-5,41000.0,92.9,85.42226164371188,85.36082474226805,83.01435406698566,310008.0,191880.0
