learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,238.72834,1.2036619540469514E-5,100.0,94.0,86.65480427046262,86.66666666666666,81.8181818181818,269108.0,194896.0
200.0,238.826616,1.2041574590305488E-5,200.0,97.0,92.99065420560747,93.33333333333333,90.1639344262295,269208.0,194896.0
300.0,238.941205,1.204735213727173E-5,300.0,94.66666666666667,85.53868402024584,85.45454545454545,78.66666666666666,269308.0,194896.0
400.0,239.075739,1.2054135305844249E-5,400.0,92.0,80.80383923215358,73.33333333333336,73.98373983739839,269408.0,194896.0
500.0,239.183151,1.2059550990375381E-5,500.0,90.4,77.66527695056583,65.95744680851065,70.1863354037267,269508.0,194896.0
600.0,239.262438,1.206354861987134E-5,600.0,91.83333333333333,81.8410910168989,70.83333333333334,76.66666666666666,269608.0,194896.0
700.0,239.347027,1.2067813574800063E-5,700.0,92.0,82.87087611972909,75.00000000000001,78.6259541984733,269708.0,194896.0
800.0,239.435149,1.2072264322518477E-5,800.0,91.625,81.66969891796506,74.23076923076923,76.32508833922262,269808.0,195232.0
900.0,239.520583,1.2076579308340121E-5,900.0,92.33333333333333,82.49698418245977,75.26881720430109,76.45051194539249,269908.0,195232.0
1000.0,239.594211,1.2080298012557131E-5,1000.0,92.60000000000001,82.91363999501264,77.71084337349399,76.87500000000001,270008.0,195232.0
1100.0,239.684544,1.2084860430496436E-5,1100.0,91.60000000000001,80.97550369618786,75.79250720461096,74.6987951807229,270108.0,195232.0
1200.0,239.811156,1.2091255179482203E-5,1200.0,90.7,79.57570167347477,74.02234636871509,73.80281690140845,270208.0,195232.0
1300.0,239.95266,1.2098414373633764E-5,1300.0,91.0,81.11940924729379,76.86375321336762,77.15736040609139,270308.0,195568.0
1400.0,240.084419,1.2105080533333952E-5,1400.0,91.8,82.94480773390573,80.93023255813955,79.60199004975127,270408.0,195568.0
1500.0,240.191667,1.2110506593758863E-5,1500.0,93.10000000000001,85.86922686239495,84.56375838926175,83.68794326241135,270508.0,195568.0
1600.0,240.26754,1.2114345280565323E-5,1600.0,93.0,85.69507624524363,85.04273504273505,83.6065573770492,270608.0,195568.0
1700.0,240.343845,1.2118205823798976E-5,1700.0,93.30000000000001,86.25313920850911,85.52915766738663,84.19811320754718,270708.0,195568.0
1800.0,240.41999,1.2122058272059595E-5,1800.0,94.0,87.87922863411026,87.42138364779873,86.75496688741721,270808.0,195568.0
1900.0,240.497567,1.2125983170328872E-5,1900.0,94.0,87.9952461174625,88.09523809523809,87.78004073319754,270908.0,195568.0
2000.0,240.572362,1.2129764066535155E-5,2000.0,93.8,87.59880948571062,87.47474747474746,87.984496124031,271008.0,195400.0
2100.0,240.655511,1.2133960030844645E-5,2100.0,94.19999999999999,88.3996287881212,87.86610878661087,88.91013384321222,271108.0,195064.0
2200.0,240.739275,1.2138187030019864E-5,2200.0,94.39999999999999,88.7919301897366,87.87878787878786,88.99803536345775,271208.0,195064.0
2300.0,240.825663,1.2142546444622184E-5,2300.0,94.8,89.52356392237766,88.44444444444444,89.14405010438412,271308.0,195064.0
2400.0,240.910898,1.214685137961888E-5,2400.0,95.1,89.98479323707834,88.60465116279069,89.06249999999999,271408.0,195232.0
2500.0,240.991509,1.2150922771828874E-5,2500.0,95.1,89.69765779403724,88.55140186915888,88.10679611650485,271508.0,195232.0
2600.0,241.074496,1.2155114167858333E-5,2600.0,94.69999999999999,88.51968981501537,87.55868544600938,86.23376623376622,271608.0,195232.0
2700.0,241.159308,1.2159394052463277E-5,2700.0,94.3,87.1199247984381,86.09756097560974,83.9887640449438,271708.0,195064.0
2800.0,241.248336,1.216388668990384E-5,2800.0,93.60000000000001,84.763718604928,83.87909319899246,80.72289156626508,271808.0,195064.0
2900.0,241.371172,1.2170085387085052E-5,2900.0,93.2,82.95363388416493,83.12655086848638,78.13504823151128,271908.0,195064.0
3000.0,241.475281,1.2175339059989077E-5,3000.0,93.4,82.86106032906766,83.62282878411912,77.00348432055752,272008.0,195064.0
3100.0,241.588551,1.2181055026234445E-5,3100.0,93.5,82.7635584500992,83.8709677419355,75.83643122676582,272108.0,195064.0
3200.0,241.713631,1.2187366962828163E-5,3200.0,93.5,81.77944721646017,83.75000000000001,74.30830039525695,272208.0,195064.0
3300.0,241.823023,1.2192887232798262E-5,3300.0,92.7,79.11923204539994,81.61209068010076,70.9163346613546,272308.0,195064.0
3400.0,241.920664,1.2197814509748592E-5,3400.0,93.10000000000001,79.81228349405488,82.57575757575759,71.72131147540985,272408.0,195064.0
3500.0,242.003456,1.2201992458697002E-5,3500.0,93.10000000000001,79.47650208209402,82.30769230769232,71.25000000000003,272508.0,195064.0
3600.0,242.08299,1.2206009455236303E-5,3600.0,93.0,78.93596533461725,81.81818181818184,70.58823529411767,272608.0,195232.0
