learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.113403,5.131687722686264E-8,1000.0,91.8,80.87891690723478,75.88235294117648,74.37500000000001,1000.0,178160.0
2000.0,1.787414,8.296799825297462E-8,2000.0,93.30000000000001,86.59978559656956,86.32653061224491,87.04061895551258,2000.0,181520.0
3000.0,2.433286,1.1385914418432449E-7,3000.0,93.30000000000001,82.70557138727132,83.03797468354432,76.73611111111113,3000.0,184880.0
4000.0,3.411104,1.6062679866121876E-7,4000.0,92.80000000000001,79.67651791006861,82.30958230958232,71.54150197628461,4000.0,184880.0
5000.0,4.16541,1.974457198340032E-7,5000.0,93.5,82.56680935062708,83.502538071066,75.09578544061306,5000.0,188680.0
6000.0,5.089015,2.4498659137429464E-7,6000.0,89.5,77.161004045765,75.91743119266056,72.22222222222223,6000.0,198968.0
7000.0,5.754619,2.7939197663010827E-7,7000.0,92.9,85.09905977165884,84.76394849785409,82.02531645569621,7000.0,199808.0
8000.0,6.520035,3.1833572046831257E-7,8000.0,90.60000000000001,80.1154993336577,80.85539714867618,76.44110275689225,8000.0,196672.0
9000.0,7.195181,3.530387161692812E-7,9000.0,93.4,85.40926997714121,85.1685393258427,81.61559888579389,9000.0,198688.0
10000.0,8.013746,3.9514912907862007E-7,10000.0,89.4,77.84067866057356,77.91666666666667,74.82185273159145,10000.0,198856.0
11000.0,8.856233,4.3748935435174247E-7,11000.0,85.7,71.33372356889127,70.87576374745417,71.34268537074148,11000.0,194264.0
12000.0,9.616681,4.7445384158649385E-7,12000.0,91.60000000000001,82.99450560573976,82.96146044624747,81.20805369127517,12000.0,187896.0
13000.0,10.361592,5.111487201373611E-7,13000.0,91.8,83.58207162221146,84.29118773946361,83.16221765913758,13000.0,190416.0
14000.0,11.108684,5.482107956231469E-7,14000.0,92.10000000000001,84.03459843983671,84.68992248062015,82.08616780045352,14000.0,191760.0
15000.0,11.798019,5.824076359118853E-7,15000.0,94.39999999999999,88.40829303835199,87.71929824561401,86.13861386138612,15000.0,191760.0
16000.0,12.485581,6.166958161836697E-7,16000.0,92.7,85.10641770581708,84.1991341991342,82.74231678486998,16000.0,192768.0
17000.0,13.169492,6.509802676261299E-7,17000.0,91.8,83.3553232518015,83.79446640316206,81.81818181818183,17000.0,193776.0
18000.0,13.92023,6.881579587877624E-7,18000.0,92.5,84.59414824126797,84.56790123456791,81.75182481751825,18000.0,191424.0
19000.0,14.589021,7.215972443628642E-7,19000.0,94.19999999999999,85.58468994656391,85.85365853658536,79.50530035335687,19000.0,193272.0
20000.0,15.259977,7.551447790819737E-7,20000.0,93.89999999999999,81.49541328932678,82.05882352941175,73.12775330396472,20000.0,193272.0
21000.0,15.908484,7.877671692851516E-7,21000.0,94.8,81.78506375227686,82.89473684210526,72.6315789473684,21000.0,194448.0
22000.0,16.599103,8.224779391681982E-7,22000.0,91.8,77.29035116871609,78.97435897435898,69.62962962962965,22000.0,194280.0
23000.0,17.297837,8.576573083570433E-7,23000.0,93.8,84.91462162464659,85.54778554778554,79.93527508090614,23000.0,194616.0
24000.0,17.969828,8.916070632843507E-7,24000.0,94.19999999999999,85.15165789419787,85.74938574938574,78.83211678832114,24000.0,195288.0
25000.0,18.633311,9.2509814819528E-7,25000.0,93.5,84.10384833603976,84.59715639810427,78.82736156351794,25000.0,195120.0
26000.0,19.315342,9.595254931805863E-7,26000.0,93.10000000000001,83.87247569184743,84.17431192660551,78.70370370370372,26000.0,195120.0
27000.0,20.023538,9.952735867558254E-7,27000.0,92.4,80.83440929632022,81.77458033573143,73.61111111111113,27000.0,195120.0
28000.0,20.75843,1.0325289309231772E-6,28000.0,90.60000000000001,77.05974228816869,76.61691542288558,69.87179487179489,28000.0,195960.0
29000.0,21.785198,1.0864509309538537E-6,29000.0,90.8,77.45098039215688,79.55555555555556,70.88607594936708,29000.0,203000.0
30000.0,23.085555,1.1528219536443552E-6,30000.0,90.10000000000001,79.27986002394329,79.79591836734694,75.79462102689487,30000.0,197296.0
31000.0,24.433897,1.2211147489440112E-6,31000.0,91.7,83.11058294942129,82.85123966942149,81.51447661469933,31000.0,195784.0
32000.0,25.550008,1.2791466106205353E-6,32000.0,94.39999999999999,88.76318820455812,88.73239436619717,88.3089770354906,32000.0,200984.0
33000.0,26.457597,1.324326596533259E-6,33000.0,94.6,89.18425227130702,89.28571428571428,88.8659793814433,33000.0,192424.0
