learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.297868,1.2744886659913593E-8,100.0,86.0,67.6524953789279,68.88888888888889,57.57575757575757,100.0,165392.0
200.0,0.43195,1.8598405727081828E-8,200.0,91.5,79.88641741599622,82.29166666666667,72.13114754098362,200.0,168752.0
300.0,0.609687,2.6357738959292572E-8,300.0,90.33333333333333,72.96793437733035,74.56140350877193,61.33333333333333,300.0,168752.0
400.0,0.792893,3.451507725235489E-8,400.0,88.25,71.36067271951738,62.09677419354838,61.78861788617884,400.0,172112.0
500.0,0.922399,4.0281396330230765E-8,500.0,87.6,70.58600273265523,57.24137931034483,61.490683229813655,500.0,172112.0
600.0,1.003668,4.389993898570537E-8,600.0,89.0,75.1944976885782,61.403508771929836,68.57142857142857,600.0,172112.0
700.0,1.077941,4.7271541907555527E-8,700.0,90.14285714285715,78.66155368629391,69.8689956331878,73.76425855513308,700.0,175472.0
800.0,1.180545,5.1929222978651523E-8,800.0,90.125,78.04427275127496,70.41198501872658,72.08480565371025,800.0,175472.0
900.0,1.256734,5.538780220680767E-8,900.0,91.0,79.0865798382007,71.6783216783217,72.26027397260275,900.0,175472.0
1000.0,1.331106,5.876389920711517E-8,1000.0,91.5,80.09721923030094,75.00000000000001,73.43750000000001,1000.0,175472.0
1100.0,1.443965,6.388710325376855E-8,1100.0,91.3,80.12972775443085,75.561797752809,73.79518072289157,1100.0,175472.0
1200.0,1.559397,6.912710794558129E-8,1200.0,90.9,79.80918571111604,75.13661202185793,74.3661971830986,1200.0,175472.0
1300.0,1.644973,7.308619312528108E-8,1300.0,91.10000000000001,81.18695516153853,77.69423558897243,77.41116751269035,1300.0,178832.0
1400.0,1.72121,7.661321912374762E-8,1400.0,92.10000000000001,83.44051581745161,82.04545454545456,80.34825870646767,1400.0,178832.0
1500.0,1.793288,7.994783328639137E-8,1500.0,93.30000000000001,86.21796190397829,85.30701754385966,84.16075650118205,1500.0,178832.0
1600.0,1.858979,8.298695949630605E-8,1600.0,93.7,87.09143362947907,86.82008368200837,85.28037383177572,1600.0,178832.0
1700.0,1.922464,8.592402739657297E-8,1700.0,93.7,87.04897543005626,86.42241379310346,85.10638297872342,1700.0,178832.0
1800.0,1.988741,8.899026429073679E-8,1800.0,94.1,88.069431862301,87.47346072186836,86.94690265486724,1800.0,178832.0
1900.0,2.04877,9.176744392348661E-8,1900.0,94.1,88.19433327997437,88.12877263581488,88.0081300813008,1900.0,178832.0
2000.0,2.106814,9.445278958313996E-8,2000.0,94.1,88.19981119697914,87.95918367346938,88.5880077369439,2000.0,178832.0
2100.0,2.173972,9.755978503161007E-8,2100.0,94.6,89.19930875576036,88.77338877338876,89.69465648854961,2100.0,178832.0
2200.0,2.238947,1.0056578624165721E-7,2200.0,94.89999999999999,89.79044385544869,88.98488120950323,89.99999999999999,2200.0,178832.0
2300.0,2.300215,1.034002869286471E-7,2300.0,95.39999999999999,90.7364520611394,89.75501113585746,90.39665970772441,2300.0,178832.0
