learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,25.908098,1.4667091119041045E-6,100.0,56.00000000000001,11.752908142799857,12.00000000000001,0.0,60100.0,218832.0
200.0,26.139944,1.479592062421143E-6,200.0,78.0,55.595922898375214,54.639175257731964,46.98795180722893,60200.0,214792.0
300.0,26.235197,1.4848335184777776E-6,300.0,85.0,69.68472109943411,69.38775510204081,64.56692913385827,60300.0,212704.0
400.0,26.313636,1.489093424770981E-6,400.0,88.75,77.30939895118999,76.92307692307692,74.13793103448275,60400.0,209928.0
500.0,26.388644,1.4931832984027762E-6,500.0,90.8,81.41534284652306,81.52610441767068,78.80184331797237,60500.0,210768.0
600.0,26.492683,1.4988335029035806E-6,600.0,92.33333333333333,84.5018698830902,84.35374149659864,82.37547892720308,60600.0,209928.0
700.0,26.566325,1.5027736037555666E-6,700.0,93.42857142857143,86.75365919880207,86.62790697674419,85.20900321543408,60700.0,206816.0
800.0,26.641231,1.506800866226355E-6,800.0,94.0,87.93689488134804,87.7237851662404,86.77685950413222,60800.0,207824.0
900.0,26.71576,1.5108208162213364E-6,900.0,94.66666666666667,89.31026462044017,89.1156462585034,88.59857482185272,60900.0,208496.0
1000.0,26.792665,1.5149822927514711E-6,1000.0,95.19999999999999,90.3760942180376,90.32258064516128,89.72162740899357,61000.0,209168.0
1100.0,26.870734,1.5192067555462321E-6,1100.0,99.6,99.19845140812049,99.18032786885246,99.15254237288136,61100.0,209168.0
1200.0,26.954629,1.523746474335591E-6,1200.0,99.6,99.19918316683017,99.18200408997954,99.17184265010351,61200.0,209168.0
1300.0,27.031123,1.5278923599918683E-6,1300.0,99.7,99.39917807560744,99.37369519832984,99.37629937629937,61300.0,209504.0
1400.0,27.105919,1.5319852251807848E-6,1400.0,99.7,99.399783922212,99.38271604938271,99.38775510204081,61400.0,211520.0
1500.0,27.181122,1.5361134353693988E-6,1500.0,99.8,99.5999743983615,99.57805907172997,99.60159362549801,61500.0,212192.0
1600.0,27.261304,1.5405219335854054E-6,1600.0,99.8,99.59972941708595,99.58419958419958,99.60396039603961,61600.0,212528.0
1700.0,27.341431,1.5449274078384042E-6,1700.0,99.8,99.59976946721312,99.581589958159,99.60474308300395,61700.0,212528.0
1800.0,27.424427,1.5494906229981119E-6,1800.0,99.9,99.79995518996255,99.79123173277662,99.80276134122288,61800.0,212528.0
1900.0,27.499372,1.5536176994318765E-6,1900.0,99.9,99.79999039953917,99.79296066252587,99.79797979797979,61900.0,212864.0
2000.0,27.577834,1.557938450264434E-6,2000.0,99.8,99.599870357996,99.57983193277312,99.59758551307847,62000.0,212864.0
2100.0,27.653957,1.5621303968835208E-6,2100.0,99.8,99.5992931531221,99.58419958419958,99.58932238193019,62100.0,212864.0
2200.0,27.733044,1.566485565259225E-6,2200.0,99.7,99.39899030371024,99.375,99.38524590163934,62200.0,212864.0
2300.0,27.820119,1.5712806173703738E-6,2300.0,99.7,99.39867226836856,99.38524590163934,99.40119760479041,62300.0,212864.0
2400.0,27.908823,1.5761653753659793E-6,2400.0,99.7,99.39973588378886,99.37759336099586,99.40239043824701,62400.0,212864.0
2500.0,27.99764,1.5810563560533856E-6,2500.0,99.7,99.4,99.37629937629937,99.39879759519037,62500.0,212864.0
2600.0,28.082409,1.5857244211973416E-6,2600.0,99.7,99.3999519961597,99.36170212765958,99.40119760479041,62600.0,212864.0
2700.0,28.165453,1.5903408047432702E-6,2700.0,99.7,99.3999519961597,99.36034115138592,99.39879759519037,62700.0,214880.0
2800.0,28.246946,1.5948851361084317E-6,2800.0,99.8,99.59994239170442,99.57446808510639,99.59349593495935,62800.0,215552.0
2900.0,28.330398,1.599545962019927E-6,2900.0,99.8,99.59998559948158,99.56521739130434,99.5959595959596,62900.0,215888.0
3000.0,28.412981,1.6041582539512052E-6,3000.0,99.9,99.79999039953917,99.78540772532189,99.79716024340772,63000.0,215888.0
3100.0,28.489594,1.6084371191139022E-6,3100.0,99.9,99.7997548999976,99.7867803837953,99.79838709677419,63100.0,215888.0
3200.0,28.568304,1.6128399442674385E-6,3200.0,100.0,100.0,100.0,100.0,63200.0,216224.0
3300.0,28.651186,1.6174761398509144E-6,3300.0,100.0,100.0,100.0,100.0,63300.0,216224.0
3400.0,28.738869,1.622380890428192E-6,3400.0,100.0,100.0,100.0,100.0,63400.0,216224.0
3500.0,28.830992,1.6275340026327304E-6,3500.0,99.9,99.79996639435426,99.7907949790795,99.79959919839679,63500.0,216224.0
3600.0,28.916519,1.6323181523837976E-6,3600.0,99.9,99.79996639435426,99.79838709677419,99.800796812749,63600.0,216224.0
3700.0,28.998606,1.6369098778110411E-6,3700.0,99.9,99.79996639435426,99.79959919839679,99.800796812749,63700.0,216224.0
3800.0,29.084082,1.641691174759633E-6,3800.0,99.8,99.5999743983615,99.60396039603961,99.59758551307847,63800.0,216224.0
3900.0,29.1652,1.6462286969398459E-6,3900.0,99.8,99.5999215846306,99.61089494163424,99.59514170040485,63900.0,216224.0
4000.0,29.240316,1.650430483424829E-6,4000.0,99.8,99.5999935998976,99.61089494163424,99.60079840319361,64000.0,216224.0
4100.0,29.310757,1.6543707630162437E-6,4100.0,99.8,99.59953706484697,99.60317460317461,99.60317460317461,64100.0,216224.0
4200.0,29.383873,1.6584606748943526E-6,4200.0,99.8,99.6,99.61315280464217,99.59349593495935,64200.0,216224.0
4300.0,29.456351,1.6625148987728687E-6,4300.0,99.8,99.5999743983615,99.61013645224172,99.59016393442623,64300.0,216224.0
4400.0,29.539685,1.6671763780174982E-6,4400.0,99.8,99.5999215846306,99.61612284069098,99.59432048681542,64400.0,216224.0
4500.0,29.626287,1.6720206603697602E-6,4500.0,99.9,99.7999983999872,99.80952380952381,99.79296066252587,64500.0,216224.0
4600.0,29.707276,1.6765509666378298E-6,4600.0,99.9,99.79991196126295,99.80879541108987,99.78858350951374,64600.0,216224.0
4700.0,29.783036,1.6807887767462265E-6,4700.0,99.9,99.79999519988479,99.8076923076923,99.79296066252587,64700.0,216224.0
4800.0,29.85794,1.684978704522881E-6,4800.0,100.0,100.0,100.0,100.0,64800.0,216224.0
4900.0,29.938935,1.6895093464147712E-6,4900.0,100.0,100.0,100.0,100.0,64900.0,216224.0
5000.0,30.024915,1.6943188357642955E-6,5000.0,100.0,100.0,100.0,100.0,65000.0,216224.0
5100.0,30.099271,1.6984781098986664E-6,5100.0,99.9,99.79989434421374,99.80842911877394,99.79716024340772,65100.0,216224.0
5200.0,30.177868,1.7029087737450995E-6,5200.0,99.8,99.59996159631325,99.61832061068702,99.5959595959596,65200.0,217904.0
5300.0,30.256539,1.7073504474676315E-6,5300.0,99.8,99.5999951999424,99.62616822429906,99.5959595959596,65300.0,218240.0
5400.0,30.340402,1.7120998348295685E-6,5400.0,99.8,99.59998719959039,99.61389961389962,99.59183673469387,65400.0,218912.0
5500.0,30.425208,1.7169099984483583E-6,5500.0,99.8,99.59984153724875,99.6124031007752,99.58677685950413,65500.0,219248.0
5600.0,30.507665,1.721586927692923E-6,5600.0,99.8,99.59942316936389,99.609375,99.59183673469387,65600.0,219248.0
5700.0,30.589562,1.7262320939534238E-6,5700.0,99.8,99.5997710690515,99.60861056751467,99.58246346555325,65700.0,219248.0
5800.0,30.672307,1.730932550927003E-6,5800.0,99.8,99.5999439921589,99.60396039603961,99.59016393442623,65800.0,219584.0
5900.0,30.751798,1.7354481594264504E-6,5900.0,99.8,99.59998719959039,99.60079840319361,99.59266802443992,65900.0,219584.0
6000.0,30.82793,1.739772954765293E-6,6000.0,99.8,99.59973101924493,99.609375,99.5959595959596,66000.0,219584.0
6100.0,30.904524,1.7441239947246178E-6,6100.0,99.9,99.79999039953917,99.80879541108987,99.79296066252587,66100.0,219584.0
6200.0,30.983244,1.7485958053833906E-6,6200.0,99.9,99.7999839987199,99.80806142034548,99.78991596638656,66200.0,219584.0
6300.0,31.059375,1.7529205439156954E-6,6300.0,99.9,99.79995518996255,99.80392156862746,99.79166666666667,66300.0,219584.0
6400.0,31.133995,1.7571594477693239E-6,6400.0,99.9,99.79997599711965,99.80506822612085,99.79381443298969,66400.0,219584.0
6500.0,31.21348,1.7616747154295443E-6,6500.0,99.8,99.59980630625222,99.60707269155206,99.59432048681542,66500.0,219584.0
6600.0,31.288927,1.7659605982899664E-6,6600.0,99.8,99.59953706484697,99.60552268244575,99.59266802443992,66600.0,219584.0
6700.0,31.373887,1.7707868817448615E-6,6700.0,99.8,99.59899749373433,99.60861056751467,99.58932238193019,66700.0,219584.0
6800.0,31.453885,1.7753312911589939E-6,6800.0,99.8,99.59948092728176,99.61013645224172,99.58847736625515,66800.0,219584.0
6900.0,31.530166,1.7796645506719746E-6,6900.0,99.8,99.59958998013965,99.61538461538461,99.58677685950413,66900.0,219584.0
7000.0,31.61365,1.7844069876770176E-6,7000.0,99.8,99.6,99.6078431372549,99.59758551307847,67000.0,219584.0
7100.0,31.688198,1.7886418014599216E-6,7100.0,99.8,99.5999743983615,99.60079840319361,99.59349593495935,67100.0,219584.0
7200.0,31.765821,1.7930512953466837E-6,7200.0,99.9,99.7999983999872,99.79674796747967,99.7946611909651,67200.0,219584.0
7300.0,31.850758,1.7978762722512085E-6,7300.0,99.9,99.79997599711965,99.79591836734694,99.79338842975206,67300.0,219584.0
7400.0,31.936966,1.802773450265328E-6,7400.0,99.9,99.79992797407067,99.79508196721312,99.7946611909651,67400.0,219584.0
7500.0,32.019122,1.8074404481881193E-6,7500.0,100.0,100.0,100.0,100.0,67500.0,219584.0
7600.0,32.103339,1.8122245243853992E-6,7600.0,100.0,100.0,100.0,100.0,67600.0,219584.0
7700.0,32.184962,1.8168612444235217E-6,7700.0,99.9,99.7999839987199,99.79508196721312,99.8,67700.0,219584.0
7800.0,32.263234,1.8213076057533422E-6,7800.0,99.9,99.8,99.78991596638656,99.79716024340772,67800.0,219584.0
7900.0,32.349421,1.8262035908301671E-6,7900.0,99.9,99.79999519988479,99.78021978021978,99.79508196721312,67900.0,219584.0
