learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,3.989194,5.60008463387688E-8,100.0,99.0,97.99839871897518,98.0,97.72727272727273,60100.0,54264.0
200.0,4.029177,5.6562133114784955E-8,200.0,99.5,98.994368463395,98.96907216494846,98.79518072289156,60200.0,54264.0
300.0,4.053871,5.690879083548983E-8,300.0,99.66666666666667,99.3278967649431,99.31972789115648,99.21259842519686,60300.0,54264.0
400.0,4.076851,5.723138719176253E-8,400.0,99.75,99.49657672170761,99.4871794871795,99.42528735632186,60400.0,54264.0
500.0,4.097396,5.7519800687829654E-8,500.0,99.6,99.19317099933839,99.19678714859438,99.07834101382488,60500.0,54264.0
600.0,4.115917,5.7779800997426116E-8,600.0,99.66666666666667,99.32704494218196,99.31972789115648,99.23371647509579,60600.0,54264.0
700.0,4.136591,5.807002541298668E-8,700.0,99.57142857142857,99.13713759779105,99.12790697674417,99.0353697749196,60700.0,54264.0
800.0,4.15863,5.837941188365221E-8,800.0,99.625,99.24669487375861,99.23273657289002,99.17355371900825,60800.0,54264.0
900.0,4.177375,5.864255673562487E-8,900.0,99.66666666666667,99.33220550262666,99.31972789115648,99.28741092636581,60900.0,54264.0
1000.0,4.196623,5.8912762769808374E-8,1000.0,99.7,99.39878313706943,99.39516129032258,99.3576017130621,61000.0,54264.0
1100.0,4.214202,5.915953915566206E-8,1100.0,99.8,99.59922570406025,99.59016393442623,99.57627118644068,61100.0,54264.0
1200.0,4.232287,5.9413418838133415E-8,1200.0,99.8,99.59959158341508,99.59100204498978,99.58592132505176,61200.0,54264.0
1300.0,4.248671,5.96434196519355E-8,1300.0,99.8,99.59948253143061,99.58246346555325,99.58419958419958,61300.0,54264.0
1400.0,4.264362,5.986369203776121E-8,1400.0,99.8,99.59987195902688,99.58847736625515,99.59183673469387,61400.0,54264.0
1500.0,4.279814,6.00806093091766E-8,1500.0,99.9,99.7999839987199,99.78902953586498,99.800796812749,61500.0,54264.0
1600.0,4.295432,6.029985691110293E-8,1600.0,99.9,99.79985429392599,99.79209979209979,99.8019801980198,61600.0,54264.0
1700.0,4.312272,6.053625911474228E-8,1700.0,100.0,100.0,100.0,100.0,61700.0,54264.0
1800.0,4.331703,6.080903412774205E-8,1800.0,99.9,99.79995518996255,99.79123173277662,99.80276134122288,61800.0,54264.0
1900.0,4.350232,6.106914674242338E-8,1900.0,99.9,99.79999039953917,99.79296066252587,99.79797979797979,61900.0,54264.0
2000.0,4.369685,6.134223059440653E-8,2000.0,99.9,99.79992797407067,99.78991596638656,99.79879275653923,62000.0,54264.0
2100.0,4.385688,6.156688287854196E-8,2100.0,99.9,99.79962971571464,99.79209979209979,99.7946611909651,62100.0,54264.0
2200.0,4.401458,6.17882642770807E-8,2200.0,99.8,99.59929475877544,99.58333333333333,99.59016393442623,62200.0,54264.0
2300.0,4.416457,6.199882227306566E-8,2300.0,99.8,99.59907787912198,99.59016393442623,99.60079840319361,62300.0,54264.0
2400.0,4.431707,6.221290384108823E-8,2400.0,99.8,99.59980790779575,99.5850622406639,99.60159362549801,62400.0,54264.0
2500.0,4.447208,6.243050898114841E-8,2500.0,99.8,99.6,99.58419958419958,99.59919839679358,62500.0,54264.0
2600.0,4.463168,6.265455762545268E-8,2600.0,99.8,99.59997599855991,99.57446808510639,99.60079840319361,62600.0,54264.0
2700.0,4.478419,6.286865323161087E-8,2700.0,99.8,99.59997599855991,99.57356076759062,99.59919839679358,62700.0,54264.0
2800.0,4.493835,6.308506513014437E-8,2800.0,99.9,99.79996639435426,99.7872340425532,99.79674796747967,62800.0,54264.0
2900.0,4.508732,6.32941912362973E-8,2900.0,99.9,99.79999039953917,99.78260869565217,99.79797979797979,62900.0,54264.0
3000.0,4.522908,6.349319584667684E-8,3000.0,99.9,99.79999039953917,99.78540772532189,99.79716024340772,63000.0,54264.0
3100.0,4.537773,6.370187273249032E-8,3100.0,99.9,99.7997548999976,99.7867803837953,99.79838709677419,63100.0,54264.0
3200.0,4.551867,6.389972621575E-8,3200.0,100.0,100.0,100.0,100.0,63200.0,54264.0
3300.0,4.568169,6.412857590243222E-8,3300.0,100.0,100.0,100.0,100.0,63300.0,54264.0
3400.0,4.582118,6.432439385602874E-8,3400.0,100.0,100.0,100.0,100.0,63400.0,54264.0
3500.0,4.596115,6.452088564013444E-8,3500.0,99.9,99.79996639435426,99.7907949790795,99.79959919839679,63500.0,54264.0
3600.0,4.608918,6.470061589032414E-8,3600.0,99.9,99.79996639435426,99.79838709677419,99.800796812749,63600.0,54264.0
3700.0,4.621165,6.487254093711577E-8,3700.0,99.9,99.79996639435426,99.79959919839679,99.800796812749,63700.0,54264.0
3800.0,4.633773,6.504953375086192E-8,3800.0,99.8,99.5999743983615,99.60396039603961,99.59758551307847,63800.0,54264.0
3900.0,4.646019,6.522144475951793E-8,3900.0,99.8,99.5999215846306,99.61089494163424,99.59514170040485,63900.0,54264.0
4000.0,4.659029,6.54040809037785E-8,4000.0,99.8,99.5999935998976,99.61089494163424,99.60079840319361,64000.0,54264.0
4100.0,4.671306,6.557642709463837E-8,4100.0,99.8,99.59953706484697,99.60317460317461,99.60317460317461,64100.0,54264.0
4200.0,4.683368,6.574575508634253E-8,4200.0,99.8,99.6,99.61315280464217,99.59349593495935,64200.0,54264.0
4300.0,4.696079,6.592419382805629E-8,4300.0,99.8,99.5999743983615,99.61013645224172,99.59016393442623,64300.0,54264.0
4400.0,4.708656,6.610075145959857E-8,4400.0,99.8,99.5999215846306,99.61612284069098,99.59432048681542,64400.0,54264.0
4500.0,4.721233,6.627730909114085E-8,4500.0,99.9,99.7999983999872,99.80952380952381,99.79296066252587,64500.0,54264.0
4600.0,4.733723,6.645264540488523E-8,4600.0,99.9,99.79991196126295,99.80879541108987,99.78858350951374,64600.0,54264.0
4700.0,4.74588,6.662330701947214E-8,4700.0,99.9,99.79999519988479,99.8076923076923,99.79296066252587,64700.0,54264.0
4800.0,4.758331,6.679809584592781E-8,4800.0,100.0,100.0,100.0,100.0,64800.0,54264.0
4900.0,4.770753,6.697247756645084E-8,4900.0,100.0,100.0,100.0,100.0,64900.0,54264.0
5000.0,4.784144,6.716046224037807E-8,5000.0,100.0,100.0,100.0,100.0,65000.0,54264.0
5100.0,4.796979,6.734064171090724E-8,5100.0,99.9,99.79989434421374,99.80842911877394,99.79716024340772,65100.0,54264.0
5200.0,4.811005,6.753754060094557E-8,5200.0,99.8,99.59996159631325,99.61832061068702,99.5959595959596,65200.0,54264.0
5300.0,4.823506,6.771303133418164E-8,5300.0,99.8,99.5999951999424,99.62616822429906,99.5959595959596,65300.0,54264.0
5400.0,4.836926,6.79014231140415E-8,5400.0,99.8,99.59998719959039,99.61389961389962,99.59183673469387,65400.0,54264.0
5500.0,4.850304,6.808922529220583E-8,5500.0,99.8,99.59984153724875,99.6124031007752,99.58677685950413,65500.0,54264.0
5600.0,4.863732,6.827772937715056E-8,5600.0,99.8,99.59942316936389,99.609375,99.59183673469387,65600.0,54264.0
5700.0,4.877013,6.84641698561609E-8,5700.0,99.8,99.5997710690515,99.60861056751467,99.58246346555325,65700.0,54264.0
5800.0,4.889597,6.864082575465245E-8,5800.0,99.8,99.5999439921589,99.60396039603961,99.59016393442623,65800.0,54264.0
5900.0,4.90222,6.88180291404327E-8,5900.0,99.8,99.59998719959039,99.60079840319361,99.59266802443992,65900.0,54264.0
6000.0,4.915008,6.899754881858828E-8,6000.0,99.8,99.59973101924493,99.609375,99.5959595959596,66000.0,54264.0
6100.0,4.928148,6.918200992047789E-8,6100.0,99.9,99.79999039953917,99.80879541108987,99.79296066252587,66100.0,54264.0
6200.0,4.941542,6.937003670881194E-8,6200.0,100.0,100.0,100.0,100.0,66200.0,54264.0
6300.0,4.954429,6.955094616239272E-8,6300.0,100.0,100.0,100.0,100.0,66300.0,54264.0
6400.0,4.967129,6.972923048461479E-8,6400.0,100.0,100.0,100.0,100.0,66400.0,54264.0
6500.0,4.984216,6.996910010774933E-8,6500.0,99.9,99.79991196126295,99.80353634577604,99.79716024340772,66500.0,54264.0
6600.0,4.997172,7.015097819268706E-8,6600.0,99.9,99.79978216299334,99.80276134122288,99.79633401221996,66600.0,54264.0
6700.0,5.011213,7.034808765475951E-8,6700.0,99.9,99.79951884522855,99.80430528375733,99.7946611909651,66700.0,54264.0
6800.0,5.025435,7.054773801937702E-8,6800.0,99.9,99.7997548999976,99.80506822612085,99.79423868312757,66800.0,54264.0
6900.0,5.039645,7.074721992636724E-8,6900.0,99.9,99.79980781550289,99.8076923076923,99.79338842975206,66900.0,54264.0
7000.0,5.053556,7.094250443081065E-8,7000.0,99.9,99.8,99.80392156862746,99.79879275653923,67000.0,54264.0
7100.0,5.066303,7.11214485454063E-8,7100.0,99.9,99.7999839987199,99.8003992015968,99.79674796747967,67100.0,54264.0
7200.0,5.078598,7.129404742270712E-8,7200.0,99.9,99.7999983999872,99.79674796747967,99.7946611909651,67200.0,54264.0
7300.0,5.090655,7.146330522373322E-8,7300.0,99.9,99.79997599711965,99.79591836734694,99.79338842975206,67300.0,54264.0
7400.0,5.102637,7.163151016458873E-8,7400.0,99.9,99.79992797407067,99.79508196721312,99.7946611909651,67400.0,54264.0
7500.0,5.114226,7.179419811815027E-8,7500.0,100.0,100.0,100.0,100.0,67500.0,54264.0
7600.0,5.126407,7.196519664799178E-8,7600.0,100.0,100.0,100.0,100.0,67600.0,54264.0
7700.0,5.13959,7.215026138971253E-8,7700.0,99.9,99.7999839987199,99.79508196721312,99.8,67700.0,54264.0
7800.0,5.152353,7.23294301144779E-8,7800.0,99.9,99.8,99.78991596638656,99.79716024340772,67800.0,54264.0
7900.0,5.164563,7.250083575025204E-8,7900.0,99.9,99.79999519988479,99.78021978021978,99.79508196721312,67900.0,54264.0
8000.0,5.176385,7.266679458941026E-8,8000.0,99.9,99.79980781550289,99.78118161925602,99.78947368421053,68000.0,54264.0
8100.0,5.188627,7.283864944552385E-8,8100.0,99.9,99.79947864447564,99.77728285077951,99.78902953586498,68100.0,54264.0
8200.0,5.201279,7.301625993723674E-8,8200.0,99.8,99.59845807902344,99.56236323851203,99.57983193277312,68200.0,54264.0
8300.0,5.21384,7.319259295860929E-8,8300.0,99.8,99.5985564088462,99.56236323851203,99.581589958159,68300.0,54264.0
8400.0,5.226278,7.336719928930206E-8,8400.0,99.8,99.59874326390255,99.56331877729258,99.5850622406639,68400.0,54264.0
8500.0,5.239477,7.355248864119254E-8,8500.0,99.8,99.59953866854616,99.56427015250544,99.57894736842105,68500.0,54264.0
8600.0,5.253071,7.37433230566482E-8,8600.0,99.8,99.59984153724875,99.56331877729258,99.58932238193019,68600.0,54264.0
8700.0,5.266337,7.392955296362442E-8,8700.0,99.9,99.79992797407067,99.78213507625271,99.79296066252587,68700.0,54264.0
8800.0,5.279132,7.410917090872925E-8,8800.0,99.9,99.79992797407067,99.7872340425532,99.79423868312757,68800.0,54264.0
8900.0,5.292233,7.429308452333015E-8,8900.0,99.9,99.79983185876135,99.79035639412997,99.79508196721312,68900.0,54264.0
9000.0,5.305308,7.447663314640524E-8,9000.0,99.9,99.8,99.79253112033194,99.79838709677419,69000.0,54264.0
9100.0,5.318222,7.465792162964743E-8,9100.0,99.9,99.79999039953917,99.79550102249489,99.80237154150198,69100.0,54264.0
9200.0,5.331864,7.484942987561228E-8,9200.0,100.0,100.0,100.0,100.0,69200.0,54264.0
9300.0,5.344935,7.503292234614494E-8,9300.0,100.0,100.0,100.0,100.0,69300.0,54264.0
9400.0,5.357818,7.521377564718328E-8,9400.0,100.0,100.0,100.0,100.0,69400.0,54264.0
9500.0,5.370854,7.539677678296965E-8,9500.0,100.0,100.0,100.0,100.0,69500.0,54264.0
9600.0,5.383853,7.557925850773854E-8,9600.0,100.0,100.0,100.0,100.0,69600.0,54264.0
9700.0,5.396656,7.575898875792824E-8,9700.0,100.0,100.0,100.0,100.0,69700.0,54264.0
9800.0,5.409597,7.594065627083185E-8,9800.0,100.0,100.0,100.0,100.0,69800.0,54264.0
9900.0,5.422428,7.612077958881858E-8,9900.0,100.0,100.0,100.0,100.0,69900.0,54264.0
10000.0,5.435594,7.6305605682234E-8,10000.0,100.0,100.0,100.0,100.0,70000.0,54264.0
10100.0,5.450431,7.651388950025045E-8,10100.0,99.6,99.1998847834088,99.2156862745098,99.19028340080972,70100.0,54264.0
10200.0,5.46787,7.6758700547119E-8,10200.0,99.6,99.19961261250445,99.21414538310412,99.18200408997954,70200.0,54264.0
10300.0,5.487066,7.702817659825088E-8,10300.0,99.4,98.79905846183408,98.80952380952381,98.76543209876543,70300.0,54264.0
10400.0,5.506615,7.73026081112524E-8,10400.0,99.1,98.19803946694003,98.2107355864811,98.13664596273291,70400.0,54264.0
10500.0,5.533596,7.759370219790274E-8,10500.0,98.3,96.59673286354901,96.5376782077393,96.48760330578511,90.0,41704.0
10600.0,5.546486,7.77327705340253E-8,10600.0,98.0,95.99421564739484,95.88477366255144,95.84199584199584,190.0,41704.0
10700.0,5.557583,7.785249445380437E-8,10700.0,98.0,95.99639675708137,95.96774193548386,95.8762886597938,290.0,41704.0
10800.0,5.568647,7.797186234138078E-8,10800.0,97.39999999999999,94.79325205466283,94.70468431771893,94.6058091286307,390.0,41704.0
10900.0,5.580357,7.809819982904527E-8,10900.0,97.1,94.18823699167113,93.95833333333333,93.92033542976938,490.0,41704.0
11000.0,5.591974,7.822353395322958E-8,11000.0,96.6,93.1921573652848,92.91666666666666,92.9460580912863,590.0,41704.0
11100.0,5.601994,7.8331638276577E-8,11100.0,96.89999999999999,93.79478762160214,93.59504132231405,93.6082474226804,690.0,41704.0
11200.0,5.612564,7.844567646996842E-8,11200.0,96.3,92.5991118934272,92.40246406570841,92.51012145748987,790.0,41704.0
11300.0,5.623295,7.856145166895456E-8,11300.0,96.3,92.5999407995264,92.44897959183673,92.570281124498,890.0,41704.0
11400.0,5.633455,7.867106643194954E-8,11400.0,96.1,92.2000623995008,92.00819672131146,92.13709677419354,990.0,41704.0
11500.0,5.644095,7.878585984516476E-8,11500.0,96.5,92.9993279354818,92.76859504132231,92.79835390946502,1090.0,41704.0
11600.0,5.65706,7.892573734538424E-8,11600.0,96.39999999999999,92.79662882228882,92.69776876267748,92.66802443991853,1190.0,41704.0
11700.0,5.667777,7.904136150040561E-8,11700.0,96.1,92.199375950076,92.10526315789474,92.18436873747494,1290.0,41704.0
11800.0,5.678606,7.915819400714504E-8,11800.0,96.0,91.99932794354724,91.93548387096774,92.01596806387225,1390.0,41704.0
11900.0,5.689072,7.927111015965542E-8,11900.0,95.89999999999999,91.79986879790076,91.94499017681729,91.89723320158102,1490.0,41704.0
12000.0,5.699053,7.937879371767244E-8,12000.0,96.2,92.39854051977979,92.41516966067863,92.35412474849095,1590.0,41704.0
12100.0,5.708005,7.947537554427983E-8,12100.0,95.89999999999999,91.79658738035022,91.81636726546905,91.66666666666666,1690.0,41704.0
12200.0,5.717148,7.957401804212068E-8,12200.0,96.1,92.1992511281083,92.12121212121211,92.15291750503017,1790.0,41704.0
12300.0,5.726525,7.96751851319439E-8,12300.0,95.89999999999999,91.8,91.56378600823044,91.83266932270917,1890.0,41704.0
12400.0,5.736514,7.978295500079792E-8,12400.0,96.2,92.39999999999999,92.16494845360825,92.39999999999999,1990.0,41704.0
12500.0,5.745891,7.988412209062114E-8,12500.0,96.3,92.5941345545672,92.52525252525253,92.67326732673267,2090.0,41704.0
12600.0,5.75517,7.998423187269106E-8,12600.0,96.5,92.99445160567169,92.78350515463917,93.06930693069306,2190.0,41704.0
12700.0,5.764964,8.00898979148931E-8,12700.0,96.7,93.39999999999999,93.19587628865979,93.39999999999999,2290.0,41704.0
12800.0,5.774578,8.019362196326257E-8,12800.0,97.3,94.59857402354221,94.57831325301204,94.55645161290323,2390.0,41704.0
12900.0,5.784516,8.03008416005307E-8,12900.0,97.2,94.39955196415713,94.25051334702258,94.39999999999999,2490.0,41704.0
13000.0,5.794133,8.040459801546404E-8,13000.0,96.8,93.5996671826935,93.56136820925552,93.63817097415506,2590.0,41704.0
13100.0,5.803293,8.050342392383352E-8,13100.0,96.6,93.19999999999999,93.14516129032258,93.19999999999999,2690.0,41704.0
