learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,7.758023,1.2019558122174607E-7,100.0,98.0,95.99839935974389,96.0,95.45454545454545,60100.0,59888.0
200.0,7.808025,1.2097026562939086E-7,200.0,99.0,97.99015174354336,97.9381443298969,97.59036144578313,60200.0,59888.0
300.0,7.839956,1.2146497479743427E-7,300.0,99.33333333333333,98.65657606018539,98.63945578231291,98.42519685039369,60300.0,59888.0
400.0,7.87016,1.219329274362988E-7,400.0,99.5,98.99355877616746,98.97435897435898,98.85057471264368,60400.0,59888.0
500.0,7.899056,1.2238061514165667E-7,500.0,99.4,98.79020550375843,98.79518072289156,98.61751152073732,60500.0,59888.0
600.0,7.926246,1.2280187167227268E-7,600.0,99.5,98.99089563618423,98.9795918367347,98.85057471264368,60600.0,59888.0
700.0,7.958406,1.233001287529866E-7,700.0,99.42857142857143,98.84979090841873,98.83720930232559,98.7138263665595,60700.0,59888.0
800.0,7.98597,1.237271796911955E-7,800.0,99.375,98.74491691349968,98.72122762148338,98.62258953168045,60800.0,59888.0
900.0,8.01221,1.2413371780680288E-7,900.0,99.44444444444444,98.88721834259827,98.86621315192744,98.812351543943,60900.0,59888.0
1000.0,8.038565,1.245420376252797E-7,1000.0,99.5,98.99815660815902,98.99193548387096,98.92933618843684,61000.0,59888.0
1100.0,8.063328,1.2492569247881572E-7,1100.0,99.7,99.39889396489541,99.38524590163934,99.36440677966102,61100.0,59888.0
1200.0,8.090242,1.2534267292254502E-7,1200.0,99.6,99.19929217428206,99.18200408997954,99.17184265010351,61200.0,59888.0
1300.0,8.116511,1.2574966033713686E-7,1300.0,99.6,99.19908695913341,99.16492693110646,99.16839916839916,61300.0,59888.0
1400.0,8.140617,1.2612313624471426E-7,1400.0,99.6,99.19980795390893,99.1769547325103,99.18367346938776,61400.0,59888.0
1500.0,8.165307,1.265056601042549E-7,1500.0,99.7,99.39993279247275,99.36708860759494,99.40239043824701,61500.0,59888.0
1600.0,8.194539,1.269585534806053E-7,1600.0,99.7,99.39950038431975,99.37629937629937,99.4059405940594,61600.0,59888.0
1700.0,8.224566,1.2742376384635768E-7,1700.0,99.8,99.59973101924493,99.581589958159,99.60474308300395,61700.0,59888.0
1800.0,8.253627,1.2787400790800653E-7,1800.0,99.8,99.599899174592,99.58246346555325,99.60552268244575,61800.0,59888.0
1900.0,8.278774,1.2826361209981975E-7,1900.0,99.8,99.59997599855991,99.58592132505176,99.5959595959596,61900.0,59888.0
2000.0,8.30381,1.286514965610372E-7,2000.0,99.8,99.59984153724875,99.57983193277312,99.59758551307847,62000.0,59888.0
2100.0,8.327973,1.2902585557351514E-7,2100.0,99.8,99.59922570406025,99.58419958419958,99.58932238193019,62100.0,59888.0
2200.0,8.351698,1.2939342862202065E-7,2200.0,99.8,99.59929475877544,99.58333333333333,99.59016393442623,62200.0,59888.0
2300.0,8.376367,1.2977562712712425E-7,2300.0,99.8,99.59907787912198,99.59016393442623,99.60079840319361,62300.0,59888.0
2400.0,8.401784,1.301694144474136E-7,2400.0,99.8,99.59980790779575,99.5850622406639,99.60159362549801,62400.0,59888.0
2500.0,8.426011,1.3054476501627106E-7,2500.0,99.8,99.6,99.58419958419958,99.59919839679358,62500.0,59888.0
2600.0,8.449506,1.3090877465903764E-7,2600.0,99.8,99.59997599855991,99.57446808510639,99.60079840319361,62600.0,59888.0
2700.0,8.473388,1.312787801192867E-7,2700.0,99.8,99.59997599855991,99.57356076759062,99.59919839679358,62700.0,59888.0
2800.0,8.496797,1.3164145735816828E-7,2800.0,99.9,99.79996639435426,99.7872340425532,99.79674796747967,62800.0,59888.0
2900.0,8.519866,1.3199886695378362E-7,2900.0,99.9,99.79999039953917,99.78260869565217,99.79797979797979,62900.0,59888.0
3000.0,8.543614,1.3236679634286304E-7,3000.0,99.9,99.79999039953917,99.78540772532189,99.79716024340772,63000.0,59888.0
3100.0,8.567065,1.327301242906187E-7,3100.0,99.9,99.7997548999976,99.7867803837953,99.79838709677419,63100.0,59888.0
3200.0,8.58905,1.3307073940005575E-7,3200.0,100.0,100.0,100.0,100.0,63200.0,59888.0
3300.0,8.613305,1.3344652377482925E-7,3300.0,100.0,100.0,100.0,100.0,63300.0,59888.0
3400.0,8.63753,1.3382184335754984E-7,3400.0,99.9,99.79987512207617,99.7867803837953,99.79674796747967,63400.0,59888.0
3500.0,8.662327,1.342060249754125E-7,3500.0,99.8,99.59992318525157,99.581589958159,99.59919839679358,63500.0,59888.0
3600.0,8.686241,1.345765262138513E-7,3600.0,99.8,99.59992318525157,99.59677419354838,99.60159362549801,63600.0,59888.0
3700.0,8.710109,1.3494631477114234E-7,3700.0,99.8,99.59992318525157,99.59919839679358,99.60159362549801,63700.0,59888.0
3800.0,8.733462,1.3530812439819184E-7,3800.0,99.8,99.59996159631325,99.60396039603961,99.59758551307847,63800.0,59888.0
3900.0,8.757077,1.3567399320917005E-7,3900.0,99.8,99.599899174592,99.61089494163424,99.59514170040485,63900.0,59888.0
4000.0,8.780019,1.3602943518509475E-7,4000.0,99.8,99.59998719959039,99.61089494163424,99.60079840319361,64000.0,59888.0
4100.0,8.802391,1.3637604611201427E-7,4100.0,99.8,99.59948253143061,99.60317460317461,99.60317460317461,64100.0,59888.0
4200.0,8.825114,1.3672809510595276E-7,4200.0,99.8,99.6,99.61315280464217,99.59349593495935,64200.0,59888.0
4300.0,8.848487,1.3709021459437085E-7,4300.0,99.8,99.59998719959039,99.61013645224172,99.59016393442623,64300.0,59888.0
4400.0,8.871497,1.374467100989488E-7,4400.0,99.9,99.79996639435426,99.80806142034548,99.79716024340772,64400.0,59888.0
4500.0,8.89471,1.3780635069641808E-7,4500.0,100.0,100.0,100.0,100.0,64500.0,59888.0
4600.0,8.917356,1.3815720672408746E-7,4600.0,100.0,100.0,100.0,100.0,64600.0,59888.0
4700.0,8.940545,1.385164754879144E-7,4700.0,100.0,100.0,100.0,100.0,64700.0,59888.0
4800.0,8.964654,1.388899978746971E-7,4800.0,100.0,100.0,100.0,100.0,64800.0,59888.0
4900.0,8.988038,1.3925228778686795E-7,4900.0,100.0,100.0,100.0,100.0,64900.0,59888.0
5000.0,9.013056,1.3963989337285367E-7,5000.0,100.0,100.0,100.0,100.0,65000.0,59888.0
5100.0,9.037587,1.400199538345139E-7,5100.0,99.9,99.79989434421374,99.80842911877394,99.79716024340772,65100.0,59888.0
5200.0,9.063533,1.404219369880028E-7,5200.0,99.8,99.59996159631325,99.61832061068702,99.5959595959596,65200.0,59888.0
