learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,9.387575,2.0440807892009616E-7,100.0,56.00000000000001,11.752908142799857,12.00000000000001,0.0,60100.0,84168.0,10.0,193255.89999999997,209128.86061333888,358207.19999999995,391488.1060877556,2909.1999999999994,3180.640110278293,1455.0999999999997,1590.3200551391465,1455.0999999999997,1590.3200551391465,12.0,9.966610925150702,0.0,0.0,0.0,0.0,1.0,0.0
200.0,9.608601,2.0898976464859312E-7,200.0,78.0,55.595922898375214,54.639175257731964,46.98795180722893,60200.0,80128.0,10.0,118019.49999999999,190158.0405225845,234424.00000000003,375851.8811612421,1903.0,3052.875074781512,952.0,1526.437537390756,952.0,1526.437537390756,8.4,9.477458637325844,0.0,0.0,0.0,0.0,1.0,0.0
300.0,9.654337,2.099131289269361E-7,300.0,85.0,69.68472109943411,69.38775510204081,64.56692913385827,60300.0,78040.0,10.0,72401.8,147285.6743503741,154529.59999999998,322939.30806033645,1253.6,2622.0799292842994,627.3,1311.0399646421497,627.3,1311.0399646421497,7.0,7.7746025264604,0.0,0.0,0.0,0.0,1.0,0.0
400.0,9.684139,2.1049339921731085E-7,400.0,88.75,77.30939895118999,76.92307692307692,74.13793103448275,60400.0,75264.0,10.0,38986.299999999996,112031.07681755094,80435.99999999999,249061.47824003434,652.1999999999999,2022.7486689595862,326.59999999999997,1011.3743344797931,326.59999999999997,1011.3743344797931,5.4,5.295700562196133,0.0,0.0,0.0,0.0,1.0,0.0
500.0,9.706042,2.1092462896886796E-7,500.0,90.8,81.41534284652306,81.52610441767068,78.80184331797237,60500.0,76104.0,10.0,40125.8,111845.38373308038,80708.00000000001,249140.5909209586,654.4,2023.3844145117084,327.7,1011.6922072558542,327.7,1011.6922072558542,6.0,5.0990195135927845,0.0,0.0,0.0,0.0,1.0,0.0
600.0,9.761122,2.119970834213826E-7,600.0,92.33333333333333,84.5018698830902,84.35374149659864,82.37547892720308,60600.0,75264.0,10.0,41257.899999999994,111650.54265325658,80954.40000000001,249142.61012217257,656.4,2023.3962757919887,328.7,1011.6981378959944,328.7,1011.6981378959944,6.0,5.0990195135927845,0.0,0.0,0.0,0.0,1.0,0.0
700.0,9.782619,2.1239834156508245E-7,700.0,93.42857142857143,86.75365919880207,86.62790697674419,85.20900321543408,60700.0,72152.0,10.0,6583.7,2029.5349248315758,2297.6,1703.4169059732722,17.599999999999998,13.82590161817867,9.299999999999999,6.912950809089335,9.299999999999999,6.912950809089335,4.5,1.7159383568311668,0.0,0.0,0.0,0.0,1.0,0.0
800.0,9.792887,2.125926793221798E-7,800.0,94.0,87.93689488134804,87.7237851662404,86.77685950413222,60800.0,73160.0,10.0,7794.700000000001,2025.9903504212455,2690.3999999999996,1814.1764706518125,20.8,14.74072212915259,10.9,7.370361064576295,10.9,7.370361064576295,5.1,1.3703203194062976,0.0,0.0,0.0,0.0,1.0,0.0
900.0,9.802873,2.12783415828728E-7,900.0,94.66666666666667,89.31026462044017,89.1156462585034,88.59857482185272,60900.0,73832.0,10.0,8991.099999999999,2008.2250012275902,2988.8,2122.9118786337895,23.200000000000003,17.19043661781489,12.100000000000001,8.595218308907445,12.100000000000001,8.595218308907445,5.5,1.7159383568311668,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,9.813035,2.1297928063612844E-7,1000.0,95.19999999999999,90.3760942180376,90.32258064516128,89.72162740899357,61000.0,74504.0,10.0,10166.9,2024.373837346584,3352.0,2591.785999396298,26.200000000000003,21.064978835340266,13.600000000000001,10.532489417670133,13.600000000000001,10.532489417670133,5.6,1.7763883459298973,0.0,0.0,0.0,0.0,1.0,0.0
