learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,373.12286,1.947995123424464E-5,1000.0,91.10000000000001,81.45122296880471,76.07526881720432,78.34549878345499,444446.0,201808.0
2000.0,374.528291,1.9553753375847723E-5,2000.0,89.8,78.80228769036378,79.05544147843942,75.48076923076924,445446.0,202984.0
3000.0,375.845802,1.962179342720658E-5,3000.0,93.8,87.53252603087911,86.25277161862527,87.08333333333333,446446.0,199624.0
4000.0,377.08164,1.9686045343478525E-5,4000.0,91.3,77.02594220043942,79.43262411347519,68.59205776173287,447446.0,200968.0
5000.0,378.487016,1.975911163621479E-5,5000.0,91.10000000000001,72.94964378632042,76.01078167115904,61.637931034482776,448446.0,200968.0
6000.0,379.765082,1.982600338565393E-5,6000.0,93.0,81.76921914961221,81.95876288659795,73.78277153558055,449446.0,202312.0
7000.0,381.178396,1.9900035205015707E-5,7000.0,89.7,77.23656294200849,75.24038461538463,71.06741573033707,450446.0,202480.0
8000.0,382.706228,1.9979468054419593E-5,8000.0,91.3,81.4245452216244,81.87500000000001,77.51937984496125,451446.0,200968.0
9000.0,384.36877,2.0064338985950587E-5,9000.0,89.2,77.0184405735176,77.40585774058579,72.09302325581396,452446.0,197328.0
10000.0,385.765603,2.013732537587691E-5,10000.0,91.4,81.7765723003899,83.5249042145594,78.06122448979593,453446.0,201976.0
11000.0,387.084783,2.020461072298595E-5,11000.0,91.0,79.93794136528997,80.51948051948052,74.57627118644069,454446.0,197160.0
12000.0,388.591456,2.0282223195414997E-5,12000.0,85.39999999999999,70.12298688276341,71.59533073929961,67.19101123595505,455446.0,199120.0
13000.0,390.055636,2.0354910409158724E-5,13000.0,88.0,75.94081440343244,75.40983606557377,75.80645161290323,456446.0,191896.0
14000.0,391.454633,2.042490892735414E-5,14000.0,89.7,79.2504371509843,80.03875968992249,76.95749440715885,457446.0,193408.0
15000.0,392.837347,2.0492610382584655E-5,15000.0,89.2,78.36122331217543,79.06976744186048,76.92307692307693,458446.0,189264.0
16000.0,394.216149,2.0560959247100276E-5,16000.0,91.3,82.19621004379324,82.53012048192771,81.25000000000001,459446.0,191616.0
17000.0,395.558912,2.0627988485592527E-5,17000.0,94.6,88.94679313718666,88.33693304535636,87.0503597122302,460446.0,192960.0
18000.0,396.868635,2.0693823786475185E-5,18000.0,93.4,86.5750515640065,85.80645161290323,84.61538461538463,461446.0,194304.0
