learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,27.08902,2.6405951256553332E-8,1000.0,71.6,35.24526994058071,23.655913978494613,30.900243309002427,444446.0,3768.0
2000.0,32.473565,3.1654721157004434E-8,2000.0,59.099999999999994,2.6653974297953584,16.016427104722787,1.682692307692309,445446.0,3768.0
3000.0,37.798664,3.6845544030268985E-8,3000.0,57.9,8.897333137134385,6.65188470066517,12.291666666666655,446446.0,3768.0
4000.0,43.117241,4.2030009360363086E-8,4000.0,72.6,1.873007914622378,35.22458628841608,1.08303249097473,447446.0,3768.0
5000.0,48.471767,4.724951721106966E-8,5000.0,76.9,0.6605428836825189,37.735849056603776,0.4310344827586211,448446.0,3768.0
6000.0,53.776031,5.24200304535528E-8,6000.0,73.2,-0.19965154449538802,30.92783505154639,-0.3745318352059928,449446.0,3768.0
7000.0,59.249186,5.775517599036296E-8,7000.0,65.10000000000001,3.1416518650088805,16.105769230769244,1.9662921348314624,450446.0,3768.0
8000.0,64.71841,6.30864896501104E-8,8000.0,61.9,2.0081891319108753,20.624999999999996,1.5503875968992262,451446.0,3768.0
9000.0,70.086448,6.831916878620783E-8,9000.0,62.1,2.973764515534455,20.711297071129703,2.0671834625323013,452446.0,3768.0
10000.0,75.475052,7.357189533611139E-8,10000.0,62.8,6.543934399871389,28.73563218390805,5.102040816326535,453446.0,3768.0
11000.0,80.773224,7.873647019267082E-8,11000.0,66.4,6.776463276585357,27.272727272727277,5.084745762711869,454446.0,3768.0
12000.0,86.208846,8.40350291505456E-8,12000.0,55.900000000000006,1.3378674661058874,14.202334630350208,0.898876404494383,455446.0,3768.0
13000.0,91.708207,8.939571988458435E-8,13000.0,50.1,6.802832895051392,-2.25409836065574,-0.6048387096774198,456446.0,3768.0
14000.0,97.233979,9.478215564663213E-8,14000.0,48.6,6.06210135789608,0.38759689922480656,-14.988814317673393,457446.0,3768.0
15000.0,102.810675,1.0021823132410647E-7,15000.0,51.4,8.00472469562057,5.813953488372098,-3.84615384615385,458446.0,3768.0
16000.0,108.270111,1.0554000379517676E-7,16000.0,60.5,7.234314379385832,20.682730923694777,14.870689655172404,459446.0,3768.0
17000.0,113.680249,1.1081372135008377E-7,17000.0,61.7,9.66384572566113,17.27861771058315,8.153477218225426,460446.0,3768.0
18000.0,119.154897,1.1615032223984602E-7,18000.0,60.0,8.008334444899319,13.978494623655905,6.759906759906766,461446.0,3768.0
19000.0,124.735254,1.215899666026235E-7,19000.0,55.00000000000001,6.049964716542317,11.591355599214156,5.660377358490571,462446.0,3768.0
20000.0,130.250875,1.269665073292951E-7,20000.0,58.199999999999996,8.301158301158297,13.097713097713088,7.522123893805293,463446.0,3768.0
21000.0,135.449552,1.32034096022447E-7,21000.0,64.8,5.349882762922975,28.888888888888893,3.8251366120218613,464446.0,3768.0
22000.0,140.700637,1.3715277121091885E-7,22000.0,72.0,2.969144187851706,35.33487297921478,2.0979020979020992,465446.0,3768.0
23000.0,146.661556,1.4296338143448038E-7,23000.0,73.7,2.1810283265889403,31.86528497409326,1.4981273408239713,466446.0,3768.0
24000.0,151.8776,1.4804789920647943E-7,24000.0,76.8,4.620950501562211,35.73407202216067,2.521008403361347,467446.0,3768.0
25000.0,157.231253,1.5326655607049667E-7,25000.0,74.9,3.4303390326105077,32.34501347708895,2.3346303501945544,468446.0,3768.0
26000.0,162.388184,1.5829345141847932E-7,26000.0,69.3,3.2607736617214904,26.024096385542162,2.229299363057292,469446.0,3768.0
27000.0,167.520523,1.6329637487108512E-7,27000.0,72.39999999999999,1.971927033016992,32.51833740831296,0.7194244604316552,470446.0,3768.0
28000.0,172.849319,1.6849080152188743E-7,28000.0,74.0,5.8100696280946815,38.24228028503563,4.059040590405908,471446.0,3768.0
29000.0,177.983045,1.7349507700031006E-7,29000.0,69.1,3.0058761488624124,30.561797752808967,2.2151898734176885,472446.0,3768.0
30000.0,183.157779,1.785393264330924E-7,30000.0,69.8,5.3908423347785766,27.40384615384615,3.8216560509553825,473446.0,3768.0
31000.0,188.40992,1.8365903099377955E-7,31000.0,72.2,3.475573764799858,34.12322274881517,2.4561403508771953,474446.0,3768.0
32000.0,193.937974,1.8904769121358796E-7,32000.0,70.39999999999999,2.1164021164021034,25.252525252525242,1.3333333333333344,475446.0,3768.0
33000.0,199.295809,1.9427042462552593E-7,33000.0,69.0,0.6836807268673324,32.46187363834421,0.32154340836012885,476446.0,3768.0
34000.0,204.694116,1.9953260950744159E-7,34000.0,63.5,6.754547312487231,21.67381974248927,5.194805194805199,477446.0,3768.0
35000.0,210.114442,2.0481625816474366E-7,35000.0,58.8,6.6013783097569885,13.807531380753128,5.504587155963307,478446.0,3768.0
36000.0,215.467148,2.1003399190803375E-7,36000.0,56.99999999999999,7.367114894937042,15.851272015655567,6.724511930585665,479446.0,3768.0
37000.0,220.815938,2.1524790839602555E-7,37000.0,58.3,8.869987849331704,15.243902439024382,8.149779735682802,480446.0,3768.0
38000.0,226.230179,2.2052562549089396E-7,38000.0,53.0,12.2345093909075,5.432595573440649,0.0,481446.0,3768.0
39000.0,231.677557,2.25835644012938E-7,39000.0,51.800000000000004,9.488327374335242,-1.9027484143763231,-4.329004329004333,482446.0,3768.0
40000.0,236.930898,2.3095651831477885E-7,40000.0,56.10000000000001,10.623396718107417,12.549800796812761,13.412228796844195,483446.0,3768.0
41000.0,242.323506,2.3621314790099864E-7,41000.0,50.4,9.532303898501077,0.8000000000000007,-4.862579281183937,484446.0,3768.0
42000.0,247.704672,2.4145862400531776E-7,42000.0,52.1,13.246640344840083,0.20833333333333354,-10.368663594470028,485446.0,3768.0
43000.0,253.15888,2.4677530030409503E-7,43000.0,52.1,15.244640417866936,1.440329218106997,-17.11491442542786,486446.0,3768.0
44000.0,258.550821,2.520312797091902E-7,44000.0,51.4,17.571234735413842,-9.459459459459469,-35.0,487446.0,3768.0
45000.0,264.013391,2.573561071542403E-7,45000.0,50.5,16.59533742662075,-6.911447084233267,-40.22662889518414,488446.0,3768.0
46000.0,269.588648,2.6279078011711444E-7,46000.0,51.800000000000004,15.536100431431787,1.8329938900203684,-21.410579345088152,489446.0,3768.0
47000.0,275.15481,2.6821658741682773E-7,47000.0,52.1,12.170041732982256,5.70866141732284,-8.126410835214456,490446.0,3768.0
48000.0,280.627173,2.7355096092447643E-7,48000.0,49.4,11.773834141782583,-4.329896907216499,-25.55831265508684,491446.0,3768.0
49000.0,286.042505,2.7882974150901045E-7,49000.0,52.900000000000006,15.202362091314997,2.685950413223143,-10.0467289719626,492446.0,3768.0
50000.0,291.495572,2.841453055789074E-7,50000.0,53.800000000000004,11.882846145923537,8.333333333333341,1.9108280254777086,493446.0,3768.0
51000.0,297.156502,2.896634912366669E-7,51000.0,56.2,10.42028837304429,19.038817005545297,11.156186612576075,494446.0,3768.0
52000.0,302.574194,2.9494457231213655E-7,52000.0,54.800000000000004,10.832649453948617,12.40310077519381,6.804123711340212,495446.0,3768.0
