learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,85.778561,1.0190095755375092E-7,1000.0,89.8,78.67224255096707,72.58064516129032,75.18248175182482,444446.0,4592.0
2000.0,86.549001,1.0281620459010202E-7,2000.0,83.0,64.14470353997231,65.0924024640657,59.13461538461537,445446.0,4592.0
3000.0,87.295949,1.0370354421850706E-7,3000.0,90.0,79.7576586898347,77.8270509977827,79.16666666666667,446446.0,4592.0
4000.0,88.051713,1.0460135684659083E-7,4000.0,86.4,62.997023437032354,67.84869976359337,50.90252707581227,447446.0,4592.0
5000.0,88.783666,1.0547088310950331E-7,5000.0,87.4,62.617487895186564,66.0377358490566,45.689655172413794,448446.0,4592.0
6000.0,89.497431,1.0631880287081002E-7,6000.0,86.4,61.59732536666084,64.94845360824742,49.063670411985015,449446.0,4592.0
7000.0,90.23064,1.0718982120354969E-7,7000.0,79.60000000000001,51.01805608912794,50.96153846153848,42.696629213483156,450446.0,4592.0
8000.0,90.961471,1.0805801458242865E-7,8000.0,85.0,66.67066618672426,68.74999999999999,61.240310077519375,451446.0,4592.0
9000.0,91.729333,1.0897019907418223E-7,9000.0,82.0,61.9171740850601,62.34309623430961,53.48837209302324,452446.0,4592.0
10000.0,92.522088,1.0991195529699324E-7,10000.0,86.2,70.7844996951426,73.5632183908046,64.79591836734694,453446.0,4592.0
11000.0,93.301374,1.1083771097163358E-7,11000.0,87.8,72.33660456763474,73.59307359307358,65.5367231638418,454446.0,4592.0
12000.0,94.104717,1.1179204524805147E-7,12000.0,80.10000000000001,59.04675666776426,61.284046692607006,55.28089887640451,455446.0,4592.0
13000.0,94.916268,1.1275613024830817E-7,13000.0,81.10000000000001,62.26189049958069,61.2704918032787,61.895161290322584,456446.0,4592.0
14000.0,95.707569,1.1369615918646256E-7,14000.0,82.39999999999999,64.6124459636071,65.89147286821705,60.62639821029081,457446.0,4592.0
15000.0,96.490309,1.1462601805312766E-7,15000.0,83.1,66.11759799833193,67.24806201550388,63.88888888888887,458446.0,4592.0
16000.0,97.288051,1.155736986009611E-7,16000.0,84.6,68.4538709558477,69.07630522088353,66.81034482758619,459446.0,4592.0
17000.0,98.05968,1.1649035811424256E-7,17000.0,88.6,76.56991824134629,75.377969762419,72.66187050359713,460446.0,4592.0
18000.0,98.835732,1.1741227194666864E-7,18000.0,86.2,71.76655441485161,70.32258064516128,67.83216783216784,461446.0,4592.0
19000.0,99.629676,1.1835544064641E-7,19000.0,84.89999999999999,69.64921731160403,70.33398821218074,68.34381551362682,462446.0,4592.0
20000.0,100.37782,1.192442010674212E-7,20000.0,83.7,66.97516856846472,66.1122661122661,63.938053097345126,463446.0,4592.0
21000.0,101.153218,1.201653379781379E-7,21000.0,85.39999999999999,68.79274965800273,70.5050505050505,60.109289617486326,464446.0,4592.0
22000.0,101.922597,1.2107932459563019E-7,22000.0,88.8,71.80829641562627,74.13394919168593,60.83916083916085,465446.0,4592.0
23000.0,102.682808,1.21982420053747E-7,23000.0,88.1,67.63278717061601,69.17098445595855,55.430711610486895,466446.0,4592.0
24000.0,103.444398,1.2288715369999412E-7,24000.0,88.9,66.7557174176081,69.25207756232687,53.36134453781513,467446.0,4592.0
25000.0,104.180036,1.237610575722324E-7,25000.0,90.3,72.15588113718826,73.85444743935311,62.256809338521414,468446.0,4592.0
26000.0,104.954262,1.2468080220123136E-7,26000.0,85.6,64.8759927410385,65.3012048192771,54.14012738853502,469446.0,4592.0
27000.0,105.725744,1.2559728708532125E-7,27000.0,88.4,69.26794116400322,71.63814180929096,58.27338129496403,470446.0,4592.0
28000.0,106.475871,1.2648840321848793E-7,28000.0,90.0,73.33091533632383,76.24703087885987,63.099630996309976,471446.0,4592.0
29000.0,107.271167,1.2743317803161014E-7,29000.0,88.2,71.23410562446368,73.48314606741573,62.65822784810127,472446.0,4592.0
30000.0,108.036065,1.2834184142864415E-7,30000.0,88.9,73.43150114412094,73.3173076923077,64.64968152866241,473446.0,4592.0
31000.0,108.793117,1.2924118414107298E-7,31000.0,87.4,68.00325046344499,70.14218009478674,55.789473684210535,474446.0,4592.0
32000.0,109.562079,1.3015467538187904E-7,32000.0,86.5,66.48460774577954,65.9090909090909,55.00000000000001,475446.0,4592.0
33000.0,110.330606,1.310676498628325E-7,33000.0,82.5,57.162859464804995,61.87363834422656,43.72990353697749,476446.0,4592.0
34000.0,111.116835,1.320016534999013E-7,34000.0,83.89999999999999,65.1031732269811,65.45064377682402,58.18181818181818,477446.0,4592.0
35000.0,112.056889,1.331183941124214E-7,35000.0,83.0,65.48755928019229,64.43514644351464,61.00917431192661,478446.0,4592.0
36000.0,112.931311,1.3415716694874895E-7,36000.0,85.39999999999999,70.6489005399798,71.42857142857143,68.32971800433839,479446.0,4592.0
37000.0,113.763819,1.351461478943626E-7,37000.0,87.5,74.77254930452963,74.59349593495935,72.4669603524229,480446.0,4592.0
38000.0,114.562175,1.3609455784575807E-7,38000.0,87.0,73.83347624280924,73.8430583501006,72.34042553191489,481446.0,4592.0
39000.0,115.353822,1.3703499781588712E-7,39000.0,86.1,72.07691504150294,70.61310782241014,69.9134199134199,482446.0,4592.0
40000.0,116.158487,1.3799090256707535E-7,40000.0,85.9,71.81465637868308,71.91235059760956,72.18934911242604,483446.0,4592.0
41000.0,117.022828,1.3901769964231385E-7,41000.0,85.0,69.371128000098,70.0,68.28752642706131,484446.0,4592.0
42000.0,117.840283,1.3998879832112126E-7,42000.0,86.7,72.89188550184662,72.29166666666667,69.35483870967742,485446.0,4592.0
43000.0,118.63935,1.4093805290758608E-7,43000.0,87.6,74.25345398220166,74.48559670781893,69.68215158924205,486446.0,4592.0
44000.0,119.411689,1.4185555586798322E-7,44000.0,86.8,71.2142358688067,70.27027027027026,63.33333333333333,487446.0,4592.0
45000.0,120.222343,1.4281857527378532E-7,45000.0,86.5,69.96208547677958,70.84233261339092,61.75637393767705,488446.0,4592.0
46000.0,121.038976,1.4378869745466445E-7,46000.0,84.0,65.99665917176361,67.41344195519348,59.697732997481104,489446.0,4592.0
47000.0,121.831255,1.4472988821152185E-7,47000.0,83.1,65.65180277224502,66.73228346456692,61.85101580135439,490446.0,4592.0
48000.0,122.651676,1.457045103609562E-7,48000.0,83.5,65.7232599880343,65.97938144329896,59.057071960297755,491446.0,4592.0
49000.0,123.508354,1.467222041471137E-7,49000.0,85.1,69.5958078944791,69.21487603305785,65.18691588785046,492446.0,4592.0
