learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,20.705884,2.897720941404502E-7,1000.0,88.4,75.97219402867594,68.81720430107528,71.77615571776155,186.0,54096.0
2000.0,20.814408,2.9129085212945943E-7,2000.0,82.1,62.49895248470626,63.24435318275153,56.97115384615385,320.0,54096.0
3000.0,20.881256,2.92226368089517E-7,3000.0,88.6,76.95433319182486,74.72283813747228,76.25,1320.0,54096.0
4000.0,20.940407,2.930541670446595E-7,4000.0,86.7,63.94452336286448,68.5579196217494,51.98555956678701,2320.0,54096.0
5000.0,20.992019,2.9377646015336124E-7,5000.0,86.7,58.77042878754061,64.15094339622641,42.672413793103445,3320.0,54096.0
6000.0,21.056055,2.946726230904461E-7,6000.0,87.2,65.49102497047866,67.0103092783505,52.05992509363296,4320.0,54096.0
7000.0,21.139052,2.9583413903911916E-7,7000.0,75.8,44.282767258527954,41.82692307692308,32.02247191011236,530.0,54096.0
8000.0,21.188925,2.9653209540992985E-7,8000.0,80.80000000000001,56.81802847311248,60.00000000000001,50.38759689922482,1530.0,54096.0
9000.0,21.272798,2.977048291886847E-7,9000.0,70.3,33.37221823402728,37.866108786610866,23.255813953488364,47.0,54048.0
10000.0,21.336365,2.985936392719548E-7,10000.0,81.0,59.21626541195866,63.60153256704982,51.53061224489798,1047.0,54048.0
11000.0,21.401047,2.9949803957094757E-7,11000.0,85.8,68.34652970967971,69.26406926406926,59.88700564971751,2047.0,54048.0
12000.0,21.475309,3.0053638988484947E-7,12000.0,71.0,40.11605096330558,43.579766536964975,34.83146067415729,314.0,54048.0
13000.0,21.531649,3.013241502021751E-7,13000.0,71.0,42.293380453773004,40.573770491803266,41.53225806451612,1314.0,54048.0
14000.0,21.586679,3.020935937638085E-7,14000.0,74.7,49.804375947367994,50.968992248062015,43.40044742729306,2314.0,54048.0
15000.0,21.630844,3.02711120111247E-7,15000.0,75.3,51.267441126333736,52.13178294573644,47.22222222222222,3314.0,54048.0
16000.0,21.690581,3.035463781530659E-7,16000.0,77.8,54.28166612436212,55.42168674698795,52.1551724137931,4314.0,54048.0
17000.0,21.746692,3.0433093653370946E-7,17000.0,88.4,75.6606251862172,74.94600431965442,72.18225419664269,5314.0,54048.0
18000.0,21.803704,3.0512809292723743E-7,18000.0,90.5,80.6482628251092,79.56989247311829,77.85547785547786,6314.0,54048.0
19000.0,21.862267,3.059469358002147E-7,19000.0,84.7,69.23015043037567,69.9410609037328,67.9245283018868,7314.0,54048.0
20000.0,21.914055,3.0667104888707407E-7,20000.0,82.8,65.00878849033265,64.24116424116423,61.946902654867245,8314.0,54048.0
21000.0,21.972499,3.0748822787155713E-7,21000.0,85.3,67.36379379246036,70.3030303030303,59.83606557377048,9314.0,54048.0
22000.0,22.02942,3.0828411187976605E-7,22000.0,86.5,66.05549800356042,68.82217090069285,52.7972027972028,10314.0,54048.0
23000.0,22.086051,3.090759410336614E-7,23000.0,88.2,68.73691851993155,69.43005181347151,55.80524344569289,11314.0,54048.0
24000.0,22.143008,3.0987232840309544E-7,24000.0,88.7,66.88431195564256,68.69806094182826,52.52100840336135,12314.0,54048.0
25000.0,22.201676,3.106926394129793E-7,25000.0,90.7,73.9580416447317,74.93261455525607,63.813229571984444,13314.0,54048.0
