learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,94.21022,1.3198061518785028E-6,1000.0,91.7,82.71423930157196,77.68817204301077,79.80535279805355,444446.0,54152.0
2000.0,94.408692,1.322586578105887E-6,2000.0,89.4,78.00172665692656,78.2340862422998,74.51923076923077,445446.0,54152.0
3000.0,94.584628,1.325051293878092E-6,3000.0,92.80000000000001,85.56448864205947,84.03547671840356,85.00000000000001,446446.0,54152.0
4000.0,94.763395,1.3275556695854501E-6,4000.0,91.4,77.36996942314474,79.66903073286053,68.95306859205778,447446.0,54152.0
5000.0,94.928778,1.329872546680272E-6,5000.0,91.4,74.72610147176377,76.81940700808626,62.93103448275863,448446.0,54152.0
6000.0,95.099313,1.332261598973225E-6,6000.0,93.89999999999999,83.89821560553267,84.27835051546391,77.15355805243443,449446.0,54152.0
7000.0,95.288037,1.3349054638979338E-6,7000.0,88.3,74.07650311968236,71.875,67.13483146067416,450446.0,54152.0
8000.0,95.474427,1.3375166314405702E-6,8000.0,92.10000000000001,83.16512666643938,83.54166666666667,79.58656330749355,451446.0,54152.0
9000.0,95.659436,1.3401084523316888E-6,9000.0,89.4,77.35691062815349,77.82426778242679,72.60981912144703,452446.0,54152.0
10000.0,95.853798,1.3428313009068372E-6,10000.0,91.8,82.64006503624417,84.29118773946361,79.08163265306123,453446.0,54152.0
11000.0,96.037793,1.3454089165085721E-6,11000.0,91.7,81.41363835866751,82.03463203463204,76.5536723163842,454446.0,54152.0
12000.0,96.238017,1.3482138867862524E-6,12000.0,84.5,68.18816189147032,69.8443579766537,65.16853932584269,455446.0,54152.0
13000.0,96.464218,1.3513827730425532E-6,13000.0,88.2,76.2715818007054,75.81967213114754,76.20967741935483,456446.0,54152.0
14000.0,96.682769,1.3544444892162253E-6,14000.0,89.7,79.22381797644022,80.03875968992249,76.95749440715885,457446.0,54152.0
15000.0,96.895126,1.3574194326458708E-6,15000.0,88.1,76.22130571008377,76.93798449612403,74.57264957264957,458446.0,54152.0
16000.0,97.118547,1.3605493734342359E-6,16000.0,90.60000000000001,80.80825816567783,81.12449799196789,79.74137931034483,459446.0,54152.0
17000.0,97.320218,1.3633746149680682E-6,17000.0,92.9,85.5505446020091,84.66522678185746,82.97362110311752,460446.0,54152.0
18000.0,97.522753,1.3662119604171151E-6,18000.0,92.80000000000001,85.35460170618892,84.51612903225806,83.21678321678323,461446.0,54152.0
19000.0,97.724914,1.3690440664399003E-6,19000.0,91.3,82.54862314654343,82.90766208251475,81.76100628930818,462446.0,54152.0
20000.0,97.921652,1.3718002007818887E-6,20000.0,91.4,82.61980210825843,82.12058212058213,80.97345132743364,463446.0,54152.0
21000.0,98.124239,1.3746382747073143E-6,21000.0,92.0,82.90013679890562,83.83838383838385,78.14207650273225,464446.0,54152.0
22000.0,98.320009,1.3773808481813308E-6,22000.0,92.80000000000001,82.25901833234774,83.37182448036953,74.82517482517484,465446.0,54152.0
23000.0,98.508474,1.3800210847333077E-6,23000.0,93.0,81.81336354047048,81.86528497409327,73.78277153558055,466446.0,54152.0
24000.0,98.696735,1.3826584634164144E-6,24000.0,93.2,80.52067100559172,81.1634349030471,71.42857142857146,467446.0,54152.0
25000.0,98.885014,1.3852960942644216E-6,25000.0,93.89999999999999,83.23807430204438,83.55795148247977,76.2645914396887,468446.0,54152.0
26000.0,99.075645,1.3879666746594015E-6,26000.0,92.0,80.76590179069456,80.72289156626508,74.52229299363057,469446.0,54152.0
27000.0,99.261108,1.3905648557096723E-6,27000.0,93.7,84.07723803265431,84.59657701711492,77.3381294964029,470446.0,54152.0
28000.0,99.450285,1.3932150667843723E-6,28000.0,93.89999999999999,83.98613882179984,85.51068883610449,77.49077490774906,471446.0,54152.0
