learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.418265,4.864051596572002E-9,1000.0,91.10000000000001,81.53159135429465,76.20320855614973,78.34549878345499,209.0,44952.0
2000.0,0.720992,8.384498556454977E-9,2000.0,88.4,76.04246266961317,76.47058823529413,72.04819277108435,741.0,44952.0
3000.0,0.903607,1.0508149309704701E-8,3000.0,92.9,85.76446811240858,84.92569002123143,85.39094650205762,1741.0,44952.0
4000.0,1.062337,1.2354038661966722E-8,4000.0,89.7,72.45989304812835,74.75490196078432,62.54545454545456,2741.0,44952.0
5000.0,1.220053,1.41881360920767E-8,5000.0,91.3,73.21824360931883,76.73796791443851,62.660944206008594,3741.0,44952.0
6000.0,1.377283,1.6016581772516173E-8,6000.0,91.7,77.53842823121889,80.04807692307693,68.91385767790264,4741.0,44952.0
7000.0,1.609054,1.871187328050534E-8,7000.0,88.5,74.28995564458435,73.37962962962963,67.69662921348315,5741.0,44952.0
8000.0,1.827602,2.1253393006821475E-8,8000.0,91.0,80.56835405322545,80.76923076923077,76.74418604651164,6741.0,44952.0
9000.0,2.10604,2.4491380403439205E-8,9000.0,86.6,71.23685803457587,70.22222222222221,65.37467700258398,7741.0,44952.0
10000.0,2.281773,2.653499959036708E-8,10000.0,88.3,75.26427061310783,76.69322709163346,70.1530612244898,946.0,44952.0
11000.0,2.429163,2.8249014783650638E-8,11000.0,91.4,80.80194302195277,81.34490238611714,75.63739376770539,1946.0,44952.0
12000.0,2.604571,3.028885450835029E-8,12000.0,82.19999999999999,63.589502321680605,65.16634050880626,60.17897091722594,236.0,44952.0
13000.0,2.756597,3.2056782276680073E-8,13000.0,84.1,67.96937953263496,67.87878787878788,67.87878787878788,1236.0,44952.0
14000.0,2.90536,3.3786764244238537E-8,14000.0,88.5,76.66225617131121,76.81451612903226,74.2152466367713,2236.0,44952.0
15000.0,3.055638,3.553436432033777E-8,15000.0,87.0,73.96876251501801,74.95183044315993,72.34042553191489,3236.0,44952.0
16000.0,3.209661,3.732551543042064E-8,16000.0,89.60000000000001,78.7911787618127,79.24151696606788,77.63440860215054,4236.0,44952.0
17000.0,3.356207,3.902971565102538E-8,17000.0,94.19999999999999,88.13692443629937,87.6595744680851,86.0576923076923,5236.0,44952.0
18000.0,3.498897,4.068907400593162E-8,18000.0,91.60000000000001,82.90319954408533,83.2,80.46511627906978,6236.0,44952.0
19000.0,3.64003,4.2330325829486054E-8,19000.0,90.60000000000001,81.1188108868133,81.5686274509804,80.21052631578948,7236.0,44952.0
20000.0,3.784431,4.4009581599384545E-8,20000.0,90.0,79.79928570274245,80.27613412228797,77.97356828193833,8236.0,44952.0
21000.0,3.930165,4.570433897897601E-8,21000.0,94.0,87.1164458568637,86.84210526315789,83.56164383561642,9236.0,44952.0
22000.0,4.073344,4.73693839708964E-8,22000.0,92.60000000000001,81.65128515390604,82.29665071770336,74.21602787456449,10236.0,44952.0
23000.0,4.211684,4.897815567751725E-8,23000.0,93.10000000000001,81.82890731162635,81.93717277486913,74.06015037593987,11236.0,44952.0
24000.0,4.34709,5.05528075620532E-8,24000.0,92.60000000000001,78.92590461978347,79.32960893854751,68.77637130801689,12236.0,44952.0
25000.0,4.482083,5.2122656622280675E-8,25000.0,93.60000000000001,82.06509250489007,83.756345177665,75.28957528957531,13236.0,44952.0
26000.0,4.619877,5.372507883235812E-8,26000.0,89.60000000000001,74.10603578346671,75.47169811320755,66.77316293929712,14236.0,44952.0
27000.0,4.758531,5.5337502080947156E-8,27000.0,94.0,84.68254576089453,85.07462686567163,78.49462365591397,15236.0,44952.0
28000.0,4.899163,5.697292771811286E-8,28000.0,94.3,84.99763120492709,86.16504854368931,78.88888888888887,16236.0,44952.0
29000.0,5.036654,5.857182630648215E-8,29000.0,92.30000000000001,81.14445793989736,82.42009132420091,75.63291139240508,17236.0,44952.0
30000.0,5.174306,6.017259718229373E-8,30000.0,92.10000000000001,81.09088820167167,81.27962085308059,74.8407643312102,18236.0,44952.0
31000.0,5.316114,6.182169865816832E-8,31000.0,90.9,76.7180064473213,77.69607843137256,68.1818181818182,19236.0,44952.0
32000.0,5.464333,6.354535438741247E-8,32000.0,90.7,76.58610271903325,77.96208530805688,69.00000000000001,20236.0,44952.0
33000.0,5.646148,6.56597018490235E-8,33000.0,90.0,75.44047507945008,77.47747747747749,67.63754045307445,21236.0,44952.0
34000.0,5.819,6.766981755693752E-8,34000.0,90.8,80.36244103396018,80.83333333333333,76.1038961038961,22236.0,44952.0
35000.0,6.028576,7.010700086752573E-8,35000.0,90.3,80.23135429489115,80.0411522633745,77.80320366132723,23236.0,44952.0
36000.0,6.203857,7.214536369467773E-8,36000.0,94.3,88.48503458529963,88.2716049382716,87.63557483731019,24236.0,44952.0
37000.0,6.375548,7.414197800060112E-8,37000.0,93.89999999999999,87.65232176834945,87.60162601626014,86.56387665198237,25236.0,44952.0
38000.0,6.558408,7.626847788691519E-8,38000.0,92.7,85.36980327395746,85.4581673306773,84.53389830508475,26236.0,44952.0
39000.0,6.740152,7.838199968139329E-8,39000.0,92.7,85.32616124337667,84.43496801705757,84.23326133909288,27236.0,44952.0
40000.0,6.919539,8.04681116528809E-8,40000.0,92.2,84.39500640204866,84.64566929133859,84.55445544554456,28236.0,44952.0
41000.0,7.10041,8.257148123035828E-8,41000.0,91.4,82.57359616132798,83.26848249027238,81.70212765957447,29236.0,44952.0
42000.0,7.277688,8.463306739926337E-8,42000.0,90.4,80.45984498143686,80.80000000000001,77.77777777777779,30236.0,44952.0
43000.0,7.452931,8.667098832006255E-8,43000.0,92.80000000000001,85.07462686567166,84.9686847599165,82.5242718446602,31236.0,44952.0
44000.0,7.62781,8.870467624316611E-8,44000.0,92.4,83.64712210866058,83.22295805739515,78.83008356545962,32236.0,44952.0
45000.0,7.80784,9.079826573530832E-8,45000.0,91.5,81.30684917046395,80.5491990846682,75.85227272727273,33236.0,44952.0
46000.0,7.993834,9.296121126661697E-8,46000.0,89.3,77.45222822559573,77.75467775467776,73.18295739348372,34236.0,44952.0
47000.0,8.186744,9.520458375414211E-8,47000.0,89.7,79.11411399232698,79.1919191919192,76.69683257918552,35236.0,44952.0
48000.0,8.398135,9.76628739076356E-8,48000.0,90.60000000000001,80.44965786901271,80.49792531120332,76.79012345679013,36236.0,44952.0
49000.0,8.638629,1.0045960618183016E-7,49000.0,91.7,83.01310651396201,82.70833333333334,80.56206088992975,37236.0,44952.0
50000.0,8.84537,1.0286382095267374E-7,50000.0,91.7,83.27759197324416,84.1300191204589,82.34042553191489,38236.0,44952.0
51000.0,9.05745,1.0533012356609104E-7,51000.0,93.7,87.38657932039692,87.81431334622825,87.2983870967742,39236.0,44952.0
52000.0,9.268031,1.0777899413680035E-7,52000.0,92.10000000000001,84.19658646267595,84.86590038314176,83.84458077709613,40236.0,44952.0
53000.0,9.482693,1.1027532312398154E-7,53000.0,91.10000000000001,82.09039320642331,81.79959100204499,80.1781737193764,41236.0,44952.0
54000.0,9.689785,1.1268361971403161E-7,54000.0,92.9,85.56758031336646,85.56910569105692,83.64055299539172,42236.0,44952.0
55000.0,9.9092,1.1523522188266117E-7,55000.0,92.0,83.88630174511353,84.00000000000001,82.53275109170306,43236.0,44952.0
56000.0,10.132003,1.178262234913806E-7,56000.0,90.7,80.81809781532573,80.70539419087137,77.90973871733968,44236.0,44952.0
57000.0,10.349785,1.2035883531595267E-7,57000.0,92.5,84.38150770512287,85.57692307692308,81.25000000000001,45236.0,44952.0
58000.0,10.587729,1.231259133480489E-7,58000.0,87.7,74.1566234683072,75.54671968190854,69.4789081885856,46236.0,44952.0
59000.0,10.83468,1.2599773481488225E-7,59000.0,91.2,82.06190274289816,83.42749529190208,79.90867579908677,47236.0,44952.0
60000.0,11.058213,1.28597225677222E-7,60000.0,91.9,83.08581547251133,83.4016393442623,80.1955990220049,48236.0,44952.0
61000.0,11.277917,1.3115218865995604E-7,61000.0,93.60000000000001,86.04965451097502,86.9387755102041,82.56130790190737,49236.0,44952.0
62000.0,11.501279,1.33749690943708E-7,62000.0,91.2,79.13030280033394,79.09738717339668,71.42857142857144,50236.0,44952.0
63000.0,11.72668,1.3637090499202407E-7,63000.0,90.0,76.58046717284084,76.79814385150813,69.41896024464832,51236.0,44952.0
64000.0,11.943216,1.388890269398689E-7,64000.0,92.4,84.29596323602343,84.5528455284553,82.40740740740742,52236.0,44952.0
65000.0,12.168085,1.4150405429924526E-7,65000.0,91.3,81.84671112483622,82.0618556701031,78.72860635696823,53236.0,44952.0
66000.0,12.398971,1.4418905404085913E-7,66000.0,88.7,76.87970078649938,77.079107505071,74.43438914027149,54236.0,44952.0
