learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.343985,6.95396934946378E-9,1000.0,89.9,79.02632300293216,72.99465240641712,75.42579075425792,1000.0,78144.0,10.0,6025.5,83.78577179662156,5191.200000000001,1358.5479830400625,40.99999999999999,11.115554667022046,20.999999999999996,5.557777333511023,20.999999999999996,5.557777333511023,7.7,1.7669811040931427,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.607282,1.2657657222201427E-8,2000.0,89.2,77.53697040287861,78.09330628803247,73.97590361445783,2000.0,83736.0,10.0,11989.8,129.45595561597185,10709.6,2884.492915189389,85.8,23.46060527778429,43.4,11.730302638892145,43.4,11.730302638892145,10.600000000000001,2.3664319132398464,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.828394,1.757289628808697E-8,3000.0,93.5,86.94705726426386,86.19957537154991,86.62551440329219,3000.0,85928.0,10.0,15355.1,4654.108327297747,11167.999999999998,4724.97967073816,89.6,38.367231388835506,45.3,19.183615694417753,45.3,19.183615694417753,10.1,2.6012817353502227,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,1.041749,2.2436246153795056E-8,4000.0,89.8,73.01944187276816,75.00000000000001,62.909090909090914,4000.0,88112.0,10.0,23140.7,2423.177805646498,16362.4,3967.025059439658,131.8,32.26556471947557,66.4,16.132782359737785,66.4,16.132782359737785,11.300000000000002,1.9465068427541907,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,1.245015,2.7113792372660503E-8,5000.0,92.7,78.31227940914331,80.48128342245991,68.66952789699573,5000.0,88952.0,10.0,30946.3,2631.336502404983,21397.6,3387.668198366278,172.6,27.645373332018266,86.8,13.822686666009133,86.8,13.822686666009133,12.0,1.8856180831641267,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.438656,3.169608817539281E-8,6000.0,93.30000000000001,82.22698527227199,83.89423076923079,74.90636704119852,6000.0,91472.0,10.0,38730.1,4998.647804934628,25896.8,3459.770474082541,209.2,28.25990485161304,105.1,14.12995242580652,105.1,14.12995242580652,12.9,1.9692073983655904,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.634209,3.6272634882479905E-8,7000.0,85.8,68.39612563207747,67.12962962962963,60.11235955056179,7000.0,90464.0,10.0,41034.9,14326.593558445387,28985.600000000002,10059.870412242451,234.20000000000002,81.69428104558823,117.60000000000001,40.84714052279411,117.60000000000001,40.84714052279411,12.9,3.414023367751831,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.823122,4.077588983500997E-8,8000.0,90.9,80.45734116757724,80.55555555555556,76.4857881136951,8000.0,92144.0,10.0,48808.5,14385.576760151893,34199.200000000004,9653.76533103362,276.6,78.3711965229857,138.8,39.18559826149285,138.8,39.18559826149285,13.7,2.7100635498903793,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,2.024557,4.572355256105463E-8,9000.0,87.6,73.35751210729188,72.44444444444444,67.95865633074936,9000.0,94944.0,10.0,56544.40000000001,15000.780581171253,39869.6,9265.870507764863,322.6,75.12833464590219,161.8,37.56416732295109,161.8,37.56416732295109,14.700000000000001,2.4060109910158114,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,2.234322,5.0732554240773124E-8,10000.0,90.2,79.11908089864657,80.4780876494024,75.00000000000001,10000.0,92304.0,10.0,51490.9,26218.102352933343,38509.6,18304.238557108994,311.6,148.55765809199394,156.3,74.27882904599697,156.3,74.27882904599697,13.8,3.9101008796307144,0.0,0.0,0.0,0.0,1.0,0.0
