learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.214961,2.5135975124107467E-10,100.0,65.0,18.680297397769525,32.6923076923077,7.89473684210527,234.0,4520.0
200.0,0.296984,3.472714788383908E-10,200.0,72.5,22.86115007012623,34.523809523809526,6.7796610169491585,461.0,4520.0
300.0,0.373997,4.3732487700051734E-10,300.0,70.66666666666667,26.849542809642564,24.13793103448277,7.368421052631574,695.0,4520.0
400.0,0.44832,5.242327849070231E-10,400.0,71.5,31.54592127780947,21.379310344827587,12.977099236641216,938.0,4520.0
500.0,0.523731,6.124129208425681E-10,500.0,72.0,31.827035449941555,23.91304347826086,12.499999999999979,1174.0,4520.0
600.0,0.611764,7.153523051076465E-10,600.0,71.83333333333334,32.03024453024454,23.873873873873887,12.435233160621772,1400.0,4520.0
700.0,0.674768,7.890245980686612E-10,700.0,72.42857142857143,33.314247354288426,27.443609022556398,14.601769911504428,1642.0,4520.0
800.0,0.742874,8.686627985702621E-10,800.0,74.0,34.798793150738625,28.767123287671232,15.102040816326534,1871.0,4520.0
900.0,0.805347,9.417141787707805E-10,900.0,73.44444444444444,34.08230059206415,29.08011869436202,15.845070422535223,2105.0,4520.0
1000.0,0.872058,1.0197211677829425E-9,1000.0,74.0,34.62573231751779,29.539295392953925,15.309446254071673,2347.0,4520.0
1100.0,0.930821,1.088434343950616E-9,1100.0,75.5,37.0017999485729,30.39772727272727,17.785234899328874,2575.0,4520.0
1200.0,0.993046,1.1611957309974565E-9,1200.0,74.6,36.231854950065014,28.248587570621464,18.327974276527346,2814.0,4520.0
1300.0,1.048241,1.2257367475993103E-9,1300.0,76.4,37.93230413170977,33.33333333333333,20.538720538720554,3048.0,4520.0
1400.0,1.103881,1.290798114819659E-9,1400.0,76.1,36.2585077556594,34.15977961432507,19.528619528619544,3289.0,4520.0
1500.0,1.155795,1.3515025687714416E-9,1500.0,76.6,36.939461883408086,33.89830508474576,20.94594594594596,3519.0,4520.0
1600.0,1.210733,1.4157430682745243E-9,1600.0,77.5,37.334982119581596,36.26062322946176,22.1453287197232,3751.0,4520.0
1700.0,1.275801,1.4918288526435692E-9,1700.0,76.3,34.325744308231194,33.798882681564244,19.93243243243245,3990.0,4520.0
1800.0,1.330341,1.555603959908088E-9,1800.0,75.1,33.087539771261504,32.33695652173913,19.15584415584417,4226.0,4520.0
1900.0,1.388259,1.6233290545642376E-9,1900.0,76.0,33.063728908102085,34.065934065934066,18.644067796610184,4460.0,4520.0
2000.0,1.447717,1.6928549131585492E-9,2000.0,74.6,31.918087273507034,33.33333333333333,18.06451612903227,4693.0,4520.0
2100.0,1.502337,1.7567235666016737E-9,2100.0,74.1,31.01942109580579,33.58974358974359,16.181229773462793,4928.0,4520.0
2200.0,1.559818,1.823937665257189E-9,2200.0,74.5,31.89466374659475,35.92964824120603,16.393442622950833,5159.0,4520.0
2300.0,1.615582,1.8891440290543765E-9,2300.0,72.3,30.161963734645685,32.4390243902439,14.241486068111437,5393.0,4520.0
2400.0,1.667547,1.9499081186950203E-9,2400.0,73.8,32.85632278169594,37.170263788968825,16.02564102564104,5624.0,4520.0
2500.0,1.734175,2.0278180535468784E-9,2500.0,72.8,31.67202572347264,36.00000000000001,14.465408805031426,5866.0,4520.0
2600.0,1.789178,2.0921345593200786E-9,2600.0,72.5,33.81786676934922,37.21461187214611,17.910447761194014,6103.0,4520.0
2700.0,1.84027,2.1518778262866864E-9,2700.0,74.3,36.97396558827567,39.09952606635071,18.927444794952667,6331.0,4520.0
