learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.195739,2.734442241489887E-9,100.0,61.0,6.24999999999998,25.0,-2.6315789473684235,234.0,54000.0
200.0,0.309204,4.319529980421066E-9,200.0,71.0,16.245487364620942,30.95238095238095,1.6949152542372896,461.0,54000.0
300.0,0.415812,5.80882653594017E-9,300.0,71.66666666666667,25.958188153310115,26.72413793103449,10.526315789473681,695.0,54000.0
400.0,0.492071,6.8741524592041965E-9,400.0,71.75,29.36617077134641,22.068965517241395,13.740458015267187,938.0,54000.0
500.0,0.560625,7.831840775907039E-9,500.0,72.8,31.617055510860816,26.086956521739125,14.99999999999998,1174.0,54000.0
600.0,0.627964,8.772555738687514E-9,600.0,73.0,32.22040918790008,27.027027027027025,16.0621761658031,1400.0,54000.0
700.0,0.698031,9.751380421221255E-9,700.0,73.57142857142858,33.472382048331426,30.451127819548883,18.141592920353993,1642.0,54000.0
800.0,0.766569,1.070884522050619E-8,800.0,74.5,32.958139917019274,30.136986301369863,16.734693877551024,1871.0,54000.0
900.0,0.829471,1.1587576009333133E-8,900.0,74.66666666666667,34.65634075508229,32.344213649851646,19.71830985915495,2105.0,54000.0
1000.0,0.897875,1.254316885024309E-8,1000.0,75.0,34.202561362691256,32.24932249322493,18.566775244299688,2347.0,54000.0
1100.0,0.95452,1.3334490358829497E-8,1100.0,76.5,36.81640730025922,33.23863636363637,21.14093959731545,2575.0,54000.0
1200.0,1.015276,1.4183241873979566E-8,1200.0,76.0,37.12108906273745,32.20338983050847,22.82958199356915,2814.0,54000.0
1300.0,1.073715,1.4999625273048874E-8,1300.0,77.2,37.91492165843406,35.59322033898305,23.23232323232325,3048.0,54000.0
1400.0,1.132607,1.5822337009012694E-8,1400.0,77.8,38.872949352659056,38.84297520661158,25.25252525252527,3289.0,54000.0
1500.0,1.181994,1.6512265428900716E-8,1500.0,78.10000000000001,39.31366246203642,38.13559322033899,26.01351351351353,3519.0,54000.0
1600.0,1.233536,1.723229885101318E-8,1600.0,78.3,38.25685149776928,38.52691218130312,24.9134948096886,3751.0,54000.0
1700.0,1.292321,1.8053515814244744E-8,1700.0,77.2,36.02406393104071,36.312849162011176,22.97297297297299,3990.0,54000.0
1800.0,1.34642,1.8809270113706586E-8,1800.0,77.10000000000001,38.20697694499612,37.77173913043479,25.649350649350666,4226.0,54000.0
1900.0,1.398269,1.9533592276275155E-8,1900.0,77.60000000000001,37.23907988008183,38.46153846153847,24.06779661016951,4460.0,54000.0
2000.0,1.45422,2.0315218716859816E-8,2000.0,76.8,37.814945856116665,39.107611548556434,25.161290322580665,4693.0,54000.0
2100.0,1.509999,2.1094442345201967E-8,2100.0,76.8,38.39846633423083,40.51282051282052,24.919093851132704,4928.0,54000.0
2200.0,1.561083,2.1808077581226822E-8,2200.0,76.5,37.236258746861836,40.95477386934674,22.950819672131164,5159.0,54000.0
2300.0,1.613901,2.2545936517417426E-8,2300.0,74.8,35.71920516287019,38.53658536585367,21.9814241486068,5393.0,54000.0
2400.0,1.66436,2.3250840604305263E-8,2400.0,75.3,35.393082090020734,40.76738609112711,20.83333333333335,5624.0,54000.0
2500.0,1.719877,2.4026404134929175E-8,2500.0,74.4,33.87746668044219,39.76470588235295,19.496855345911936,5866.0,54000.0
2600.0,1.772787,2.476554829627275E-8,2600.0,75.0,38.11421640220807,42.92237442922374,25.373134328358198,6103.0,54000.0
2700.0,1.819416,2.5416947901248927E-8,2700.0,76.6,40.310690508379466,44.54976303317537,26.182965299684536,6331.0,54000.0
2800.0,1.872098,2.6152906939387318E-8,2800.0,76.5,40.650570764723696,44.57547169811322,26.562499999999993,6570.0,54000.0
2900.0,1.920981,2.6835794560611244E-8,2900.0,76.4,41.18145521067507,43.67541766109786,26.934984520123834,6802.0,54000.0
3000.0,1.970165,2.752288710325956E-8,3000.0,77.8,42.87772745986004,45.58823529411766,27.922077922077943,7034.0,54000.0
3100.0,2.023608,2.8269477188587187E-8,3100.0,77.3,42.77503277200766,45.16908212560388,29.062499999999996,7268.0,54000.0
3200.0,2.077367,2.902048174291849E-8,3200.0,77.60000000000001,44.23005103946222,45.498783454987844,31.076923076923073,7502.0,54000.0
3300.0,2.130855,2.976770047098398E-8,3300.0,78.10000000000001,43.063051820422444,45.5223880597015,29.12621359223303,7739.0,54000.0
3400.0,2.186815,3.0549452640116215E-8,3400.0,77.0,41.54929935399268,41.47582697201018,27.444794952681384,7974.0,54000.0
3500.0,2.235994,3.123647533357143E-8,3500.0,77.7,42.05685184222836,43.256997455470746,28.06451612903228,8197.0,54000.0
3600.0,2.284914,3.191987983882427E-8,3600.0,77.2,37.71308680828745,40.15748031496064,21.9178082191781,8437.0,54000.0
3700.0,2.339178,3.267793916165829E-8,3700.0,75.3,35.393082090020734,37.468354430379755,20.83333333333335,8672.0,54000.0
3800.0,2.390711,3.339784685522318E-8,3800.0,74.8,33.81796789646189,36.04060913705584,20.253164556962012,8901.0,54000.0
3900.0,2.444209,3.4145205281674866E-8,3900.0,75.2,35.59813234583802,37.37373737373738,22.74143302180684,9144.0,54000.0
4000.0,2.500175,3.492704126983881E-8,4000.0,74.6,34.85843249897415,36.18090452261307,22.56097560975609,9383.0,54000.0
4100.0,2.549554,3.5616857931017877E-8,4100.0,75.9,36.475301808213395,37.239583333333336,23.49206349206348,9616.0,54000.0
4200.0,2.601644,3.6344546824693684E-8,4200.0,75.6,35.495809871255965,36.62337662337662,22.53968253968253,9844.0,54000.0
4300.0,2.652772,3.7058796733617786E-8,4300.0,76.0,37.159614578969425,38.46153846153847,24.999999999999993,10077.0,54000.0
4400.0,2.700773,3.7729362957179546E-8,4400.0,77.3,37.951016837961966,40.26315789473685,25.573770491803298,10310.0,54000.0
4500.0,2.753351,3.846386913210154E-8,4500.0,76.1,37.313777330143935,39.64646464646465,25.078369905956105,10547.0,54000.0
4600.0,2.805292,3.9189476519823075E-8,4600.0,76.5,39.03071814030719,40.65656565656566,26.79127725856697,10780.0,54000.0
4700.0,2.857665,3.992111887782812E-8,4700.0,78.4,41.51413408426298,43.603133159268936,28.476821192053002,11027.0,54000.0
4800.0,2.9067,4.0606129914522175E-8,4800.0,79.2,43.9461883408072,46.938775510204096,29.729729729729755,11256.0,54000.0
4900.0,2.955167,4.12832060828805E-8,4900.0,79.2,42.87377851504785,46.3917525773196,27.526132404181208,11490.0,54000.0
5000.0,3.005918,4.199218936264515E-8,5000.0,79.7,42.64305331088033,45.72192513368985,26.978417266187073,11734.0,54000.0
5100.0,3.057306,4.2710071429610256E-8,5100.0,79.4,42.645224518888114,46.07329842931938,27.464788732394386,11962.0,54000.0
5200.0,3.111545,4.3467781506478794E-8,5200.0,80.7,46.071308818598425,49.076517150395794,31.071428571428594,12199.0,54000.0
5300.0,3.172228,4.431551322340966E-8,5300.0,80.9,47.791384211677254,49.73684210526317,32.982456140350905,12434.0,54000.0
5400.0,3.230371,4.512776155024768E-8,5400.0,80.60000000000001,49.6556341573547,50.76142131979697,35.973597359736,12674.0,54000.0
5500.0,3.28663,4.5913690701127066E-8,5500.0,81.5,51.59500983798717,51.18733509234828,38.53820598006644,12909.0,54000.0
5600.0,3.335869,4.660155158489944E-8,5600.0,81.2,51.089558140986966,50.395778364116104,38.562091503268,13141.0,54000.0
5700.0,3.391503,4.7378749586641804E-8,5700.0,79.7,49.84137024481365,48.73737373737375,39.221556886227546,13376.0,54000.0
5800.0,3.448998,4.818194545805456E-8,5800.0,79.60000000000001,49.40200110125056,47.28682170542637,39.46587537091989,13614.0,54000.0
5900.0,3.525621,4.9252356402575984E-8,5900.0,79.2,49.61118244143511,47.20812182741118,40.057636887608076,13845.0,54000.0
6000.0,3.590533,5.0159166567027584E-8,6000.0,78.5,50.00465073016465,47.815533980582536,41.57608695652175,14079.0,54000.0
6100.0,3.649396,5.098147317767145E-8,6100.0,78.8,50.33291006976821,47.39454094292805,41.5977961432507,14311.0,54000.0
