learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.190452,2.8024815022945408E-9,100.0,64.0,10.891089108910876,30.769230769230777,5.263157894736847,234.0,56880.0
200.0,0.319782,4.705559089779854E-9,200.0,72.0,17.172015973968357,33.33333333333333,5.084745762711869,461.0,56880.0
300.0,0.40371,5.940550938248634E-9,300.0,71.0,23.235294117647026,25.0,8.421052631578933,695.0,56880.0
400.0,0.478861,7.046390138566493E-9,400.0,73.25,32.82691945508194,26.206896551724157,18.320610687022917,938.0,56880.0
500.0,0.552733,8.133408986032009E-9,500.0,73.8,34.01168647995163,28.80434782608695,18.124999999999982,1174.0,56880.0
600.0,0.624417,9.188231639564036E-9,600.0,73.83333333333333,33.81857014388489,29.27927927927926,18.652849740932627,1400.0,56880.0
700.0,0.693461,1.0204206965863703E-8,700.0,74.0,33.79204257265206,31.57894736842105,19.46902654867256,1642.0,56880.0
800.0,0.762143,1.12148554995656E-8,800.0,75.0,33.59618178045237,31.506849315068493,18.367346938775515,1871.0,56880.0
900.0,0.824823,1.2137185223400591E-8,900.0,75.0,35.03535360016427,33.23442136498517,20.77464788732395,2105.0,56880.0
1000.0,0.891619,1.3120081461966036E-8,1000.0,75.4,34.72480934868097,33.33333333333333,19.869706840390894,2347.0,56880.0
1100.0,0.952492,1.401582136750221E-8,1100.0,76.7,37.217749323676195,33.80681818181818,21.812080536912767,2575.0,56880.0
1200.0,1.017719,1.4975629933178424E-8,1200.0,76.8,39.09642191478751,34.463276836158194,25.401929260450178,2814.0,56880.0
1300.0,1.07862,1.5871781855821607E-8,1300.0,78.3,40.58180543690171,38.70056497175142,26.93602693602696,3048.0,56880.0
1400.0,1.138229,1.674892213195562E-8,1400.0,77.9,38.943529671786955,39.11845730027549,25.589225589225606,3289.0,56880.0
1500.0,1.194826,1.7581741139292714E-8,1500.0,78.10000000000001,39.03796904576329,38.13559322033899,26.01351351351353,3519.0,56880.0
1600.0,1.255271,1.8471183069050307E-8,1600.0,78.4,38.615088183972865,38.8101983002833,25.259515570934276,3751.0,56880.0
1700.0,1.322219,1.945631597191095E-8,1700.0,77.8,38.41271250388389,37.98882681564246,25.000000000000018,3990.0,56880.0
1800.0,1.382352,2.034116685390472E-8,1800.0,77.4,39.579946958679116,38.58695652173913,26.623376623376643,4226.0,56880.0
1900.0,1.446359,2.1283023245632643E-8,1900.0,77.8,38.36586246147869,39.010989010989015,24.745762711864426,4460.0,56880.0
2000.0,1.507695,2.218557614833116E-8,2000.0,76.4,37.25406785068597,38.05774278215224,23.8709677419355,4693.0,56880.0
2100.0,1.562532,2.2992496937513345E-8,2100.0,76.1,36.98719706397251,38.71794871794872,22.653721682847912,4928.0,56880.0
2200.0,1.626979,2.3940827883779996E-8,2200.0,75.6,35.437779482973056,38.693467336683426,20.000000000000014,5159.0,56880.0
2300.0,1.695159,2.4944089539349073E-8,2300.0,73.9,34.19592972831237,36.34146341463415,19.19504643962847,5393.0,56880.0
2400.0,1.762246,2.5931267812848085E-8,2400.0,74.8,34.79070922866725,39.56834532374101,19.230769230769244,5624.0,56880.0
2500.0,1.834566,2.699544914066791E-8,2500.0,74.4,34.73649861315059,39.76470588235295,19.496855345911936,5866.0,56880.0
2600.0,1.901662,2.798275984823703E-8,2600.0,74.8,38.1245856557075,42.46575342465753,24.776119402985067,6103.0,56880.0
2700.0,1.968445,2.8965464793145648E-8,2700.0,76.3,39.93796123590949,43.83886255924171,25.2365930599369,6331.0,56880.0
2800.0,2.044877,3.009015377610921E-8,2800.0,76.1,40.18420262288516,43.63207547169812,25.312499999999993,6570.0,56880.0
2900.0,2.099651,3.0896147526800625E-8,2900.0,76.5,41.99364151576785,43.91408114558473,27.244582043343645,6802.0,56880.0
3000.0,2.154032,3.169635832309722E-8,3000.0,78.2,44.56424444625276,46.5686274509804,29.220779220779242,7034.0,56880.0
3100.0,2.220763,3.267829809337853E-8,3100.0,78.0,45.28452049343413,46.85990338164252,31.25,7268.0,56880.0
3200.0,2.285616,3.363260328769683E-8,3200.0,77.7,45.10093549975381,45.74209245742094,31.384615384615383,7502.0,56880.0
