learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.185259,3.231788904716571E-9,100.0,67.0,20.67307692307692,36.53846153846155,13.157894736842115,234.0,67432.0,10.0,1411.3000000000002,53.98981385409658,1425.6,480.70762654884334,10.4,3.8930136855083823,5.7,1.9465068427541912,5.7,1.9465068427541912,3.9999999999999996,1.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.269782,4.779738142258591E-9,200.0,74.0,23.08830054725634,38.0952380952381,11.864406779661026,461.0,70792.0,10.0,2771.4,82.58221492683653,2240.7999999999997,626.0871078904809,17.0,5.0771820705759385,9.0,2.5385910352879693,9.0,2.5385910352879693,5.199999999999999,1.7511900715418263,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.359999,6.51038668014937E-9,300.0,73.0,28.529411764705852,30.172413793103452,14.736842105263149,695.0,74152.0,10.0,4194.2,78.58583417724431,3627.2,721.462218923024,28.200000000000003,5.827139568909908,14.600000000000001,2.913569784454954,14.600000000000001,2.913569784454954,7.199999999999999,1.1352924243950933,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.444894,8.138942358394464E-9,400.0,74.0,34.283276989668565,28.275862068965523,20.610687022900763,938.0,74152.0,10.0,5649.900000000001,78.95068784444575,5032.0,973.0958614420039,39.6,7.890923055426829,20.3,3.9454615277134146,20.3,3.9454615277134146,8.1,1.286683937707919,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.523117,9.639507890161541E-9,500.0,73.8,33.52953115486096,28.80434782608695,18.124999999999982,1174.0,74152.0,10.0,7058.8,54.879261413883285,6043.200000000001,1488.416668066364,47.8,12.117938952001882,24.4,6.058969476000941,24.4,6.058969476000941,8.399999999999999,1.5055453054181622,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.595267,1.108628925970859E-8,600.0,74.33333333333333,35.37467302661948,30.630630630630616,20.207253886010346,1400.0,77512.0,10.0,8405.9,57.13424736725096,7227.2,1576.2287482046083,57.400000000000006,12.816655830077778,29.200000000000003,6.408327915038889,29.200000000000003,6.408327915038889,9.2,1.398411797560202,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.671362,1.2612177386052078E-8,700.0,74.42857142857143,35.30031394580305,32.706766917293244,20.79646017699116,1642.0,77512.0,10.0,9845.1,46.258812974154274,8192.800000000001,1736.0981027068206,65.2,14.06176849949299,33.1,7.030884249746495,33.1,7.030884249746495,9.5,1.7795130420052185,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.733752,1.3863247235616047E-8,800.0,75.625,35.83415597235932,33.219178082191775,20.40816326530612,1871.0,77512.0,10.0,11231.099999999999,66.79063473937686,9059.199999999999,1834.8185983603091,72.19999999999999,14.853357271075863,36.599999999999994,7.4266786355379315,36.599999999999994,7.4266786355379315,9.899999999999999,1.7288403306519922,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.795005,1.5091517495198382E-8,900.0,75.66666666666667,37.16927000318779,35.01483679525224,22.887323943661993,2105.0,77512.0,10.0,12624.7,102.47606766676985,10052.8,2232.454593292126,80.2,18.140194780284656,40.6,9.070097390142328,40.6,9.070097390142328,10.4,1.837873166945363,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.86622,1.651954986155033E-8,1000.0,76.3,37.6873323868118,35.77235772357724,22.80130293159611,2347.0,77512.0,10.0,14074.3,120.96468722546915,11404.800000000001,2066.10469778814,91.2,16.745148551147583,46.1,8.372574275573792,46.1,8.372574275573792,10.8,1.5491933384829668,0.0,0.0,0.0,0.0,1.0,0.0
