learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.11665,1.2867659744289187E-10,100.0,95.0,90.0079936051159,89.99999999999999,88.63636363636363,100.0,4264.0
200.0,0.139466,1.538449236088329E-10,200.0,97.0,93.98737348431706,93.81443298969072,92.7710843373494,200.0,4264.0
300.0,0.156772,1.729351696040895E-10,300.0,97.66666666666667,95.31166279692802,95.23809523809524,94.48818897637796,300.0,4264.0
400.0,0.177106,1.9536560194359885E-10,400.0,98.25,96.48453194053837,96.41025641025642,95.97701149425288,400.0,4264.0
500.0,0.187095,2.0638446634014447E-10,500.0,98.4,96.77985477145019,96.7871485943775,96.31336405529953,500.0,4264.0
600.0,0.195795,2.1598143503069876E-10,600.0,98.66666666666667,97.31342281127915,97.27891156462586,96.93486590038314,600.0,4264.0
700.0,0.204166,2.2521548387077118E-10,700.0,98.57142857142858,97.1272151223396,97.09302325581396,96.78456591639872,700.0,4264.0
800.0,0.214831,2.3698004376557137E-10,800.0,98.5,96.98933094152402,96.9309462915601,96.69421487603306,800.0,4264.0
900.0,0.22509,2.48296745121479E-10,900.0,98.66666666666667,97.33007668613074,97.27891156462586,97.14964370546319,900.0,4264.0
1000.0,0.231782,2.556786893142594E-10,1000.0,98.8,97.59624052017355,97.58064516129032,97.4304068522484,1000.0,4264.0
1100.0,0.238924,2.6355702843930987E-10,1100.0,99.3,98.59741925142261,98.5655737704918,98.51694915254238,1100.0,4264.0
1200.0,0.246997,2.7246235352423457E-10,1200.0,99.3,98.59866592996532,98.56850715746421,98.55072463768116,1200.0,4264.0
1300.0,0.254614,2.808646650777923E-10,1300.0,99.3,98.59808217641734,98.53862212943632,98.54469854469853,1300.0,4264.0
1400.0,0.261074,2.8799069010549125E-10,1400.0,99.3,98.59949581849466,98.559670781893,98.57142857142857,1400.0,4264.0
1500.0,0.267966,2.9559325426816946E-10,1500.0,99.4,98.79992319508449,98.73417721518987,98.80478087649402,1500.0,4264.0
1600.0,0.274933,3.0327855091955933E-10,1600.0,99.4,98.79918825125785,98.75259875259876,98.8118811881188,1600.0,4264.0
1700.0,0.283029,3.122092473010223E-10,1700.0,99.6,99.19953893442623,99.16317991631799,99.2094861660079,1700.0,4264.0
1800.0,0.293567,3.238337135149374E-10,1800.0,99.7,99.39986556988765,99.37369519832984,99.40828402366864,1800.0,4264.0
1900.0,0.300382,3.313513389892049E-10,1900.0,99.7,99.39997119861754,99.37888198757764,99.39393939393939,1900.0,4264.0
2000.0,0.3097,3.416300233867434E-10,2000.0,99.6,99.19974071599198,99.15966386554622,99.19517102615694,2000.0,4264.0
