learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.388094,3.5180228451887764E-10,100.0,98.0,95.99839935974389,96.0,95.45454545454545,10100.0,3504.0
200.0,0.402994,3.653089453776677E-10,200.0,99.0,97.99015174354336,97.9381443298969,97.59036144578313,10200.0,3504.0
300.0,0.411984,3.7345826625823973E-10,300.0,99.33333333333333,98.65657606018539,98.63945578231291,98.42519685039369,10300.0,3504.0
400.0,0.422864,3.8332084814707437E-10,400.0,99.5,98.99355877616746,98.97435897435898,98.85057471264368,10400.0,3504.0
500.0,0.43288,3.9240022500356037E-10,500.0,99.4,98.79020550375843,98.79518072289156,98.61751152073732,10500.0,3504.0
600.0,0.439536,3.984338045120239E-10,600.0,99.5,98.99089563618423,98.9795918367347,98.85057471264368,10600.0,3504.0
700.0,0.446535,4.047783091664314E-10,700.0,99.57142857142857,99.13713759779105,99.12790697674417,99.0353697749196,10700.0,3504.0
800.0,0.45358,4.1116451223691303E-10,800.0,99.5,98.99576337674564,98.9769820971867,98.89807162534436,10800.0,3504.0
900.0,0.460145,4.171156014005343E-10,900.0,99.55555555555556,99.10969101332002,99.09297052154194,99.04988123515439,10900.0,3504.0
1000.0,0.466949,4.2328334103027977E-10,1000.0,99.6,99.19845140812049,99.19354838709677,99.14346895074947,11000.0,3504.0
1100.0,0.474226,4.2987984915574387E-10,1100.0,99.8,99.59922570406025,99.59016393442623,99.57627118644068,11100.0,3504.0
1200.0,0.480999,4.3601948767900463E-10,1200.0,99.8,99.59959158341508,99.59100204498978,99.58592132505176,11200.0,3504.0
1300.0,0.487348,4.4177477558453875E-10,1300.0,99.7,99.39917807560744,99.37369519832984,99.37629937629937,11300.0,3504.0
1400.0,0.493398,4.472590237855911E-10,1400.0,99.7,99.399783922212,99.38271604938271,99.38775510204081,11400.0,3504.0
1500.0,0.49972,4.529898365338643E-10,1500.0,99.8,99.5999743983615,99.57805907172997,99.60159362549801,11500.0,3504.0
1600.0,0.506194,4.588584353526433E-10,1600.0,99.8,99.59972941708595,99.58419958419958,99.60396039603961,11600.0,3504.0
1700.0,0.513943,4.658828054865201E-10,1700.0,99.8,99.59976946721312,99.581589958159,99.60474308300395,11700.0,3504.0
1800.0,0.521266,4.725210120280583E-10,1800.0,99.8,99.5999215846306,99.58246346555325,99.60552268244575,11800.0,3504.0
1900.0,0.528171,4.787803068757056E-10,1900.0,99.8,99.59998559948158,99.58592132505176,99.5959595959596,11900.0,3504.0
2000.0,0.53496,4.849344491958617E-10,2000.0,99.8,99.599870357996,99.57983193277312,99.59758551307847,12000.0,3504.0
2100.0,0.541018,4.904259492953617E-10,2100.0,99.8,99.5992931531221,99.58419958419958,99.58932238193019,12100.0,3504.0
2200.0,0.547439,4.962465042869249E-10,2200.0,99.8,99.59935897435898,99.58333333333333,99.59016393442623,12200.0,3504.0
2300.0,0.554763,5.028856173157691E-10,2300.0,99.9,99.79955742278952,99.79508196721312,99.8003992015968,12300.0,3504.0
2400.0,0.56173,5.092011143763859E-10,2400.0,99.9,99.79991196126295,99.79253112033194,99.800796812749,12400.0,3504.0
2500.0,0.567865,5.147624139984447E-10,2500.0,99.9,99.8,99.79209979209979,99.79959919839679,12500.0,3504.0
2600.0,0.574383,5.20670898258686E-10,2600.0,99.9,99.7999839987199,99.7872340425532,99.8003992015968,12600.0,3504.0
2700.0,0.5811,5.26759773492813E-10,2700.0,99.9,99.7999839987199,99.7867803837953,99.79959919839679,12700.0,3504.0
2800.0,0.587861,5.328885341684022E-10,2800.0,100.0,100.0,100.0,100.0,12800.0,3504.0
2900.0,0.594225,5.386574193835257E-10,2900.0,100.0,100.0,100.0,100.0,12900.0,3504.0
3000.0,0.600359,5.442178125182787E-10,3000.0,100.0,100.0,100.0,100.0,13000.0,3504.0
3100.0,0.607199,5.504181856910387E-10,3100.0,100.0,100.0,100.0,100.0,13100.0,3504.0
3200.0,0.61426,5.568188925584156E-10,3200.0,99.9,99.79999039953917,99.78448275862068,99.80353634577604,13200.0,3504.0
3300.0,0.621727,5.63587633272012E-10,3300.0,99.9,99.8,99.78632478632478,99.80119284294234,13300.0,3504.0
3400.0,0.628524,5.697490274906157E-10,3400.0,99.9,99.79989434421374,99.7867803837953,99.79674796747967,13400.0,3504.0
3500.0,0.635598,5.761615186929701E-10,3500.0,99.8,99.59994239170442,99.581589958159,99.59919839679358,13500.0,3504.0
3600.0,0.641382,5.814046412706374E-10,3600.0,99.8,99.59994239170442,99.59677419354838,99.60159362549801,13600.0,3504.0
3700.0,0.646753,5.862733845909435E-10,3700.0,99.8,99.59994239170442,99.59919839679358,99.60159362549801,13700.0,3504.0
