learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,2.88944,4.07178305917316E-8,100.0,96.0,95.99679743795035,-33.33333333333333,95.83333333333333,5002.0,54472.0
200.0,3.272544,4.6116511225700374E-8,200.0,72.5,72.36180904522614,-71.87499999999997,69.44444444444444,1839.0,54472.0
300.0,3.529581,4.973866258437434E-8,300.0,70.0,69.25389450669581,1.0989010989010877,63.11475409836065,3335.0,54472.0
400.0,4.005704,5.644816188348664E-8,400.0,73.5,73.13326912353627,8.62068965517242,69.18604651162791,5967.0,54472.0
500.0,4.370893,6.159438531638847E-8,500.0,75.4,74.8037560839711,32.78688524590164,70.2179176755448,7754.0,54472.0
600.0,4.668897,6.579384140049418E-8,600.0,78.66666666666666,77.72751000522011,49.606299212598415,72.64957264957265,9401.0,54472.0
700.0,5.039942,7.102258726540538E-8,700.0,79.42857142857143,78.60799144319658,51.83946488294314,73.91304347826086,11295.0,54472.0
800.0,5.396623,7.604891642721162E-8,800.0,78.75,78.09137186674398,51.841359773371096,73.92638036809817,12943.0,54472.0
900.0,5.782037,8.148014945495459E-8,900.0,79.55555555555556,78.99117020196894,56.60377358490567,75.13513513513513,14856.0,54472.0
1000.0,6.150319,8.666995927484498E-8,1000.0,80.2,79.7230870063903,57.41935483870968,76.20192307692308,16745.0,54472.0
1100.0,6.508948,9.172373954620625E-8,1100.0,79.60000000000001,78.93562976271606,62.43093922651936,74.81481481481482,18600.0,54472.0
1200.0,6.918635,9.749702636359464E-8,1200.0,83.89999999999999,83.28835374714552,72.0486111111111,79.875,20759.0,54472.0
1300.0,7.288244,1.027055361949735E-7,1300.0,87.0,86.45318272051354,77.66323024054982,83.60655737704919,22716.0,54472.0
1400.0,7.783975,1.096913503586418E-7,1400.0,88.2,87.46643553924068,80.96774193548387,84.30851063829788,25400.0,54472.0
1500.0,8.249741,1.1625489937969379E-7,1500.0,89.3,88.77677316494997,81.58347676419967,86.24678663239075,27828.0,54472.0
1600.0,8.592501,1.210850545701881E-7,1600.0,88.3,87.89045519468422,79.2920353982301,85.55555555555556,29631.0,54472.0
1700.0,8.903807,1.2547196171142987E-7,1700.0,88.7,88.33496609397888,80.34782608695653,86.16891064871481,31241.0,54472.0
1800.0,9.187047,1.294633643142879E-7,1800.0,90.4,90.08324905816691,83.33333333333333,88.16276202219484,32758.0,54472.0
1900.0,9.49032,1.3373707085847855E-7,1900.0,91.10000000000001,90.83559783308226,83.5489833641405,89.18590522478736,34328.0,54472.0
2000.0,9.821685,1.3840664833163222E-7,2000.0,91.7,91.47081219447782,84.03846153846155,90.01203369434417,36165.0,54472.0
2100.0,10.149047,1.4301981574752265E-7,2100.0,92.7,92.56063843989455,83.37129840546697,91.48191365227538,38082.0,54472.0
2200.0,10.37887,1.4625846890525687E-7,2200.0,93.5,93.41837468281629,82.75862068965519,92.63873159682899,39484.0,54472.0
2300.0,10.57654,1.490440237439341E-7,2300.0,93.89999999999999,93.8705171876727,80.44871794871793,93.41252699784016,40663.0,54472.0
2400.0,10.760529,1.5163678667818507E-7,2400.0,94.3,94.29548202176123,77.10843373493974,94.10548086866596,41856.0,54472.0
2500.0,10.959031,1.5443406601539916E-7,2500.0,94.89999999999999,94.89699943566818,76.9230769230769,94.75308641975309,43073.0,54472.0
2600.0,11.161397,1.572857966294719E-7,2600.0,96.39999999999999,96.39967597083738,78.31325301204818,96.34517766497461,44330.0,54472.0
2700.0,11.407526,1.6075423304819396E-7,2700.0,97.6,97.5999855999136,78.37837837837836,97.58551307847083,45872.0,54472.0
2800.0,11.652013,1.6419953049264018E-7,2800.0,98.5,98.5,73.21428571428571,98.5,47316.0,54472.0
2900.0,12.208792,1.7204562973644995E-7,2900.0,99.2,99.2,60.0,99.2,49975.0,54472.0
3000.0,12.726854,1.7934613113188078E-7,3000.0,100.0,100.0,?,100.0,52560.0,54472.0
3100.0,13.240142,1.8657935758017828E-7,3100.0,100.0,100.0,?,100.0,55098.0,54472.0
3200.0,13.666703,1.925904318835172E-7,3200.0,100.0,100.0,?,100.0,57263.0,54472.0
3300.0,14.025762,1.9765027169138189E-7,3300.0,100.0,100.0,?,100.0,59077.0,54472.0
3400.0,14.366973,2.0245859845851855E-7,3400.0,99.8,99.8,50.0,99.8,60917.0,54472.0
3500.0,14.715185,2.0736558293509811E-7,3500.0,99.8,99.8,50.0,99.8,62842.0,54472.0
3600.0,15.0153,2.11594787115852E-7,3600.0,99.8,99.8,50.0,99.8,64437.0,54472.0
3700.0,15.406025,2.171008624653849E-7,3700.0,99.8,99.8,50.0,99.8,66567.0,54472.0
3800.0,15.691054,2.211174755584862E-7,3800.0,99.8,99.8,50.0,99.8,68199.0,54472.0
3900.0,15.938788,2.2460852954950594E-7,3900.0,99.8,99.8,50.0,99.8,69611.0,54472.0
4000.0,16.227244,2.2867343573934498E-7,4000.0,99.8,99.8,50.0,99.8,71325.0,54472.0
4100.0,16.572302,2.3353597422026922E-7,4100.0,99.8,99.8,50.0,99.8,73301.0,54472.0
4200.0,16.864301,2.3765080817250737E-7,4200.0,99.8,99.8,50.0,99.8,74901.0,54472.0
4300.0,17.200606,2.423899998557236E-7,4300.0,99.8,99.8,50.0,99.8,76932.0,54472.0
4400.0,17.439004,2.457494914448923E-7,4400.0,100.0,100.0,?,100.0,78359.0,54472.0
4500.0,17.632223,2.4847232303478644E-7,4500.0,100.0,100.0,?,100.0,79576.0,54472.0
4600.0,17.913452,2.5243538673553196E-7,4600.0,99.9,99.9,0.0,99.9,81154.0,54472.0
4700.0,18.172832,2.5609055552217687E-7,4700.0,98.3,98.2999931999728,54.054054054054056,98.29317269076306,82528.0,54472.0
4800.0,18.535767,2.612050157102445E-7,4800.0,97.89999999999999,97.89998319986559,53.333333333333336,97.88306451612902,84495.0,54472.0
4900.0,18.881542,2.6607765811598955E-7,4900.0,96.89999999999999,96.89997519980159,56.338028169014024,96.875,86196.0,54472.0
5000.0,19.187135,2.7038405797340795E-7,5000.0,95.6,95.59996479971839,55.5555555555555,95.56451612903226,87704.0,54472.0
5100.0,19.434967,2.7387649297507267E-7,5100.0,95.6,95.59996479971839,55.5555555555555,95.56451612903226,89013.0,54472.0
5200.0,19.691743,2.774949663360085E-7,5200.0,95.6,95.59996479971839,55.5555555555555,95.56451612903226,90389.0,54472.0
5300.0,19.965286,2.8134971934474167E-7,5300.0,95.6,95.59996479971839,55.5555555555555,95.56451612903226,91876.0,54472.0
5400.0,20.163479,2.8414264427084054E-7,5400.0,95.6,95.59996479971839,55.5555555555555,95.56451612903226,92967.0,54472.0
5500.0,20.44671,2.8813392004619035E-7,5500.0,95.6,95.59996479971839,55.5555555555555,95.56451612903226,94425.0,54472.0
5600.0,20.722052,2.920140244646204E-7,5600.0,94.39999999999999,94.39980959352617,57.251908396946526,94.30315361139368,95866.0,54472.0
5700.0,21.021486,2.962336320305863E-7,5700.0,95.6,95.59536191609764,73.65269461077843,95.42143600416233,97322.0,54472.0
5800.0,21.357981,3.009755011834203E-7,5800.0,95.8,95.78082808280828,82.35294117647058,95.47900968783638,99056.0,54472.0
5900.0,21.785272,3.069968626068697E-7,5900.0,95.5,95.46885745730404,84.26573426573425,95.07119386637459,101125.0,54472.0
6000.0,22.097805,3.1140106056506423E-7,6000.0,96.7,96.6771621353563,89.52380952380952,96.3855421686747,102589.0,54472.0
6100.0,22.441079,3.1623845901547196E-7,6100.0,95.8,95.76549727177039,88.79999999999998,95.34883720930232,104182.0,54472.0
6200.0,22.972867,3.237323864528701E-7,6200.0,95.3,95.261389804124,89.24485125858122,94.79512735326688,106104.0,54472.0
6300.0,23.501855,3.3118685644326925E-7,6300.0,93.4,93.34578142706775,86.39175257731961,92.69102990033224,107614.0,54472.0
6400.0,23.908805,3.369215736062161E-7,6400.0,92.2,92.13592350471643,85.42056074766357,91.36212624584718,1078.0,54472.0
6500.0,24.083949,3.3938969328378623E-7,6500.0,91.7,91.63181603707005,85.66493955094992,90.80841638981174,2369.0,54472.0
6600.0,24.311433,3.425953853813309E-7,6600.0,92.5,92.44481694295132,87.26655348047538,91.7763157894737,4036.0,54472.0
6700.0,24.542678,3.4585407728536244E-7,6700.0,92.10000000000001,92.07198238575126,86.28472222222221,91.57782515991471,5756.0,54472.0
6800.0,24.768343,3.490341361343031E-7,6800.0,91.3,91.29547364629607,84.12408759124087,91.06776180698152,7449.0,54472.0
6900.0,25.001139,3.52309866686248E-7,6900.0,90.9,90.89931744880866,82.76515151515153,90.76142131979695,1613.0,54392.0
7000.0,25.343544,3.5712793280267043E-7,7000.0,89.0,88.99917493812036,79.16666666666667,88.83248730964468,3439.0,54392.0
7100.0,25.549094,3.6002027809619893E-7,7100.0,88.9,88.9,78.73563218390804,88.84422110552764,5066.0,54392.0
7200.0,25.816334,3.6378067875901846E-7,7200.0,88.5,88.5,77.49510763209393,88.44221105527639,6966.0,54392.0
7300.0,26.043851,3.669821271859108E-7,7300.0,90.3,90.3,80.52208835341365,90.25125628140704,8615.0,54392.0
7400.0,26.272459,3.70198927345789E-7,7400.0,91.5,91.5,82.58196721311477,91.45728643216081,10254.0,54392.0
7500.0,26.569888,3.7438412495371354E-7,7500.0,91.4,91.4,82.08333333333334,91.356783919598,785.0,54392.0
7600.0,26.739835,3.7677549155842915E-7,7600.0,90.7,90.69692998689568,80.5439330543933,90.49079754601227,2099.0,54392.0
7700.0,26.888812,3.7887178406533257E-7,7700.0,90.8,90.78753553557965,80.17241379310346,90.40667361835246,3219.0,54392.0
7800.0,27.101912,3.818703672910729E-7,7800.0,90.2,90.17772307593623,78.87931034482759,89.64059196617336,4842.0,54392.0
7900.0,27.274077,3.8429294392673493E-7,7900.0,91.7,91.67711205815995,80.33175355450238,91.21693121693121,6126.0,54392.0
8000.0,27.489049,3.873178685311641E-7,8000.0,93.7,93.6826272248684,82.73972602739728,93.33333333333333,7703.0,54392.0
8100.0,27.678421,3.89982569153524E-7,8100.0,94.6,94.58510904988718,82.7476038338658,94.28571428571428,9087.0,54392.0
8200.0,27.91327,3.932871879802809E-7,8200.0,95.5,95.48759087490599,82.82442748091601,95.23809523809523,10871.0,54392.0
8300.0,28.115221,3.9612889084758017E-7,8300.0,95.19999999999999,95.18676359989972,79.39914163090127,94.92063492063491,12386.0,54392.0
8400.0,28.374832,3.997819419494932E-7,8400.0,93.8,93.78290298320381,71.1627906976744,93.43915343915343,14297.0,54392.0
8500.0,28.581679,4.0269253765336326E-7,8500.0,94.19999999999999,94.1840060165455,74.10714285714283,93.86243386243386,15810.0,54392.0
8600.0,28.770657,4.0535169420349915E-7,8600.0,94.69999999999999,94.69026725988738,77.15517241379308,94.43861490031479,17179.0,54392.0
8700.0,29.016378,4.0880929565264106E-7,8700.0,94.69999999999999,94.69688176647868,78.0082987551867,94.54732510288065,18901.0,54392.0
8800.0,29.306258,4.128882693996031E-7,8800.0,95.39999999999999,95.39668561364182,81.52610441767067,95.25773195876288,20705.0,54392.0
8900.0,29.663267,4.179118320407966E-7,8900.0,93.4,93.3826493064816,79.4392523364486,93.00106044538707,199.0,54392.0
9000.0,29.906598,4.213307672118146E-7,9000.0,90.0,89.91815558705572,75.06234413965089,88.90122086570477,370.0,54312.0
9100.0,30.162449,4.249256153094271E-7,9100.0,89.4,89.24319809868453,76.65198237885463,87.8300803673938,382.0,54312.0
9200.0,30.395215,4.2819610638543953E-7,9200.0,89.2,88.9786583965785,77.9591836734694,87.27915194346289,2248.0,54312.0
9300.0,30.630189,4.314976210830111E-7,9300.0,89.0,88.66522749403637,80.07246376811594,86.60170523751523,4050.0,54312.0
