learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,240.725878,9.01706033680588E-6,100.0,98.0,81.02466793168882,33.33333333333333,60.0,426992.0,144792.0
200.0,240.818913,9.020406012075643E-6,200.0,85.5,73.44808643105657,9.375000000000007,68.13186813186812,427092.0,139008.0
300.0,240.885485,9.022762425653636E-6,300.0,82.66666666666667,72.36981934112646,43.47826086956521,69.76744186046511,427192.0,136824.0
400.0,240.951682,9.025195438665234E-6,400.0,82.25,70.7095709570957,39.31623931623932,68.30357142857142,427292.0,142072.0
500.0,241.015939,9.02748400600834E-6,500.0,81.8,70.69979200072123,50.54347826086955,67.38351254480285,427392.0,137672.0
600.0,241.07075,9.02950182619608E-6,600.0,83.33333333333334,73.95019276857352,61.24031007751939,70.41420118343196,427492.0,142304.0
700.0,241.129056,9.031675342002677E-6,700.0,82.71428571428572,72.8559571079256,60.066006600660074,69.97518610421837,427592.0,144096.0
800.0,241.194082,9.034107842635777E-6,800.0,81.75,70.96852769672054,58.87323943661972,67.98245614035086,427692.0,144600.0
900.0,241.25682,9.0364683869895E-6,900.0,81.0,69.65670076262433,59.764705882352956,66.79611650485438,427792.0,145440.0
1000.0,241.339269,9.03950930757862E-6,1000.0,80.30000000000001,68.43697328197801,57.63440860215054,65.37785588752199,427892.0,142568.0
1100.0,241.40489,9.041961214043614E-6,1100.0,79.3,67.08993985567271,61.94852941176471,66.7202572347267,427992.0,144432.0
1200.0,241.463467,9.044072820728438E-6,1200.0,81.10000000000001,70.32817975157309,67.13043478260872,68.65671641791046,428092.0,139344.0
1300.0,241.522476,9.04621025884938E-6,1300.0,82.8,73.18767381246334,70.44673539518898,71.8954248366013,428192.0,140016.0
1400.0,241.578504,9.048242269503989E-6,1400.0,84.3,75.90960424236471,74.7181964573269,74.0495867768595,428292.0,140192.0
1500.0,241.628149,9.050042782978467E-6,1500.0,85.39999999999999,77.17123450458452,74.91408934707903,74.34094903339192,428392.0,140192.0
1600.0,241.679018,9.051900953329687E-6,1600.0,83.2,73.31571323286488,70.2127659574468,69.39890710382514,428492.0,141200.0
1700.0,241.742087,9.05419106644475E-6,1700.0,84.0,74.69751671940652,72.17391304347827,71.22302158273381,428592.0,140360.0
1800.0,241.799658,9.056301557481705E-6,1800.0,85.7,77.30900689615775,75.1736111111111,73.71323529411764,428692.0,141704.0
1900.0,241.850409,9.058168651819646E-6,1900.0,87.1,78.9603132793043,76.19926199261991,74.50592885375494,428792.0,142208.0
2000.0,241.89598,9.059853099901232E-6,2000.0,89.1,81.0327906507319,79.11877394636015,76.45788336933046,428892.0,142880.0
2100.0,241.932572,9.061208836488015E-6,2100.0,90.3,81.2168390070098,77.95454545454545,76.04938271604938,428992.0,143216.0
2200.0,241.967914,9.062509044328087E-6,2200.0,91.2,80.59887738049571,76.8421052631579,73.96449704142013,429092.0,142208.0
2300.0,242.002761,9.063777410864005E-6,2300.0,91.8,79.17819906657391,73.80191693290735,66.93548387096776,429192.0,140696.0
2400.0,242.032912,9.064870920417212E-6,2400.0,92.2,76.29222567369594,68.67469879518075,61.57635467980297,429292.0,140192.0
2500.0,242.062746,9.065956822997997E-6,2500.0,93.10000000000001,77.42885181550541,68.77828054298645,62.500000000000036,429392.0,140696.0
2600.0,242.090062,9.066949887822075E-6,2600.0,96.2,84.60229344787065,76.96969696969695,73.79310344827584,429492.0,140528.0
2700.0,242.121331,9.06808394474288E-6,2700.0,97.5,81.1440294454836,77.06422018348621,65.7534246575342,429592.0,140192.0
2800.0,242.157741,9.069402871831426E-6,2800.0,98.1,66.84350132625994,66.07142857142857,40.625,429692.0,140024.0
2900.0,242.185962,9.070425158054053E-6,2900.0,99.2,59.60004039995977,60.0,27.27272727272727,429792.0,140024.0
3000.0,242.21464,9.071473969947549E-6,3000.0,99.8,0.0,-Infinity,-Infinity,429892.0,141368.0
3100.0,242.240989,9.072442186338208E-6,3100.0,99.8,0.0,-Infinity,-Infinity,429992.0,142040.0
3200.0,242.268522,9.073459892972479E-6,3200.0,99.8,0.0,-Infinity,-Infinity,430092.0,142880.0
3300.0,242.297301,9.074526157271533E-6,3300.0,99.8,0.0,-Infinity,-Infinity,430192.0,143216.0
3400.0,242.331754,9.075802643733723E-6,3400.0,99.6,-0.20040080160340706,0.0,-100.0,430292.0,143216.0
3500.0,242.364925,9.07703163199127E-6,3500.0,99.5,-0.24057738572375162,-25.0,-150.0,430392.0,143216.0
3600.0,242.397702,9.078246022516656E-6,3600.0,99.5,-0.24057738572375162,-25.0,-150.0,430492.0,143216.0
3700.0,242.427694,9.079357228564721E-6,3700.0,99.5,-0.24057738572375162,-25.0,-150.0,430592.0,143216.0
3800.0,242.456096,9.080409524983004E-6,3800.0,99.7,-0.13351134846104246,25.0,-50.0,430692.0,143216.0
3900.0,242.482418,9.081384757231509E-6,3900.0,99.7,-0.13351134846104246,25.0,-50.0,430792.0,143216.0
4000.0,242.509523,9.082388999693926E-6,4000.0,99.7,-0.13351134846104246,25.0,-50.0,430892.0,143216.0
4100.0,242.538129,9.08344885432886E-6,4100.0,99.7,-0.13351134846104246,25.0,-50.0,430992.0,143216.0
4200.0,242.566201,9.084488924220207E-6,4200.0,99.7,-0.13351134846104246,25.0,-50.0,431092.0,143216.0
4300.0,242.593578,9.085511573265412E-6,4300.0,99.7,-0.13351134846104246,25.0,-50.0,431192.0,144392.0
4400.0,242.619715,9.086492446797591E-6,4400.0,99.9,0.0,-Infinity,-Infinity,431292.0,145064.0
4500.0,242.645918,9.087482630153085E-6,4500.0,100.0,?,?,?,431392.0,146072.0
4600.0,242.671824,9.088464967954078E-6,4600.0,100.0,?,?,?,431492.0,146576.0
4700.0,242.726736,9.090550375529049E-6,4700.0,98.3,31.506849315068607,54.054054054054056,15.0,431592.0,146800.0
4800.0,242.786583,9.092702561565159E-6,4800.0,98.0,32.81375974200482,55.55555555555556,16.666666666666664,431692.0,139008.0
4900.0,242.846532,9.094695386648593E-6,4900.0,96.7,22.580645161290295,53.521126760563305,10.81081081081081,431792.0,128496.0
5000.0,242.921538,9.097264645494935E-6,5000.0,94.8,19.89771554446454,47.47474747474742,5.454545454545454,431892.0,132408.0
5100.0,242.980548,9.099329698269981E-6,5100.0,94.8,19.89771554446454,47.47474747474742,5.454545454545454,431992.0,135272.0
5200.0,243.029921,9.101068233762766E-6,5200.0,94.8,19.89771554446454,47.47474747474742,5.454545454545454,432092.0,136112.0
5300.0,243.071525,9.102542504335031E-6,5300.0,94.8,19.89771554446454,47.47474747474742,5.454545454545454,432192.0,136976.0
5400.0,243.105207,9.103753688825916E-6,5400.0,94.8,19.89771554446454,47.47474747474742,5.454545454545454,432292.0,139000.0
5500.0,243.137732,9.104921854699238E-6,5500.0,94.8,19.89771554446454,47.47474747474742,5.454545454545454,432392.0,138832.0
5600.0,243.182586,9.106546474192292E-6,5600.0,93.60000000000001,30.844454049381433,51.51515151515156,14.66666666666669,432492.0,140008.0
5700.0,243.245114,9.108647159232448E-6,5700.0,94.8,72.80832483593481,68.6746987951807,58.7301587301587,432592.0,129864.0
5800.0,243.293359,9.110282771417664E-6,5800.0,94.89999999999999,82.38500169242138,78.57142857142854,72.43243243243242,432692.0,131048.0
5900.0,243.368479,9.112918433675336E-6,5900.0,94.39999999999999,84.72741156898572,80.4195804195804,76.17021276595743,432792.0,135624.0
6000.0,243.443103,9.115552909701235E-6,6000.0,95.89999999999999,90.24350776830947,86.90095846645366,84.87084870848707,432892.0,136464.0
6100.0,243.505535,9.117847285001643E-6,6100.0,94.69999999999999,88.54843902259846,85.79088471849865,82.95819935691317,432992.0,142056.0
6200.0,243.580906,9.120626995666989E-6,6200.0,94.5,89.12331980010639,87.17948717948717,84.76454293628808,433092.0,142560.0
6300.0,243.654216,9.123333730337521E-6,6300.0,92.5,85.8409619084118,84.27672955974843,80.91603053435115,433192.0,142720.0
6400.0,243.722083,9.125857478450571E-6,6400.0,92.10000000000001,85.57306875437146,85.06616257088848,81.27962085308059,433292.0,143744.0
6500.0,243.790411,9.1284043089259E-6,6500.0,92.10000000000001,85.8736099363955,86.2608695652174,82.32662192393737,433392.0,144080.0
6600.0,243.858918,9.130969721103708E-6,6600.0,92.60000000000001,86.78642215595593,87.35042735042737,83.55555555555556,433492.0,144752.0
6700.0,243.927224,9.133527606344885E-6,6700.0,92.80000000000001,86.46303562665805,87.30158730158732,82.65060240963857,433592.0,144752.0
6800.0,244.000479,9.136270818995932E-6,6800.0,91.7,83.24214096791779,84.51492537313433,78.88040712468194,433692.0,144752.0
6900.0,244.081498,9.139358430380621E-6,6900.0,91.4,82.35499292147973,83.30097087378641,78.66004962779158,433792.0,147312.0
7000.0,244.153418,9.142136939474276E-6,7000.0,90.0,79.226606562315,80.80614203454894,74.68354430379748,433892.0,149336.0
7100.0,244.209621,9.144424217616516E-6,7100.0,90.3,80.09104753929454,81.23791102514507,77.06855791962177,433992.0,157312.0
7200.0,244.263084,9.146588258109984E-6,7200.0,89.7,78.84827849629743,79.96108949416343,75.70754716981133,434092.0,156464.0
7300.0,244.306888,9.148315183474783E-6,7300.0,91.60000000000001,82.66386261523888,83.23353293413174,79.95226730310263,434192.0,152392.0
7400.0,244.348079,9.149949835528513E-6,7400.0,91.9,83.15076528808032,83.43558282208589,80.33980582524272,434292.0,153400.0
7500.0,244.389262,9.15159132964081E-6,7500.0,91.7,82.66575609674598,82.6722338204593,79.55665024630542,434392.0,154072.0
7600.0,244.435273,9.153433259636574E-6,7600.0,90.9,81.31217296302687,80.92243186582809,77.64127764127765,434492.0,154744.0
7700.0,244.480945,9.155263603638025E-6,7700.0,90.5,80.69054670143724,79.65738758029978,76.01010101010101,434592.0,154912.0
7800.0,244.532127,9.157316990004228E-6,7800.0,90.60000000000001,80.95481225294441,80.04246284501062,75.45691906005223,434692.0,155080.0
7900.0,244.58633,9.159412939430522E-6,7900.0,92.10000000000001,82.3723670117815,81.54205607476636,75.00000000000001,434792.0,149472.0
8000.0,244.625971,9.160949243698267E-6,8000.0,93.89999999999999,84.97684957147078,83.37874659400543,77.40740740740739,434892.0,149808.0
8100.0,244.661567,9.16233195002087E-6,8100.0,94.69999999999999,83.95257228155059,83.06709265175716,73.89162561576353,434992.0,150152.0
8200.0,244.696679,9.163703485779047E-6,8200.0,95.5,82.87110698325935,82.69230769230768,70.39473684210525,435092.0,150992.0
8300.0,244.73364,9.165150535963472E-6,8300.0,95.19999999999999,78.49134724823672,79.2207792207792,62.499999999999964,435192.0,151336.0
8400.0,244.77398,9.166735136206775E-6,8400.0,94.39999999999999,71.81539080980419,73.70892018779341,52.136752136752094,435292.0,151840.0
8500.0,244.820006,9.168553090724676E-6,8500.0,94.39999999999999,73.15436241610736,74.77477477477476,55.19999999999996,435392.0,152680.0
8600.0,244.868923,9.170485235189808E-6,8600.0,95.19999999999999,77.57114153544225,79.31034482758619,62.499999999999964,435492.0,152680.0
8700.0,244.927889,9.172762677944779E-6,8700.0,95.3,81.70950016344702,80.81632653061223,69.28104575163397,435592.0,149296.0
8800.0,244.9867,9.175042167365961E-6,8800.0,95.3,82.87003458795142,81.42292490118575,71.85628742514967,435692.0,149824.0
8900.0,245.052206,9.177589693158447E-6,8900.0,94.3,83.58436771016328,82.51533742331286,73.972602739726,435792.0,150328.0
9000.0,245.13294,9.180451234510784E-6,9000.0,92.2,81.70611578621487,80.7881773399015,72.14285714285717,435892.0,137008.0
9100.0,245.186218,9.18231128557895E-6,9100.0,92.2,83.20218113217301,83.11688311688312,74.83870967741937,435992.0,134952.0
9200.0,245.226936,9.183754075771813E-6,9200.0,92.2,84.04862306896312,84.33734939759037,76.50602409638554,436092.0,136968.0
9300.0,245.278,9.185585656519973E-6,9300.0,92.10000000000001,85.10218205887845,85.9180035650624,78.82037533512064,436192.0,138648.0
