learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,89.27125,1.2580055769325957E-6,100.0,93.0,50.9803921568628,-133.33333333333297,-39.99999999999978,1141.0,54472.0
200.0,89.312237,1.2584822194505896E-6,200.0,72.0,55.59784332381857,-74.99999999999997,38.46153846153845,86.0,44952.0
300.0,89.340787,1.2588142306709455E-6,300.0,68.33333333333333,55.02319856074235,-3.2608695652173947,44.76744186046512,186.0,44952.0
400.0,89.366755,1.2591162155175373E-6,400.0,71.75,57.406709385601204,3.4188034188034218,49.55357142857143,286.0,44952.0
500.0,89.39343,1.259426422148115E-6,500.0,74.8,62.27115659865494,31.521739130434778,54.83870967741935,386.0,44952.0
600.0,89.415281,1.2596805299301114E-6,600.0,78.5,68.32023575638507,50.000000000000014,61.834319526627226,486.0,44952.0
700.0,89.439631,1.2599636988693642E-6,700.0,79.57142857142857,69.5676231127974,52.8052805280528,64.51612903225806,586.0,44952.0
800.0,89.463842,1.2602452513616947E-6,800.0,77.5,66.23158566155607,49.29577464788733,60.526315789473685,686.0,44952.0
900.0,89.488626,1.2605334673366613E-6,900.0,78.11111111111111,66.72853070714538,53.647058823529406,61.74757281553398,786.0,44952.0
1000.0,89.524273,1.2609480103829668E-6,1000.0,79.2,67.94239494969423,55.26881720430108,63.44463971880493,886.0,44952.0
1100.0,89.550018,1.2612474019370145E-6,1100.0,78.60000000000001,67.0660802171792,60.66176470588235,65.59485530546624,986.0,44952.0
1200.0,89.575866,1.2615479912898606E-6,1200.0,82.6,73.12923909417738,69.73913043478261,71.14427860696516,1086.0,44952.0
1300.0,89.59959,1.261823880403406E-6,1300.0,85.9,78.18988412795886,75.77319587628864,76.96078431372548,1186.0,44952.0
1400.0,89.619823,1.262059172278063E-6,1400.0,87.3,80.70096525565901,79.54911433172302,79.00826446280992,1286.0,44952.0
1500.0,89.638087,1.2622715664261744E-6,1500.0,87.7,80.97065148444389,78.8659793814433,78.38312829525485,1386.0,44952.0
1600.0,89.656629,1.2624871934681301E-6,1600.0,84.89999999999999,76.29163487233595,73.22695035460993,72.49544626593807,1486.0,44952.0
1700.0,89.679474,1.2627528605899876E-6,1700.0,85.0,76.47128948313697,73.91304347826087,73.02158273381293,1586.0,44952.0
1800.0,89.700837,1.2630012933640844E-6,1800.0,87.9,80.79383370952023,78.99305555555554,77.75735294117646,1686.0,44952.0
1900.0,89.720792,1.2632333523448969E-6,1900.0,88.5,81.28471481973925,78.78228782287822,77.27272727272727,1786.0,44952.0
