learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,107.85471,1.7609567426765957E-6,100.0,92.0,50.3722084367246,-166.6666666666663,-59.99999999999977,426992.0,63112.0
200.0,107.898911,1.7616784176872008E-6,200.0,75.5,60.962396430847676,-53.124999999999964,46.15384615384615,427092.0,63112.0
300.0,107.933433,1.762242062507818E-6,300.0,76.33333333333333,65.10599259526228,22.826086956521724,58.720930232558146,427192.0,63112.0
400.0,107.966567,1.7627830452865196E-6,400.0,76.75,64.07879490150637,20.512820512820497,58.48214285714285,427292.0,63112.0
500.0,108.00551,1.763418872302605E-6,500.0,76.0,63.82971027597931,34.78260869565217,56.98924731182795,427392.0,63112.0
600.0,108.038641,1.763959806099948E-6,600.0,78.83333333333333,68.63423067424054,50.775193798449614,62.42603550295858,427492.0,63112.0
700.0,108.079652,1.764436727716691E-6,700.0,79.0,68.66225278506995,51.48514851485149,63.523573200992566,78.0,44952.0
800.0,108.114172,1.7648381647509006E-6,800.0,77.625,66.34563409807708,49.57746478873239,60.74561403508771,80.0,44952.0
900.0,108.137148,1.765105355286764E-6,900.0,77.33333333333333,65.6219689848744,51.99999999999999,60.38834951456311,180.0,44952.0
1000.0,108.16511,1.7654305285877653E-6,1000.0,77.5,65.5351472568275,51.61290322580645,60.456942003514946,95.0,44952.0
1100.0,108.193412,1.765759655787713E-6,1100.0,76.6,64.01505831405936,56.98529411764706,62.37942122186495,195.0,44952.0
1200.0,108.212566,1.7659823998477725E-6,1200.0,79.80000000000001,68.97119543845852,64.86956521739133,66.50082918739636,295.0,44952.0
1300.0,108.23065,1.766192700755265E-6,1300.0,81.6,72.00997296832715,68.3848797250859,69.93464052287581,395.0,44952.0
1400.0,108.250493,1.7664234572752482E-6,1400.0,83.1,74.71059341817006,72.78582930756843,72.06611570247932,495.0,44952.0
1500.0,108.273749,1.766693903963185E-6,1500.0,84.7,76.59211842858149,73.71134020618555,73.11072056239016,595.0,44952.0
1600.0,108.300825,1.7670087738686966E-6,1600.0,82.69999999999999,73.07728220610663,69.32624113475175,68.48816029143899,695.0,44952.0
1700.0,108.334622,1.7674018030530877E-6,1700.0,82.5,72.76476538790756,69.56521739130434,68.52517985611509,80.0,44952.0
1800.0,108.36505,1.7677556537505654E-6,1800.0,83.2,73.75032812089847,70.83333333333333,69.11764705882352,69.0,44952.0
1900.0,108.383728,1.7679728623520998E-6,1900.0,85.2,76.17710072096463,72.69372693726936,70.75098814229248,169.0,44952.0
2000.0,108.406423,1.768236785106775E-6,2000.0,86.2,76.10517876962449,73.5632183908046,70.19438444924405,269.0,44952.0
2100.0,108.420475,1.7684001974244087E-6,2100.0,87.9,76.7203381515179,72.5,70.12345679012346,369.0,44952.0
2200.0,108.433707,1.7685540738681127E-6,2200.0,88.8,75.4860117054294,70.5263157894737,66.86390532544378,469.0,44952.0
2300.0,108.445799,1.7686946931212316E-6,2300.0,89.2,72.79542157020796,65.49520766773162,56.451612903225815,569.0,44952.0
2400.0,108.457186,1.768827113848594E-6,2400.0,89.9,69.76563879816918,59.43775100401607,50.24630541871922,669.0,44952.0
2500.0,108.469392,1.7689690588207712E-6,2500.0,91.0,71.06890743336206,59.27601809954752,51.086956521739154,769.0,44952.0
2600.0,108.480284,1.769095723136432E-6,2600.0,93.7,75.26453208739868,61.81818181818186,56.55172413793108,869.0,44952.0
2700.0,108.491685,1.7692283066713978E-6,2700.0,95.89999999999999,69.00607783254206,62.38532110091739,43.83561643835608,969.0,44952.0
2800.0,108.502708,1.7693564944010645E-6,2800.0,98.4,67.24533245987551,71.42857142857143,50.0,1069.0,44952.0
2900.0,108.512785,1.7694736809883684E-6,2900.0,98.9,0.0,45.0,0.0,1169.0,44952.0
3000.0,108.522332,1.7695847041449616E-6,3000.0,100.0,?,?,?,1269.0,44952.0
3100.0,108.532093,1.7696982159320682E-6,3100.0,100.0,?,?,?,1369.0,44952.0
3200.0,108.541524,1.7698078901113738E-6,3200.0,100.0,?,?,?,1469.0,44952.0
3300.0,108.552725,1.7699381478234301E-6,3300.0,100.0,?,?,?,1569.0,44952.0
3400.0,108.566549,1.7700989087029468E-6,3400.0,99.8,0.0,50.0,0.0,1669.0,44952.0
3500.0,108.578841,1.7702418537789752E-6,3500.0,99.7,-0.13351134846104246,25.0,-50.0,1769.0,44952.0
3600.0,108.590265,1.7703747047835757E-6,3600.0,99.7,-0.13351134846104246,25.0,-50.0,1869.0,44952.0
3700.0,108.601402,1.7705042182323008E-6,3700.0,99.7,-0.13351134846104246,25.0,-50.0,1969.0,44952.0
3800.0,108.612804,1.7706368133963812E-6,3800.0,99.7,-0.13351134846104246,25.0,-50.0,2069.0,44952.0
3900.0,108.623555,1.7707618380068907E-6,3900.0,99.7,-0.13351134846104246,25.0,-50.0,2169.0,44952.0
