learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.115795,3.6280612668229474E-9,100.0,93.0,92.9831595829992,-133.33333333333297,92.70833333333334,100.0,121112.0
200.0,0.243068,7.852812922663158E-9,200.0,76.0,75.87939698492463,-49.999999999999964,73.33333333333334,200.0,128312.0
300.0,0.331327,1.0691735334694384E-8,300.0,75.33333333333333,74.5739417262232,17.77777777777778,69.67213114754098,300.0,124336.0
400.0,0.414769,1.3550824758907158E-8,400.0,76.0,75.58991049633849,16.521739130434778,72.09302325581396,400.0,132448.0
500.0,0.490371,1.614785293324126E-8,500.0,76.4,75.76753260088304,35.16483516483517,71.42857142857143,500.0,132784.0
600.0,0.557637,1.8464375531507863E-8,600.0,77.83333333333333,76.81311018131102,47.22222222222223,71.58119658119658,600.0,133120.0
700.0,0.622776,2.0755775895797546E-8,700.0,77.14285714285715,76.23110160355175,45.392491467576804,71.01449275362319,700.0,135976.0
800.0,0.701681,2.3595275235258874E-8,800.0,76.125,75.34974962572917,44.95677233429394,70.70552147239263,800.0,139104.0
900.0,0.776571,2.628811966420876E-8,900.0,76.11111111111111,75.44166920499543,48.68735083532218,70.94594594594594,900.0,138992.0
1000.0,0.848007,2.8872438977575967E-8,1000.0,77.3,76.7412313417543,50.54466230936819,72.71634615384616,1000.0,139840.0
1100.0,0.912914,3.123479974559612E-8,1100.0,77.3,76.56072527517915,57.80669144981412,71.9753086419753,1100.0,140688.0
1200.0,0.974458,3.347743528377679E-8,1200.0,80.4,79.64693665628245,65.67425569176885,75.50000000000001,1200.0,140856.0
1300.0,1.031723,3.558903435038196E-8,1300.0,82.39999999999999,81.67945288184288,69.65517241379308,77.80580075662043,1300.0,142536.0
1400.0,1.088847,3.770784769621161E-8,1400.0,84.0,83.02769032323764,74.23510466988728,78.72340425531914,1400.0,143376.0
1500.0,1.139334,3.9580484930839806E-8,1500.0,85.39999999999999,84.69319287415708,74.91408934707903,81.23393316195373,1500.0,143376.0
1600.0,1.190085,4.146953149181273E-8,1600.0,85.2,84.66988460980714,73.85159010600705,81.72839506172838,1600.0,143880.0
1700.0,1.249398,4.367469376366999E-8,1700.0,87.2,86.76400636982193,77.9310344827586,84.33292533659731,1700.0,143712.0
1800.0,1.303143,4.5665727938628856E-8,1800.0,89.4,89.03526919448537,81.72413793103448,86.9297163995068,1800.0,143200.0
1900.0,1.358056,4.770014542258448E-8,1900.0,91.2,90.92036541402102,83.82352941176471,89.30741190765494,1900.0,143208.0
2000.0,1.408211,4.9562648110505605E-8,2000.0,91.9,91.66185421832972,84.54198473282443,90.25270758122744,2000.0,143544.0
2100.0,1.450044,5.1119750133819046E-8,2100.0,92.60000000000001,92.44882548623443,83.2579185520362,91.36522753792299,2100.0,143880.0
2200.0,1.491096,5.2640645123190345E-8,2200.0,93.60000000000001,93.51117446728264,83.15789473684212,92.7519818799547,2200.0,143208.0
2300.0,1.531073,5.411302615371015E-8,2300.0,94.1,94.06751370504884,81.15015974440892,93.62850971922245,2300.0,142368.0
2400.0,1.568257,5.548092294898297E-8,2400.0,94.69999999999999,94.69422200776646,78.54251012145748,94.51913133402275,2400.0,142200.0
2500.0,1.605722,5.6857528665827375E-8,2500.0,95.5,95.4963430305408,79.45205479452054,95.37037037037037,2500.0,142032.0
2600.0,1.638318,5.805664559619294E-8,2600.0,97.2,97.19957993699055,83.03030303030302,97.15736040609137,2600.0,142200.0
2700.0,1.669181,5.919066887762811E-8,2700.0,97.89999999999999,97.89993699810994,80.90909090909089,97.88732394366197,2700.0,142032.0
2800.0,1.701378,6.037230902454919E-8,2800.0,98.7,98.7,76.78571428571429,98.7,2800.0,141864.0
2900.0,1.731134,6.146436369460489E-8,2900.0,99.3,99.3,65.0,99.3,2900.0,141864.0
3000.0,1.758022,6.245817344428764E-8,3000.0,99.8,99.8,-Infinity,99.8,3000.0,142872.0
3100.0,1.782553,6.337019670547709E-8,3100.0,99.8,99.8,-Infinity,99.8,3100.0,143712.0
3200.0,1.808619,6.434268742592798E-8,3200.0,99.8,99.8,-Infinity,99.8,3200.0,144216.0
3300.0,1.835407,6.534677209746505E-8,3300.0,99.9,99.9,-Infinity,99.9,3300.0,144888.0
3400.0,1.866989,6.653329370957281E-8,3400.0,99.7,99.7,25.0,99.7,3400.0,145224.0
3500.0,1.894379,6.75623237569299E-8,3500.0,99.6,99.6,0.0,99.6,3500.0,145224.0
3600.0,1.921853,6.859450964671042E-8,3600.0,99.6,99.6,0.0,99.6,3600.0,145224.0
3700.0,1.948287,6.958762320172455E-8,3700.0,99.6,99.6,0.0,99.6,3700.0,145224.0
3800.0,1.977198,7.067379653867747E-8,3800.0,99.7,99.7,25.0,99.7,3800.0,145224.0
3900.0,2.003783,7.167258309614326E-8,3900.0,99.7,99.7,25.0,99.7,3900.0,145224.0
4000.0,2.029209,7.262782654207612E-8,4000.0,99.7,99.7,25.0,99.7,4000.0,145224.0
4100.0,2.055253,7.360628797155286E-8,4100.0,99.7,99.7,25.0,99.7,4100.0,145224.0
4200.0,2.083272,7.465894926753307E-8,4200.0,99.7,99.7,25.0,99.7,4200.0,145224.0
4300.0,2.107929,7.558744499873783E-8,4300.0,99.7,99.7,25.0,99.7,4300.0,145560.0
4400.0,2.132514,7.651536647644307E-8,4400.0,99.9,99.9,-Infinity,99.9,4400.0,145896.0
4500.0,2.158492,7.75082840439346E-8,4500.0,100.0,100.0,?,100.0,4500.0,147744.0
4600.0,2.182469,7.842576251468724E-8,4600.0,100.0,100.0,?,100.0,4600.0,147912.0
4700.0,2.230166,8.022285059508349E-8,4700.0,97.89999999999999,97.89999999999999,43.24324324324324,97.89156626506023,4700.0,145640.0
4800.0,2.280496,8.202810398406451E-8,4800.0,97.5,97.5,44.44444444444444,97.47983870967741,4800.0,138648.0
4900.0,2.328672,8.382808422048885E-8,4900.0,97.0,97.0,57.74647887323937,96.9758064516129,4900.0,144424.0
5000.0,2.38521,8.56876288851102E-8,5000.0,95.39999999999999,95.39999999999999,53.53535353535348,95.36290322580645,5000.0,127136.0
5100.0,2.418978,8.683348705371219E-8,5100.0,95.39999999999999,95.39999999999999,53.53535353535348,95.36290322580645,5100.0,131168.0
5200.0,2.451475,8.793904080573053E-8,5200.0,95.39999999999999,95.39999999999999,53.53535353535348,95.36290322580645,5200.0,131504.0
5300.0,2.481058,8.895323535013528E-8,5300.0,95.39999999999999,95.39999999999999,53.53535353535348,95.36290322580645,5300.0,132520.0
5400.0,2.510213,8.996796227991578E-8,5400.0,95.39999999999999,95.39999999999999,53.53535353535348,95.36290322580645,5400.0,134536.0
5500.0,2.534989,9.083028004401257E-8,5500.0,95.39999999999999,95.39999999999999,53.53535353535348,95.36290322580645,5500.0,134536.0
5600.0,2.574735,9.222053178068661E-8,5600.0,94.0,93.99959197225411,54.54545454545451,93.89623601220752,5600.0,135208.0
5700.0,2.629766,9.408768497407433E-8,5700.0,95.6,95.59484596978464,73.65269461077843,95.42143600416233,5700.0,131152.0
5800.0,2.681338,9.583320800628924E-8,5800.0,95.89999999999999,95.88040307743938,82.84518828451881,95.58665231431647,5800.0,130832.0
5900.0,2.742968,9.800002401901613E-8,5900.0,94.8,94.7626366498601,81.75438596491227,94.30449069003285,5900.0,135904.0
6000.0,2.795514,9.983691186126733E-8,6000.0,96.2,96.1726960133593,88.0503144654088,95.8378970427163,6000.0,135128.0
6100.0,2.850625,1.0183133076462478E-7,6100.0,95.39999999999999,95.35994238258888,87.89473684210525,94.90586932447397,6100.0,139888.0
6200.0,2.900382,1.035118184963034E-7,6200.0,94.8,94.75471747597004,88.23529411764704,94.24141749723145,6200.0,130552.0
6300.0,2.953556,1.0538221494812101E-7,6300.0,93.0,92.93904275611354,85.71428571428572,92.24806201550389,6300.0,135968.0
6400.0,3.009615,1.0729990997662143E-7,6400.0,92.60000000000001,92.5355594850343,86.29629629629629,91.80509413067554,6400.0,132232.0
6500.0,3.056569,1.0892255928367373E-7,6500.0,92.60000000000001,92.5355594850343,87.32876712328766,91.80509413067554,6500.0,133584.0
6600.0,3.102616,1.105178667977452E-7,6600.0,93.60000000000001,93.5517672187966,89.22558922558923,92.98245614035089,6600.0,133920.0
6700.0,3.152891,1.1226849841781785E-7,6700.0,93.8,93.7772371334341,89.36535162950257,93.39019189765457,6700.0,134600.0
6800.0,3.202437,1.1400235886168145E-7,6800.0,92.9,92.89593647566409,87.13768115942028,92.71047227926078,6800.0,135272.0
6900.0,3.259455,1.1599770167014661E-7,6900.0,93.10000000000001,93.09917190062808,87.00564971751413,92.99492385786803,6900.0,135272.0
7000.0,3.316135,1.1799353323255972E-7,7000.0,92.30000000000001,92.2990758891067,85.47169811320755,92.18274111675127,7000.0,136112.0
7100.0,3.381895,1.2031766635055338E-7,7100.0,92.60000000000001,92.599962999815,85.85086042065011,92.56281407035176,7100.0,136616.0
7200.0,3.439442,1.224577670709954E-7,7200.0,92.60000000000001,92.599962999815,85.60311284046693,92.56281407035176,7200.0,143752.0
7300.0,3.481338,1.2392027430236334E-7,7300.0,93.8,93.79996899984499,87.7227722772277,93.76884422110552,7300.0,134936.0
7400.0,3.520863,1.2531032151853038E-7,7400.0,94.0,93.99996999985,87.87878787878786,93.96984924623115,7400.0,135944.0
7500.0,3.559405,1.2667249820091652E-7,7500.0,93.89999999999999,93.89996949984749,87.47433264887063,93.86934673366834,7500.0,136616.0
7600.0,3.599643,1.2810510890558356E-7,7600.0,93.2,93.19805464362808,86.0369609856263,93.04703476482618,7600.0,137624.0
7700.0,3.642702,1.2964002829665932E-7,7700.0,92.7,92.69070989227308,84.46808510638299,92.3879040667362,7700.0,137792.0
7800.0,3.691906,1.3139399782030112E-7,7800.0,92.10000000000001,92.08075623765751,83.2627118644068,91.64904862579282,7800.0,137792.0
7900.0,3.74665,1.3335734745073644E-7,7900.0,93.2,93.18087234693316,84.22273781902554,92.80423280423281,7900.0,138632.0
8000.0,3.78549,1.3475031288340682E-7,8000.0,94.19999999999999,94.18368523709003,84.36657681940699,93.86243386243386,8000.0,138632.0
8100.0,3.824039,1.3613284183459143E-7,8100.0,94.6,94.58481039315278,83.01886792452828,94.28571428571428,8100.0,138632.0
8200.0,3.859475,1.373960249912407E-7,8200.0,95.19999999999999,95.18649812724692,81.88679245283016,94.92063492063491,8200.0,137792.0
8300.0,3.895819,1.386915755230519E-7,8300.0,95.5,95.487341994294,80.60344827586205,95.23809523809523,8300.0,137792.0
8400.0,3.93681,1.4015812176590158E-7,8400.0,94.8,94.78537297118417,75.70093457943923,94.4973544973545,8400.0,138296.0
8500.0,3.98232,1.4179425728196894E-7,8500.0,94.89999999999999,94.88565426019986,76.9230769230769,94.6031746031746,8500.0,138968.0
8600.0,4.032969,1.435886252733568E-7,8600.0,95.5,95.49024992032774,80.17621145374447,95.27806925498426,8600.0,136944.0
8700.0,4.094232,1.4573784689108528E-7,8700.0,95.8,95.79658682850474,82.12765957446807,95.679012345679,8700.0,135608.0
8800.0,4.147813,1.4763619923550218E-7,8800.0,96.6,96.59724376745163,86.00823045267488,96.49484536082474,8800.0,136952.0
8900.0,4.202628,1.4958541874463355E-7,8900.0,95.5,95.48739629785992,85.80441640378548,95.22799575821844,8900.0,137456.0
9000.0,4.267048,1.5183459463425805E-7,9000.0,94.69999999999999,94.65389519213699,86.75,94.1241685144124,9000.0,134960.0
9100.0,4.31715,1.536630885323716E-7,9100.0,94.5,94.4142532008868,87.85871964679912,93.68541905855338,9100.0,141072.0
9200.0,4.357266,1.5514283068685065E-7,9200.0,94.5,94.3803520760512,88.70636550308008,93.52179034157832,9200.0,142584.0
