learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.098579,9.609326099356016E-11,100.0,0.0,0.0,-3233.3333333333308,-4.166666666666667,100.0,3768.0
200.0,0.143082,1.394740864634514E-10,200.0,0.0,0.0,-524.9999999999999,-11.111111111111112,200.0,3768.0
300.0,0.177561,1.7308367416262627E-10,300.0,0.0,0.0,-233.33333333333331,-22.950819672131146,300.0,3768.0
400.0,0.197014,1.9204615304867427E-10,400.0,0.0,0.0,-247.82608695652178,-16.27906976744186,400.0,3768.0
500.0,0.225292,2.1961110333601635E-10,500.0,0.0,0.0,-174.72527472527472,-21.065375302663437,500.0,3768.0
600.0,0.236336,2.303766210873922E-10,600.0,0.0,0.0,-138.09523809523807,-28.205128205128204,600.0,3768.0
700.0,0.263107,2.5647257144252463E-10,700.0,0.0,0.0,-138.9078498293515,-26.811594202898554,700.0,3768.0
800.0,0.276691,2.6971404130260153E-10,800.0,0.0,0.0,-130.5475504322767,-22.699386503067487,800.0,3768.0
900.0,0.310787,3.029502866168817E-10,900.0,0.0,0.0,-114.79713603818618,-21.62162162162162,900.0,3768.0
1000.0,0.319617,3.115576319396496E-10,1000.0,0.0,0.0,-117.8649237472767,-20.192307692307697,1000.0,3768.0
1100.0,0.343942,3.352692599097888E-10,1100.0,0.0,0.0,-85.87360594795538,-23.456790123456788,1100.0,3768.0
1200.0,0.353752,3.448318938414256E-10,1200.0,0.0,0.0,-75.13134851138355,-25.0,1200.0,3768.0
1300.0,0.379241,3.696781707306703E-10,1300.0,0.0,0.0,-72.41379310344827,-26.10340479192938,1300.0,3768.0
1400.0,0.397916,3.878822674353918E-10,1400.0,0.0,0.0,-61.03059581320451,-32.97872340425532,1400.0,3768.0
1500.0,0.405767,3.9553529893358553E-10,1500.0,0.0,0.0,-71.82130584192439,-28.53470437017995,1500.0,3768.0
1600.0,0.414957,4.0449356660246854E-10,1600.0,0.0,0.0,-76.67844522968197,-23.456790123456788,1600.0,3768.0
1700.0,0.438199,4.271495031813781E-10,1700.0,0.0,0.0,-72.41379310344827,-22.39902080783354,1700.0,3768.0
1800.0,0.44682,4.355531185865403E-10,1800.0,0.0,0.0,-72.41379310344827,-23.304562268803945,1800.0,3768.0
1900.0,0.456775,4.452570962409179E-10,1900.0,0.0,0.0,-83.82352941176471,-21.506682867557718,1900.0,3768.0
2000.0,0.466253,4.54496101786693E-10,2000.0,0.0,0.0,-90.83969465648855,-20.336943441636585,2000.0,3768.0
2100.0,0.475247,4.632633117338022E-10,2100.0,0.0,0.0,-126.24434389140274,-16.686114352392064,2100.0,3768.0
2200.0,0.483233,4.710479391117891E-10,2200.0,0.0,0.0,-163.1578947368421,-13.250283125707815,2200.0,3768.0
2300.0,0.491536,4.791415731112163E-10,2300.0,0.0,0.0,-219.48881789137386,-7.991360691144708,2300.0,3768.0
2400.0,0.498944,4.863627751668294E-10,2400.0,0.0,0.0,-304.8582995951417,-3.412616339193382,2400.0,3768.0
2500.0,0.507724,4.949213812748591E-10,2500.0,0.0,0.0,-356.6210045662101,-2.880658436213992,2500.0,3768.0
2600.0,0.515334,5.023394897580147E-10,2600.0,0.0,0.0,-506.06060606060595,-1.5228426395939085,2600.0,3768.0
2700.0,0.52385,5.106407528122266E-10,2700.0,0.0,0.0,-809.0909090909091,-0.6036217303822938,2700.0,3768.0
2800.0,0.531611,5.182060537238915E-10,2800.0,0.0,0.0,-1685.714285714284,0.0,2800.0,3768.0
2900.0,0.539177,5.255812716980774E-10,2900.0,0.0,0.0,-4899.999999999995,0.0,2900.0,3768.0
3000.0,0.546765,5.329779349267481E-10,3000.0,0.0,0.0,-Infinity,0.0,3000.0,3768.0
3100.0,0.554761,5.407723101476827E-10,3100.0,0.0,0.0,-Infinity,0.0,3100.0,3768.0
3200.0,0.562958,5.487626170118648E-10,3200.0,0.0,0.0,-Infinity,0.0,3200.0,3768.0
3300.0,0.571701,5.572851561009882E-10,3300.0,0.0,0.0,-Infinity,0.0,3300.0,3768.0
3400.0,0.581052,5.664003640413283E-10,3400.0,0.0,0.0,-24899.999999999978,0.0,3400.0,3768.0
3500.0,0.586484,5.716953923304874E-10,3500.0,0.0,0.0,-24899.999999999978,0.0,3500.0,3768.0
3600.0,0.591239,5.763304916520912E-10,3600.0,0.0,0.0,-24899.999999999978,0.0,3600.0,3768.0
3700.0,0.596358,5.813204124569891E-10,3700.0,0.0,0.0,-24899.999999999978,0.0,3700.0,3768.0
3800.0,0.600754,5.856055642167726E-10,3800.0,0.0,0.0,-24899.999999999978,0.0,3800.0,3768.0
3900.0,0.604743,5.894939787685869E-10,3900.0,0.0,0.0,-24899.999999999978,0.0,3900.0,3768.0
4000.0,0.609334,5.939692134658494E-10,4000.0,0.0,0.0,-24899.999999999978,0.0,4000.0,3768.0
4100.0,0.613294,5.978293592731156E-10,4100.0,0.0,0.0,-24899.999999999978,0.0,4100.0,3768.0
4200.0,0.617965,6.023825767139592E-10,4200.0,0.0,0.0,-24899.999999999978,0.0,4200.0,3768.0
4300.0,0.62254,6.068422148625054E-10,4300.0,0.0,0.0,-24899.999999999978,0.0,4300.0,3768.0
4400.0,0.626515,6.107169824341931E-10,4400.0,0.0,0.0,-Infinity,0.0,4400.0,3768.0
4500.0,0.630836,6.149290253718692E-10,4500.0,0.0,0.0,-Infinity,0.0,4500.0,3768.0
4600.0,0.635048,6.190348168214161E-10,4600.0,0.0,0.0,-Infinity,0.0,4600.0,3768.0
4700.0,0.652561,6.361062141756215E-10,4700.0,0.0,0.0,-2602.7027027027,-0.4016064257028113,4700.0,3768.0
4800.0,0.671775,6.548357196152209E-10,4800.0,0.0,0.0,-2122.2222222222204,-0.8064516129032258,4800.0,3768.0
4900.0,0.706318,6.885076935092607E-10,4900.0,0.0,0.0,-1308.450704225353,-0.8064516129032258,4900.0,3768.0
5000.0,0.714144,6.961363554000853E-10,5000.0,0.0,0.0,-910.1010101010104,-0.8064516129032258,5000.0,3768.0
5100.0,0.719396,7.012559225161869E-10,5100.0,0.0,0.0,-910.1010101010104,-0.8064516129032258,5100.0,3768.0
5200.0,0.725086,7.068024451533952E-10,5200.0,0.0,0.0,-910.1010101010104,-0.8064516129032258,5200.0,3768.0
5300.0,0.731085,7.126501761376856E-10,5300.0,0.0,0.0,-910.1010101010104,-0.8064516129032258,5300.0,3768.0
5400.0,0.736506,7.179344817996023E-10,5400.0,0.0,0.0,-910.1010101010104,-0.8064516129032258,5400.0,3768.0
5500.0,0.741995,7.23285072793563E-10,5500.0,0.0,0.0,-910.1010101010104,-0.8064516129032258,5500.0,3768.0
5600.0,0.75209,7.331255202492076E-10,5600.0,0.0,0.0,-657.5757575757575,-1.7293997965412005,5600.0,3768.0
5700.0,0.797537,7.774265420933563E-10,5700.0,0.0,0.0,-498.80239520958065,-4.0582726326742975,5700.0,3768.0
5800.0,0.80868,7.882885634899137E-10,5800.0,0.0,0.0,-318.4100418410042,-7.642626480086114,5800.0,3768.0
5900.0,0.825667,8.048472243050733E-10,5900.0,0.0,0.0,-250.8771929824561,-9.529025191675792,5900.0,3768.0
6000.0,0.833905,8.128774973253408E-10,6000.0,0.0,0.0,-214.4654088050315,-9.529025191675792,6000.0,3768.0
6100.0,0.843381,8.221145533025263E-10,6100.0,0.0,0.0,-163.1578947368421,-10.741971207087486,6100.0,3768.0
6200.0,0.852634,8.311342323819795E-10,6200.0,0.0,0.0,-126.24434389140274,-10.741971207087486,6200.0,3768.0
6300.0,0.870696,8.487407863140105E-10,6300.0,0.0,0.0,-104.08163265306123,-10.741971207087486,6300.0,3768.0
6400.0,0.876193,8.540991755823293E-10,6400.0,0.0,0.0,-85.18518518518519,-10.741971207087486,6400.0,3768.0
6500.0,0.887346,8.649709448218344E-10,6500.0,0.0,0.0,-71.23287671232875,-10.741971207087486,6500.0,3768.0
6600.0,0.893153,8.706315172215302E-10,6600.0,0.0,0.0,-68.35016835016836,-9.649122807017543,6600.0,3768.0
6700.0,0.899279,8.766030458112557E-10,6700.0,0.0,0.0,-71.52658662092625,-6.609808102345416,6700.0,3768.0
6800.0,0.906038,8.83191612859567E-10,6800.0,0.0,0.0,-81.15942028985506,-2.6694045174537986,6800.0,3768.0
6900.0,0.921517,8.982802989582221E-10,6900.0,0.0,0.0,-88.32391713747644,-1.5228426395939085,6900.0,3768.0
7000.0,0.939586,9.158936763803165E-10,7000.0,0.0,0.0,-88.67924528301886,-1.5228426395939085,7000.0,3768.0
7100.0,0.944643,9.20823160558939E-10,7100.0,0.0,0.0,-91.20458891013384,-0.5025125628140703,7100.0,3768.0
7200.0,0.951377,9.273873579998812E-10,7200.0,0.0,0.0,-94.55252918287937,-0.5025125628140703,7200.0,3768.0
7300.0,0.957875,9.33721506347259E-10,7300.0,0.0,0.0,-98.01980198019803,-0.5025125628140703,7300.0,3768.0
7400.0,0.96493,9.405986095468205E-10,7400.0,0.0,0.0,-102.020202020202,-0.5025125628140703,7400.0,3768.0
7500.0,0.971049,9.465633146464825E-10,7500.0,0.0,0.0,-105.3388090349076,-0.5025125628140703,7500.0,3768.0
7600.0,0.979643,9.549406108756861E-10,7600.0,0.0,0.0,-105.3388090349076,-2.2494887525562373,7600.0,3768.0
7700.0,0.987114,9.622232243418695E-10,7700.0,0.0,0.0,-112.76595744680853,-4.275286757038582,7700.0,3768.0
7800.0,0.995923,9.708100991944474E-10,7800.0,0.0,0.0,-111.86440677966102,-5.708245243128964,7800.0,3768.0
7900.0,1.003251,9.779533185064795E-10,7900.0,0.0,0.0,-132.01856148491876,-5.8201058201058204,7900.0,3768.0
8000.0,1.009281,9.838312678039076E-10,8000.0,0.0,0.0,-169.54177897574127,-5.8201058201058204,8000.0,3768.0
8100.0,1.014793,9.89204278836648E-10,8100.0,0.0,0.0,-214.4654088050315,-5.8201058201058204,8100.0,3768.0
8200.0,1.02074,9.950013210376107E-10,8200.0,0.0,0.0,-277.3584905660377,-5.8201058201058204,8200.0,3768.0
8300.0,1.026753,1.0008626990020277E-9,8300.0,0.0,0.0,-331.03448275862075,-5.8201058201058204,8300.0,3768.0
8400.0,1.033965,1.0078928433358672E-9,8400.0,0.0,0.0,-367.2897196261683,-5.8201058201058204,8400.0,3768.0
8500.0,1.042253,1.015971855570873E-9,8500.0,0.0,0.0,-352.48868778280547,-5.8201058201058204,8500.0,3768.0
8600.0,1.049291,1.0228323874374234E-9,8600.0,0.0,0.0,-340.5286343612335,-4.931794333683106,8600.0,3768.0
8700.0,1.058177,1.031494320680698E-9,8700.0,0.0,0.0,-325.53191489361706,-2.880658436213992,8700.0,3768.0
8800.0,1.067144,1.0402352114518487E-9,8800.0,0.0,0.0,-311.52263374485597,-3.0927835051546393,8800.0,3768.0
8900.0,1.075973,1.0488415819903217E-9,8900.0,0.0,0.0,-215.45741324921138,-6.0445387062566285,8900.0,3768.0
9000.0,1.094354,1.0667590921123825E-9,9000.0,0.0,0.0,-149.99999999999997,-10.864745011086473,9000.0,3768.0
9100.0,1.102627,1.0748234825829668E-9,9100.0,0.0,0.0,-120.7505518763797,-14.810562571756602,9100.0,3768.0
9200.0,1.111952,1.083913346131643E-9,9200.0,0.0,0.0,-105.3388090349076,-17.785630153121318,9200.0,3768.0
9300.0,1.119262,1.0910390193263693E-9,9300.0,0.0,0.0,-80.83182640144666,-21.8026796589525,9300.0,3768.0
9400.0,1.126617,1.09820855781436E-9,9400.0,0.0,0.0,-66.94490818030052,-26.26262626262626,9400.0,3768.0
9500.0,1.132157,1.1036088628073536E-9,9500.0,0.0,0.0,-66.11295681063125,-27.8772378516624,9500.0,3768.0
9600.0,1.136768,1.1081035931905113E-9,9600.0,0.0,0.0,-73.91304347826087,-26.422250316055624,9600.0,3768.0
9700.0,1.141689,1.112900506705046E-9,9700.0,0.0,0.0,-88.67924528301886,-27.06480304955527,9700.0,3768.0
9800.0,1.14665,1.117736411591371E-9,9800.0,0.0,0.0,-96.8503937007874,-27.713920817369093,9800.0,3768.0
9900.0,1.152022,1.1229729528228444E-9,9900.0,0.0,0.0,-113.6752136752137,-26.26262626262626,9900.0,3768.0
10000.0,1.157693,1.1285009545584522E-9,10000.0,0.0,0.0,-128.31050228310505,-26.582278481012654,10000.0,3768.0
10100.0,1.176892,1.1472158382336302E-9,10100.0,0.0,0.0,-121.72949002217297,-27.713920817369093,10100.0,3768.0
10200.0,1.18355,1.1537059520681702E-9,10200.0,0.0,0.0,-111.41649048625794,-26.903553299492383,10200.0,3768.0
10300.0,1.190775,1.1607487685978416E-9,10300.0,0.0,0.0,-138.6634844868735,-22.549019607843135,10300.0,3768.0
10400.0,1.206166,1.1757516736785574E-9,10400.0,0.0,0.0,-149.99999999999997,-18.34319526627219,10400.0,3768.0
10500.0,1.212773,1.1821920735140644E-9,10500.0,0.0,0.0,-147.5247524752475,-16.95906432748538,10500.0,3768.0
10600.0,1.226545,1.195616802821557E-9,10600.0,0.0,0.0,-133.64485981308408,-17.508813160987074,10600.0,3768.0
10700.0,1.242497,1.2111665618916355E-9,10700.0,0.0,0.0,-107.03933747412009,-17.785630153121318,10700.0,3768.0
10800.0,1.261795,1.2299779492119952E-9,10800.0,0.0,0.0,-100.40080160320642,-16.55011655011655,10800.0,3768.0
10900.0,1.268204,1.236225341757139E-9,10900.0,0.0,0.0,-94.17475728155338,-17.096018735362996,10900.0,3768.0
11000.0,1.276246,1.2440645570556326E-9,11000.0,0.0,0.0,-90.47619047619047,-11.607142857142856,11000.0,3768.0
11100.0,1.284956,1.2525549282630289E-9,11100.0,0.0,0.0,-95.3125,-9.649122807017543,11100.0,3768.0
11200.0,1.294079,1.2614478853841627E-9,11200.0,0.0,0.0,-106.61157024793388,-7.991360691144708,11200.0,3768.0
11300.0,1.302269,1.2694313687582815E-9,11300.0,0.0,0.0,-103.2520325203252,-7.991360691144708,11300.0,3768.0
11400.0,1.309799,1.276771494497856E-9,11400.0,0.0,0.0,-119.7802197802198,-7.991360691144708,11400.0,3768.0
11500.0,1.318185,1.2849460355937486E-9,11500.0,0.0,0.0,-137.5296912114014,-7.991360691144708,11500.0,3768.0
11600.0,1.326083,1.2926448819537963E-9,11600.0,0.0,0.0,-146.30541871921181,-7.526881720430109,11600.0,3768.0
11700.0,1.356578,1.3223709290226305E-9,11700.0,0.0,0.0,-159.74025974025975,-7.41138560687433,11700.0,3768.0
11800.0,1.369264,1.334737042586009E-9,11800.0,0.0,0.0,-168.81720430107526,-8.932461873638346,11800.0,3768.0
11900.0,1.377235,1.3425070481995746E-9,11900.0,0.0,0.0,-180.11204481792717,-7.642626480086114,11900.0,3768.0
12000.0,1.384365,1.3494572602212433E-9,12000.0,0.0,0.0,-198.5074626865672,-8.342361863488623,12000.0,3768.0
12100.0,1.391943,1.3568441756069664E-9,12100.0,0.0,0.0,-189.85507246376812,-7.991360691144708,12100.0,3768.0
12200.0,1.413622,1.3779765243331596E-9,12200.0,0.0,0.0,-163.1578947368421,-10.497237569060774,12200.0,3768.0
12300.0,1.419362,1.3835717861851062E-9,12300.0,0.0,0.0,-146.91358024691357,-10.497237569060774,12300.0,3768.0
12400.0,1.424472,1.3885529339313514E-9,12400.0,0.0,0.0,-145.7002457002457,-10.497237569060774,12400.0,3768.0
12500.0,1.429168,1.393130520979564E-9,12500.0,0.0,0.0,-145.7002457002457,-10.497237569060774,12500.0,3768.0
12600.0,1.433574,1.3974254205822951E-9,12600.0,0.0,0.0,-136.40661938534276,-11.358574610244988,12600.0,3768.0
12700.0,1.439256,1.4029641449451454E-9,12700.0,0.0,0.0,-142.13075060532685,-10.987791342952276,12700.0,3768.0
12800.0,1.443995,1.407583647718033E-9,12800.0,0.0,0.0,-149.37655860349125,-8.695652173913043,12800.0,3768.0
12900.0,1.450354,1.4137823010484386E-9,12900.0,0.0,0.0,-179.3296089385475,-6.7235859124866595,12900.0,3768.0
13000.0,1.453277,1.4166315955420344E-9,13000.0,0.0,0.0,-202.11480362537765,-5.932203389830509,13000.0,3768.0
13100.0,1.456616,1.419886400302252E-9,13100.0,0.0,0.0,-242.4657534246575,-3.8421599169262723,13100.0,3768.0
13200.0,1.46077,1.4239356542627026E-9,13200.0,0.0,0.0,-336.6812227074236,-1.3171225937183384,13200.0,3768.0
13300.0,1.466213,1.4292414051791041E-9,13300.0,0.0,0.0,-431.91489361702145,-1.3171225937183384,13300.0,3768.0
13400.0,1.469772,1.43271066248417E-9,13400.0,0.0,0.0,-461.7977528089886,-1.3171225937183384,13400.0,3768.0
13500.0,1.475119,1.4379228341082741E-9,13500.0,0.0,0.0,-397.51243781094536,-2.1450459652706844,13500.0,3768.0
