learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.075134,8.737418924768766E-10,100.0,87.0,86.97394789579158,-333.333333333333,86.45833333333334,100.0,44952.0
200.0,0.158131,1.8389235126475494E-9,200.0,67.0,66.85082872928177,-106.24999999999993,63.33333333333334,86.0,44952.0
300.0,0.19554,2.2739570587873458E-9,300.0,65.66666666666666,64.90231712857792,-14.444444444444443,57.78688524590163,186.0,44952.0
400.0,0.238304,2.7712645133336386E-9,400.0,70.25,69.88104277398128,-3.478260869565221,65.40697674418605,286.0,44952.0
500.0,0.289331,3.3646633413930733E-9,500.0,73.2,72.6284827191764,26.37362637362637,67.5544794188862,386.0,44952.0
600.0,0.320052,3.721921369433403E-9,600.0,76.5,75.57764921883118,44.04761904761906,69.87179487179488,486.0,44952.0
700.0,0.352193,4.0956927401324115E-9,700.0,77.57142857142857,76.77887744149291,46.41638225255972,71.55797101449275,586.0,44952.0
800.0,0.385476,4.482744559645653E-9,800.0,75.875,75.19822146831669,44.380403458213266,70.39877300613497,686.0,44952.0
900.0,0.414694,4.82252402851979E-9,900.0,76.22222222222223,75.63505718044733,48.92601431980907,71.0810810810811,786.0,44952.0
1000.0,0.456324,5.306644067168236E-9,1000.0,76.7,76.19611945665855,49.23747276688453,71.9951923076923,886.0,44952.0
1100.0,0.485846,5.649958786865076E-9,1100.0,76.9,76.2176853939525,57.06319702602231,71.48148148148147,986.0,44952.0
1200.0,0.5124,5.958758294582368E-9,1200.0,81.39999999999999,80.73736536868267,67.42556917688266,76.74999999999999,1086.0,44952.0
1300.0,0.537737,6.253405169894299E-9,1300.0,84.3,83.66075990995725,72.9310344827586,80.20176544766709,1186.0,44952.0
1400.0,0.562206,6.537957973778249E-9,1400.0,85.3,84.41079155001272,76.32850241545893,80.45212765957447,1286.0,44952.0
1500.0,0.584671,6.799206032107275E-9,1500.0,86.2,85.5285538411203,76.28865979381443,82.26221079691517,1386.0,44952.0
1600.0,0.605336,7.039521684249243E-9,1600.0,84.3,83.75363473617764,72.26148409893992,80.61728395061728,1486.0,44952.0
1700.0,0.630965,7.337564261009297E-9,1700.0,85.1,84.60704047108655,74.31034482758619,81.7625458996328,1586.0,44952.0
1800.0,0.653009,7.59391646211346E-9,1800.0,88.0,87.59437322121404,79.31034482758619,85.20345252774354,1686.0,44952.0
1900.0,0.673859,7.836383500446876E-9,1900.0,89.2,88.86697791022867,80.1470588235294,86.87727825030377,1786.0,44952.0
2000.0,0.694094,8.071698633333047E-9,2000.0,90.4,90.12462517294765,81.67938931297711,88.4476534296029,1886.0,44952.0
2100.0,0.708577,8.24012309933702E-9,2100.0,91.5,91.33267733597093,80.76923076923077,90.08168028004668,1986.0,44952.0
2200.0,0.722531,8.402395763744909E-9,2200.0,92.2,92.09830518776656,79.47368421052633,91.1664779161948,2086.0,44952.0
2300.0,0.736989,8.570529501885174E-9,2300.0,93.0,92.96512107026639,77.63578274760384,92.44060475161989,2186.0,44952.0
2400.0,0.750061,8.722545287261406E-9,2400.0,93.60000000000001,93.59450408450452,74.08906882591096,93.38159255429163,2286.0,44952.0
2500.0,0.763666,8.880759390691915E-9,2500.0,94.19999999999999,94.19642499779864,73.51598173515978,94.03292181069959,2386.0,44952.0
2600.0,0.77637,9.028495661914347E-9,2600.0,96.8,96.79947191286561,80.6060606060606,96.751269035533,2486.0,44952.0
2700.0,0.789617,9.182546542336543E-9,2700.0,97.6,97.59995679922238,78.18181818181816,97.58551307847083,2586.0,44952.0
2800.0,0.805437,9.36651913449168E-9,2800.0,98.2,98.2,67.85714285714286,98.2,2686.0,44952.0
2900.0,0.818985,9.524070378392933E-9,2900.0,99.1,99.1,55.00000000000001,99.1,2786.0,44952.0
3000.0,0.83178,9.672864899039266E-9,3000.0,99.8,99.8,-Infinity,99.8,2886.0,44952.0
3100.0,0.843258,9.806343875825402E-9,3100.0,99.8,99.8,-Infinity,99.8,2986.0,44952.0
3200.0,0.854745,9.939927514642475E-9,3200.0,99.9,99.9,-Infinity,99.9,3086.0,44952.0
3300.0,0.867518,1.0088466194768745E-8,3300.0,99.9,99.9,-Infinity,99.9,3186.0,44952.0
3400.0,0.881469,1.0250703971832988E-8,3400.0,99.7,99.7,25.0,99.7,3286.0,44952.0
3500.0,0.894424,1.040135915080706E-8,3500.0,99.7,99.7,25.0,99.7,3386.0,44952.0
3600.0,0.907154,1.054939777900775E-8,3600.0,99.7,99.7,25.0,99.7,3486.0,44952.0
3700.0,0.919748,1.0695854847629862E-8,3700.0,99.7,99.7,25.0,99.7,3586.0,44952.0
3800.0,0.933285,1.0853278171271083E-8,3800.0,99.8,99.8,50.0,99.8,3686.0,44952.0
3900.0,0.947147,1.1014480957140523E-8,3900.0,99.8,99.8,50.0,99.8,3786.0,44952.0
4000.0,0.958364,1.1144924735029536E-8,4000.0,99.8,99.8,50.0,99.8,3886.0,44952.0
4100.0,0.970695,1.1288323346525429E-8,4100.0,99.8,99.8,50.0,99.8,3986.0,44952.0
4200.0,0.983859,1.1441409010440109E-8,4200.0,99.8,99.8,50.0,99.8,4086.0,44952.0
4300.0,0.994988,1.1570829426248866E-8,4300.0,99.8,99.8,50.0,99.8,4186.0,44952.0
4400.0,1.006398,1.1703517623245714E-8,4400.0,100.0,100.0,?,100.0,4286.0,44952.0
4500.0,1.019143,1.185173068816463E-8,4500.0,100.0,100.0,?,100.0,4386.0,44952.0
4600.0,1.030109,1.1979255558302004E-8,4600.0,100.0,100.0,?,100.0,4486.0,44952.0
4700.0,1.053497,1.2251237289359171E-8,4700.0,98.1,98.0999923999696,48.64864864864865,98.09236947791165,4586.0,44952.0
4800.0,1.078886,1.2546488878627617E-8,4800.0,97.7,97.69998159985279,48.888888888888886,97.68145161290323,4686.0,44952.0
4900.0,1.101299,1.2807132223000128E-8,4900.0,96.7,96.69997359978879,53.521126760563305,96.67338709677419,4786.0,44952.0
5000.0,1.135705,1.3207243538151185E-8,5000.0,95.19999999999999,95.1999615996928,51.51515151515146,95.16129032258064,4886.0,44952.0
5100.0,1.160512,1.3495726982752481E-8,5100.0,95.19999999999999,95.1999615996928,51.51515151515146,95.16129032258064,4986.0,44952.0
