learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,125.481353,1.4592370277208586E-6,1000.0,84.5,76.5770095036895,66.88034188034187,73.27586206896551,642.0,44952.0
2000.0,125.850855,1.4635340088047086E-6,2000.0,78.8,65.73654310811577,66.24203821656052,64.30976430976432,1642.0,44952.0
3000.0,126.143784,1.4669405137002466E-6,3000.0,81.8,70.45579245031865,69.41176470588233,66.72760511882998,2642.0,44952.0
4000.0,126.534997,1.4714899744900563E-6,4000.0,75.1,60.64802742310956,60.538827258320126,56.392294220665505,50.0,44952.0
5000.0,126.725598,1.4737064953520893E-6,5000.0,45.2,26.66541765918154,15.950920245398779,-1.8587360594795554,1050.0,44952.0
6000.0,126.924477,1.4760192820243537E-6,6000.0,66.8,45.6047133843535,45.66284779050737,27.82608695652174,2050.0,44952.0
7000.0,127.162944,1.4787924420833587E-6,7000.0,54.50000000000001,33.26841058553671,23.1418918918919,14.312617702448222,3050.0,44952.0
8000.0,127.366447,1.4811590017812947E-6,8000.0,65.8,48.0853040425154,43.65733113673806,35.83489681050657,4050.0,44952.0
9000.0,127.56695,1.4834906741355855E-6,9000.0,50.3,32.568567726529594,23.88973966309342,17.578772802653397,5050.0,44952.0
10000.0,127.78838,1.4860657089700301E-6,10000.0,61.4,43.78741741046398,43.15169366715758,35.77371048252911,6050.0,44952.0
11000.0,128.010149,1.4886446860743065E-6,11000.0,56.00000000000001,37.48907834749538,31.88854489164088,24.26850258175561,7050.0,44952.0
12000.0,128.240383,1.4913221036332349E-6,12000.0,53.800000000000004,34.16890378400561,26.782884310618073,20.481927710843383,8050.0,44952.0
13000.0,128.484034,1.4941555490220587E-6,13000.0,72.3,53.64924357908157,51.48861646234676,39.65141612200435,9050.0,44952.0
