learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,113.302604,1.8452153248836597E-6,1000.0,82.39999999999999,73.74067122425167,62.393162393162385,69.65517241379308,444446.0,62952.0
2000.0,113.655116,1.8509562392284472E-6,2000.0,78.3,65.0534344260711,65.44585987261146,63.468013468013474,445446.0,62952.0
3000.0,113.950087,1.8557600565316775E-6,3000.0,83.5,73.02868276990525,72.2689075630252,69.83546617915904,446446.0,62952.0
4000.0,114.260583,1.8608167097531258E-6,4000.0,74.4,59.13611186489377,59.42947702060222,55.166374781085814,447446.0,62952.0
5000.0,114.598554,1.8663208133354782E-6,5000.0,71.7,56.363793358661866,56.59509202453987,47.39776951672861,448446.0,62952.0
6000.0,114.917461,1.8715144458102683E-6,6000.0,79.80000000000001,65.60197396988983,66.93944353518823,56.08695652173914,449446.0,62952.0
7000.0,115.245267,1.8768530049733819E-6,7000.0,73.2,56.47471148255578,54.729729729729726,49.52919020715631,450446.0,62952.0
8000.0,115.550569,1.881825070126603E-6,8000.0,78.7,64.98628218426423,64.90939044481054,60.0375234521576,451446.0,62952.0
9000.0,116.01158,1.8871862198536595E-6,9000.0,62.9,45.88862975716976,43.185298621745794,38.4742951907131,23.0,44952.0
10000.0,116.19573,1.889327721297741E-6,10000.0,53.7,35.52313299084929,31.81148748159058,22.96173044925125,1023.0,44952.0
11000.0,116.386149,1.891542125660926E-6,11000.0,39.1,21.39460681814662,5.727554179566568,-4.81927710843373,840.0,44952.0
12000.0,116.579139,1.893786428477615E-6,12000.0,39.4,20.06816628987029,3.961965134706818,-4.302925989672972,1840.0,44952.0
13000.0,116.748289,1.895753493203471E-6,13000.0,66.60000000000001,45.22039769335232,41.50612959719791,27.233115468409586,2840.0,44952.0
14000.0,116.914533,1.8976867637224494E-6,14000.0,68.2,47.66577852091641,47.00000000000001,28.859060402684566,3840.0,44952.0
15000.0,117.097094,1.8998097865035136E-6,15000.0,57.699999999999996,36.94557195434441,30.19801980198019,9.6153846153846,4840.0,44952.0
16000.0,117.360761,1.9028760002491374E-6,16000.0,56.8,37.22116460552512,29.756097560975604,25.645438898450944,391.0,44952.0
17000.0,117.557758,1.9051669009278217E-6,17000.0,61.7,45.27719316293536,40.15625,34.30531732418525,384.0,44952.0
18000.0,117.790846,1.907877507979671E-6,18000.0,58.699999999999996,40.716965856991514,32.954545454545446,27.670753064798596,70.0,44952.0
19000.0,117.98424,1.9101265089586373E-6,19000.0,56.2,37.47832082186033,32.302936630602794,16.252390057361392,1070.0,44952.0
20000.0,118.203827,1.9126801113349692E-6,20000.0,59.8,41.0532983758864,36.492890995260666,26.642335766423347,2070.0,44952.0
21000.0,118.382137,1.914753698750088E-6,21000.0,68.5,54.27824951012411,52.98507462686568,49.920508744038166,3070.0,44952.0
22000.0,118.575666,1.9170042696595186E-6,22000.0,60.5,43.34521410489023,43.24712643678161,33.613445378151255,4070.0,44952.0
23000.0,118.834183,1.9200105934652185E-6,23000.0,59.3,41.51971159303466,35.80441640378548,19.565217391304344,5070.0,44952.0
24000.0,119.085474,1.922932885289192E-6,24000.0,29.2,13.41048931634646,-9.597523219814242,-22.27979274611399,193.0,44952.0
25000.0,119.310247,1.9255467962535715E-6,25000.0,35.099999999999994,15.30400511569029,-1.5649452269170594,-18.21493624772314,405.0,44952.0
26000.0,119.591556,1.9288181708380575E-6,26000.0,17.8,7.212270556376446,-26.07361963190184,-31.100478468899524,922.0,44952.0
27000.0,119.754982,1.9307186705122387E-6,27000.0,49.9,32.16713152265157,26.431718061674005,11.640211640211643,1922.0,44952.0
28000.0,119.92079,1.932646870737274E-6,28000.0,63.5,48.53421205878662,46.08567208271787,41.31832797427653,2922.0,44952.0
29000.0,120.089888,1.9346133307491735E-6,29000.0,45.2,29.083245657966422,20.8092485549133,12.320000000000002,3922.0,44952.0
30000.0,120.299204,1.9370474904899793E-6,30000.0,40.6,25.168465437027503,4.807692307692312,0.5025125628140708,4922.0,44952.0
31000.0,120.520179,1.939617234077304E-6,31000.0,43.9,23.126569841772284,14.351145038167942,-5.253283302063795,702.0,44952.0
32000.0,120.698926,1.9416959034154807E-6,32000.0,62.6,43.53651632383469,39.57996768982229,28.761904761904766,1702.0,44952.0
33000.0,120.896996,1.9439992821340752E-6,33000.0,45.5,25.04562589652996,17.047184170471837,4.049295774647891,441.0,44952.0
34000.0,121.071794,1.9460320280989002E-6,34000.0,59.9,42.22559679805901,37.82945736434108,29.40140845070422,1441.0,44952.0
35000.0,121.316057,1.9488725905058277E-6,35000.0,45.9,25.52835635163281,11.456628477905074,8.614864864864872,281.0,44952.0
36000.0,121.544988,1.9515348553284995E-6,36000.0,57.099999999999994,38.22742961310787,33.385093167701854,20.40816326530611,56.0,44952.0
37000.0,121.744175,1.953851223768045E-6,37000.0,65.3,45.24412912917652,42.64462809917355,36.446886446886445,848.0,44952.0
38000.0,121.925208,1.955956477262079E-6,38000.0,69.6,51.54436400383818,48.56175972927242,33.4792122538293,1848.0,44952.0
39000.0,122.094803,1.9579287169439093E-6,39000.0,68.60000000000001,50.17201762069797,45.486111111111114,32.03463203463205,2848.0,44952.0
40000.0,122.259338,1.9598421133061245E-6,40000.0,73.0,55.481761537231264,54.39189189189189,47.05882352941176,3848.0,44952.0
41000.0,122.437182,1.961910281553864E-6,41000.0,72.1,52.56037924491086,51.47826086956522,36.734693877551,4848.0,44952.0
42000.0,122.598974,1.963791779254873E-6,42000.0,78.0,62.12173386041515,61.739130434782616,49.308755760368676,5848.0,44952.0
43000.0,122.762316,1.9656913020834324E-6,43000.0,82.1,67.72570818631101,67.57246376811594,56.23471882640586,6848.0,44952.0
44000.0,122.918403,1.967506455685943E-6,44000.0,82.3,65.58602909438758,64.0973630831643,50.83333333333332,7848.0,44952.0
45000.0,123.081208,1.9693997336799895E-6,45000.0,82.69999999999999,64.89611889055502,64.62167689161554,50.99150141643059,8848.0,44952.0
46000.0,123.240657,1.9712539843656116E-6,46000.0,76.6,55.927223415075154,56.98529411764706,41.05793450881613,9848.0,44952.0
47000.0,123.418029,1.9733166636712844E-6,47000.0,73.2,54.17252334978334,54.188034188034194,39.50338600451466,10848.0,44952.0
48000.0,123.601631,1.9754517923605934E-6,48000.0,77.0,57.8078422380188,57.407407407407405,42.92803970223326,11848.0,44952.0
49000.0,123.799698,1.9777551361918443E-6,49000.0,79.9,63.24705839329305,64.17112299465242,53.037383177570106,12848.0,44952.0
50000.0,123.993579,1.980009800549596E-6,50000.0,80.7,65.72009122363289,67.00854700854703,59.02335456475585,13848.0,44952.0
51000.0,124.233894,1.9828044512122864E-6,51000.0,80.80000000000001,67.25840282396275,69.18138041733548,62.573099415204695,14848.0,44952.0
52000.0,124.501323,1.9859144136868412E-6,52000.0,82.8,70.88757356388568,71.75697865353037,65.04065040650406,15848.0,44952.0
53000.0,124.738651,1.9886743281843755E-6,53000.0,81.89999999999999,67.94088369802792,67.79359430604981,59.6881959910913,16848.0,44952.0
54000.0,124.967307,1.9913333950005463E-6,54000.0,83.3,71.07563979991963,70.85514834205934,61.52073732718893,17848.0,44952.0
55000.0,125.214942,1.994213170781731E-6,55000.0,78.10000000000001,62.57517007790858,64.33224755700326,52.28758169934641,18848.0,44952.0
56000.0,125.472004,1.997202574225763E-6,56000.0,75.0,55.557846795454104,56.89655172413792,40.61757719714965,19848.0,44952.0
57000.0,125.72205,2.0001103878021235E-6,57000.0,82.69999999999999,66.89647782351038,68.02218114602587,56.64160401002506,20848.0,44952.0
58000.0,125.974858,2.0030503209928667E-6,58000.0,79.0,60.22207447564172,63.478260869565226,47.890818858560806,21848.0,44952.0
59000.0,126.242049,2.006157515738159E-6,59000.0,80.4,64.60943989021703,66.03119584055462,55.25114155251142,22848.0,44952.0
60000.0,126.504482,2.00920937915643E-6,60000.0,83.6,69.14277112967562,71.47826086956522,59.80392156862745,23848.0,44952.0
61000.0,126.771707,2.012316969291617E-6,61000.0,87.5,75.37004051135736,75.91522157996147,66.21621621621621,24848.0,44952.0
62000.0,127.025237,2.015265298703064E-6,62000.0,85.2,66.35208901236561,68.24034334763948,51.79153094462541,25848.0,44952.0
63000.0,127.278484,2.018210337075094E-6,63000.0,84.1,64.31376949837279,68.19999999999999,51.22699386503066,26848.0,44952.0
64000.0,127.531662,2.02115457303822E-6,64000.0,87.0,76.542425729711,77.31239092495638,69.9074074074074,27848.0,44952.0
65000.0,127.790272,2.024161978351573E-6,65000.0,84.3,71.02321280589427,73.02405498281786,61.61369193154034,28848.0,44952.0
66000.0,128.056826,2.027261765350898E-6,66000.0,84.8,72.45623349865632,73.33333333333331,65.61085972850678,29848.0,44952.0
67000.0,128.334616,2.0304922170812884E-6,67000.0,86.1,74.90231765360143,75.6993006993007,68.26484018264838,30848.0,44952.0
68000.0,128.61014,2.033696317238112E-6,68000.0,85.6,71.7777102707576,70.85020242914979,61.18598382749325,31848.0,44952.0
69000.0,128.880346,2.0368385737637677E-6,69000.0,79.80000000000001,61.75256560760405,63.071297989031095,47.53246753246754,32848.0,44952.0
70000.0,129.150308,2.0399779927854733E-6,70000.0,85.2,71.71810595391197,72.69372693726936,60.32171581769437,33848.0,44952.0
71000.0,129.41522,2.04305868477871E-6,71000.0,83.7,68.9298921123861,70.30965391621129,58.838383838383834,34848.0,44952.0
72000.0,129.687257,2.0462222342131037E-6,72000.0,82.39999999999999,67.81184560659123,68.57142857142856,58.09523809523809,35848.0,44952.0
73000.0,129.94548,2.0492251390591263E-6,73000.0,84.7,70.53981457412702,71.34831460674155,61.65413533834586,36848.0,44952.0
74000.0,130.217205,2.052385060209781E-6,74000.0,83.0,69.38768160307707,70.74010327022376,62.053571428571416,37848.0,44952.0
75000.0,130.477705,2.05541444454963E-6,75000.0,84.5,71.64775907546085,72.94938917975567,63.0071599045346,38848.0,44952.0
76000.0,130.765884,2.0587657111510636E-6,76000.0,81.2,66.72207087844883,67.41767764298096,56.880733944954144,39848.0,44952.0
77000.0,131.045839,2.062021339914451E-6,77000.0,87.5,78.59676999575359,78.88513513513513,74.17355371900827,40848.0,44952.0
78000.0,131.354376,2.0656093520298603E-6,78000.0,79.0,65.05166528814902,64.76510067114094,56.87885010266941,41848.0,44952.0
79000.0,131.626714,2.068776401827733E-6,79000.0,79.2,64.3072868046785,64.38356164383562,60.97560975609757,42848.0,44952.0
80000.0,131.908757,2.0720563121822975E-6,80000.0,76.1,59.915134133353455,59.89932885906041,56.066176470588225,43848.0,44952.0
81000.0,132.314314,2.076772580991189E-6,81000.0,76.7,62.54308349194918,62.11382113821139,59.89672977624786,44848.0,44952.0
82000.0,132.74437,2.0817737514774008E-6,82000.0,78.4,63.43352434802482,62.10526315789474,54.71698113207547,45848.0,44952.0
83000.0,133.164402,2.0866583517193797E-6,83000.0,81.5,68.94086676807053,68.95973154362414,59.694989106753795,46848.0,44952.0
84000.0,133.593584,2.0916493583594762E-6,84000.0,80.4,68.30120326044768,66.8918918918919,63.1578947368421,47848.0,44952.0
85000.0,134.041086,2.096853410378099E-6,85000.0,82.3,69.44741243749235,69.32409012131716,68.16546762589927,48848.0,44952.0
86000.0,134.488206,2.102053020074964E-6,86000.0,81.39999999999999,69.39515949893622,69.15422885572139,67.48251748251747,49848.0,44952.0
87000.0,134.936831,2.1072701315892244E-6,87000.0,79.80000000000001,67.10033420848617,66.55629139072849,64.31095406360424,50848.0,44952.0
88000.0,135.299433,2.1114868717826906E-6,88000.0,83.3,72.18298598155748,73.02100161550888,70.12522361359571,51848.0,44952.0
89000.0,135.640167,2.1154493064992133E-6,89000.0,77.2,63.472602048418025,62.80587275693313,60.75731497418245,52848.0,44952.0
90000.0,135.979036,2.1193900529171032E-6,90000.0,48.699999999999996,28.99968444304197,18.95734597156398,13.63636363636363,421.0,44952.0
91000.0,136.159863,2.1214929108135407E-6,91000.0,41.4,22.489028097065955,2.81923714759535,-7.918968692449363,1421.0,44952.0
92000.0,136.32133,2.1233706290523216E-6,92000.0,72.1,57.19887336389241,56.062992125984245,49.36479128856624,2421.0,44952.0
93000.0,136.494489,2.125384314898402E-6,93000.0,70.19999999999999,52.505570235973984,51.623376623376615,45.71948998178506,3421.0,44952.0
94000.0,136.667576,2.127397163448235E-6,94000.0,56.99999999999999,35.93601945161232,29.853181076672097,15.35433070866141,4421.0,44952.0
95000.0,136.944038,2.1306121717145055E-6,95000.0,58.8,40.23155918743933,33.22528363047001,22.701688555347086,5421.0,44952.0
96000.0,137.208798,2.1336910960823306E-6,96000.0,56.49999999999999,38.86989405520259,32.03124999999999,22.872340425531902,6421.0,44952.0
97000.0,137.499168,2.1370678420737396E-6,97000.0,64.3,45.221790372844744,43.69085173501578,30.136986301369866,7421.0,44952.0
98000.0,137.716918,2.139600081766646E-6,98000.0,59.599999999999994,38.22573295779472,36.477987421383645,23.77358490566038,8421.0,44952.0
99000.0,138.001274,2.142906890263161E-6,99000.0,64.0,47.1392806537109,44.358578052550236,37.39130434782609,9421.0,44952.0
100000.0,138.243788,2.145727113348743E-6,100000.0,78.9,65.11047248026509,65.12396694214877,53.42163355408389,10421.0,44952.0
101000.0,138.47677,2.1484364877144502E-6,101000.0,77.9,62.94868140895602,63.88888888888889,52.473118279569896,11421.0,44952.0
102000.0,138.715341,2.1512108572013683E-6,102000.0,74.7,61.11580726965342,61.07692307692307,54.90196078431373,12421.0,44952.0
103000.0,138.956636,2.154016904396316E-6,103000.0,72.2,53.993314136298935,54.57516339869281,41.10169491525423,13421.0,44952.0
104000.0,139.218651,2.157063906844706E-6,104000.0,74.5,59.545128598897094,60.526315789473685,49.304174950298204,14421.0,44952.0
105000.0,139.480566,2.160109746381641E-6,105000.0,73.8,60.32046525011736,60.121765601217646,53.95430579964851,15421.0,44952.0
106000.0,139.737468,2.1630972891673452E-6,106000.0,73.1,58.085455808981855,58.55161787365177,51.61870503597121,16421.0,44952.0
107000.0,140.000114,2.1661516295870153E-6,107000.0,77.5,64.888352764379,65.70121951219512,57.30550284629982,17421.0,44952.0
108000.0,140.273799,2.1693343438021846E-6,108000.0,80.10000000000001,69.76331819473334,70.29850746268657,68.41269841269842,18421.0,44952.0
109000.0,140.548842,2.1725328503549105E-6,109000.0,79.4,69.15133218324708,69.97084548104957,67.61006289308177,19421.0,44952.0
110000.0,140.840143,2.175920423051964E-6,110000.0,76.8,65.05345164949215,66.66666666666667,61.58940397350994,20421.0,44952.0
111000.0,141.145541,2.1794719313768056E-6,111000.0,76.4,62.922696965317016,63.18252730109205,58.74125874125874,21421.0,44952.0
112000.0,141.466918,2.1832092613230157E-6,112000.0,74.7,56.39134031991174,57.335581787521086,47.401247401247396,22421.0,44952.0
113000.0,141.777081,2.1868161823786805E-6,113000.0,75.1,58.826505808935146,59.90338164251207,54.05904059040589,23421.0,44952.0
114000.0,142.090516,2.1904611538971473E-6,114000.0,74.5,58.60564326830361,60.342146189735615,53.636363636363626,24421.0,44952.0
115000.0,142.412046,2.194200263097883E-6,115000.0,74.8,60.508314410233986,61.58536585365854,57.069846678023865,25421.0,44952.0
116000.0,142.719298,2.1977733318010974E-6,116000.0,80.7,69.70001444351644,70.12383900928793,67.67169179229482,26421.0,44952.0
117000.0,143.02397,2.2013163973887768E-6,117000.0,81.69999999999999,68.19542952680709,69.75206611570248,60.81370449678799,27421.0,44952.0
