learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.41979,4.881785996258258E-9,1000.0,82.69999999999999,75.74414985348345,63.57894736842105,70.27491408934706,629.0,44952.0
2000.0,0.702656,8.17126711209615E-9,2000.0,72.3,58.149513506980114,56.24012638230648,53.20945945945945,721.0,44952.0
3000.0,0.920831,1.0708449178685744E-8,3000.0,75.1,61.55354556599666,59.77382875605816,54.47897623400366,119.0,44952.0
4000.0,1.157638,1.346230490754048E-8,4000.0,42.199999999999996,23.665029470845454,7.81499202551834,-1.225919439579686,488.0,44952.0
5000.0,1.362659,1.584651760136088E-8,5000.0,45.5,33.40884403862531,16.66666666666667,-1.1131725417439715,1488.0,44952.0
6000.0,1.537254,1.7876902855932713E-8,6000.0,68.7,49.54997936868166,50.31746031746033,31.956521739130437,2488.0,44952.0
7000.0,1.707486,1.985655028373003E-8,7000.0,57.4,38.29967817343873,28.643216080402002,19.774011299435024,3488.0,44952.0
8000.0,1.877397,2.1832464765757322E-8,8000.0,72.5,56.206216169301996,55.065359477124176,48.405253283302066,4488.0,44952.0
9000.0,2.117714,2.462713868667682E-8,9000.0,45.9,29.70995286279279,14.803149606299218,10.281923714759536,40.0,44952.0
10000.0,2.291268,2.6645418033003807E-8,10000.0,60.9,45.51593345419228,40.75757575757576,34.395973154362416,1040.0,44952.0
11000.0,2.501995,2.9095986454437177E-8,11000.0,47.3,30.60127999157207,20.632530120481924,9.137931034482756,278.0,44952.0
12000.0,2.76644,3.2171247651179633E-8,12000.0,39.2,21.121527336320685,2.7200000000000024,-5.372616984402075,17.0,44952.0
13000.0,2.99243,3.47993112479647E-8,13000.0,54.900000000000006,30.05800068236097,24.20168067226891,1.9565217391304366,67.0,44952.0
14000.0,3.150684,3.66396651417017E-8,14000.0,69.8,50.55713270662042,49.0725126475548,32.28699551569505,1067.0,44952.0
15000.0,3.360239,3.9076604240884384E-8,15000.0,51.300000000000004,30.134437410067815,19.50413223140496,-3.617021276595748,157.0,44952.0
16000.0,3.531858,4.1072381250560285E-8,16000.0,45.6,26.406826849062305,13.375796178343952,6.044905008635585,1157.0,44952.0
17000.0,3.705267,4.3088974375277757E-8,17000.0,58.599999999999994,46.55471557813855,36.3076923076923,29.109589041095884,2157.0,44952.0
18000.0,3.876125,4.507590162878235E-8,18000.0,60.0,50.164705647833905,40.119760479041915,29.824561403508763,3157.0,44952.0
19000.0,4.053743,4.714144169663389E-8,19000.0,55.2,41.89447361970193,30.864197530864207,14.666666666666679,4157.0,44952.0
20000.0,4.240917,4.9318109583109614E-8,20000.0,68.8,53.928482829499934,50.94339622641508,42.85714285714285,5157.0,44952.0
21000.0,4.428395,5.149831272040804E-8,21000.0,71.1,61.387278912109956,55.193798449612395,53.980891719745216,6157.0,44952.0
22000.0,4.625749,5.379336499298612E-8,22000.0,68.5,59.075602303199126,52.91479820627802,47.05882352941177,7157.0,44952.0
23000.0,4.840414,5.628972886751095E-8,23000.0,79.5,69.81787665081492,67.76729559748428,59.32539682539684,8157.0,44952.0
24000.0,5.059189,5.8833888402829567E-8,24000.0,66.0,55.89015610992693,47.932618683001536,41.27806563039725,9157.0,44952.0
25000.0,5.298108,6.161230482161044E-8,25000.0,74.7,64.27441765888706,60.59190031152648,54.08348457350273,10157.0,44952.0
26000.0,5.524037,6.423965904240806E-8,26000.0,76.0,68.36690176209538,64.44444444444444,61.66134185303515,11157.0,44952.0
27000.0,5.747212,6.683498668173948E-8,27000.0,75.8,66.99255832223992,63.109756097560975,57.3943661971831,12157.0,44952.0
28000.0,5.971228,6.944009440640607E-8,28000.0,77.8,71.01895777906002,67.2566371681416,64.30868167202573,13157.0,44952.0
29000.0,6.201122,7.211355806638795E-8,29000.0,73.5,65.29469388610374,60.447761194029844,57.53205128205128,14157.0,44952.0
30000.0,6.447304,7.49764367441336E-8,30000.0,73.9,64.86712774635413,59.09090909090909,56.28140703517588,15157.0,44952.0
31000.0,6.723914,7.819316611935692E-8,31000.0,73.9,62.7731573069446,58.50556438791733,51.031894934333955,16157.0,44952.0
32000.0,7.006176,8.14756232500076E-8,32000.0,80.30000000000001,71.06549479472658,69.5046439628483,62.54752851711027,17157.0,44952.0
33000.0,7.277211,8.462752031162378E-8,33000.0,77.8,68.43510641776848,65.79352850539291,60.7773851590106,18157.0,44952.0
34000.0,7.551014,8.781160676230983E-8,34000.0,79.0,68.34374472395746,67.64252696456087,63.02816901408451,19157.0,44952.0
35000.0,7.815987,9.089300813153382E-8,35000.0,78.10000000000001,66.17196381790322,64.56310679611651,63.131313131313135,20157.0,44952.0
36000.0,8.076049,9.39172989192108E-8,36000.0,85.1,76.4100907815701,75.33112582781456,72.35621521335808,21157.0,44952.0
37000.0,8.333754,9.691417988389727E-8,37000.0,83.7,74.0934289492422,73.45276872964169,70.14652014652013,22157.0,44952.0
38000.0,8.591841,9.991550317034121E-8,38000.0,84.3,73.65798330889285,73.3446519524618,65.64551422319474,23157.0,44952.0
39000.0,8.847894,1.0289317283779379E-7,39000.0,82.69999999999999,71.34181593494426,70.06920415224911,62.63498920086392,24157.0,44952.0
40000.0,9.108671,1.0592577844237284E-7,40000.0,82.1,70.4301830189957,70.41322314049586,64.76377952755905,25157.0,44952.0
41000.0,9.363372,1.0888772554695602E-7,41000.0,82.39999999999999,69.47962765145735,70.21996615905245,60.18099547511311,26157.0,44952.0
42000.0,9.625766,1.1193913542975979E-7,42000.0,84.7,73.66491443679062,73.48353552859619,64.58333333333334,27157.0,44952.0
43000.0,9.879535,1.148902441995839E-7,43000.0,86.9,76.77436741177804,75.5597014925373,68.20388349514563,28157.0,44952.0
