learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.154138,1.4738025764624276E-10,100.0,60.0,12.434325744308223,23.076923076923077,-5.263157894736847,234.0,3696.0
200.0,0.194951,1.8640392770369847E-10,200.0,67.5,20.693020985846776,22.619047619047635,-10.169491525423698,461.0,3696.0
300.0,0.226457,2.1652863671382268E-10,300.0,65.0,19.80651731160896,9.48275862068967,-10.526315789473681,695.0,3696.0
400.0,0.256655,2.454026912649473E-10,400.0,69.25,31.134874867028717,15.172413793103459,6.106870229007639,938.0,3696.0
500.0,0.286983,2.744010463356972E-10,500.0,70.6,32.99908842297173,20.108695652173903,8.124999999999973,1174.0,3696.0
600.0,0.357855,3.4216586500406265E-10,600.0,70.16666666666667,32.645996387718235,19.369369369369366,7.25388601036269,1400.0,3696.0
700.0,0.397159,3.7974669287602106E-10,700.0,71.0,34.50888577538529,23.68421052631578,10.176991150442463,1642.0,3696.0
800.0,0.43725,4.1808001697063444E-10,800.0,71.75,34.41433598142707,22.6027397260274,7.755102040816341,1871.0,3696.0
900.0,0.492953,4.713408773144086E-10,900.0,70.88888888888889,34.1075739962443,22.25519287833829,7.74647887323945,2105.0,3696.0
1000.0,0.545165,5.212637906273206E-10,1000.0,71.5,34.15519965991737,22.764227642276413,7.166123778501634,2347.0,3696.0
1100.0,0.591404,5.654755731423696E-10,1100.0,73.2,36.55783652753579,23.863636363636353,10.06711409395974,2575.0,3696.0
1200.0,0.637421,6.094750886162122E-10,1200.0,72.89999999999999,36.931569589380295,23.44632768361581,12.861736334405155,2814.0,3696.0
1300.0,0.718151,6.86665711303552E-10,1300.0,74.6,38.69680016604961,28.248587570621464,14.47811447811449,3048.0,3696.0
1400.0,0.766008,7.324245572090149E-10,1400.0,73.5,35.34503791464569,26.997245179063356,10.774410774410782,3289.0,3696.0
1500.0,0.81158,7.759985824426016E-10,1500.0,73.3,34.85135372542897,24.57627118644067,9.797297297297304,3519.0,3696.0
1600.0,0.853933,8.16494735578696E-10,1600.0,73.8,33.22969494635439,25.779036827195462,9.342560553633225,3751.0,3696.0
1700.0,0.899445,8.600113913416863E-10,1700.0,72.39999999999999,28.75433669254914,22.905027932960884,6.7567567567567615,3990.0,3696.0
1800.0,0.942834,9.014981240034104E-10,1800.0,72.0,29.075139823295775,23.91304347826086,9.090909090909099,4226.0,3696.0
1900.0,0.98483,9.416529287894567E-10,1900.0,73.2,27.412583624495568,26.37362637362637,9.152542372881364,4460.0,3696.0
2000.0,1.026638,9.816279759009678E-10,2000.0,71.89999999999999,26.258332021204016,26.24671916010498,9.354838709677427,4693.0,3696.0
2100.0,1.068691,1.0218372816840807E-9,2100.0,71.39999999999999,25.71775865024493,26.66666666666666,7.443365695792886,4928.0,3696.0
2200.0,1.108767,1.060156263411045E-9,2200.0,71.1,23.293343242382427,27.38693467336683,5.245901639344266,5159.0,3696.0
2300.0,1.151388,1.1009086668491362E-9,2300.0,69.19999999999999,22.137674747832204,24.8780487804878,4.643962848297184,5393.0,3696.0
2400.0,1.211304,1.1581978201866148E-9,2400.0,69.3,20.013756591700187,26.378896882494,1.6025641025641038,5624.0,3696.0
2500.0,1.316089,1.25838881979386E-9,2500.0,68.7,18.926199529616554,26.35294117647061,1.5723270440251589,5866.0,3696.0
2600.0,1.364798,1.3049623121817906E-9,2600.0,67.60000000000001,21.085320408212983,26.027397260273972,3.283582089552242,6103.0,3696.0
2700.0,1.41317,1.3512135793765384E-9,2700.0,69.1,23.257269448942477,26.777251184834117,2.5236593059936583,6331.0,3696.0
2800.0,1.523115,1.4563383534550665E-9,2800.0,68.60000000000001,22.04568023833168,25.943396226415118,1.875000000000002,6570.0,3696.0
2900.0,1.569137,1.5003426497181254E-9,2900.0,68.0,22.168767299207573,23.627684964200498,0.9287925696594437,6802.0,3696.0
3000.0,1.614582,1.5437952429056165E-9,3000.0,69.69999999999999,23.915226998794694,25.73529411764705,1.6233766233766247,7034.0,3696.0
3100.0,1.6611,1.5882737934589383E-9,3100.0,68.2,21.61309406428712,23.18840579710147,0.6250000000000007,7268.0,3696.0
3200.0,1.709536,1.6345862547556556E-9,3200.0,67.30000000000001,20.727272727272712,20.437956204379578,-0.615384615384616,7502.0,3696.0
3300.0,1.770963,1.693320162594318E-9,3300.0,68.5,20.01096992412469,21.641791044776138,-1.9417475728154994,7739.0,3696.0
3400.0,1.819196,1.739438523848851E-9,3400.0,67.7,19.925826028320973,17.811704834605614,-1.8927444794952701,7974.0,3696.0
3500.0,1.865046,1.7832783609628674E-9,3500.0,68.30000000000001,19.84829329962076,19.338422391857524,-2.2580645161289983,8197.0,3696.0
3600.0,1.912067,1.828237858911355E-9,3600.0,69.3,16.980356524749062,19.42257217847768,-5.136986301369867,8437.0,3696.0
3700.0,1.957528,1.8717057506243384E-9,3700.0,67.7,16.983653747301332,18.227848101265838,-3.5256410256409922,8672.0,3696.0
3800.0,2.002701,1.9148982688784593E-9,3800.0,68.30000000000001,20.068987775850246,19.543147208121844,-0.316455696202532,8901.0,3696.0
3900.0,2.050686,1.960779502987861E-9,3900.0,68.0,20.30880338687586,19.191919191919208,0.31152647975077913,9144.0,3696.0
4000.0,2.097593,2.0056299989422153E-9,4000.0,66.0,17.186282151208097,14.572864321608053,-3.658536585365858,9383.0,3696.0
4100.0,2.143863,2.0498714223504058E-9,4100.0,67.80000000000001,19.890533648463734,16.14583333333335,-2.2222222222222245,9616.0,3696.0
4200.0,2.202707,2.106135574479897E-9,4200.0,68.10000000000001,20.709882680453383,17.142857142857157,-1.2698412698412713,9844.0,3696.0
4300.0,2.263586,2.1643455078204464E-9,4300.0,68.10000000000001,21.575376143180268,18.205128205128222,0.31250000000000033,10077.0,3696.0
4400.0,2.314121,2.2126649444301914E-9,4400.0,70.1,23.642678379896804,21.315789473684198,1.9672131147540999,10310.0,3696.0
4500.0,2.364372,2.2607128322124473E-9,4500.0,68.89999999999999,24.454420023708188,21.464646464646457,2.507836990595579,10547.0,3696.0
4600.0,2.412143,2.306389448543389E-9,4600.0,69.5,27.099068780235942,22.979797979797972,4.984423676012431,10780.0,3696.0
4700.0,2.463585,2.3555761203169813E-9,4700.0,71.1,28.565072522518065,24.543080939947775,4.304635761589407,11027.0,3696.0
