learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.207786,2.4296982834736506E-10,100.0,65.0,18.680297397769525,32.6923076923077,7.89473684210527,234.0,4520.0
200.0,0.285837,3.342369881769021E-10,200.0,72.5,22.86115007012623,34.523809523809526,6.7796610169491585,461.0,4520.0
300.0,0.35978,4.2070055173503023E-10,300.0,70.66666666666667,26.849542809642564,24.13793103448277,7.368421052631574,695.0,4520.0
400.0,0.434755,5.083708609971734E-10,400.0,71.5,31.54592127780947,21.379310344827587,12.977099236641216,938.0,4520.0
500.0,0.510097,5.964703133536709E-10,500.0,72.0,31.827035449941555,23.91304347826086,12.499999999999979,1174.0,4520.0
600.0,0.592361,6.92663848814037E-10,600.0,71.83333333333334,32.03024453024454,23.873873873873887,12.435233160621772,1400.0,4520.0
700.0,0.651696,7.620458801587422E-10,700.0,72.42857142857143,33.314247354288426,27.443609022556398,14.601769911504428,1642.0,4520.0
800.0,0.720538,8.425447055035167E-10,800.0,74.0,34.798793150738625,28.767123287671232,15.102040816326534,1871.0,4520.0
900.0,0.7869,9.201435993115107E-10,900.0,73.44444444444444,34.08230059206415,29.08011869436202,15.845070422535223,2105.0,4520.0
1000.0,0.857209,1.0023578277064694E-9,1000.0,74.0,34.62573231751779,29.539295392953925,15.309446254071673,2347.0,4520.0
1100.0,0.917192,1.0724975830978817E-9,1100.0,75.5,37.0017999485729,30.39772727272727,17.785234899328874,2575.0,4520.0
1200.0,0.979233,1.1450438139339287E-9,1200.0,74.6,36.231854950065014,28.248587570621464,18.327974276527346,2814.0,4520.0
1300.0,1.033931,1.2090036749011939E-9,1300.0,76.4,37.93230413170977,33.33333333333333,20.538720538720554,3048.0,4520.0
1400.0,1.088763,1.273120225717624E-9,1400.0,76.1,36.2585077556594,34.15977961432507,19.528619528619544,3289.0,4520.0
1500.0,1.144479,1.3382704618076483E-9,1500.0,76.6,36.939461883408086,33.89830508474576,20.94594594594596,3519.0,4520.0
1600.0,1.20228,1.4058587451775868E-9,1600.0,77.5,37.334982119581596,36.26062322946176,22.1453287197232,3751.0,4520.0
1700.0,1.271459,1.4867516337997384E-9,1700.0,76.3,34.325744308231194,33.798882681564244,19.93243243243245,3990.0,4520.0
1800.0,1.326779,1.5514388163056638E-9,1800.0,75.1,33.087539771261504,32.33695652173913,19.15584415584417,4226.0,4520.0
1900.0,1.387593,1.6225502826273442E-9,1900.0,76.0,33.063728908102085,34.065934065934066,18.644067796610184,4460.0,4520.0
2000.0,1.451438,1.6972059797909525E-9,2000.0,74.6,31.918087273507034,33.33333333333333,18.06451612903227,4693.0,4520.0
