learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1239.818046,1.021395895610998E-4,1000.0,90.9,81.801019142928,77.96610169491527,81.42857142857144,842381.0,318448.0
2000.0,1242.586876,1.0237010008480813E-4,2000.0,90.0,79.92749812322107,79.59183673469387,80.0,844224.0,321808.0
3000.0,1245.269624,1.0259577605017356E-4,3000.0,89.5,78.66547464239272,79.9618320610687,76.71840354767184,846187.0,325168.0
4000.0,1247.995149,1.0282505046786118E-4,4000.0,89.1,77.6882578827999,79.47269303201507,75.17084282460137,847964.0,325168.0
5000.0,1250.400137,1.0302736093033931E-4,5000.0,94.19999999999999,88.21890094533163,88.44621513944222,86.72768878718534,849717.0,325168.0
6000.0,1253.009178,1.0324910444304346E-4,6000.0,91.4,82.32641871591157,81.70212765957447,79.1767554479419,851759.0,328528.0
7000.0,1255.461902,1.034565675772892E-4,7000.0,90.0,77.06032675270573,77.32426303854876,69.04024767801857,853581.0,326960.0
8000.0,1258.235174,1.0369162632015016E-4,8000.0,89.2,75.28151606701455,75.39863325740319,67.66467065868264,855554.0,327632.0
9000.0,1260.839074,1.0391255566381745E-4,9000.0,90.60000000000001,79.99216714628706,80.81632653061224,76.61691542288558,857322.0,327968.0
10000.0,1263.026438,1.0409823884550895E-4,10000.0,92.9,85.6713863640033,86.45038167938932,84.18708240534522,858936.0,328136.0
11000.0,1265.111175,1.0427665982206041E-4,11000.0,91.3,82.3751063571168,83.30134357005758,80.4494382022472,860524.0,330824.0
12000.0,1267.397758,1.044726538049947E-4,12000.0,91.3,81.06522269039246,80.09153318077804,75.21367521367523,862237.0,331328.0
13000.0,1269.778036,1.0467667883523015E-4,13000.0,94.8,87.10547719653235,86.93467336683416,81.02189781021897,864043.0,331328.0
14000.0,1272.130789,1.0487834456585554E-4,14000.0,93.7,85.53958023467196,86.1842105263158,80.79268292682929,865801.0,331328.0
15000.0,1274.986166,1.0512309260736943E-4,15000.0,85.5,70.76141313115019,69.85446985446984,69.53781512605042,867495.0,331328.0
16000.0,1277.939814,1.0537891080705035E-4,16000.0,89.8,78.86895020115931,77.87418655097615,77.33333333333333,869184.0,334792.0
17000.0,1280.788995,1.0562805148860647E-4,17000.0,87.4,73.08462961459753,74.23312883435584,67.44186046511628,870785.0,338008.0
18000.0,1283.440814,1.0586491756585117E-4,18000.0,90.3,79.55380931503154,80.32454361054768,75.5050505050505,872491.0,345272.0
19000.0,1285.961203,1.060895693624951E-4,19000.0,90.2,78.60262008733625,78.96995708154508,72.77777777777779,874146.0,344544.0
20000.0,1288.392775,1.0630693864608185E-4,20000.0,92.2,84.19516939536392,84.43113772455091,83.18965517241381,875775.0,345552.0
21000.0,1290.947401,1.0653697371317075E-4,21000.0,92.60000000000001,85.03236245954693,84.55114822546975,83.55555555555556,877436.0,348072.0
22000.0,1293.596708,1.0677790861865092E-4,22000.0,90.8,81.59712915214774,80.95238095238095,81.9253438113949,879120.0,351536.0
23000.0,1295.867902,1.0698485177928582E-4,23000.0,90.7,81.40357051446124,81.25000000000001,81.80039138943249,880863.0,352208.0
24000.0,1298.199984,1.071978978854066E-4,24000.0,91.0,81.34544911867611,80.72805139186296,77.38693467336685,882589.0,353128.0
25000.0,1300.451705,1.0740350479160538E-4,25000.0,92.7,83.90766083521446,84.43496801705757,78.4660766961652,884248.0,352960.0
26000.0,1303.052415,1.0764103744081531E-4,26000.0,90.0,77.67378724012288,77.57847533632287,71.5909090909091,886052.0,353048.0
27000.0,1305.085573,1.0782691015523133E-4,27000.0,92.60000000000001,84.2265241653913,84.15417558886512,80.97686375321338,887758.0,353384.0
28000.0,1307.194909,1.080201138167228E-4,28000.0,92.30000000000001,84.25074451025952,83.78947368421053,82.00934579439254,889531.0,354056.0
29000.0,1309.38475,1.0822097681946016E-4,29000.0,93.89999999999999,87.7519877921452,88.22393822393822,87.29166666666666,891299.0,354560.0
30000.0,1311.443825,1.0840948735681464E-4,30000.0,92.4,84.7816771392757,85.09803921568628,83.86411889596603,892977.0,353888.0
31000.0,1313.682823,1.0861456734960482E-4,31000.0,90.3,80.46639010834106,80.86785009861933,78.68131868131869,894735.0,354056.0
32000.0,1316.188198,1.0884415490919307E-4,32000.0,91.60000000000001,83.09777534528831,83.4319526627219,82.20338983050848,896372.0,354224.0
33000.0,1318.727271,1.0907694083865729E-4,33000.0,92.5,84.99459805529992,85.79545454545455,85.02994011976048,898082.0,354392.0
34000.0,1321.151763,1.09299221814312E-4,34000.0,92.4,83.75200427578837,83.47826086956522,80.46272493573265,899750.0,354392.0
35000.0,1323.172952,1.0948461522490197E-4,35000.0,91.5,82.97684851397902,83.06772908366534,82.29166666666667,901201.0,354560.0
36000.0,1325.157307,1.0966671628306513E-4,36000.0,93.10000000000001,86.20772367474216,85.91836734693878,85.83162217659138,902629.0,354728.0
37000.0,1327.2826,1.0986184336308593E-4,37000.0,90.7,81.35943813738696,81.2877263581489,80.12820512820514,904106.0,354896.0
