learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,247.07474,3.0680837730566663E-7,1000.0,81.8,63.670189194476265,55.932203389830505,62.85714285714285,842381.0,4800.0
2000.0,250.767941,3.1139445925752323E-7,2000.0,75.5,51.4970581480983,50.0,51.0,844224.0,4800.0
3000.0,254.665995,3.1623492017388345E-7,3000.0,73.6,47.70226742366314,49.61832061068702,41.46341463414633,846187.0,4800.0
4000.0,258.283127,3.207265424231688E-7,4000.0,70.6,42.85914195421733,44.63276836158192,33.02961275626422,847964.0,4800.0
5000.0,261.829031,3.2512971634666123E-7,5000.0,74.1,49.89204541057568,48.406374501992026,40.73226544622426,849717.0,4800.0
6000.0,265.854922,3.3012892057498296E-7,6000.0,77.10000000000001,55.04479815310683,51.276595744680854,44.552058111380155,851759.0,4800.0
7000.0,269.548448,3.3471540609995527E-7,7000.0,73.2,44.71696322852934,39.22902494331065,17.027863777089767,853581.0,4800.0
8000.0,273.499371,3.396215178072453E-7,8000.0,76.8,50.789906840202946,47.15261958997722,30.53892215568862,855554.0,4800.0
9000.0,277.170479,3.441801654795806E-7,9000.0,78.2,56.53630215643742,55.51020408163265,45.771144278606975,857322.0,4800.0
10000.0,280.571618,3.4840357551972075E-7,10000.0,84.6,69.44311061197115,70.61068702290076,65.70155902004453,858936.0,4800.0
11000.0,283.931805,3.5257613286376004E-7,11000.0,77.5,55.74002675269495,56.813819577735124,49.43820224719101,860524.0,4800.0
12000.0,287.478159,3.5697986558079725E-7,12000.0,75.4,50.23647787546173,43.707093821510306,29.914529914529915,862237.0,4800.0
13000.0,291.16046,3.6155241231123613E-7,13000.0,80.80000000000001,58.11664514327599,51.75879396984926,29.927007299270098,864043.0,4800.0
14000.0,294.762833,3.660257073740165E-7,14000.0,81.69999999999999,61.29638089437084,59.86842105263156,44.20731707317071,865801.0,4800.0
15000.0,298.510012,3.706788172324499E-7,15000.0,66.60000000000001,34.123327442565014,30.561330561330568,29.831932773109248,867495.0,4800.0
16000.0,302.129576,3.751734594504039E-7,16000.0,66.60000000000001,35.80305761963889,27.548806941431675,25.77777777777778,869184.0,4800.0
17000.0,305.621012,3.795089970032374E-7,17000.0,63.800000000000004,29.851214814183237,25.971370143149286,6.459948320413441,870785.0,4800.0
18000.0,309.287734,3.8406219830115636E-7,18000.0,69.5,40.02296825346882,38.1338742393509,22.979797979797972,872491.0,4800.0
19000.0,312.817836,3.8844574987888334E-7,19000.0,73.7,47.01426384076074,43.56223175965665,26.944444444444436,874146.0,4800.0
20000.0,316.300372,3.927702357371648E-7,20000.0,72.0,44.669280384469445,44.11177644710578,39.655172413793096,875775.0,4800.0
21000.0,319.829179,3.971521792312463E-7,21000.0,75.6,52.287837309346884,49.060542797494776,45.77777777777777,877436.0,4800.0
22000.0,323.376807,4.015574939548969E-7,22000.0,77.0,53.65052495818471,52.38095238095239,54.81335952848724,879120.0,4800.0
23000.0,327.007779,4.060663022100925E-7,23000.0,78.2,56.07389257850281,56.0483870967742,57.33855185909981,880863.0,4800.0
24000.0,330.618798,4.1055033355951304E-7,24000.0,82.39999999999999,61.53577173228896,62.31263383297644,55.7788944723618,882589.0,4800.0
25000.0,334.117396,4.148947646220525E-7,25000.0,81.2,54.872996289024066,59.91471215351814,44.542772861356944,884248.0,4800.0
26000.0,337.79118,4.19456735253334E-7,26000.0,78.60000000000001,48.62290170168632,52.017937219730946,39.20454545454546,886052.0,4800.0
27000.0,341.319092,4.2383756736914313E-7,27000.0,81.69999999999999,59.23731456319329,60.81370449678799,52.95629820051413,887758.0,4800.0
28000.0,344.981414,4.283853049079577E-7,28000.0,79.7,56.746667575767916,57.26315789473685,52.57009345794395,889531.0,4800.0
29000.0,348.666823,4.329617110391458E-7,29000.0,78.4,56.175945463398804,58.30115830115831,55.00000000000001,891299.0,4800.0
30000.0,352.186876,4.3733278413613635E-7,30000.0,74.4,50.01230166013833,49.80392156862745,45.64755838641189,892977.0,4800.0
31000.0,355.84423,4.418743525942166E-7,31000.0,72.0,45.09696268554284,44.77317554240631,38.46153846153845,894735.0,4800.0
32000.0,359.292153,4.461558572947979E-7,32000.0,73.4,47.48230983067981,47.53451676528599,43.644067796610166,896372.0,4800.0
33000.0,362.834482,4.5055459191401795E-7,33000.0,75.7,50.9408059436324,53.97727272727273,51.49700598802396,898082.0,4800.0
34000.0,366.330139,4.548953709503014E-7,34000.0,77.7,55.44455544455544,51.52173913043478,42.673521850899746,899750.0,4800.0
35000.0,369.498665,4.5882993067304285E-7,35000.0,78.8,57.936507936507944,57.76892430278885,55.833333333333336,901201.0,4800.0
36000.0,372.626176,4.6271355946858713E-7,36000.0,82.6,64.89670755326016,64.48979591836734,64.27104722792608,902629.0,4800.0
37000.0,375.818684,4.666778991619745E-7,37000.0,76.9,52.86483839373164,53.521126760563384,50.641025641025635,904106.0,4800.0
38000.0,379.202559,4.7087987139821046E-7,38000.0,78.60000000000001,54.09774178049284,51.02974828375287,48.05825242718448,905688.0,4800.0
39000.0,382.775774,4.753169591228167E-7,39000.0,77.3,49.02267255937624,50.21929824561403,42.67676767676768,907392.0,4800.0
40000.0,386.380135,4.797927228113015E-7,40000.0,74.4,45.762022398589814,45.9915611814346,40.87759815242495,909144.0,4800.0
41000.0,390.091181,4.844009640316169E-7,41000.0,75.1,46.58027975628593,47.79874213836478,41.13475177304965,910956.0,4800.0
42000.0,393.802529,4.890095802644888E-7,42000.0,75.7,49.275241307905546,50.609756097560975,45.27027027027026,912793.0,4800.0
43000.0,397.533009,4.936419539153575E-7,43000.0,74.4,48.666944720716096,48.073022312373226,49.5069033530572,914615.0,4800.0
44000.0,401.490031,4.985556391378243E-7,44000.0,74.0,45.65830779970487,47.15447154471544,40.9090909090909,916477.0,4800.0
45000.0,405.611348,5.036733398834864E-7,45000.0,79.9,54.8578358711764,57.05128205128206,47.244094488188985,918507.0,4800.0
46000.0,409.387207,5.083620635171731E-7,46000.0,79.5,56.79881312641722,58.163265306122454,52.76497695852535,920336.0,4800.0
47000.0,413.119813,5.129970771571E-7,47000.0,81.89999999999999,61.826909287238784,63.79999999999999,57.80885780885781,922141.0,4800.0
48000.0,417.006736,5.178237160046895E-7,48000.0,75.7,47.91220097745005,54.06427221172023,44.772727272727266,924072.0,4800.0
49000.0,420.867609,5.22618006914854E-7,49000.0,69.3,34.45940753012304,36.43892339544512,31.319910514541366,925979.0,4800.0
50000.0,424.649308,5.273139824469884E-7,50000.0,75.1,45.73508259599878,48.12499999999999,40.00000000000001,927809.0,4800.0
51000.0,428.942848,5.326455434163412E-7,51000.0,71.7,45.1762882603642,39.00862068965516,40.918580375782874,929945.0,4800.0
52000.0,432.714853,5.373294812937578E-7,52000.0,73.0,46.99126337488957,48.07692307692307,39.3258426966292,931710.0,4800.0
53000.0,436.695193,5.422721219559512E-7,53000.0,70.5,44.432724039722125,37.89473684210525,19.83695652173912,933595.0,4800.0
54000.0,440.669312,5.472070376078289E-7,54000.0,76.3,53.87310237446478,48.701298701298704,40.75000000000001,935468.0,4800.0
