learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,444.773322,6.632241492904723E-6,1000.0,86.9,73.7779734977381,68.28087167070218,73.26530612244898,1615.0,57640.0
2000.0,445.268694,6.639628237051268E-6,2000.0,88.0,75.90487243637882,75.51020408163265,76.0,3458.0,57640.0
3000.0,445.846409,6.648242839601718E-6,3000.0,87.8,75.26549049343319,76.7175572519084,72.9490022172949,5421.0,57640.0
4000.0,446.385727,6.6562848849325535E-6,4000.0,87.2,73.90981765408495,75.89453860640302,70.84282460136674,7198.0,57640.0
5000.0,446.874343,6.663570886922792E-6,5000.0,93.4,86.62814491849248,86.85258964143428,84.89702517162473,8951.0,57640.0
6000.0,447.374771,6.671033023659967E-6,6000.0,91.5,82.55064418915924,81.91489361702128,79.41888619854723,10993.0,57640.0
7000.0,447.866414,6.678364162788622E-6,7000.0,90.2,77.66422492581331,77.77777777777779,69.65944272445822,12815.0,57640.0
8000.0,448.40058,6.686329384023944E-6,8000.0,90.0,76.90189774008168,77.22095671981776,70.05988023952096,14788.0,57640.0
9000.0,448.892266,6.693661164347495E-6,9000.0,90.9,80.6387922010502,81.42857142857144,77.363184079602,16556.0,57640.0
10000.0,449.337715,6.7003034812191285E-6,10000.0,94.6,89.07294014804141,89.69465648854961,87.97327394209353,18170.0,57640.0
11000.0,449.777481,6.706861055983851E-6,11000.0,91.0,81.82001817998183,82.72552783109406,79.77528089887642,19758.0,57640.0
12000.0,450.247803,6.713874266824374E-6,12000.0,91.7,81.98252956601776,81.00686498855836,76.35327635327637,21471.0,57640.0
13000.0,450.716183,6.720858519513987E-6,13000.0,94.3,85.84975919765651,85.67839195979899,79.19708029197079,23277.0,57640.0
14000.0,451.211143,6.728239120118733E-6,14000.0,93.4,84.83901793590121,85.5263157894737,79.87804878048782,25035.0,57640.0
15000.0,451.928003,6.738928584619941E-6,15000.0,87.0,73.81397447466804,72.97297297297297,72.68907563025209,26729.0,57640.0
16000.0,452.603333,6.748998774143141E-6,16000.0,89.7,78.70281536374765,77.65726681127983,77.11111111111111,28418.0,57640.0
17000.0,453.318501,6.759663008370745E-6,17000.0,87.3,72.85791223915813,74.02862985685071,67.18346253229974,30019.0,57640.0
18000.0,454.038957,6.770406094659118E-6,18000.0,90.10000000000001,79.18698913518787,79.91886409736308,75.00000000000001,31725.0,57640.0
19000.0,454.67786,6.779933102635872E-6,19000.0,91.4,81.26851367834118,81.54506437768241,76.11111111111111,33380.0,57640.0
20000.0,455.295417,6.789141809536763E-6,20000.0,92.9,85.6156501726122,85.82834331337327,84.69827586206897,35009.0,57640.0
21000.0,456.066368,6.800637852483324E-6,21000.0,92.9,85.65946273480107,85.17745302713988,84.22222222222223,36670.0,57640.0
22000.0,456.929409,6.81350709631418E-6,22000.0,87.2,74.38001641280198,73.49896480331263,74.85265225933202,533.0,57640.0
23000.0,457.367237,6.820035772574029E-6,23000.0,88.0,75.98770570532113,75.80645161290323,76.51663405088063,2276.0,57640.0
24000.0,457.948619,6.828717087943933E-6,24000.0,87.7,74.1224785195533,73.66167023554604,69.09547738693468,511.0,57720.0
25000.0,458.505995,6.837039940793893E-6,25000.0,89.2,74.8156646565836,76.97228144989339,68.14159292035399,2170.0,57720.0
26000.0,459.269092,6.84841886874702E-6,26000.0,87.7,72.07743857036486,72.42152466367713,65.05681818181817,118.0,57640.0
27000.0,459.638296,6.853924257597987E-6,27000.0,89.9,78.31743278404164,78.37259100642399,74.03598971722366,1824.0,57640.0
28000.0,460.044793,6.859985741362387E-6,28000.0,89.7,78.74500610823127,78.31578947368422,75.93457943925235,3597.0,57640.0
29000.0,460.439647,6.86587361042491E-6,29000.0,91.8,83.51294836737976,84.16988416988418,82.91666666666667,5365.0,57640.0
30000.0,460.813327,6.871445743191157E-6,30000.0,92.4,84.80261395040053,85.09803921568628,83.86411889596603,7043.0,57640.0
31000.0,461.229038,6.877644621601533E-6,31000.0,89.7,79.28065658191181,79.68441814595661,77.36263736263737,8801.0,57640.0
32000.0,461.655926,6.884010165950489E-6,32000.0,89.7,79.30962443955197,79.68441814595661,78.17796610169492,10438.0,57640.0
33000.0,462.113896,6.890839189829096E-6,33000.0,92.2,84.39157144858225,85.22727272727273,84.43113772455091,12148.0,57640.0
34000.0,462.545829,6.897279962742079E-6,34000.0,91.5,81.87633262260128,81.5217391304348,78.14910025706942,13816.0,57640.0
35000.0,462.906348,6.902655845135449E-6,35000.0,92.60000000000001,85.1667735728031,85.25896414342631,84.58333333333334,15267.0,57640.0
36000.0,463.271448,6.908100037152567E-6,36000.0,93.8,87.60198368261078,87.3469387755102,87.26899383983572,16695.0,57640.0
