learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,271.829805,3.8564894623123116E-6,1000.0,90.2,80.39176454110726,76.27118644067798,80.0,842381.0,54840.0
2000.0,272.431438,3.865024918255708E-6,2000.0,91.60000000000001,83.15330095023405,82.85714285714286,83.2,844224.0,54840.0
3000.0,273.049527,3.873793837893755E-6,3000.0,90.3,80.38470249458052,81.48854961832062,78.49223946784922,846187.0,54840.0
4000.0,273.632045,3.882058106518041E-6,4000.0,88.2,75.9001695157568,77.77777777777779,73.12072892938495,847964.0,54840.0
5000.0,274.160149,3.889550395713499E-6,5000.0,94.89999999999999,89.63279776231053,89.8406374501992,88.3295194508009,849717.0,54840.0
6000.0,274.788729,3.898468152713031E-6,6000.0,91.9,83.37179034496351,82.76595744680851,80.38740920096853,851759.0,54840.0
7000.0,275.365403,3.906649511648963E-6,7000.0,90.2,77.48254897545598,77.77777777777779,69.65944272445822,853581.0,54840.0
8000.0,275.979692,3.915364520127575E-6,8000.0,88.3,72.91290457007918,73.34851936218678,64.97005988023952,855554.0,54840.0
9000.0,276.552896,3.923496649662654E-6,9000.0,90.8,80.30282269114826,81.22448979591837,77.11442786069652,857322.0,54840.0
10000.0,277.02633,3.930213327519596E-6,10000.0,94.69999999999999,89.25977563063354,89.88549618320609,88.19599109131401,858936.0,54840.0
11000.0,277.496216,3.936879669378201E-6,11000.0,92.9,85.62927579646198,86.37236084452977,84.04494382022473,860524.0,54840.0
12000.0,278.011624,3.944191838552555E-6,12000.0,92.4,83.38383772131198,82.60869565217392,78.34757834757836,862237.0,54840.0
13000.0,278.548677,3.951811088528485E-6,13000.0,95.39999999999999,88.49010148727905,88.44221105527637,83.21167883211677,864043.0,54840.0
14000.0,279.085653,3.959429246094078E-6,14000.0,93.60000000000001,85.34476441708802,85.96491228070177,80.48780487804879,865801.0,54840.0
15000.0,279.701505,3.968166429083795E-6,15000.0,88.5,76.84663209097059,76.0914760914761,75.84033613445378,867495.0,54840.0
16000.0,280.283692,3.976426001762351E-6,16000.0,90.0,79.21922471083552,78.30802603036877,77.77777777777779,869184.0,54840.0
17000.0,280.895892,3.98511137329042E-6,17000.0,88.4,75.24467226933797,76.27811860940696,70.02583979328165,870785.0,54840.0
18000.0,281.499162,3.993670053593815E-6,18000.0,92.5,84.14939302742367,84.7870182555781,81.06060606060608,872491.0,54840.0
19000.0,282.067383,4.001731488574297E-6,19000.0,93.0,84.88251554941259,84.9785407725322,80.55555555555557,874146.0,54840.0
20000.0,282.61913,4.009559204491477E-6,20000.0,92.4,84.60491346340831,84.8303393213573,83.62068965517241,875775.0,54840.0
21000.0,283.170486,4.017381373234094E-6,21000.0,93.2,86.28479225494152,85.80375782881003,84.8888888888889,877436.0,54840.0
22000.0,283.722349,4.025210734860351E-6,22000.0,92.60000000000001,85.20384699978007,84.67908902691512,85.46168958742633,879120.0,54840.0
23000.0,284.28463,4.033187898186346E-6,23000.0,92.0,84.02453830915714,83.87096774193549,84.3444227005871,880863.0,54840.0
24000.0,284.822713,4.040821760923913E-6,24000.0,93.0,85.46632339506687,85.01070663811564,82.41206030150755,882589.0,54840.0
25000.0,285.335025,4.048090006690473E-6,25000.0,94.3,87.17994853986359,87.84648187633262,83.18584070796459,884248.0,54840.0
26000.0,285.889179,4.055951871071011E-6,26000.0,91.60000000000001,81.24598128170322,81.16591928251121,76.13636363636364,886052.0,54840.0
27000.0,286.383083,4.062958959831546E-6,27000.0,92.9,84.81569244719711,84.796573875803,81.74807197943446,887758.0,54840.0
28000.0,286.895758,4.0702323555325476E-6,28000.0,92.9,85.52060560576894,85.05263157894738,83.41121495327104,889531.0,54840.0
29000.0,287.432893,4.07785276885455E-6,29000.0,93.60000000000001,87.14652956298201,87.64478764478766,86.66666666666669,891299.0,54840.0
30000.0,287.914141,4.0846803050798685E-6,30000.0,92.4,84.77118708596666,85.09803921568628,83.86411889596603,892977.0,54840.0
31000.0,288.459392,4.092415861288708E-6,31000.0,90.5,80.88992597360799,81.26232741617358,79.12087912087912,894735.0,54840.0
32000.0,289.00252,4.100121298183998E-6,32000.0,90.60000000000001,81.10264080542959,81.4595660749507,80.08474576271188,896372.0,54840.0
33000.0,289.556623,4.107982439020029E-6,33000.0,93.30000000000001,86.59678322797473,87.31060606060606,86.62674650698604,898082.0,54840.0
34000.0,290.128265,4.11609240823115E-6,34000.0,92.10000000000001,83.08351177730194,82.82608695652175,79.69151670951157,899750.0,54840.0
35000.0,290.586722,4.122596605184178E-6,35000.0,92.5,84.97475759275585,85.05976095617531,84.37500000000001,901201.0,54840.0
36000.0,291.053078,4.129212866413097E-6,36000.0,93.89999999999999,87.79902392191374,87.55102040816325,87.47433264887063,902629.0,54840.0
37000.0,291.551396,4.1362825772414615E-6,37000.0,91.3,82.57099814090647,82.49496981891349,81.41025641025642,904106.0,54840.0
38000.0,292.064509,4.143562186912945E-6,38000.0,89.9,79.29716965661999,76.88787185354691,75.4854368932039,905688.0,54840.0
39000.0,292.653624,4.151920048147441E-6,39000.0,90.10000000000001,79.22333031127229,78.28947368421053,75.00000000000001,907392.0,54840.0
40000.0,293.233254,4.160143344290556E-6,40000.0,93.2,86.21902827936464,85.65400843881858,84.29561200923789,909144.0,54840.0
41000.0,293.830639,4.168618533232561E-6,41000.0,90.2,80.04975347195362,79.45492662473795,76.83215130023642,910956.0,54840.0
42000.0,294.419243,4.176969144834828E-6,42000.0,92.10000000000001,83.97383881333378,83.94308943089432,82.2072072072072,912793.0,54840.0
43000.0,295.027298,4.18559571063767E-6,43000.0,88.6,77.18612916653325,76.8762677484787,77.51479289940829,914615.0,54840.0
44000.0,295.702101,4.195169240143151E-6,44000.0,86.9,73.39971897107677,73.3739837398374,70.22727272727273,916477.0,54840.0
45000.0,296.370049,4.204645516754439E-6,45000.0,92.30000000000001,83.78168889488008,83.54700854700855,79.79002624671917,918507.0,54840.0
46000.0,296.94665,4.212825840028625E-6,46000.0,95.5,90.84778028164429,90.81632653061223,89.63133640552995,920336.0,54840.0
47000.0,297.49608,4.220620684325696E-6,47000.0,94.69999999999999,89.23490652649025,89.39999999999999,87.64568764568763,922141.0,54840.0
48000.0,298.065469,4.228698689894131E-6,48000.0,92.9,85.58199983754366,86.57844990548205,83.86363636363637,924072.0,54840.0
49000.0,298.646086,4.236935988751552E-6,49000.0,91.7,83.28661640569625,82.81573498964804,81.43176733780761,925979.0,54840.0
50000.0,299.241932,4.245389343673986E-6,50000.0,91.9,83.51983723296034,83.125,80.48192771084338,927809.0,54840.0
51000.0,299.966464,4.255668385823569E-6,51000.0,91.7,82.62696964115274,82.11206896551725,82.6722338204593,929945.0,54840.0
52000.0,300.592819,4.264554576420537E-6,52000.0,89.3,78.3812179254051,79.42307692307693,75.95505617977528,931710.0,54840.0
53000.0,301.238803,4.273719246530286E-6,53000.0,94.19999999999999,87.53095762245458,87.78947368421052,84.2391304347826,933595.0,54840.0
54000.0,301.859855,4.282530202685546E-6,54000.0,93.60000000000001,86.4864864864865,86.14718614718616,84.00000000000001,935468.0,54840.0
55000.0,302.481235,4.291345812225095E-6,55000.0,90.7,81.28712393155514,80.50314465408806,80.2547770700637,937316.0,54840.0
