learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,270.261423,4.035599047411233E-6,1000.0,88.9,77.79502608584323,73.12348668280873,77.34693877551021,842381.0,57720.0
2000.0,270.906303,4.045228527951986E-6,2000.0,91.0,81.91950563910531,81.63265306122449,82.0,844224.0,57720.0
3000.0,271.59415,4.05549960055699E-6,3000.0,88.7,76.99417728734883,78.43511450381679,74.94456762749445,846187.0,57720.0
4000.0,272.23648,4.065091003974279E-6,4000.0,88.8,77.07989702325163,78.90772128060264,74.4874715261959,847964.0,57720.0
5000.0,272.795976,4.073445513099432E-6,5000.0,93.89999999999999,87.60636179671182,87.84860557768923,86.0411899313501,849717.0,57720.0
6000.0,273.437386,4.083023178887865E-6,6000.0,91.7,82.92462146148783,82.34042553191489,79.90314769975788,851759.0,57720.0
7000.0,274.059631,4.092314668962112E-6,7000.0,89.60000000000001,76.25841798881406,76.41723356009071,67.80185758513933,853581.0,57720.0
8000.0,274.710054,4.102026918716729E-6,8000.0,88.5,73.53864278548353,73.80410022779044,65.5688622754491,855554.0,57720.0
9000.0,275.287553,4.110650252333532E-6,9000.0,89.0,76.54744239199032,77.55102040816327,72.636815920398,857322.0,57720.0
10000.0,275.782662,4.118043321557343E-6,10000.0,93.60000000000001,87.06009373344602,87.78625954198475,85.74610244988865,858936.0,57720.0
11000.0,276.267571,4.1252840822873015E-6,11000.0,91.3,82.38295804309088,83.30134357005758,80.4494382022472,860524.0,57720.0
12000.0,276.792081,4.13311617327854E-6,12000.0,90.60000000000001,79.50185137533855,78.48970251716248,73.21937321937322,862237.0,57720.0
13000.0,277.339468,4.141289868329962E-6,13000.0,93.60000000000001,84.40940892171575,83.91959798994976,76.64233576642337,864043.0,57720.0
14000.0,277.886951,4.1494649968730906E-6,14000.0,92.60000000000001,82.9474227564339,83.77192982456141,77.43902439024392,865801.0,57720.0
15000.0,278.48521,4.1583983230714996E-6,15000.0,85.9,71.58999322995584,70.68607068607068,70.3781512605042,867495.0,57720.0
16000.0,279.068221,4.167103963003804E-6,16000.0,90.0,79.26730661580247,78.30802603036877,77.77777777777779,869184.0,57720.0
17000.0,279.671109,4.176106410380453E-6,17000.0,88.8,76.14432682272253,77.0961145194274,71.05943152454782,870785.0,57720.0
18000.0,280.253695,4.184805704125514E-6,18000.0,89.60000000000001,78.01082543978349,78.90466531440163,73.73737373737374,872491.0,57720.0
19000.0,280.80677,4.193064333560566E-6,19000.0,91.2,80.83289771737236,81.11587982832619,75.55555555555557,874146.0,57720.0
20000.0,281.33491,4.20095062845697E-6,20000.0,92.0,83.79464575095612,84.03193612774452,82.75862068965519,875775.0,57720.0
21000.0,281.863064,4.208837132404248E-6,21000.0,93.4,86.66127728375102,86.22129436325679,85.33333333333334,877436.0,57720.0
22000.0,282.393867,4.216763191763311E-6,22000.0,92.2,84.40405494571412,83.85093167701864,84.67583497053046,879120.0,57720.0
23000.0,282.920555,4.2246278050976495E-6,23000.0,91.8,83.61677642094494,83.46774193548387,83.95303326810178,880863.0,57720.0
24000.0,283.437672,4.232349502295256E-6,24000.0,92.4,84.31359598428058,83.72591006423984,80.90452261306534,882589.0,57720.0
25000.0,283.938655,4.23983028329288E-6,25000.0,92.60000000000001,83.60575836660183,84.22174840085289,78.17109144542775,884248.0,57720.0
26000.0,284.46932,4.247754282007615E-6,26000.0,90.4,78.65148550080058,78.47533632286996,72.72727272727273,886052.0,57720.0
27000.0,284.936346,4.254728010110557E-6,27000.0,91.9,82.72626460803549,82.65524625267666,79.17737789203085,887758.0,57720.0
28000.0,285.439795,4.262245613926401E-6,28000.0,92.5,84.66884709730172,84.21052631578948,82.47663551401871,889531.0,57720.0
29000.0,285.96006,4.270014317706227E-6,29000.0,93.5,86.93204664254122,87.45173745173747,86.45833333333334,891299.0,57720.0
30000.0,286.431939,4.277060511801392E-6,30000.0,92.10000000000001,84.19456292964782,84.50980392156863,83.2271762208068,892977.0,57720.0
31000.0,286.9483,4.284770920251806E-6,31000.0,90.4,80.69226282657228,81.06508875739645,78.9010989010989,894735.0,57720.0
32000.0,287.467831,4.292528663792958E-6,32000.0,90.0,79.86923052146746,80.27613412228797,78.8135593220339,896372.0,57720.0
33000.0,288.007905,4.30059315962717E-6,33000.0,93.0,86.00083994960303,86.74242424242425,86.02794411177645,898082.0,57720.0
34000.0,288.527721,4.308355158846826E-6,34000.0,91.7,82.32161874334399,81.95652173913044,78.66323907455013,899750.0,57720.0
35000.0,288.972741,4.315000288840383E-6,35000.0,91.5,82.97957549058872,83.06772908366534,82.29166666666667,901201.0,57720.0
36000.0,289.420078,4.321680016753574E-6,36000.0,92.7,85.41283670370076,85.10204081632654,85.01026694045176,902629.0,57720.0
37000.0,289.875129,4.328474931698292E-6,37000.0,90.10000000000001,80.1108968177435,80.08048289738431,78.84615384615385,904106.0,57720.0
38000.0,290.364127,4.335776750215639E-6,38000.0,89.60000000000001,78.62826329979615,76.20137299771169,74.75728155339807,905688.0,57720.0
39000.0,290.941552,4.344398978849252E-6,39000.0,90.3,79.66081792867448,78.7280701754386,75.5050505050505,907392.0,57720.0
40000.0,291.480619,4.352448437952747E-6,40000.0,92.30000000000001,84.39083721873101,83.75527426160339,82.21709006928407,909144.0,57720.0
41000.0,292.062012,4.3611299175769095E-6,41000.0,90.10000000000001,79.81453842577866,79.24528301886792,76.59574468085107,910956.0,57720.0
42000.0,292.624613,4.369530791199456E-6,42000.0,91.10000000000001,81.91233375605633,81.91056910569107,79.95495495495496,912793.0,57720.0
43000.0,293.166296,4.3776193129519625E-6,43000.0,87.2,74.38934596792267,74.0365111561866,74.7534516765286,914615.0,57720.0
44000.0,293.852229,4.387861805316061E-6,44000.0,86.6,72.83457064430722,72.76422764227642,69.54545454545455,916477.0,57720.0
45000.0,294.527819,4.3979498538809526E-6,45000.0,92.0,83.3087833354893,82.90598290598291,79.00262467191602,918507.0,57720.0
46000.0,295.092261,4.406378217693419E-6,46000.0,95.3,90.43073890983719,90.40816326530611,89.17050691244239,920336.0,57720.0
47000.0,295.643056,4.414602801700434E-6,47000.0,94.89999999999999,89.65307364576992,89.8,88.1118881118881,922141.0,57720.0
48000.0,296.201097,4.422935584466905E-6,48000.0,93.7,87.20032507110932,88.09073724007563,85.68181818181819,924072.0,57720.0
49000.0,296.790474,4.43173628281802E-6,49000.0,91.8,83.4562013017145,83.02277432712216,81.65548098434006,925979.0,57720.0
50000.0,297.380004,4.440539265796543E-6,50000.0,92.60000000000001,84.90750749525812,84.58333333333334,82.1686746987952,927809.0,57720.0
51000.0,298.083064,4.451037502040466E-6,51000.0,91.8,82.90584036556487,82.32758620689657,82.88100208768267,929945.0,57720.0
52000.0,298.751568,4.461019740998745E-6,52000.0,89.9,79.60255271023507,80.57692307692308,77.30337078651685,931710.0,57720.0
53000.0,299.385596,4.470487177247803E-6,53000.0,94.19999999999999,87.57327482773987,87.78947368421052,84.2391304347826,933595.0,57720.0
54000.0,299.99889,4.479645009152592E-6,54000.0,94.39999999999999,88.13559322033898,87.87878787878786,85.99999999999999,935468.0,57720.0
55000.0,300.628886,4.489052238749962E-6,55000.0,92.0,83.89726454781507,83.22851153039834,83.01486199575372,937316.0,57720.0
56000.0,301.342593,4.499709458183498E-6,56000.0,92.30000000000001,84.11362267171731,84.38133874239352,81.4009661835749,939387.0,57720.0
57000.0,302.087982,4.510839759744705E-6,57000.0,92.30000000000001,80.40213794858744,81.12745098039217,72.00000000000001,941494.0,57720.0
58000.0,302.854888,4.522291357566914E-6,58000.0,92.60000000000001,79.42798683391159,78.61271676300579,69.67213114754101,943543.0,57720.0
59000.0,303.635256,4.533943972736598E-6,59000.0,92.0,78.08219178082193,77.77777777777779,68.00000000000001,945533.0,57720.0
60000.0,304.496314,4.546801467550298E-6,60000.0,90.7,73.54918713523476,76.51515151515153,62.94820717131475,947601.0,57720.0
61000.0,305.159064,4.556697786599399E-6,61000.0,89.4,75.72604320764309,74.14634146341464,67.58409785932722,949449.0,57720.0
62000.0,305.741205,4.56539043551311E-6,62000.0,93.5,86.204847404389,86.0813704496788,83.33333333333334,951037.0,57720.0
63000.0,306.426038,4.5756165024514014E-6,63000.0,94.39999999999999,88.14187400741133,88.68686868686868,85.60411311053984,952953.0,57720.0
64000.0,307.061881,4.585111040653042E-6,64000.0,94.1,86.97732730611666,87.03296703296702,83.42696629213482,954817.0,57720.0
65000.0,307.721979,4.59496775949374E-6,65000.0,90.9,79.92481733789842,80.92243186582809,74.79224376731302,956684.0,57720.0
66000.0,308.384797,4.604865093932799E-6,66000.0,88.5,75.68031670571914,76.6260162601626,71.10552763819096,958599.0,57720.0
67000.0,309.106612,4.615643383686743E-6,67000.0,90.2,77.83286887915747,78.41409691629956,71.67630057803468,960652.0,57720.0
68000.0,309.762719,4.62544050809617E-6,68000.0,93.8,85.82507224640595,85.7471264367816,80.50314465408803,962568.0,57720.0
69000.0,310.374484,4.634575508659087E-6,69000.0,92.60000000000001,84.29968090162265,83.77192982456141,80.92783505154641,964332.0,57720.0
70000.0,311.003191,4.643963490643851E-6,70000.0,93.8,86.10911958703755,86.25277161862527,81.97674418604649,966160.0,57720.0
71000.0,311.64348,4.653524417430164E-6,71000.0,91.10000000000001,80.63769427571924,81.38075313807532,76.39257294429709,968063.0,57720.0
72000.0,312.358737,4.664204781781884E-6,72000.0,86.3,68.15701150066474,70.47413793103448,59.34718100890207,970019.0,57720.0
73000.0,312.992698,4.673671217573188E-6,73000.0,93.30000000000001,81.29891589536325,82.08556149732622,72.76422764227645,971851.0,57720.0
74000.0,313.83373,4.686229680043958E-6,74000.0,86.7,70.2769384799671,71.0239651416122,63.858695652173914,973845.0,57720.0
75000.0,314.677646,4.698831206994754E-6,75000.0,92.0,83.18649539309975,84.40545808966863,79.38144329896907,976065.0,57720.0
76000.0,315.499303,4.711100357988231E-6,76000.0,91.5,82.14840763796131,81.15299334811532,79.31873479318736,978210.0,57720.0
77000.0,316.337524,4.72361684602996E-6,77000.0,92.10000000000001,83.17559566910018,81.0096153846154,79.3193717277487,980197.0,57720.0
78000.0,317.349788,4.738732179875178E-6,78000.0,89.60000000000001,75.76153075255786,74.19354838709677,68.19571865443426,982170.0,57720.0
79000.0,318.243138,4.75207186546177E-6,79000.0,93.10000000000001,83.0608337015761,83.17073170731709,76.61016949152545,984248.0,57720.0
80000.0,319.019057,4.763658047250165E-6,80000.0,93.8,87.10053262316909,87.3469387755102,84.95145631067959,986126.0,57720.0
81000.0,319.729788,4.774270828440789E-6,81000.0,96.8,92.13159900661437,92.66055045871559,88.69257950530034,988120.0,57720.0
82000.0,320.487538,4.785585706991457E-6,82000.0,93.30000000000001,81.68718430892355,82.13333333333335,73.92996108949418,990146.0,57720.0
83000.0,321.290129,4.797570160559071E-6,83000.0,89.5,76.784087592532,78.17047817047818,72.14854111405836,992214.0,57720.0
84000.0,322.098071,4.809634516357137E-6,84000.0,89.60000000000001,76.47218514580459,76.47058823529413,69.85507246376812,994158.0,57720.0
85000.0,322.918869,4.821890840586278E-6,85000.0,94.5,87.70587078199603,87.88546255506606,84.14985590778097,996152.0,57720.0
86000.0,323.675718,4.83319226521999E-6,86000.0,94.69999999999999,88.29515640321198,88.16964285714285,85.35911602209943,998124.0,57720.0
87000.0,324.413265,4.844205468427393E-6,87000.0,94.19999999999999,87.1297015422168,87.3362445414847,83.84401114206128,1000039.0,57720.0
88000.0,325.161711,4.85538141774014E-6,88000.0,94.89999999999999,88.54025292335899,89.14893617021275,85.38681948424068,1002047.0,57720.0
89000.0,325.961481,4.86732374755666E-6,89000.0,90.8,79.13122377225814,78.75288683602773,71.6923076923077,1004156.0,57720.0
90000.0,326.646724,4.8775559366991155E-6,90000.0,95.0,89.28275938937449,89.4736842105263,86.94516971279373,1005977.0,57720.0
91000.0,327.3448,4.887979750831925E-6,91000.0,96.5,92.68198849190418,92.97188755020079,91.3151364764268,1007858.0,57720.0
92000.0,328.079257,4.898946813525015E-6,92000.0,88.5,74.66446945195942,76.14107883817427,68.23204419889503,1009705.0,57720.0
