learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,234.876495,2.916610427200794E-7,1000.0,81.6,63.291624106230834,54.79115479115478,62.525458248472496,826815.0,4800.0
2000.0,236.911684,2.9418826599915823E-7,2000.0,73.8,48.27347929952025,49.224806201550386,47.49498997995992,827815.0,4800.0
3000.0,238.936694,2.9670284936825436E-7,3000.0,75.4,51.75467842335858,52.783109404990405,45.21158129175946,828815.0,4800.0
4000.0,240.974751,2.9923363402485847E-7,4000.0,70.7,43.170357037565736,41.86507936507936,33.56009070294783,829815.0,4800.0
5000.0,242.974922,3.0171737323204677E-7,5000.0,74.3,50.578823891388794,50.38610038610039,40.919540229885065,830815.0,4800.0
6000.0,244.978801,3.0420571689804394E-7,6000.0,76.4,53.90985079290681,51.83673469387755,42.995169082125614,831815.0,4800.0
7000.0,247.005389,3.0672225976983704E-7,7000.0,75.5,50.5422187769999,43.807339449541296,23.91304347826086,832815.0,4800.0
8000.0,249.055972,3.0926859875520066E-7,8000.0,76.6,50.744308231173385,45.32710280373833,30.357142857142854,833815.0,4800.0
9000.0,251.101845,3.118090890347957E-7,9000.0,77.5,55.56310434178096,53.51239669421488,43.89027431421447,834815.0,4800.0
10000.0,253.113598,3.1430721034606294E-7,10000.0,83.6,67.64226551494177,66.11570247933884,63.47438752783964,835815.0,4800.0
11000.0,255.1363,3.168189277251561E-7,11000.0,78.60000000000001,57.98566800824582,56.5922920892495,51.91011235955057,836815.0,4800.0
12000.0,257.174289,3.193496279418468E-7,12000.0,78.3,57.11123408965136,53.131749460043196,38.176638176638185,837815.0,4800.0
13000.0,259.20494,3.2187121609846745E-7,13000.0,80.10000000000001,57.30529929199745,50.74257425742575,27.37226277372265,838815.0,4800.0
14000.0,261.239455,3.2439760242899254E-7,14000.0,80.80000000000001,59.813299286267466,58.16993464052288,41.64133738601824,839815.0,4800.0
15000.0,263.32183,3.269834195574124E-7,15000.0,67.5,36.124213836478,37.500000000000014,31.578947368421055,840815.0,4800.0
16000.0,265.433044,3.296050479014714E-7,16000.0,64.5,32.37116230159033,25.887265135699373,20.403587443946183,841815.0,4800.0
17000.0,267.550906,3.322349314888318E-7,17000.0,65.3,33.72044160904611,29.03885480572598,11.025641025641034,842815.0,4800.0
18000.0,269.665682,3.348609829942385E-7,18000.0,71.1,43.7410452874852,43.664717348927866,26.46310432569974,843815.0,4800.0
19000.0,271.770848,3.3747510115305583E-7,19000.0,72.3,46.41337150816373,35.87962962962963,22.84122562674094,844815.0,4800.0
20000.0,273.860968,3.400705357392629E-7,20000.0,71.6,44.24638386757337,43.31337325349301,39.0557939914163,845815.0,4800.0
21000.0,275.959633,3.4267658119400345E-7,21000.0,76.5,54.199961021243425,53.093812375249506,47.77777777777777,846815.0,4800.0
22000.0,278.050474,3.4527291109164557E-7,22000.0,74.8,49.254933548127255,48.041237113402055,50.491159135559926,847815.0,4800.0
23000.0,280.127722,3.4785236169894535E-7,23000.0,74.9,49.1445752862897,49.8,50.09940357852882,848815.0,4800.0
24000.0,282.175727,3.503954994181792E-7,24000.0,79.2,53.72945075968234,57.46421267893661,47.607052896725456,849815.0,4800.0
25000.0,284.229376,3.529456456502279E-7,25000.0,79.7,50.062483395160726,52.6806526806527,40.4692082111437,850815.0,4800.0
26000.0,286.291854,3.5550675541162494E-7,26000.0,78.5,47.637603507062835,52.95404814004377,38.74643874643875,851815.0,4800.0
27000.0,288.348979,3.580612180133661E-7,27000.0,80.5,55.64310671131171,59.5435684647303,49.87146529562983,852815.0,4800.0
28000.0,290.40148,3.606099387009939E-7,28000.0,80.30000000000001,57.89590671271758,60.202020202020215,53.971962616822445,853815.0,4800.0
29000.0,292.483934,3.63195853928725E-7,29000.0,77.4,54.049163328792474,54.98007968127491,53.01455301455301,854815.0,4800.0
30000.0,294.566885,3.657823863128822E-7,30000.0,77.4,55.855408884391956,55.42406311637082,51.50214592274678,855815.0,4800.0
31000.0,296.671863,3.683962710201741E-7,31000.0,74.1,49.36738555856179,48.199999999999996,43.20175438596491,856815.0,4800.0
32000.0,298.814518,3.7105694164832443E-7,32000.0,71.8,44.50741475394351,43.25955734406438,40.254237288135585,857815.0,4800.0
33000.0,300.946168,3.7370394666989653E-7,33000.0,75.5,50.5422187769999,50.101832993890014,51.0,858815.0,4800.0
34000.0,303.063431,3.7633308644096065E-7,34000.0,77.0,54.80696680080482,51.06382978723404,40.10416666666667,859815.0,4800.0
35000.0,305.164615,3.7894225989778845E-7,35000.0,77.10000000000001,54.66172499267461,53.64372469635627,52.390852390852395,860815.0,4800.0
36000.0,307.26155,3.815461571017902E-7,36000.0,80.10000000000001,59.634888438133885,59.1375770020534,58.884297520661164,861815.0,4800.0
37000.0,309.377468,3.8417362670103713E-7,37000.0,77.10000000000001,53.1900280451011,54.10821643286573,51.1727078891258,862815.0,4800.0
38000.0,311.498897,3.868079396585624E-7,38000.0,78.5,53.5613077135748,53.961456102783735,47.68856447688566,863815.0,4800.0
39000.0,313.603903,3.894218591352304E-7,39000.0,74.5,42.03755057507842,44.32314410480348,35.44303797468354,864815.0,4800.0
40000.0,315.715181,3.9204356695214913E-7,40000.0,76.6,50.346934878095375,55.597722960151806,46.20689655172415,865815.0,4800.0
41000.0,317.826383,3.946651803950469E-7,41000.0,76.7,49.40633875604736,52.834008097166,44.786729857819914,866815.0,4800.0
42000.0,319.944121,3.972949100037416E-7,42000.0,76.5,50.66839082390086,51.345755693581786,47.07207207207207,867815.0,4800.0
43000.0,322.066192,3.9993002017339074E-7,43000.0,74.9,49.72639944879303,48.24742268041237,51.16731517509727,868815.0,4800.0
44000.0,324.310388,4.0271678070227307E-7,44000.0,74.5,46.50005454896398,47.53086419753087,42.3076923076923,869815.0,4800.0
45000.0,326.558829,4.0550881251692776E-7,45000.0,78.8,51.51226831098018,57.60000000000001,44.50261780104713,870815.0,4800.0
46000.0,328.686033,4.0815029665827756E-7,46000.0,79.7,56.7282276905237,58.989898989899004,53.00925925925928,871815.0,4800.0
47000.0,330.808096,4.107853968938192E-7,47000.0,82.39999999999999,62.55637818058036,66.28352490421456,59.069767441860456,872815.0,4800.0
48000.0,332.889993,4.133706204593182E-7,48000.0,77.0,50.69139243220066,53.25203252032521,47.608200455580864,873815.0,4800.0
49000.0,334.988769,4.1597680374979975E-7,49000.0,74.8,46.71966509503774,45.57235421166306,43.6241610738255,874815.0,4800.0
50000.0,337.138593,4.186463765799999E-7,50000.0,75.3,46.08964397338968,48.96694214876033,40.76738609112711,875815.0,4800.0
51000.0,339.307168,4.2133923371632894E-7,51000.0,74.1,49.95633255272941,44.3010752688172,45.81589958158995,876815.0,4800.0
52000.0,341.497232,4.2405877510706587E-7,52000.0,75.2,51.59275452841974,47.12153518123667,44.144144144144136,877815.0,4800.0
53000.0,343.706758,4.268024836977323E-7,53000.0,71.89999999999999,47.17687663074944,38.37719298245613,23.848238482384815,878815.0,4800.0
54000.0,345.876179,4.294963913659255E-7,54000.0,78.4,57.911145752143426,53.6480686695279,46.000000000000014,879815.0,4800.0
55000.0,348.079937,4.322329374651114E-7,55000.0,76.8,54.20034191813706,53.31991951710262,50.74309978768577,880815.0,4800.0
56000.0,350.282495,4.3496799344817795E-7,56000.0,75.1,51.842367885628526,46.22030237580993,39.709443099273614,881815.0,4800.0
57000.0,352.514033,4.3773903573552767E-7,57000.0,78.5,53.36468383424725,48.80952380952382,22.101449275362338,882815.0,4800.0
58000.0,354.723219,4.4048232212662697E-7,58000.0,74.4,43.939559837950284,27.478753541076482,-4.489795918367351,883815.0,4800.0
59000.0,356.937527,4.4323196883002916E-7,59000.0,75.1,45.850730688935286,34.9869451697128,0.0,884815.0,4800.0
60000.0,359.144918,4.4597302625576656E-7,60000.0,70.3,37.87754555646658,20.161290322580633,-18.32669322709165,885815.0,4800.0
61000.0,361.370734,4.4873696317275367E-7,61000.0,71.8,44.17941764484649,35.46910755148742,13.761467889908237,886815.0,4800.0
62000.0,363.570491,4.514685409764449E-7,62000.0,76.7,54.811683022380834,52.254098360655746,40.25641025641026,887815.0,4800.0
63000.0,365.783301,4.542163275182248E-7,63000.0,75.5,52.92300124513858,50.70422535211267,37.01799485861183,888815.0,4800.0
64000.0,367.993404,4.5696075260639196E-7,64000.0,74.8,50.51215986928926,44.97816593886462,29.21348314606741,889815.0,4800.0
65000.0,370.215878,4.597205395499866E-7,65000.0,69.19999999999999,41.41813755325624,36.88524590163933,14.444444444444427,890815.0,4800.0
66000.0,372.458329,4.6250513320167865E-7,66000.0,71.0,43.92190835679589,42.68774703557312,27.135678391959793,891815.0,4800.0
67000.0,374.713527,4.653055556118489E-7,67000.0,69.8,41.49758435389698,32.13483146067414,12.968299711815542,892815.0,4800.0
68000.0,376.943455,4.6807459866007174E-7,68000.0,80.30000000000001,59.14253241635626,56.02678571428572,38.05031446540881,893815.0,4800.0
69000.0,379.13715,4.7079864889383324E-7,69000.0,81.69999999999999,63.2338168521718,61.22881355932203,52.71317829457362,894815.0,4800.0
70000.0,381.345792,4.735412597656251E-7,70000.0,79.60000000000001,57.650868779971354,52.66821345707658,40.86956521739131,895815.0,4800.0
