learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,73.486956,1.0355741683890424E-6,1000.0,87.5,75.01499100539675,69.28746928746929,74.54175152749491,41998.0,54472.0
2000.0,73.693286,1.0384702298873002E-6,2000.0,76.8,53.41608671033239,55.038759689922486,53.50701402805611,508.0,54256.0
3000.0,73.848888,1.0406542698293927E-6,3000.0,83.5,66.45250487963564,68.33013435700576,63.25167037861914,1508.0,54256.0
4000.0,74.006194,1.042862227227953E-6,4000.0,77.7,54.60726120976739,55.75396825396825,49.43310657596372,2508.0,54256.0
5000.0,74.150817,1.0448921652014058E-6,5000.0,82.89999999999999,64.60360173877044,66.98841698841697,60.689655172413794,3508.0,54256.0
6000.0,74.279665,1.0467006842336723E-6,6000.0,87.7,74.4599207634615,74.89795918367346,70.28985507246377,4508.0,54256.0
7000.0,74.412344,1.0485629754347935E-6,7000.0,85.6,67.18083360682637,66.97247706422019,55.27950310559005,5508.0,54256.0
8000.0,74.55337,1.0505424256788361E-6,8000.0,83.8,62.193346028901075,62.149532710280376,51.78571428571427,6508.0,54256.0
9000.0,74.695703,1.0525402210611437E-6,9000.0,87.8,74.32930036822725,74.79338842975206,69.57605985037407,7508.0,54256.0
10000.0,74.832254,1.054456859909826E-6,10000.0,91.5,82.81773048498474,82.43801652892563,81.06904231625836,8508.0,54256.0
11000.0,74.968939,1.0563753795913526E-6,11000.0,87.3,74.26023510336441,74.2393509127789,71.46067415730337,9508.0,54256.0
12000.0,75.103976,1.0582707678361073E-6,12000.0,84.7,65.67690526825854,66.95464362850971,56.4102564102564,10508.0,54256.0
13000.0,75.230711,1.0600496286609108E-6,13000.0,89.4,72.7371864776445,73.76237623762377,61.3138686131387,11508.0,54256.0
14000.0,75.362506,1.0618995119796861E-6,14000.0,90.5,78.16192358972002,79.30283224400871,71.12462006079028,12508.0,54256.0
15000.0,75.508884,1.0639540832489731E-6,15000.0,83.89999999999999,67.58606804912421,69.03846153846153,66.10526315789474,13508.0,54256.0
16000.0,75.706409,1.0667265571860806E-6,16000.0,82.6,64.17379415991665,63.674321503131516,60.98654708520178,14508.0,54256.0
17000.0,75.889636,1.0692983434514869E-6,17000.0,78.60000000000001,54.39045183290708,56.23721881390593,45.12820512820514,147.0,54256.0
18000.0,75.99976,1.070844051183926E-6,18000.0,79.9,56.805033825311824,60.81871345029241,48.854961832061086,1147.0,54256.0
19000.0,76.101767,1.0722758281686242E-6,19000.0,79.10000000000001,52.885482416591536,51.62037037037038,41.782729805013936,2147.0,54256.0
20000.0,76.209399,1.0737865580245855E-6,20000.0,79.2,57.75654773510106,58.48303393213573,55.3648068669528,3147.0,54256.0
21000.0,76.32844,1.0754574253575673E-6,21000.0,85.7,70.91722595078299,71.45708582834331,68.22222222222221,4147.0,54256.0
22000.0,76.45016,1.0771658953113692E-6,22000.0,87.9,75.79709565147819,75.05154639175258,76.2278978388998,5147.0,54256.0
23000.0,76.559373,1.0786988161876801E-6,23000.0,88.6,77.15723835019156,77.2,77.33598409542743,6147.0,54256.0
24000.0,76.668316,1.0802279473261705E-6,24000.0,86.3,71.27449006977993,71.98364008179959,65.4911838790932,7147.0,54256.0
25000.0,76.78257,1.0818316240111992E-6,25000.0,88.2,73.81908544296776,72.4941724941725,65.39589442815249,8147.0,54256.0
26000.0,76.906234,1.0835673800773095E-6,26000.0,88.3,74.40317838140577,74.39824945295405,66.66666666666666,9147.0,54256.0
27000.0,77.02783,1.085274109558927E-6,27000.0,88.7,76.23953908911224,76.55601659751038,70.95115681233933,10147.0,54256.0
28000.0,77.149449,1.0869811618700626E-6,28000.0,87.7,74.85690923957482,75.15151515151514,71.26168224299066,11147.0,54256.0
29000.0,77.281441,1.0888338102938403E-6,29000.0,88.4,76.7274828365186,76.89243027888446,75.88357588357589,12147.0,54256.0
30000.0,77.407623,1.0906049091741446E-6,30000.0,88.5,76.71159640994071,77.31755424063117,75.32188841201717,13147.0,54256.0
31000.0,77.53322,1.0923677969558375E-6,31000.0,86.0,71.7413770830642,72.0,69.29824561403508,14147.0,54256.0
32000.0,77.714509,1.0949123813253314E-6,32000.0,81.5,62.921096092484795,62.77665995975854,60.80508474576269,15147.0,54256.0
33000.0,77.845519,1.0967512463322948E-6,33000.0,89.5,78.99563109126699,78.61507128309573,79.0,16147.0,54256.0
34000.0,77.975013,1.0985688326631988E-6,34000.0,88.0,74.23654288756826,74.46808510638297,68.75,17147.0,54256.0
35000.0,78.097032,1.1002814994007353E-6,35000.0,90.10000000000001,80.17287649504523,79.95951417004049,79.41787941787942,18147.0,54256.0
36000.0,78.224605,1.1020721224488488E-6,36000.0,90.0,79.99359795134443,79.46611909650925,79.33884297520662,19147.0,54256.0
37000.0,78.357561,1.1039383016402528E-6,37000.0,89.9,79.7195270834672,79.75951903807615,78.46481876332622,20147.0,54256.0
38000.0,78.495926,1.1058804019126632E-6,38000.0,85.39999999999999,69.93298763133724,68.73661670235546,64.47688564476886,21147.0,54256.0
39000.0,78.634932,1.1078314993033812E-6,39000.0,85.8,70.36789716408255,68.99563318777292,64.0506329113924,22147.0,54256.0
40000.0,78.768509,1.1097063948917726E-6,40000.0,89.3,78.32955281918342,79.69639468690703,75.40229885057472,23147.0,54256.0
41000.0,78.910687,1.11170201468385E-6,41000.0,88.5,76.47896196545885,76.72064777327935,72.74881516587678,24147.0,54256.0
42000.0,79.051878,1.113683780878783E-6,42000.0,89.9,79.38910111992686,79.08902691511388,77.25225225225225,25147.0,54256.0
