learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,414.662521,4.895962117250181E-6,1000.0,90.5,80.99315753671323,76.65847665847667,80.65173116089613,839.0,45640.0
2000.0,415.068099,4.900750817513715E-6,2000.0,91.7,83.34684312324941,83.91472868217055,83.36673346693388,1839.0,45640.0
3000.0,415.343137,4.9039982188596496E-6,3000.0,89.1,77.8750284173947,79.07869481765836,75.7238307349666,2839.0,45640.0
4000.0,415.636178,4.907458183438414E-6,4000.0,88.7,76.9095590338796,77.57936507936508,74.37641723356009,3839.0,45640.0
5000.0,415.953625,4.911206312115408E-6,5000.0,94.39999999999999,88.60143703311688,89.18918918918918,87.12643678160919,4839.0,45640.0
6000.0,416.237917,4.914562976370669E-6,6000.0,93.30000000000001,86.19638221599573,86.32653061224491,83.81642512077296,5839.0,45640.0
7000.0,416.526165,4.917966349516064E-6,7000.0,91.10000000000001,79.46602434545069,79.58715596330276,72.36024844720498,6839.0,45640.0
8000.0,416.868303,4.92200600731497E-6,8000.0,90.3,77.44899287667157,77.33644859813084,71.13095238095238,7839.0,45640.0
9000.0,417.169005,4.9255564260917405E-6,9000.0,91.7,82.33681773298377,82.85123966942149,79.30174563591024,8839.0,45640.0
10000.0,417.450726,4.9288827342912554E-6,10000.0,94.5,88.8636915850004,88.63636363636363,87.75055679287304,9839.0,45640.0
11000.0,417.737493,4.932268621120602E-6,11000.0,92.60000000000001,85.005369698689,84.98985801217039,83.37078651685394,10839.0,45640.0
12000.0,418.044146,4.935889303953283E-6,12000.0,91.9,82.30219977102105,82.50539956803456,76.92307692307693,11839.0,45640.0
13000.0,418.321544,4.93916457005673E-6,13000.0,93.7,84.25425135213493,84.40594059405943,77.00729927007302,12839.0,45640.0
14000.0,418.590342,4.942338295094669E-6,14000.0,93.4,84.72017076366735,85.62091503267975,79.93920972644378,13839.0,45640.0
15000.0,419.083918,4.948165996600357E-6,15000.0,83.6,66.92548149642028,68.46153846153845,65.4736842105263,95.0,45640.0
16000.0,419.370662,4.9515516118663886E-6,16000.0,83.7,65.5548417635921,65.97077244258872,63.45291479820626,1095.0,45640.0
