learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,257.352578,3.6510989115263023E-6,1000.0,91.2,82.39323900377747,78.37837837837839,82.07739307535643,826815.0,54840.0
2000.0,257.68316,3.6557889270285763E-6,2000.0,91.5,82.96565876807645,83.52713178294574,82.96593186372746,827815.0,54840.0
3000.0,257.990161,3.660144395412256E-6,3000.0,89.1,77.96626615133336,79.07869481765836,75.7238307349666,828815.0,54840.0
4000.0,258.319668,3.6648191597312687E-6,4000.0,89.3,78.23008561476611,78.76984126984128,75.73696145124717,829815.0,54840.0
5000.0,258.629847,3.6692197148688137E-6,5000.0,94.19999999999999,88.19434549858535,88.8030888030888,86.66666666666666,830815.0,54840.0
6000.0,258.921967,3.673364064314713E-6,6000.0,91.4,82.36317101981888,82.44897959183675,79.22705314009663,831815.0,54840.0
7000.0,259.221865,3.677618761391689E-6,7000.0,90.0,77.20891222696277,77.06422018348624,68.94409937888199,832815.0,54840.0
8000.0,259.539826,3.6821297209089E-6,8000.0,88.3,73.08661967943173,72.66355140186917,65.17857142857143,833815.0,54840.0
9000.0,259.848847,3.686513847329964E-6,9000.0,91.10000000000001,80.94756942363188,81.6115702479339,77.80548628428929,834815.0,54840.0
10000.0,260.118007,3.6903324598756925E-6,10000.0,94.8,89.48198790428607,89.25619834710743,88.4187082405345,835815.0,54840.0
11000.0,260.404774,3.6944008655225234E-6,11000.0,91.3,82.40647118301315,82.3529411764706,80.4494382022472,836815.0,54840.0
12000.0,260.705947,3.698673651212205E-6,12000.0,92.7,84.13278037159725,84.23326133909288,79.20227920227921,837815.0,54840.0
13000.0,261.00436,3.70290728037556E-6,13000.0,94.69999999999999,86.69344715038915,86.88118811881186,80.65693430656933,838815.0,54840.0
14000.0,261.293901,3.707015041168779E-6,14000.0,93.0,83.87074475683997,84.74945533769063,78.72340425531917,839815.0,54840.0
15000.0,261.617322,3.7116034625098107E-6,15000.0,88.1,76.03705195328232,77.11538461538461,74.94736842105263,840815.0,54840.0
16000.0,261.947491,3.716287618720283E-6,16000.0,89.8,78.81998230845582,78.70563674321504,77.13004484304933,841815.0,54840.0
17000.0,262.32162,3.7215954419225455E-6,17000.0,88.5,75.52462435619121,76.48261758691207,70.51282051282051,842815.0,54840.0
18000.0,262.682159,3.7267104617940883E-6,18000.0,91.4,81.84420640181727,83.23586744639377,78.11704834605598,843815.0,54840.0
19000.0,263.063055,3.732114289421588E-6,19000.0,92.9,84.52579179997734,83.56481481481482,80.22284122562675,844815.0,54840.0
20000.0,263.425841,3.737261187812934E-6,20000.0,91.8,83.43782316442608,83.63273453093814,82.40343347639487,845815.0,54840.0
21000.0,263.791959,3.742455357778817E-6,21000.0,93.2,86.25151637687021,86.42714570858284,84.8888888888889,846815.0,54840.0
22000.0,264.158973,3.7476622394286093E-6,22000.0,92.2,84.401247900168,83.91752577319589,84.67583497053046,847815.0,54840.0
23000.0,264.49996,3.7524998721977073E-6,23000.0,92.4,84.8043763396142,84.80000000000001,84.8906560636183,848815.0,54840.0
24000.0,264.832051,3.7572112961051364E-6,24000.0,93.30000000000001,86.08399451667846,86.29856850715747,83.12342569269524,849815.0,54840.0
25000.0,265.180195,3.7621504662868878E-6,25000.0,92.4,83.0660291175173,82.28438228438229,77.71260997067449,850815.0,54840.0
26000.0,265.520958,3.7669849211350085E-6,26000.0,90.4,78.53568665679904,78.99343544857769,72.64957264957266,851815.0,54840.0
27000.0,265.860711,3.771805046964437E-6,27000.0,92.4,83.72319145381884,84.23236514522823,80.46272493573265,852815.0,54840.0
28000.0,266.211611,3.7767833169239266E-6,28000.0,92.2,83.98488830486204,84.24242424242425,81.77570093457945,853815.0,54840.0
29000.0,266.564684,3.781792415554325E-6,29000.0,93.2,86.33665674064966,86.45418326693229,85.86278586278587,854815.0,54840.0
30000.0,266.902977,3.7865918281488126E-6,30000.0,92.2,84.37581375970002,84.61538461538463,83.2618025751073,855815.0,54840.0
31000.0,267.257572,3.79162251961728E-6,31000.0,91.2,82.30031537619875,82.4,80.70175438596492,856815.0,54840.0
32000.0,267.66344,3.7973806286851568E-6,32000.0,90.0,79.86923052146746,79.87927565392354,78.8135593220339,857815.0,54840.0
33000.0,268.05229,3.8028973008816444E-6,33000.0,93.4,86.80754608364016,86.55804480651732,86.80000000000001,858815.0,54840.0
34000.0,268.439913,3.808396565448493E-6,34000.0,91.60000000000001,82.15560314061385,82.1276595744681,78.12500000000001,859815.0,54840.0
35000.0,268.794137,3.8134219934853417E-6,35000.0,93.10000000000001,86.17057097503489,86.03238866396762,85.65488565488566,860815.0,54840.0
36000.0,269.159641,3.818607452542832E-6,36000.0,93.89999999999999,87.79511804721888,87.47433264887063,87.39669421487602,861815.0,54840.0
37000.0,269.538094,3.823976620969674E-6,37000.0,91.7,83.3504509420034,83.36673346693388,82.30277185501068,862815.0,54840.0
38000.0,269.91009,3.829254182986916E-6,38000.0,90.7,80.88276406452994,80.08565310492506,77.37226277372264,863815.0,54840.0
39000.0,270.311665,3.834951386631778E-6,39000.0,89.7,78.40218075068148,77.51091703056768,73.9240506329114,864815.0,54840.0
40000.0,270.709785,3.840599573682995E-6,40000.0,94.1,88.01933151931121,88.80455407969639,86.43678160919539,865815.0,54840.0
41000.0,271.108045,3.846249746934822E-6,41000.0,89.7,78.9869678398603,79.14979757085021,75.59241706161139,866815.0,54840.0
42000.0,271.508607,3.85193257899955E-6,42000.0,92.80000000000001,85.33724340175954,85.09316770186336,83.78378378378379,867815.0,54840.0
43000.0,271.915094,3.8576994699115565E-6,43000.0,88.8,77.59390554230751,76.90721649484537,78.21011673151752,868815.0,54840.0
44000.0,272.431801,3.865030068190148E-6,44000.0,86.9,73.43639740771683,73.04526748971193,70.36199095022624,869815.0,54840.0
45000.0,272.831902,3.870706359980008E-6,45000.0,92.2,83.54569234663742,84.4,79.58115183246073,870815.0,54840.0
46000.0,273.208223,3.876045281408976E-6,46000.0,95.6,91.02421829101115,91.1111111111111,89.81481481481481,871815.0,54840.0
47000.0,273.573485,3.8812273071768396E-6,47000.0,94.8,89.42831584939415,90.03831417624521,87.90697674418604,872815.0,54840.0
48000.0,273.929894,3.886283734130364E-6,48000.0,93.60000000000001,86.98080889861713,86.9918699186992,85.42141230068339,873815.0,54840.0
49000.0,274.298307,3.891510463599117E-6,49000.0,92.0,83.85280214434788,82.72138228941685,82.10290827740494,874815.0,54840.0
50000.0,274.701192,3.897226252406837E-6,50000.0,93.0,85.73960519078372,85.53719008264464,83.21342925659474,875815.0,54840.0
51000.0,275.121711,3.903192217368634E-6,51000.0,92.5,84.34329517272478,83.87096774193549,84.30962343096236,876815.0,54840.0
52000.0,275.548602,3.9092485828325165E-6,52000.0,91.10000000000001,82.01874898981735,81.02345415778252,79.95495495495496,877815.0,54840.0
53000.0,275.966144,3.91517231265704E-6,53000.0,95.39999999999999,90.15516318887104,89.91228070175438,87.53387533875338,878815.0,54840.0
54000.0,276.364237,3.920820116655282E-6,54000.0,93.4,86.04060913705584,85.83690987124464,83.50000000000001,879815.0,54840.0
55000.0,276.782183,3.926749578087282E-6,55000.0,92.10000000000001,84.10782538724604,84.1046277665996,83.2271762208068,880815.0,54840.0
56000.0,277.214009,3.932875957122695E-6,56000.0,93.8,87.17603987837921,86.60907127429805,84.98789346246973,881815.0,54840.0
57000.0,277.649459,3.939053750379634E-6,57000.0,92.9,82.09385844564605,83.09523809523812,74.27536231884059,882815.0,54840.0
58000.0,278.047678,3.944703341958425E-6,58000.0,93.0,80.54204308547604,80.16997167138811,71.42857142857146,883815.0,54840.0
59000.0,278.462117,3.950583049065125E-6,59000.0,92.10000000000001,78.26421905265012,79.3733681462141,68.27309236947792,884815.0,54840.0
60000.0,278.875147,3.956442766481391E-6,60000.0,91.4,75.64360361380952,76.88172043010753,65.73705179282871,885815.0,54840.0
61000.0,279.294764,3.962395934636396E-6,61000.0,89.3,75.74686069178112,75.51487414187645,67.2782874617737,886815.0,54840.0
62000.0,279.692405,3.968037326044094E-6,62000.0,93.30000000000001,85.74043332056358,86.2704918032787,82.82051282051283,887815.0,54840.0
63000.0,280.099896,3.973818460851909E-6,63000.0,94.6,88.61888001348872,89.13480885311871,86.11825192802056,888815.0,54840.0
64000.0,280.501464,3.9795155651867405E-6,64000.0,93.7,86.11209085778782,86.24454148471617,82.30337078651687,889815.0,54840.0
65000.0,280.916907,3.9854095161892485E-6,65000.0,90.2,78.39125066149234,79.91803278688525,72.77777777777779,890815.0,54840.0
66000.0,281.340014,3.991412197488051E-6,66000.0,88.9,76.52621873334631,78.06324110671937,72.1105527638191,891815.0,54840.0
67000.0,281.766707,3.997465753896784E-6,67000.0,91.9,81.81948771356491,81.79775280898876,76.657060518732,892815.0,54840.0
68000.0,282.166453,4.003137009249381E-6,68000.0,93.89999999999999,85.92485255706201,86.38392857142856,80.81761006289307,893815.0,54840.0
69000.0,282.549399,4.008569920528682E-6,69000.0,94.69999999999999,88.7920825579428,88.77118644067795,86.3049095607235,894815.0,54840.0
70000.0,282.962048,4.014424232641858E-6,70000.0,92.7,83.63448863381609,83.06264501160095,78.84057971014494,895815.0,54840.0
71000.0,283.391254,4.020513441351555E-6,71000.0,91.4,81.26026871903042,81.46551724137932,77.18832891246686,896815.0,54840.0
72000.0,283.881959,4.027475145428133E-6,72000.0,88.0,72.08718103789165,73.21428571428571,64.39169139465875,897815.0,54840.0
73000.0,284.324145,4.033748503308745E-6,73000.0,94.0,83.7370167183468,83.95721925133688,75.60975609756096,898815.0,54840.0
74000.0,284.88423,4.041694511659445E-6,74000.0,86.8,70.86144174054321,70.46979865771812,64.13043478260869,899815.0,54840.0
75000.0,285.353654,4.048354299056034E-6,75000.0,94.3,88.04851046698872,88.34355828220858,85.30927835051546,900815.0,54840.0
76000.0,285.825572,4.0550494691977906E-6,76000.0,91.4,82.05042578059776,80.54298642533936,79.02439024390246,901815.0,54840.0
77000.0,286.262427,4.061247195396573E-6,77000.0,92.5,84.1232207422712,82.14285714285715,80.36649214659687,902815.0,54840.0
78000.0,286.699066,4.0674418571715554E-6,78000.0,92.2,82.05411374930979,82.02764976958527,76.21951219512196,903815.0,54840.0
79000.0,287.204058,4.074606253020466E-6,79000.0,89.7,75.11476201981155,74.12060301507537,65.08474576271188,904815.0,54840.0
80000.0,287.625455,4.080584674297522E-6,80000.0,92.80000000000001,85.04188272836059,85.93750000000001,82.5242718446602,905815.0,54840.0
81000.0,287.968793,4.085455661049734E-6,81000.0,95.7,89.46057765838546,89.95327102803738,84.80565371024734,906815.0,54840.0
82000.0,288.353005,4.090906533257415E-6,82000.0,94.0,83.39826456525587,84.45595854922279,76.56249999999997,907815.0,54840.0
83000.0,288.75511,4.096611256090303E-6,83000.0,90.9,79.92924507494553,80.67940552016985,75.92592592592592,908815.0,54840.0
84000.0,289.190479,4.102787900188317E-6,84000.0,91.60000000000001,81.25962117662809,82.01284796573877,75.65217391304348,909815.0,54840.0
85000.0,289.599544,4.108591365565857E-6,85000.0,94.0,86.61670235546038,86.92810457516339,82.75862068965516,910815.0,54840.0
86000.0,290.010394,4.114420155001184E-6,86000.0,94.19999999999999,87.14766885304023,86.90744920993227,83.88888888888889,911815.0,54840.0
87000.0,290.388589,4.119785663144042E-6,87000.0,93.89999999999999,86.52648319123558,86.16780045351472,83.10249307479222,912815.0,54840.0
88000.0,290.750306,4.12491739547501E-6,88000.0,94.6,87.89080194285354,87.99999999999999,84.52722063037248,913815.0,54840.0
89000.0,291.128578,4.1302839960282045E-6,89000.0,91.3,80.53029217989116,79.76744186046513,73.14814814814815,914815.0,54840.0
90000.0,291.530435,4.135985200448582E-6,90000.0,95.1,89.57553271155285,90.25844930417493,87.20626631853786,915815.0,54840.0
91000.0,291.91927,4.1415016598378615E-6,91000.0,96.0,91.61274359737813,91.90283400809716,90.07444168734492,916815.0,54840.0
92000.0,292.332673,4.1473666690600415E-6,92000.0,89.60000000000001,77.4038795800598,76.8888888888889,71.2707182320442,917815.0,54840.0
93000.0,292.788303,4.153830758947879E-6,93000.0,91.9,82.00271958903988,82.42950108459871,77.11864406779661,918815.0,54840.0
94000.0,293.172696,4.159284199029207E-6,94000.0,94.69999999999999,87.06458919087784,86.26943005181346,81.84931506849313,919815.0,54840.0
95000.0,293.551168,4.164653637011845E-6,95000.0,95.7,87.65588039409317,85.8085808580858,81.54506437768238,920815.0,54840.0
96000.0,293.970445,4.170601981536795E-6,96000.0,91.7,75.25136266593513,76.42045454545455,64.0692640692641,921815.0,54840.0
97000.0,294.369393,4.17626191554591E-6,97000.0,92.80000000000001,83.728298748435,84.68085106382979,79.4871794871795,922815.0,54840.0
98000.0,294.772666,4.181983208966752E-6,98000.0,92.30000000000001,83.88042203985933,84.22131147540985,81.0810810810811,923815.0,54840.0
99000.0,295.167369,4.187582918535918E-6,99000.0,93.4,84.77410305625278,85.80645161290323,80.12048192771086,924815.0,54840.0
100000.0,295.566209,4.193241320333134E-6,100000.0,90.10000000000001,79.14595305101027,80.92485549132948,74.74489795918367,925815.0,54840.0
101000.0,296.032906,4.199862419379255E-6,101000.0,90.2,79.3505973577193,78.87931034482759,74.14248021108179,926815.0,54840.0
102000.0,296.567197,4.207442484454563E-6,102000.0,90.0,77.55945622074314,77.57847533632287,69.6048632218845,927815.0,54840.0
103000.0,297.02529,4.213941517286003E-6,103000.0,91.2,82.29718203324911,81.70478170478171,81.58995815899583,928815.0,54840.0
104000.0,297.468961,4.220235943080237E-6,104000.0,90.7,81.14186991540203,81.25000000000001,79.56043956043956,929815.0,54840.0
105000.0,297.927721,4.226744438738873E-6,105000.0,91.5,83.0,83.03393213572855,82.79352226720648,930815.0,54840.0
106000.0,298.439813,4.2340095633330446E-6,106000.0,89.9,78.88001338296182,79.5959595959596,73.90180878552972,931815.0,54840.0
107000.0,298.876865,4.2402100843998294E-6,107000.0,88.7,76.33309596615423,77.1255060728745,70.64935064935065,932815.0,54840.0
108000.0,299.319152,4.2464848751823105E-6,108000.0,92.5,84.92910651705624,83.90557939914164,84.9397590361446,933815.0,54840.0
109000.0,299.758279,4.2527148345795766E-6,109000.0,90.0,78.55255481966988,79.07949790794979,74.09326424870467,934815.0,54840.0
110000.0,300.172771,4.258595293605079E-6,110000.0,90.5,78.92167739072555,79.02869757174393,73.23943661971832,935815.0,54840.0
111000.0,300.583843,4.264427232587089E-6,111000.0,93.10000000000001,85.9558566113314,86.20000000000002,84.56375838926175,936815.0,54840.0
112000.0,300.997472,4.27029544810454E-6,112000.0,89.4,78.7087884497186,79.84790874524715,78.05383022774328,937815.0,54840.0
113000.0,301.402199,4.2760373696374395E-6,113000.0,94.6,89.19156942415083,88.95705521472391,89.09090909090908,938815.0,54840.0
114000.0,301.7952,4.281612932682037E-6,114000.0,94.69999999999999,89.30761781794705,89.02691511387162,88.35164835164834,939815.0,54840.0
115000.0,302.190411,4.287219849321992E-6,115000.0,92.60000000000001,85.19407763105244,84.12017167381975,84.928716904277,940815.0,54840.0
116000.0,302.606314,4.293120326412221E-6,116000.0,93.60000000000001,87.14399926077996,87.80952380952381,86.29550321199144,941815.0,54840.0
117000.0,303.035619,4.299210939649493E-6,117000.0,90.10000000000001,79.84347132072091,79.50310559006212,77.18894009216591,942815.0,54840.0
118000.0,303.446724,4.305043346807361E-6,118000.0,90.9,81.786740747264,81.94444444444446,81.76352705410822,943815.0,54840.0
119000.0,303.872136,4.311078729480505E-6,119000.0,91.2,81.68376182229919,82.22222222222223,78.32512315270937,944815.0,54840.0
120000.0,304.276471,4.316815089651694E-6,120000.0,91.5,82.98475433988854,82.25469728601253,82.75862068965519,945815.0,54840.0
121000.0,304.701856,4.322850089271864E-6,121000.0,90.0,79.97981965821549,79.16666666666667,79.63340122199594,946815.0,54840.0
122000.0,305.144743,4.329133392342677E-6,122000.0,90.8,81.50768637036084,82.30769230769232,81.03092783505154,947815.0,54840.0
123000.0,305.587403,4.335413474931072E-6,123000.0,92.7,85.38784268511402,84.1648590021692,85.4,948815.0,54840.0
124000.0,306.014621,4.341474479592096E-6,124000.0,93.89999999999999,87.78240666559844,87.87276341948309,87.42268041237112,949815.0,54840.0
125000.0,306.430766,4.347378389971953E-6,125000.0,92.7,85.19918250827224,86.43122676579925,83.10185185185186,950815.0,54840.0
126000.0,306.824051,4.352957982166361E-6,126000.0,95.39999999999999,90.632394807903,90.39665970772441,89.4736842105263,951815.0,54840.0
127000.0,307.225821,4.358657952304931E-6,127000.0,91.9,83.27993922980383,83.70221327967808,80.66825775656325,952815.0,54840.0
128000.0,307.634711,4.364458934931707E-6,128000.0,91.2,82.25634738845696,82.64299802761343,80.61674008810573,953815.0,54840.0
129000.0,308.064594,4.3705577483400725E-6,129000.0,90.4,80.76052058824709,79.83193277310924,80.40816326530613,954815.0,54840.0
130000.0,308.508708,4.376858459040525E-6,130000.0,90.60000000000001,80.90835604697358,80.45738045738047,78.78103837471784,955815.0,54840.0
131000.0,308.922927,4.382735044974837E-6,131000.0,92.5,84.38033671828794,83.76623376623378,80.5699481865285,956815.0,54840.0
132000.0,309.307949,4.388197408771766E-6,132000.0,93.60000000000001,86.07727114514446,86.77685950413225,82.22222222222224,957815.0,54840.0
133000.0,309.694536,4.393681975454095E-6,133000.0,91.8,81.71104340727723,81.77777777777779,76.50429799426935,958815.0,54840.0
134000.0,310.104271,4.399494946220272E-6,134000.0,90.2,79.98202467521857,79.91803278688525,77.82805429864254,959815.0,54840.0
135000.0,310.511645,4.405274421131862E-6,135000.0,92.5,84.82150084999596,85.17786561264823,83.37028824833703,960815.0,54840.0
136000.0,310.909031,4.4109121948170196E-6,136000.0,92.5,84.61134410676034,84.00852878464819,82.2695035460993,961815.0,54840.0
137000.0,311.316048,4.416686604917053E-6,137000.0,90.7,81.3933015885719,81.83593750000001,80.82474226804123,962815.0,54840.0
138000.0,311.731787,4.422584755315138E-6,138000.0,91.60000000000001,83.19657210070855,83.52941176470588,82.60869565217392,963815.0,54840.0
139000.0,312.210681,4.429378894995902E-6,139000.0,91.4,82.76691247194614,83.23586744639377,81.93277310924371,964815.0,54840.0
140000.0,312.631304,4.43534633542101E-6,140000.0,88.2,76.4,75.0,77.3076923076923,965815.0,54840.0
141000.0,313.087834,4.441823193741345E-6,141000.0,91.0,81.94801026957639,80.72805139186296,82.0,966815.0,54840.0
142000.0,313.608985,4.449216839702183E-6,142000.0,85.9,71.62521130161797,71.22448979591837,69.6774193548387,967815.0,54840.0
143000.0,314.12237,4.45650030827771E-6,143000.0,91.8,83.60000000000001,84.29118773946361,82.73684210526316,968815.0,54840.0
144000.0,314.548524,4.462546217814092E-6,144000.0,91.0,81.97115384615385,81.78137651821864,81.40495867768595,969815.0,54840.0
145000.0,314.952309,4.46827477505431E-6,145000.0,90.7,80.93183849882311,81.13590263691684,77.75119617224881,970815.0,54840.0
146000.0,315.340664,4.473784424612924E-6,146000.0,93.4,86.73206818912834,87.47628083491462,85.65217391304348,971815.0,54840.0
147000.0,315.733274,4.4793544404829584E-6,147000.0,90.9,81.65781135361321,80.88235294117648,79.73273942093542,972815.0,54840.0
148000.0,316.12943,4.484974763977035E-6,148000.0,93.2,86.40462242837437,85.43897216274091,86.20689655172414,973815.0,54840.0
149000.0,316.531156,4.490674109881127E-6,149000.0,92.7,85.35489307065764,83.81374722838139,84.82328482328482,974815.0,54840.0
150000.0,316.901271,4.495924985874448E-6,150000.0,93.0,85.2619788530451,84.01826484018265,81.72323759791124,975815.0,54840.0
151000.0,317.286796,4.501394485806429E-6,151000.0,90.7,81.00490196078432,80.2547770700637,78.62068965517243,976815.0,54840.0
152000.0,317.667449,4.506794865957154E-6,152000.0,91.10000000000001,82.17690126403821,83.96396396396398,82.48031496062993,977815.0,54840.0
153000.0,318.067002,4.512463383190337E-6,153000.0,89.60000000000001,79.21870316714956,79.40594059405942,78.10526315789474,978815.0,54840.0
154000.0,318.452402,4.5179311097289155E-6,154000.0,92.9,85.62299025603228,86.31984585741812,84.73118279569893,979815.0,54840.0
155000.0,318.818286,4.523121959902349E-6,155000.0,93.8,87.57221146483536,88.00773694390715,86.43326039387307,980815.0,54840.0
156000.0,319.200624,4.52854624539614E-6,156000.0,91.5,82.91278686415465,83.23471400394477,82.25469728601253,981815.0,54840.0
157000.0,319.613265,4.5344004440121385E-6,157000.0,90.4,79.87058463370755,79.78947368421053,76.1786600496278,982815.0,54840.0
158000.0,320.025635,4.54025079791124E-6,158000.0,91.60000000000001,81.72920065252856,82.85714285714286,77.60000000000001,983815.0,54840.0
159000.0,320.465649,4.54649334130809E-6,159000.0,87.9,73.3179268249656,73.80952380952381,65.22988505747126,984815.0,54840.0
160000.0,320.899869,4.552653684373948E-6,160000.0,87.8,75.09350144539353,76.1252446183953,72.14611872146118,985815.0,54840.0
161000.0,321.368779,4.559306179576867E-6,161000.0,88.2,76.22051242780508,75.7700205338809,74.51403887688984,986815.0,54840.0
162000.0,321.80295,4.565465827472511E-6,162000.0,92.2,84.41197160580674,84.64566929133859,84.21052631578948,987815.0,54840.0
163000.0,322.234781,4.57159227744366E-6,163000.0,90.10000000000001,80.1762114537445,80.73929961089495,79.58762886597938,988815.0,54840.0
164000.0,322.662785,4.577664433202399E-6,164000.0,92.7,84.8945098785767,85.28225806451614,82.74231678486998,989815.0,54840.0
165000.0,323.094071,4.583783151178314E-6,165000.0,93.30000000000001,85.76249288124646,85.27472527472528,82.64248704663214,990815.0,54840.0
166000.0,323.525981,4.589910721934094E-6,166000.0,89.4,77.13654658320787,76.90631808278867,71.42857142857143,991815.0,54840.0
