learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,266.718079,3.9826891074267525E-6,1000.0,88.5,76.99723966876026,71.74447174447175,76.57841140529533,826815.0,57720.0
2000.0,267.06919,3.987931968954702E-6,2000.0,90.7,81.36242665213071,81.97674418604652,81.3627254509018,827815.0,57720.0
3000.0,267.382647,3.992612573225051E-6,3000.0,88.7,77.10103106153946,78.3109404990403,74.83296213808464,828815.0,57720.0
4000.0,267.721154,3.997667229237656E-6,4000.0,88.7,76.97617747495904,77.57936507936508,74.37641723356009,829815.0,57720.0
5000.0,268.047671,4.002542848108957E-6,5000.0,94.0,87.81305222107122,88.4169884169884,86.20689655172413,830815.0,57720.0
6000.0,268.378725,4.007486214395612E-6,6000.0,90.60000000000001,80.76324880077274,80.81632653061224,77.29468599033818,831815.0,57720.0
7000.0,268.72577,4.012668361576894E-6,7000.0,89.2,75.70106915295727,75.22935779816514,66.45962732919256,832815.0,57720.0
8000.0,269.083447,4.0180092679647106E-6,8000.0,88.7,74.0067352459469,73.5981308411215,66.36904761904762,833815.0,57720.0
9000.0,269.43122,4.023202285791437E-6,9000.0,89.8,78.37544468141942,78.92561983471074,74.5635910224439,834815.0,57720.0
10000.0,269.750246,4.027966047512988E-6,10000.0,93.89999999999999,87.66410781165315,87.39669421487602,86.4142538975501,835815.0,57720.0
11000.0,270.088468,4.033016447847088E-6,11000.0,90.9,81.63841807909606,81.54158215010142,79.55056179775282,836815.0,57720.0
12000.0,270.429334,4.038106328931948E-6,12000.0,91.0,80.45033734029012,80.56155507559396,74.35897435897436,837815.0,57720.0
13000.0,270.756095,4.042985591261338E-6,13000.0,94.1,85.45120976889615,85.39603960396039,78.46715328467153,838815.0,57720.0
14000.0,271.068599,4.047651965140055E-6,14000.0,92.2,81.91337899818672,83.00653594771242,76.29179331306992,839815.0,57720.0
15000.0,271.434411,4.053114345017821E-6,15000.0,86.0,71.81680926019123,73.07692307692307,70.52631578947368,840815.0,57720.0
16000.0,271.78235,4.0583098415906236E-6,16000.0,90.3,79.91252630009443,79.74947807933195,78.25112107623319,841815.0,57720.0
17000.0,272.114741,4.063273172235738E-6,17000.0,88.5,75.6840191144754,76.48261758691207,70.51282051282051,842815.0,57720.0
18000.0,272.440357,4.0681353371900825E-6,18000.0,91.0,81.01690339291214,82.45614035087719,77.09923664122138,843815.0,57720.0
19000.0,272.784346,4.07327185155203E-6,19000.0,91.0,80.49271077626007,79.16666666666667,74.93036211699166,844815.0,57720.0
20000.0,273.109722,4.078130432777107E-6,20000.0,92.0,83.81064935485438,84.03193612774452,82.83261802575109,845815.0,57720.0
21000.0,273.424862,4.082836167948942E-6,21000.0,93.5,86.87664041994752,87.02594810379243,85.55555555555556,846815.0,57720.0
22000.0,273.729131,4.087379575117181E-6,22000.0,91.8,83.60262358022717,83.09278350515464,83.88998035363458,847815.0,57720.0
23000.0,274.031374,4.091892729637524E-6,23000.0,92.0,84.01611175934659,84.00000000000001,84.09542743538768,848815.0,57720.0
24000.0,274.317887,4.096171000568818E-6,24000.0,92.10000000000001,83.68927869448162,83.84458077709613,80.1007556675063,849815.0,57720.0
25000.0,274.604388,4.100449092313648E-6,25000.0,93.10000000000001,84.70161497734067,83.91608391608393,79.76539589442817,850815.0,57720.0
26000.0,274.895545,4.10479670840626E-6,26000.0,90.3,78.2396066079809,78.7746170678337,72.36467236467237,851815.0,57720.0
27000.0,275.183418,4.1090952871367345E-6,27000.0,92.4,83.76949262579711,84.23236514522823,80.46272493573265,852815.0,57720.0
28000.0,275.483333,4.113573679483186E-6,28000.0,92.10000000000001,83.84167293909744,84.04040404040404,81.54205607476636,853815.0,57720.0
29000.0,275.779893,4.118001974280924E-6,29000.0,92.9,85.7240519564081,85.8565737051793,85.23908523908524,854815.0,57720.0
30000.0,276.080989,4.122498001561811E-6,30000.0,92.2,84.37042885138683,84.61538461538463,83.2618025751073,855815.0,57720.0
31000.0,276.3941,4.127173439289134E-6,31000.0,90.0,79.90095189091845,80.0,78.0701754385965,856815.0,57720.0
32000.0,276.724333,4.132104546235254E-6,32000.0,90.5,80.89084852678499,80.88531187122737,79.87288135593221,857815.0,57720.0
33000.0,277.037971,4.136787853234758E-6,33000.0,94.19999999999999,88.39939676863196,88.18737270875762,88.39999999999999,858815.0,57720.0
34000.0,277.354269,4.1415108799003065E-6,34000.0,92.0,83.00533632439415,82.97872340425533,79.16666666666667,859815.0,57720.0
35000.0,277.650098,4.145928259255986E-6,35000.0,92.2,84.37506259990947,84.21052631578948,83.78378378378379,860815.0,57720.0
36000.0,277.944125,4.150318730777751E-6,36000.0,93.89999999999999,87.7970712971113,87.47433264887063,87.39669421487602,861815.0,57720.0
37000.0,278.249991,4.154885984677822E-6,37000.0,91.5,82.94077035467143,82.96593186372746,81.87633262260128,862815.0,57720.0
38000.0,278.552649,4.159405336063356E-6,38000.0,89.4,78.29781135474889,77.30192719486082,74.20924574209246,863815.0,57720.0
39000.0,278.864117,4.164056240177404E-6,39000.0,90.3,79.58840116156728,78.82096069868996,75.44303797468355,864815.0,57720.0
40000.0,279.176325,4.168718194123359E-6,40000.0,91.7,83.16361718528135,84.25047438330172,80.91954022988507,865815.0,57720.0
41000.0,279.51565,4.173785064679882E-6,41000.0,89.4,78.35427115155278,78.5425101214575,74.88151658767774,866815.0,57720.0
42000.0,279.863882,4.178984936388831E-6,42000.0,92.10000000000001,83.88596977905422,83.64389233954452,82.2072072072072,867815.0,57720.0
43000.0,280.205312,4.184083239237468E-6,43000.0,88.5,76.99466276176074,76.28865979381445,77.62645914396887,868815.0,57720.0
44000.0,280.618851,4.190258288476617E-6,44000.0,86.5,72.55963705546613,72.22222222222221,69.45701357466064,869815.0,57720.0
45000.0,280.968138,4.195473913662136E-6,45000.0,92.30000000000001,83.84511451086365,84.60000000000001,79.84293193717279,870815.0,57720.0
46000.0,281.30135,4.200449503647785E-6,46000.0,95.0,89.7832412462811,89.8989898989899,88.42592592592592,871815.0,57720.0
47000.0,281.641782,4.205532904155553E-6,47000.0,94.8,89.446338691346,90.03831417624521,87.90697674418604,872815.0,57720.0
48000.0,281.962108,4.2103160777439684E-6,48000.0,94.0,87.7884470568122,87.80487804878048,86.33257403189066,873815.0,57720.0
49000.0,282.302618,4.215400642963748E-6,49000.0,91.8,83.4632743523452,82.28941684665227,81.65548098434006,874815.0,57720.0
50000.0,282.649555,4.2205811774668605E-6,50000.0,92.9,85.5505446020091,85.3305785123967,82.97362110311752,875815.0,57720.0
51000.0,283.048673,4.226540889373671E-6,51000.0,92.80000000000001,84.92241325152348,84.51612903225806,84.93723849372385,876815.0,57720.0
52000.0,283.451465,4.232555462202679E-6,52000.0,90.8,81.37470847369785,80.38379530916845,79.27927927927928,877815.0,57720.0
53000.0,283.825581,4.238141839113087E-6,53000.0,95.3,89.92419565068258,89.69298245614034,87.26287262872627,878815.0,57720.0
54000.0,284.164005,4.243195255752654E-6,54000.0,94.39999999999999,88.16568047337276,87.98283261802574,85.99999999999999,879815.0,57720.0
55000.0,284.524047,4.248571476805956E-6,55000.0,91.8,83.52162886689094,83.5010060362173,82.59023354564756,880815.0,57720.0
56000.0,284.886358,4.253981579033037E-6,56000.0,93.60000000000001,86.7337166736453,86.17710583153348,84.50363196125909,881815.0,57720.0
57000.0,285.250335,4.259416558314115E-6,57000.0,92.0,80.0271630582408,80.95238095238096,71.0144927536232,882815.0,57720.0
58000.0,285.637539,4.265198367927223E-6,58000.0,93.0,81.0262109343236,80.16997167138811,71.42857142857146,883815.0,57720.0
59000.0,286.017084,4.270865811780095E-6,59000.0,93.0,80.9248712428809,81.72323759791124,71.88755020080323,884815.0,57720.0
60000.0,286.380395,4.276290846212456E-6,60000.0,92.60000000000001,79.44798395831829,80.10752688172043,70.51792828685261,885815.0,57720.0
61000.0,286.76104,4.281974715491136E-6,61000.0,88.0,72.9064595516019,72.5400457665904,63.30275229357798,886815.0,57720.0
62000.0,287.174444,4.2881477488825715E-6,62000.0,93.60000000000001,86.43608002712784,86.88524590163935,83.5897435897436,887815.0,57720.0
63000.0,287.539693,4.293601721928765E-6,63000.0,94.69999999999999,88.84529903017241,89.33601609657946,86.37532133676092,888815.0,57720.0
64000.0,287.922068,4.299311423922578E-6,64000.0,93.7,86.23444273528179,86.24454148471617,82.30337078651687,889815.0,57720.0
65000.0,288.32372,4.3053089740375674E-6,65000.0,89.9,77.79829420557462,79.30327868852459,71.94444444444444,890815.0,57720.0
66000.0,288.723336,4.311276122182608E-6,66000.0,89.8,78.56818678455565,79.84189723320159,74.37185929648243,891815.0,57720.0
67000.0,289.168415,4.317922133176277E-6,67000.0,91.4,80.71048228280227,80.67415730337079,75.21613832853026,892815.0,57720.0
68000.0,289.548397,4.323596102402856E-6,68000.0,93.8,85.80144000879393,86.16071428571426,80.50314465408803,893815.0,57720.0
69000.0,289.928659,4.3292742526469125E-6,69000.0,93.0,85.19001214419005,85.16949152542374,81.9121447028424,894815.0,57720.0
70000.0,290.30662,4.334918043886621E-6,70000.0,93.10000000000001,84.5526999194054,83.99071925754062,80.00000000000001,895815.0,57720.0
71000.0,290.713357,4.340991524265457E-6,71000.0,92.4,83.4393072400734,83.62068965517241,79.84084880636605,896815.0,57720.0
72000.0,291.207085,4.348363972113778E-6,72000.0,87.3,70.52598355024972,71.65178571428571,62.31454005934718,897815.0,57720.0
73000.0,291.60101,4.354246141078571E-6,73000.0,92.80000000000001,80.80163826020181,80.7486631016043,70.73170731707319,898815.0,57720.0
74000.0,292.075517,4.36133157700921E-6,74000.0,86.4,69.97845512662028,69.57494407158836,63.043478260869556,899815.0,57720.0
75000.0,292.491528,4.36754353865981E-6,75000.0,92.7,84.76525978362496,85.0715746421268,81.18556701030928,900815.0,57720.0
76000.0,292.904483,4.3737098674910755E-6,76000.0,91.8,82.923781757601,81.44796380090499,80.00000000000001,901815.0,57720.0
77000.0,293.351139,4.380379426572471E-6,77000.0,91.8,82.52791272479332,80.4761904761905,78.53403141361257,902815.0,57720.0
78000.0,293.790917,4.386946281945953E-6,78000.0,88.5,73.68710073035456,73.50230414746545,64.9390243902439,903815.0,57720.0
79000.0,294.243567,4.393705344665795E-6,79000.0,89.0,73.44983225121287,72.36180904522614,62.71186440677967,904815.0,57720.0
80000.0,294.671812,4.400099986915786E-6,80000.0,93.2,85.86255072849445,86.71875000000001,83.49514563106798,905815.0,57720.0
81000.0,295.051492,4.40576944661637E-6,81000.0,95.0,87.75788025248147,88.31775700934578,82.33215547703179,906815.0,57720.0
82000.0,295.448846,4.411702818113067E-6,82000.0,92.4,79.25129952387194,80.31088082901555,70.31250000000003,907815.0,57720.0
83000.0,295.868611,4.417970835262287E-6,83000.0,88.6,74.7340425531915,75.79617834394905,69.84126984126985,908815.0,57720.0
84000.0,296.303811,4.424469330999999E-6,84000.0,88.5,74.14684591520165,75.37473233404711,66.66666666666666,909815.0,57720.0
85000.0,296.772348,4.431465621665119E-6,85000.0,93.0,84.57443057612299,84.74945533769063,79.88505747126437,910815.0,57720.0
86000.0,297.186982,4.437657021669048E-6,86000.0,92.80000000000001,83.9457723867285,83.74717832957111,80.00000000000001,911815.0,57720.0
87000.0,297.593727,4.4437306215055265E-6,87000.0,93.60000000000001,85.7677203001232,85.48752834467122,82.27146814404433,912815.0,57720.0
88000.0,297.986682,4.449598306231199E-6,88000.0,93.30000000000001,84.92457788818088,85.11111111111113,80.80229226361033,913815.0,57720.0
89000.0,298.386839,4.455573532699295E-6,89000.0,90.7,78.95546705286026,78.37209302325581,71.2962962962963,914815.0,57720.0
90000.0,298.820809,4.462053661824512E-6,90000.0,92.7,84.46967118251753,85.48707753479127,80.93994778067886,915815.0,57720.0
91000.0,299.247453,4.468424397613851E-6,91000.0,95.8,91.22194680499763,91.49797570850203,89.57816377171216,916815.0,57720.0
92000.0,299.686037,4.474973423934229E-6,92000.0,88.3,74.44142498885908,74.0,67.67955801104972,917815.0,57720.0
93000.0,300.149477,4.481893605149039E-6,93000.0,91.0,79.93794136528997,80.4772234273319,74.57627118644069,918815.0,57720.0
94000.0,300.565005,4.488098354544489E-6,94000.0,92.80000000000001,82.48072880168186,81.34715025906736,75.34246575342468,919815.0,57720.0
95000.0,300.957299,4.493956169082471E-6,95000.0,95.1,85.93344510024572,83.82838283828382,78.96995708154503,920815.0,57720.0
96000.0,301.446563,4.501261959566422E-6,96000.0,90.8,73.46179363659967,73.86363636363637,60.17316017316018,921815.0,57720.0
97000.0,301.855766,4.507372262763478E-6,97000.0,93.10000000000001,84.52095727784209,85.31914893617022,80.34188034188035,922815.0,57720.0
