learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,1.499354,1.3896795928478242E-7,1000.0,90.10000000000001,80.19223535625966,76.59574468085107,79.79591836734694,1000.0,358272.0,50.0,5990.479999999999,68.7296507917739,4825.119999999998,880.6231708168892,38.04,7.162715253025095,19.52,3.5813576265125473,19.52,3.5813576265125473,7.9,1.5681784571500106,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,2.82926,2.680105932056904E-7,2000.0,92.80000000000001,85.55510526717038,85.6573705179283,85.62874251497007,2000.0,375072.0,50.0,11987.52,89.48748401826,9900.32,1338.0101802486333,79.27999999999999,10.917202302900183,40.13999999999999,5.458601151450091,40.13999999999999,5.458601151450091,10.120000000000001,1.9550040450921147,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,4.130087,4.029059163853526E-7,3000.0,91.3,82.38595411439817,83.26923076923077,80.70953436807096,3000.0,400848.0,50.0,17774.84,1643.7765174085173,14511.039999999999,2656.844045871272,116.76,21.573377395412567,58.88,10.786688697706284,58.88,10.786688697706284,11.419999999999998,2.0212140219306267,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,5.540809,5.504060444359978E-7,4000.0,89.60000000000001,78.6744532252839,80.34026465028356,76.30979498861048,4000.0,404160.0,50.0,22959.999999999996,3953.622818094197,19192.000000000004,4559.45746862094,154.6,37.0438240191153,77.8,18.52191200955765,77.8,18.52191200955765,12.139999999999999,2.1947060609287865,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,6.889997,6.936196628419888E-7,5000.0,94.89999999999999,89.611511260307,89.96062992125984,88.3295194508009,5000.0,410312.0,50.0,29420.300000000007,2551.5886947834956,23695.84,4976.921363613437,191.15999999999997,40.41385900900829,96.07999999999998,20.206929504504146,96.07999999999998,20.206929504504146,13.02,2.2450853354082794,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,8.193322,8.35404160482188E-7,6000.0,93.0,85.53174954218323,84.84848484848486,83.05084745762713,6000.0,420512.0,50.0,34827.15999999999,5601.101204992768,26921.92,6664.587780139419,217.43999999999997,54.08427286585788,109.21999999999998,27.04213643292894,109.21999999999998,27.04213643292894,13.44,2.081600640009941,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,9.538947,9.820047761810322E-7,7000.0,92.2,81.89986448103663,82.3529411764706,75.77639751552796,7000.0,421128.0,50.0,40927.219999999994,6430.438263192853,30735.68,7425.104238779055,248.39999999999998,60.31109824425827,124.69999999999999,30.155549122129134,124.69999999999999,30.155549122129134,13.779999999999998,1.9824742322745719,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,10.980007,1.1395037119152645E-6,8000.0,90.2,77.23386856972941,76.55502392344499,70.83333333333334,8000.0,422472.0,50.0,47750.37999999999,5869.770359830345,36091.67999999999,7603.2893779533315,291.84,61.8293768101757,146.42,30.91468840508785,146.42,30.91468840508785,14.36,1.870937776427989,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,12.386916,1.2940039150168497E-6,9000.0,92.0,82.9104378773055,83.26359832635984,80.04987531172071,9000.0,424488.0,50.0,54590.18000000001,6054.141408278186,41244.16,8021.862411267481,333.52,65.21150518246965,167.26,32.605752591234825,167.26,32.605752591234825,14.819999999999999,1.826002659988674,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,13.652908,1.433084290747841E-6,10000.0,95.39999999999999,90.68407259942727,90.87301587301586,89.75501113585746,10000.0,424656.0,50.0,61424.96000000001,6845.080882216194,45304.639999999985,8436.116385142723,366.55999999999995,68.60152910772739,183.77999999999997,34.300764553863694,183.77999999999997,34.300764553863694,15.319999999999997,1.671367520252533,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,15.017864,1.5876046306888262E-6,11000.0,92.4,84.59324129822215,84.45807770961146,82.92134831460675,11000.0,437592.0,50.0,68259.68,8170.497475524427,49908.64000000001,9137.15394835385,403.88,74.33532409402183,202.44,37.167662047010914,202.44,37.167662047010914,15.659999999999998,1.7798188396690315,0.0,0.0,0.0,0.0,1.0,0.0
