learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,180.907679,2.530995156284836E-6,1000.0,91.7,91.7,78.98734177215191,82.2269807280514,4313.0,54080.0
2000.0,181.34228,2.537075456645754E-6,2000.0,89.0,89.0,79.16666666666667,79.55390334572489,7028.0,54080.0
3000.0,181.670631,2.5416692626973E-6,3000.0,91.0,91.0,82.85714285714286,80.30634573304158,9014.0,54080.0
4000.0,182.060286,2.5471207444866505E-6,4000.0,85.7,85.7,72.39382239382239,67.72009029345372,11194.0,54080.0
5000.0,182.464181,2.5527714514897937E-6,5000.0,86.7,86.7,73.29317269076306,70.76923076923076,13216.0,54080.0
6000.0,182.915497,2.5590856036378287E-6,6000.0,92.60000000000001,92.60000000000001,84.8360655737705,82.90993071593535,15074.0,54080.0
7000.0,183.268666,2.5640266267789744E-6,7000.0,92.4,92.4,84.76953907815631,82.24299065420561,17389.0,54080.0
8000.0,183.614564,2.5688659247424876E-6,8000.0,90.3,90.3,78.7746170678337,71.80232558139535,19528.0,54080.0
9000.0,183.964684,2.573764290743405E-6,9000.0,87.2,87.2,71.68141592920354,66.2269129287599,21661.0,54080.0
10000.0,184.436181,2.580360785871745E-6,10000.0,88.9,88.9,74.42396313364056,65.63467492260062,23698.0,54080.0
11000.0,184.884444,2.5866322249174124E-6,11000.0,90.4,90.4,81.06508875739645,78.3295711060948,25636.0,54080.0
12000.0,185.20056,2.591054856777192E-6,12000.0,92.0,92.0,83.53909465020577,80.58252427184468,27442.0,54080.0
13000.0,185.511859,2.5954100962314348E-6,13000.0,91.4,91.4,83.20312500000001,80.8888888888889,29217.0,54080.0
14000.0,185.862383,2.6003141144083614E-6,14000.0,90.0,90.0,77.22095671981776,66.88741721854305,31251.0,54080.0
15000.0,186.218981,2.6053031110929126E-6,15000.0,95.3,95.3,87.88659793814432,83.2142857142857,33360.0,54080.0
16000.0,186.538985,2.609780138151514E-6,16000.0,90.3,90.3,78.00453514739229,72.52124645892351,35208.0,54080.0
17000.0,187.105397,2.617704544878669E-6,17000.0,86.7,86.7,73.81889763779527,72.63374485596708,37152.0,54080.0
18000.0,187.744082,2.6266400895184947E-6,18000.0,89.9,89.9,78.32618025751074,73.56020942408378,39035.0,54080.0
19000.0,188.194045,2.6329260000131202E-6,19000.0,79.10000000000001,79.10000000000001,57.947686116700204,46.81933842239187,991.0,54000.0
20000.0,188.460698,2.6366510993904545E-6,20000.0,86.2,86.2,72.17741935483872,64.61538461538461,2862.0,54000.0
21000.0,188.714311,2.640194032072194E-6,21000.0,89.0,89.0,76.19047619047619,70.18970189701898,4686.0,54000.0
22000.0,188.962729,2.6436643914423065E-6,22000.0,91.4,91.4,81.74097664543525,80.8888888888889,6497.0,54000.0
23000.0,189.215132,2.6471904206193164E-6,23000.0,90.9,90.9,80.51391862955033,80.0,8395.0,54000.0
