learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,288.906011,4.035970349796116E-6,1000.0,90.60000000000001,90.60000000000001,76.20253164556962,79.87152034261243,763.0,54000.0
2000.0,289.401791,4.042896316386759E-6,2000.0,90.8,90.8,82.57575757575758,82.8996282527881,3478.0,54000.0
3000.0,289.803261,4.048504787497222E-6,3000.0,89.5,89.5,80.0,77.02407002188184,5464.0,54000.0
4000.0,290.23665,4.054559161886572E-6,4000.0,84.8,84.8,70.65637065637065,65.6884875846501,7644.0,54000.0
5000.0,290.70901,4.0611579548567526E-6,5000.0,85.6,85.6,71.08433734939759,68.35164835164834,9666.0,54000.0
6000.0,291.187866,4.067847495898604E-6,6000.0,92.80000000000001,92.80000000000001,85.24590163934427,83.37182448036953,11524.0,54000.0
7000.0,291.636931,4.074120861478149E-6,7000.0,91.2,91.2,82.36472945891784,79.4392523364486,13839.0,54000.0
8000.0,292.223439,4.082314283587038E-6,8000.0,87.8,87.8,73.30415754923413,64.53488372093022,106.0,54000.0
9000.0,292.604604,4.087639097124338E-6,9000.0,81.2,81.2,58.40707964601771,50.395778364116104,2239.0,54000.0
10000.0,293.056259,4.093948644585908E-6,10000.0,84.2,84.2,63.594470046082954,51.08359133126933,4276.0,54000.0
11000.0,293.47212,4.09975815564394E-6,11000.0,86.5,86.5,73.37278106508876,69.52595936794582,1430.0,54000.0
12000.0,293.783135,4.1041029850021E-6,12000.0,91.0,91.0,81.4814814814815,78.15533980582525,3236.0,54000.0
13000.0,294.15025,4.1092315223068E-6,13000.0,88.4,88.4,77.34375,74.22222222222223,5011.0,54000.0
14000.0,294.53501,4.114614520428909E-6,14000.0,83.89999999999999,83.89999999999999,63.3257403189066,46.688741721854306,1854.0,54080.0
15000.0,295.052477,4.121854160436325E-6,15000.0,92.10000000000001,92.10000000000001,79.63917525773196,71.7857142857143,3963.0,54080.0
16000.0,295.588112,4.129347980477743E-6,16000.0,88.0,88.0,72.78911564625851,66.0056657223796,187.0,54080.0
17000.0,295.944512,4.134334207036428E-6,17000.0,78.3,78.3,57.28346456692914,55.34979423868314,2131.0,54080.0
18000.0,296.334891,4.139795817972884E-6,18000.0,84.8,84.8,67.38197424892704,60.209424083769626,4014.0,54080.0
19000.0,296.739828,4.1454527225138404E-6,19000.0,80.2,80.2,60.160965794768615,49.618320610687036,520.0,54000.0
20000.0,297.089852,4.1503425013066986E-6,20000.0,83.8,83.8,67.33870967741935,58.46153846153845,2391.0,54000.0
21000.0,297.406256,4.1547626141251785E-6,21000.0,89.7,89.7,77.7056277056277,72.08672086720867,4215.0,54000.0
22000.0,297.788224,4.160098645442889E-6,22000.0,90.0,90.0,78.76857749469215,77.77777777777779,6026.0,54000.0
23000.0,298.218527,4.166118814485768E-6,23000.0,86.2,86.2,70.44967880085653,69.67032967032966,1368.0,54080.0
24000.0,298.636993,4.171973377569682E-6,24000.0,86.5,86.5,73.37278106508876,73.1610337972167,103.0,54080.0
25000.0,298.980633,4.176781084905896E-6,25000.0,84.2,84.2,69.78967495219884,67.48971193415638,2044.0,54080.0
26000.0,299.280997,4.180983337863452E-6,26000.0,89.0,89.0,77.27272727272727,81.29251700680271,3946.0,54080.0
27000.0,299.612387,4.185619661149879E-6,27000.0,90.10000000000001,90.10000000000001,78.24175824175825,84.69860896445131,5962.0,54080.0
28000.0,300.146748,4.19309565725012E-6,28000.0,87.1,87.1,70.68181818181817,80.21472392638037,7915.0,54080.0
29000.0,300.542222,4.198628549960752E-6,29000.0,88.9,88.9,76.63157894736841,82.4367088607595,1433.0,54080.0
