learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,186.72121,2.1679243861387175E-6,1000.0,91.60000000000001,91.60000000000001,78.40616966580978,82.01284796573877,689.0,44880.0
2000.0,186.950429,2.170585730609795E-6,2000.0,85.1,85.1,70.66929133858267,72.35621521335808,261.0,44880.0
3000.0,187.100988,2.172333794087172E-6,3000.0,89.5,89.5,80.6985294117647,77.02407002188184,1261.0,44880.0
4000.0,187.252537,2.174093351947765E-6,4000.0,86.7,86.7,74.4721689059501,69.90950226244344,2261.0,44880.0
5000.0,187.430539,2.1761600420499844E-6,5000.0,86.1,86.1,71.63265306122449,69.45054945054945,3261.0,44880.0
6000.0,187.631347,2.1784915209437414E-6,6000.0,92.10000000000001,92.10000000000001,83.40336134453781,81.7551963048499,4261.0,44880.0
7000.0,187.785608,2.180282566448053E-6,7000.0,91.60000000000001,91.60000000000001,83.09859154929579,80.37383177570095,5261.0,44880.0
8000.0,187.946469,2.1821502411738042E-6,8000.0,89.8,89.8,78.343949044586,70.34883720930233,6261.0,44880.0
9000.0,188.132455,2.184309629412989E-6,9000.0,86.3,86.3,70.21739130434781,63.94736842105263,7261.0,44880.0
10000.0,188.37045,2.1870728675276047E-6,10000.0,88.9,88.9,76.1802575107296,65.527950310559,8261.0,44880.0
11000.0,188.594196,2.1896706677973278E-6,11000.0,90.7,90.7,80.94262295081968,78.95927601809956,9261.0,44880.0
12000.0,188.754151,2.191527823420863E-6,12000.0,91.4,91.4,82.44897959183675,79.1767554479419,10261.0,44880.0
13000.0,188.933562,2.193610872700811E-6,13000.0,90.7,90.7,81.4,79.28730512249443,11261.0,44880.0
14000.0,189.097541,2.195514748928448E-6,14000.0,88.9,88.9,73.82075471698114,63.36633663366338,12261.0,44880.0
15000.0,189.248,2.1972616513570155E-6,15000.0,92.7,92.7,82.40963855421688,74.02135231316727,13261.0,44880.0
16000.0,189.39945,2.199020059779287E-6,16000.0,89.8,89.8,78.11158798283262,71.02272727272728,14261.0,44880.0
17000.0,189.629908,2.201695789645116E-6,17000.0,84.7,84.7,70.0,68.5185185185185,15261.0,44880.0
18000.0,189.989402,2.205869690453013E-6,18000.0,89.1,89.1,77.05263157894737,71.39107611548556,16261.0,44880.0
19000.0,190.376206,2.210360673690836E-6,19000.0,86.7,86.7,72.74590163934425,66.15776081424937,17261.0,44880.0
20000.0,190.753717,2.2147437606627746E-6,20000.0,87.3,87.3,74.6,67.68447837150127,18261.0,44880.0
21000.0,191.112433,2.2189086285109324E-6,21000.0,90.2,90.2,79.54070981210857,73.29700272479565,19261.0,44880.0
22000.0,191.46147,2.2229611184448006E-6,22000.0,91.9,91.9,83.80000000000001,82.0,20261.0,44880.0
23000.0,191.748042,2.2262883592396976E-6,23000.0,90.4,90.4,79.61783439490446,78.8546255506608,21261.0,44880.0
24000.0,191.968533,2.2288483673706654E-6,24000.0,92.0,92.0,84.43579766536966,84.09542743538768,22261.0,44880.0
25000.0,192.181025,2.231315503207346E-6,25000.0,90.7,90.7,81.6205533596838,80.94262295081968,23261.0,44880.0
26000.0,192.393369,2.2337809206917887E-6,26000.0,91.60000000000001,91.60000000000001,82.53638253638255,85.68994889267464,24261.0,44880.0
27000.0,192.597616,2.2361523280541107E-6,27000.0,93.30000000000001,93.30000000000001,85.33916849015318,89.61240310077521,25261.0,44880.0
28000.0,192.802889,2.23853564777722E-6,28000.0,90.0,90.0,78.44827586206897,84.68606431852986,26261.0,44880.0
29000.0,193.005214,2.24088473978142E-6,29000.0,92.5,92.5,83.83620689655173,88.15165876777252,27261.0,44880.0
30000.0,193.21241,2.2432903864731397E-6,30000.0,91.8,91.8,83.33333333333334,85.63922942206656,28261.0,44880.0
31000.0,193.416643,2.2456616312886284E-6,31000.0,91.3,91.3,81.00436681222708,84.51957295373666,29261.0,44880.0
32000.0,193.641193,2.2482687663907813E-6,32000.0,93.0,93.0,86.40776699029126,85.32494758909854,30261.0,44880.0
33000.0,193.848624,2.250677141547204E-6,33000.0,92.80000000000001,92.80000000000001,85.62874251497007,84.34782608695653,31261.0,44880.0
34000.0,194.063268,2.253169263154269E-6,34000.0,89.3,89.3,78.60000000000001,75.7918552036199,32261.0,44880.0
35000.0,194.279367,2.255678278021515E-6,35000.0,91.60000000000001,91.60000000000001,83.33333333333334,83.26693227091634,33261.0,44880.0
36000.0,194.482699,2.2580390617872286E-6,36000.0,92.7,92.7,85.19269776876268,85.3413654618474,34261.0,44880.0
37000.0,194.677026,2.2602952931076295E-6,37000.0,92.80000000000001,92.80000000000001,84.9686847599165,81.72588832487311,35261.0,44880.0
38000.0,194.870165,2.2625377311681713E-6,38000.0,93.10000000000001,93.10000000000001,85.19313304721031,85.47368421052633,36261.0,44880.0
39000.0,195.063886,2.2647869265327855E-6,39000.0,93.8,93.8,87.21649484536081,88.1453154875717,37261.0,44880.0
40000.0,195.255202,2.267008198673527E-6,40000.0,92.5,92.5,84.37500000000001,85.65965583173997,38261.0,44880.0
41000.0,195.447738,2.2692436356097466E-6,41000.0,91.60000000000001,91.60000000000001,81.41592920353983,85.0,39261.0,44880.0
42000.0,195.644128,2.2715238193670917E-6,42000.0,91.3,91.3,82.0618556701031,85.99033816425121,40261.0,44880.0
43000.0,195.845946,2.2738670248538263E-6,43000.0,93.30000000000001,93.30000000000001,86.67992047713719,87.5925925925926,41261.0,44880.0
