learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,422.484289,4.905248808550338E-6,1000.0,88.4,88.4,70.17994858611826,75.16059957173448,654.0,44880.0
2000.0,422.707165,4.907836507695416E-6,2000.0,89.3,89.3,78.93700787401575,80.14842300556587,1654.0,44880.0
3000.0,422.914068,4.9102387525141236E-6,3000.0,91.10000000000001,91.10000000000001,83.63970588235293,80.52516411378556,2654.0,44880.0
4000.0,423.203178,4.91359546072781E-6,4000.0,86.4,86.4,73.89635316698656,69.23076923076923,3654.0,44880.0
5000.0,423.558486,4.917720760032534E-6,5000.0,85.6,85.6,70.61224489795917,68.35164835164834,100.0,44880.0
6000.0,423.730824,4.919721688330173E-6,6000.0,90.60000000000001,90.60000000000001,80.25210084033614,78.29099307159353,1100.0,44880.0
7000.0,423.919414,4.921911310280362E-6,7000.0,91.3,91.3,82.49496981891349,79.67289719626169,2100.0,44880.0
8000.0,424.106742,4.924086279794573E-6,8000.0,89.4,89.4,77.49469214437367,69.18604651162791,3100.0,44880.0
9000.0,424.402771,4.927523320975402E-6,9000.0,87.1,87.1,71.95652173913044,66.05263157894737,4100.0,44880.0
10000.0,424.746605,4.931515401539703E-6,10000.0,86.4,86.4,70.81545064377683,57.76397515527949,127.0,44880.0
11000.0,424.921446,4.933545390889048E-6,11000.0,89.2,89.2,77.8688524590164,75.56561085972851,1127.0,44880.0
12000.0,425.091043,4.935514494838814E-6,12000.0,93.8,93.8,87.3469387755102,84.98789346246973,2127.0,44880.0
13000.0,425.309824,4.938054649035136E-6,13000.0,89.9,89.9,79.80000000000001,77.50556792873051,3127.0,44880.0
14000.0,425.506268,4.940335459758838E-6,14000.0,90.5,90.5,77.59433962264151,68.64686468646866,4127.0,44880.0
15000.0,425.693876,4.942513680209716E-6,15000.0,93.2,93.2,83.61445783132531,75.80071174377227,5127.0,44880.0
16000.0,425.884329,4.94472493249923E-6,16000.0,89.9,89.9,78.32618025751074,71.30681818181819,6127.0,44880.0
17000.0,426.189718,4.948270647848646E-6,17000.0,77.9,77.9,56.66666666666668,54.52674897119342,468.0,44880.0
18000.0,426.381914,4.950502137218913E-6,18000.0,86.5,86.5,71.57894736842105,64.56692913385827,1468.0,44880.0
19000.0,426.571447,4.952702707859377E-6,19000.0,84.2,84.2,67.62295081967213,59.796437659033074,2468.0,44880.0
20000.0,426.763931,4.954937541050216E-6,20000.0,88.1,88.1,76.2,69.72010178117048,3468.0,44880.0
21000.0,426.952086,4.957122112438083E-6,21000.0,90.9,90.9,81.00208768267224,75.20435967302454,4468.0,44880.0
